 time,phase,potential,connectedness,resilience,rigidity,memory,novelty,release_flag
1,r, 0.2176, 0.2180, 0.8256, 0.1120, 0.5533, 0.1955,0
2,r, 0.2363, 0.2806, 0.7815, 0.1274, 0.5568, 0.1799,0
3,r, 0.2562, 0.3381, 0.7393, 0.1460, 0.5607, 0.1655,0
4,r, 0.2771, 0.3911, 0.6989, 0.1675, 0.5648, 0.1522,0
5,r, 0.2992, 0.4398, 0.6602, 0.1917, 0.5693, 0.1401,0
6,r, 0.3222, 0.4846, 0.6231, 0.2184, 0.5741, 0.1289,0
7,r, 0.3463, 0.5258, 0.5874, 0.2473, 0.5793, 0.1185,0
8,K, 0.3712, 0.5638, 0.5531, 0.2783, 0.5849, 0.1091,0
9,K, 0.3968, 0.5987, 0.5199, 0.3112, 0.5908, 0.1003,0
10,K, 0.4232, 0.6308, 0.4879, 0.3459, 0.5972, 0.0923,0
11,K, 0.4500, 0.6603, 0.4568, 0.3822, 0.6039, 0.0849,0
12,K, 0.4772, 0.6875, 0.4267, 0.4200, 0.6111, 0.0781,0
13,K, 0.5047, 0.7125, 0.3975, 0.4592, 0.6187, 0.0719,0
14,K, 0.5322, 0.7355, 0.3691, 0.4997, 0.6267, 0.0661,0
15,K, 0.5596, 0.7566, 0.3414, 0.5413, 0.6350, 0.0608,0
16,K, 0.5867, 0.7761, 0.3144, 0.5840, 0.6438, 0.0560,0
17,K, 0.6134, 0.7940, 0.2880, 0.6277, 0.6530, 0.0515,0
18,K, 0.6394, 0.8105, 0.2622, 0.6722, 0.6626, 0.0474,0
19,K, 0.6648, 0.8257, 0.2369, 0.7176, 0.6726, 0.0436,0
20,Omega, 0.6893, 0.8396, 0.2121, 0.7638, 0.6830, 0.0401,1
21,alpha, 0.2895, 0.2687, 0.5121, 0.2903, 0.5873, 0.3200,0
22,r, 0.4019, 0.2987, 0.5621, 0.2863, 0.5923, 0.2400,0
23,r, 0.4284, 0.3548, 0.6730, 0.3058, 0.5988, 0.1613,0
24,r, 0.4553, 0.4064, 0.6332, 0.3281, 0.6056, 0.1484,0
25,r, 0.4826, 0.4539, 0.5950, 0.3531, 0.6128, 0.1365,0
26,r, 0.5100, 0.4976, 0.5583, 0.3804, 0.6205, 0.1256,0
27,r, 0.5375, 0.5378, 0.5231, 0.4100, 0.6285, 0.1156,0
28,K, 0.5649, 0.5747, 0.4891, 0.4416, 0.6370, 0.1063,0
29,K, 0.5919, 0.6088, 0.4563, 0.4751, 0.6459, 0.0978,0
30,K, 0.6185, 0.6401, 0.4245, 0.5103, 0.6552, 0.0900,0
31,K, 0.6444, 0.6689, 0.3938, 0.5471, 0.6648, 0.0828,0
32,K, 0.6696, 0.6954, 0.3640, 0.5854, 0.6749, 0.0762,0
33,K, 0.6940, 0.7197, 0.3350, 0.6249, 0.6853, 0.0701,0
34,K, 0.7173, 0.7421, 0.3069, 0.6658, 0.6961, 0.0645,0
35,K, 0.7396, 0.7628, 0.2794, 0.7077, 0.7072, 0.0593,0
36,Omega, 0.7608, 0.7818, 0.2526, 0.7507, 0.7186, 0.0546,1
37,alpha, 0.3195, 0.2502, 0.5526, 0.2853, 0.6180, 0.3200,0
38,r, 0.4166, 0.2802, 0.6026, 0.2813, 0.6230, 0.2400,0
39,r, 0.4434, 0.3377, 0.6857, 0.2998, 0.6296, 0.1656,0
40,r, 0.4705, 0.3907, 0.6453, 0.3213, 0.6367, 0.1523,0
41,r, 0.4979, 0.4395, 0.6066, 0.3455, 0.6441, 0.1401,0
42,r, 0.5254, 0.4843, 0.5695, 0.3721, 0.6520, 0.1289,0
43,r, 0.5528, 0.5256, 0.5338, 0.4010, 0.6603, 0.1186,0
44,K, 0.5800, 0.5635, 0.4994, 0.4320, 0.6690, 0.1091,0
45,K, 0.6068, 0.5984, 0.4662, 0.4650, 0.6781, 0.1004,0
46,K, 0.6331, 0.6306, 0.4342, 0.4996, 0.6876, 0.0924,0
47,K, 0.6586, 0.6601, 0.4031, 0.5359, 0.6975, 0.0850,0
48,K, 0.6834, 0.6873, 0.3731, 0.5737, 0.7077, 0.0782,0
49,K, 0.7072, 0.7123, 0.3438, 0.6129, 0.7184, 0.0719,0
50,K, 0.7299, 0.7353, 0.3154, 0.6534, 0.7293, 0.0662,0
51,K, 0.7516, 0.7565, 0.2877, 0.6950, 0.7406, 0.0609,0
52,Omega, 0.7722, 0.7760, 0.2607, 0.7377, 0.7522, 0.0560,1
53,alpha, 0.3243, 0.2483, 0.5607, 0.2803, 0.6469, 0.3200,0
54,r, 0.4305, 0.2783, 0.6107, 0.2763, 0.6519, 0.2400,0
55,r, 0.4575, 0.3361, 0.6885, 0.2948, 0.6587, 0.1660,0
56,r, 0.4848, 0.3892, 0.6480, 0.3162, 0.6660, 0.1527,0
57,r, 0.5122, 0.4380, 0.6093, 0.3403, 0.6737, 0.1405,0
58,r, 0.5397, 0.4830, 0.5721, 0.3669, 0.6818, 0.1293,0
59,r, 0.5670, 0.5244, 0.5364, 0.3957, 0.6903, 0.1189,0
60,K, 0.5940, 0.5624, 0.5020, 0.4266, 0.6992, 0.1094,0
61,K, 0.6206, 0.5974, 0.4688, 0.4595, 0.7085, 0.1006,0
62,K, 0.6465, 0.6296, 0.4367, 0.4941, 0.7182, 0.0926,0
63,K, 0.6716, 0.6592, 0.4056, 0.5304, 0.7283, 0.0852,0
64,K, 0.6959, 0.6865, 0.3755, 0.5681, 0.7387, 0.0784,0
65,K, 0.7192, 0.7116, 0.3463, 0.6073, 0.7495, 0.0721,0
66,K, 0.7414, 0.7347, 0.3178, 0.6477, 0.7606, 0.0663,0
67,K, 0.7625, 0.7559, 0.2901, 0.6892, 0.7720, 0.0610,0
68,Omega, 0.7824, 0.7754, 0.2631, 0.7319, 0.7838, 0.0561,1
69,alpha, 0.3286, 0.2481, 0.5631, 0.2781, 0.6741, 0.3200,0
70,r, 0.4435, 0.2781, 0.6131, 0.2741, 0.6791, 0.2400,0
71,r, 0.4707, 0.3359, 0.6893, 0.2926, 0.6861, 0.1660,0
72,r, 0.4981, 0.3890, 0.6489, 0.3140, 0.6936, 0.1527,0
73,r, 0.5256, 0.4379, 0.6102, 0.3381, 0.7015, 0.1405,0
74,r, 0.5530, 0.4829, 0.5730, 0.3646, 0.7098, 0.1293,0
75,r, 0.5802, 0.5242, 0.5373, 0.3935, 0.7185, 0.1189,0
76,K, 0.6070, 0.5623, 0.5028, 0.4244, 0.7276, 0.1094,0
77,K, 0.6333, 0.5973, 0.4696, 0.4572, 0.7371, 0.1007,0
78,K, 0.6588, 0.6295, 0.4375, 0.4919, 0.7470, 0.0926,0
79,K, 0.6835, 0.6592, 0.4065, 0.5281, 0.7572, 0.0852,0
80,K, 0.7073, 0.6864, 0.3764, 0.5659, 0.7678, 0.0784,0
81,K, 0.7301, 0.7115, 0.3471, 0.6050, 0.7788, 0.0721,0
82,K, 0.7518, 0.7346, 0.3187, 0.6454, 0.7900, 0.0664,0
83,K, 0.7723, 0.7558, 0.2909, 0.6870, 0.8016, 0.0610,0
84,Omega, 0.7916, 0.7754, 0.2639, 0.7296, 0.8135, 0.0562,1
85,alpha, 0.3325, 0.2481, 0.5639, 0.2773, 0.6996, 0.3200,0
86,r, 0.4558, 0.2781, 0.6139, 0.2733, 0.7046, 0.2400,0
87,r, 0.4831, 0.3359, 0.6897, 0.2917, 0.7119, 0.1660,0
88,r, 0.5106, 0.3890, 0.6492, 0.3131, 0.7195, 0.1528,0
89,r, 0.5381, 0.4379, 0.6105, 0.3372, 0.7276, 0.1405,0
90,r, 0.5654, 0.4828, 0.5733, 0.3638, 0.7361, 0.1293,0
91,r, 0.5924, 0.5242, 0.5376, 0.3926, 0.7450, 0.1189,0
92,K, 0.6190, 0.5623, 0.5032, 0.4235, 0.7542, 0.1094,0
93,K, 0.6449, 0.5973, 0.4699, 0.4564, 0.7639, 0.1007,0
94,K, 0.6701, 0.6295, 0.4379, 0.4910, 0.7740, 0.0926,0
95,K, 0.6944, 0.6592, 0.4068, 0.5272, 0.7844, 0.0852,0
96,K, 0.7178, 0.6864, 0.3767, 0.5650, 0.7951, 0.0784,0
97,K, 0.7401, 0.7115, 0.3474, 0.6041, 0.8063, 0.0721,0
98,K, 0.7612, 0.7346, 0.3190, 0.6445, 0.8177, 0.0664,0
99,K, 0.7812, 0.7558, 0.2913, 0.6861, 0.8294, 0.0610,0
100,Omega, 0.8000, 0.7754, 0.2642, 0.7288, 0.8414, 0.0562,1
101,alpha, 0.3360, 0.2481, 0.5642, 0.2769, 0.7236, 0.3200,0
102,r, 0.4673, 0.2781, 0.6142, 0.2729, 0.7286, 0.2400,0
103,r, 0.4947, 0.3359, 0.6898, 0.2914, 0.7360, 0.1660,0
104,r, 0.5222, 0.3890, 0.6493, 0.3128, 0.7438, 0.1528,0
