system_id,fast_scale,slow_scale,scenario_id,scenario_name,time_step,fast_phase,slow_phase,fast_potential,fast_connectedness,fast_resilience,fast_rigidity,fast_memory,slow_potential,slow_connectedness,slow_resilience,slow_rigidity,slow_memory,revolt_effect,remember_effect,fast_phase_changed,slow_phase_changed
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,1,r,K,0.424,0.3955,0.64024,0.27337,0.45509,0.75924,0.7768,0.25795,0.70244,0.82911,0.0,0.0,False,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,2,r,Omega,0.44842,0.43781,0.60534,0.29887,0.46047,0.77752,0.79242,0.23357,0.74566,0.83844,0.0,0.0,False,True
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,3,r,alpha,0.47316,0.47717,0.57161,0.32632,0.46615,0.32656,0.25358,0.53357,0.28335,0.72106,0.0,0.0,False,True
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,4,r,r,0.49808,0.51377,0.53896,0.35561,0.47212,0.42911,0.27683,0.5954,0.27116,0.73313,0.0,0.0,False,True
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,5,r,r,0.52308,0.5478,0.50732,0.3866,0.4784,0.45361,0.32745,0.6764,0.29114,0.73857,0.0,0.0,False,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,6,K,r,0.54803,0.57946,0.47662,0.41918,0.48498,0.47839,0.37453,0.63962,0.31346,0.74431,0.0,0.0,True,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,7,K,r,0.5728,0.60889,0.44679,0.45322,0.49185,0.50335,0.41831,0.60414,0.33798,0.75035,0.0,0.0,False,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,8,K,r,0.59727,0.63627,0.41778,0.48863,0.49902,0.52834,0.45903,0.56986,0.36453,0.75669,0.0,0.0,False,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,9,K,r,0.62132,0.66173,0.38952,0.52532,0.50647,0.55326,0.4969,0.53671,0.39297,0.76333,0.0,0.0,False,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,10,K,r,0.64485,0.68541,0.36196,0.56319,0.51421,0.57798,0.53211,0.50461,0.42318,0.77027,0.0,0.0,False,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,11,K,K,0.66775,0.70743,0.33506,0.60216,0.52223,0.60237,0.56487,0.47348,0.45502,0.77749,0.0,0.0,False,True
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,12,K,K,0.68994,0.72791,0.30876,0.64216,0.5305,0.62632,0.59533,0.44325,0.48839,0.78501,0.0,0.0,False,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,13,K,K,0.71133,0.74696,0.28303,0.68311,0.53904,0.64973,0.62365,0.41386,0.52317,0.79281,0.0,0.0,False,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,14,K,K,0.73187,0.76467,0.25782,0.72494,0.54782,0.67249,0.65,0.38525,0.55927,0.80088,0.0,0.0,False,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,15,Omega,K,0.75149,0.78114,0.23311,0.7676,0.55684,0.69451,0.6745,0.35737,0.5966,0.80921,0.0,0.0,True,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,16,alpha,K,0.31563,0.24997,0.53311,0.29169,0.47888,0.71573,0.69728,0.33016,0.63506,0.8178,0.0,0.0,True,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,17,r,K,0.4675,0.27762,0.56904,0.27273,0.4841,0.73607,0.71847,0.30359,0.67458,0.82663,0.0,0.1472,True,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,18,r,K,0.49239,0.32819,0.67539,0.29274,0.49001,0.7555,0.73818,0.2776,0.71509,0.8357,0.0,0.0,False,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,19,r,Omega,0.51739,0.37522,0.63863,0.3151,0.49621,0.77397,0.75651,0.25215,0.75652,0.84499,0.0,0.0,False,True
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,20,r,alpha,0.54236,0.41895,0.60317,0.33965,0.50272,0.32507,0.24208,0.55215,0.28748,0.72669,0.0,0.0,False,True
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,21,r,r,0.56718,0.45963,0.56891,0.36623,0.50953,0.45267,0.27658,0.58817,0.28655,0.73526,0.0,0.0,False,True
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,22,r,r,0.59173,0.49745,0.53578,0.3947,0.51663,0.47745,0.32722,0.67131,0.30651,0.74099,0.0,0.0,False,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,23,r,r,0.61589,0.53263,0.50369,0.42493,0.52402,0.5024,0.37431,0.63452,0.32883,0.74702,0.0,0.0,False,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,24,K,r,0.63954,0.56535,0.47257,0.4568,0.5317,0.5274,0.41811,0.59904,0.35333,0.75335,0.0,0.0,True,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,25,K,r,0.6626,0.59577,0.44236,0.49019,0.53965,0.55232,0.45884,0.56476,0.37987,0.75997,0.0,0.0,False,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,26,K,r,0.68495,0.62407,0.41298,0.52499,0.54787,0.57705,0.49672,0.53161,0.40831,0.7669,0.0,0.0,False,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,27,K,r,0.70653,0.65038,0.38438,0.56111,0.55634,0.60145,0.53195,0.4995,0.43851,0.77412,0.0,0.0,False,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,28,K,K,0.72727,0.67486,0.35651,0.59845,0.56507,0.62542,0.56472,0.46836,0.47034,0.78162,0.0,0.0,False,True
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,29,K,K,0.7471,0.69762,0.32932,0.63693,0.57404,0.64885,0.59519,0.43813,0.5037,0.78941,0.0,0.0,False,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,30,K,K,0.766,0.71878,0.30275,0.67647,0.58323,0.67164,0.62352,0.40873,0.53848,0.79747,0.0,0.0,False,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,31,K,K,0.78392,0.73847,0.27677,0.717,0.59264,0.69369,0.64988,0.38012,0.57457,0.80579,0.0,0.0,False,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,32,Omega,K,0.80086,0.75678,0.25133,0.75844,0.60225,0.71494,0.67439,0.35224,0.61189,0.81437,0.0,0.0,True,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,33,alpha,K,0.33636,0.24217,0.55133,0.28821,0.51793,0.73532,0.69718,0.32503,0.65035,0.82319,0.0,0.0,True,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,34,r,K,0.47756,0.28134,0.59334,0.29264,0.50915,0.75478,0.71838,0.29845,0.68987,0.83225,0.0,0.14817,True,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,35,r,K,0.50251,0.33165,0.66642,0.31282,0.51518,0.77329,0.73809,0.27246,0.73037,0.84153,0.0,0.0,False,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,36,r,Omega,0.52751,0.37843,0.62975,0.33534,0.52151,0.79082,0.75642,0.24701,0.7718,0.85102,0.0,0.0,False,True
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,37,r,alpha,0.55244,0.42194,0.59438,0.36004,0.52814,0.33214,0.24206,0.54701,0.29328,0.73188,0.0,0.0,False,True
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,38,r,r,0.57716,0.46241,0.56021,0.38676,0.53507,0.47169,0.25984,0.61438,0.27667,0.74103,0.0,0.0,False,True
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,39,r,r,0.60156,0.50004,0.52715,0.41536,0.54228,0.49661,0.31165,0.68459,0.29585,0.74699,0.0,0.0,False,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,40,r,r,0.62553,0.53504,0.49513,0.44572,0.54979,0.52161,0.35983,0.64737,0.31744,0.75325,0.0,0.0,False,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,41,K,r,0.64896,0.56758,0.46408,0.4777,0.55758,0.54656,0.40465,0.61149,0.34127,0.7598,0.0,0.0,True,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,42,K,r,0.67174,0.59785,0.43393,0.51119,0.56564,0.57135,0.44632,0.57684,0.36719,0.76666,0.0,0.0,False,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,43,K,r,0.69379,0.626,0.40461,0.54609,0.57397,0.59584,0.48508,0.54334,0.39504,0.77381,0.0,0.0,False,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,44,K,r,0.71503,0.65218,0.37607,0.5823,0.58255,0.61992,0.52112,0.51091,0.4247,0.78125,0.0,0.0,False,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,45,K,K,0.73541,0.67653,0.34825,0.61972,0.59137,0.64348,0.55464,0.47947,0.45603,0.78897,0.0,0.0,False,True
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,46,K,K,0.75487,0.69917,0.3211,0.65828,0.60043,0.66642,0.58582,0.44896,0.48892,0.79697,0.0,0.0,False,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,47,K,K,0.77337,0.72023,0.29457,0.69789,0.60971,0.68865,0.61481,0.41931,0.52326,0.80523,0.0,0.0,False,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,48,K,K,0.7909,0.73981,0.26863,0.73848,0.6192,0.71009,0.64177,0.39046,0.55895,0.81375,0.0,0.0,False,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,49,Omega,K,0.80744,0.75803,0.24323,0.77999,0.62889,0.73068,0.66685,0.36235,0.59589,0.82252,0.0,0.0,True,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,50,alpha,K,0.33912,0.24257,0.54323,0.29639,0.54084,0.75036,0.69017,0.33493,0.634,0.83153,0.0,0.0,True,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,51,r,K,0.57685,0.27366,0.58715,0.31045,0.54793,0.76909,0.71186,0.30816,0.6732,0.84076,0.0,0.14967,True,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,52,r,K,0.60126,0.3245,0.66492,0.33028,0.55514,0.78685,0.73203,0.28199,0.7134,0.8502,0.0,0.0,False,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,53,r,Omega,0.62523,0.37178,0.62805,0.35247,0.56264,0.80362,0.75079,0.25637,0.75454,0.85984,0.0,0.0,False,True
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,54,r,alpha,0.64866,0.41576,0.5925,0.37686,0.57043,0.33752,0.24025,0.55637,0.28672,0.73946,0.0,0.0,False,True
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,55,r,r,0.67145,0.45666,0.55815,0.40329,0.57849,0.50916,0.2811,0.6166,0.28693,0.7263,0.0,0.0,False,True
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,56,r,r,0.69351,0.49469,0.52494,0.43162,0.58681,0.53416,0.33143,0.6685,0.3071,0.73271,0.0,0.0,False,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,57,r,r,0.71477,0.53006,0.49277,0.46173,0.59539,0.55904,0.37823,0.63183,0.32961,0.73941,0.0,0.0,False,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,58,K,r,0.73516,0.56296,0.46158,0.49347,0.60421,0.58369,0.42175,0.59645,0.3543,0.74642,0.0,0.0,True,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,59,K,r,0.75463,0.59355,0.4313,0.52675,0.61326,0.60799,0.46223,0.56227,0.38101,0.75371,0.0,0.0,False,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,60,K,r,0.77314,0.622,0.40186,0.56145,0.62254,0.63182,0.49987,0.52921,0.40961,0.7613,0.0,0.0,False,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,61,K,r,0.79068,0.64846,0.37321,0.59748,0.63203,0.65509,0.53488,0.49719,0.43995,0.76916,0.0,0.0,False,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,62,K,K,0.80723,0.67307,0.34529,0.63473,0.64172,0.67768,0.56744,0.46613,0.47192,0.77729,0.0,0.0,False,True
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,63,K,K,0.82279,0.69595,0.31805,0.67313,0.65159,0.69952,0.59772,0.43598,0.50541,0.78568,0.0,0.0,False,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,64,K,K,0.83737,0.71724,0.29143,0.71259,0.66164,0.72054,0.62588,0.40665,0.5403,0.79433,0.0,0.0,False,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,65,Omega,K,0.85099,0.73703,0.26541,0.75304,0.67185,0.74068,0.65207,0.37811,0.57651,0.80322,0.0,0.0,True,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,66,alpha,K,0.35742,0.23585,0.56541,0.28616,0.57779,0.75989,0.67642,0.35028,0.61393,0.81234,0.0,0.0,True,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,67,r,K,0.53829,0.25324,0.59546,0.2743,0.57391,0.77813,0.69907,0.32313,0.65248,0.82168,0.0,0.14622,True,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,68,r,K,0.56314,0.30552,0.6893,0.29318,0.58067,0.7954,0.72014,0.29661,0.69209,0.83122,0.0,0.0,False,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,69,r,K,0.58774,0.35413,0.65191,0.31449,0.58772,0.81167,0.73973,0.27066,0.73267,0.84096,0.0,0.0,False,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,70,r,Omega,0.61197,0.39934,0.61587,0.33805,0.59506,0.82696,0.75795,0.24525,0.77417,0.85088,0.0,0.0,False,True
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,71,r,alpha,0.63572,0.44139,0.58107,0.36372,0.60269,0.34732,0.24254,0.54525,0.29418,0.73176,0.0,0.0,False,True
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,72,r,r,0.65888,0.48049,0.54744,0.39135,0.6106,0.47502,0.26865,0.5836,0.28152,0.75423,0.0,0.0,False,True
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,73,r,r,0.68135,0.51686,0.51488,0.42079,0.61877,0.49996,0.31984,0.67772,0.30111,0.76023,0.0,0.0,False,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,74,K,r,0.70306,0.55068,0.48333,0.45192,0.62721,0.52496,0.36745,0.64073,0.32308,0.76652,0.0,0.0,True,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,75,K,r,0.72394,0.58213,0.45271,0.48463,0.6359,0.5499,0.41173,0.60505,0.34727,0.77312,0.0,0.0,False,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,76,K,r,0.74392,0.61138,0.42295,0.5188,0.64483,0.57465,0.45291,0.5706,0.37351,0.78002,0.0,0.0,False,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,77,K,r,0.76297,0.63858,0.39401,0.55433,0.65398,0.59909,0.49121,0.53728,0.40168,0.78721,0.0,0.0,False,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,78,K,r,0.78106,0.66388,0.36581,0.59112,0.66335,0.62311,0.52682,0.50502,0.43162,0.79469,0.0,0.0,False,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,79,K,K,0.79816,0.68741,0.33831,0.62909,0.67293,0.6466,0.55995,0.47374,0.46321,0.80245,0.0,0.0,False,True
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,80,K,K,0.81427,0.70929,0.31147,0.66816,0.6827,0.66945,0.59075,0.44338,0.49635,0.81048,0.0,0.0,False,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,81,K,K,0.82939,0.72964,0.28522,0.70824,0.69266,0.69158,0.6194,0.41386,0.53092,0.81878,0.0,0.0,False,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,82,Omega,K,0.84354,0.74857,0.25954,0.74927,0.70278,0.71291,0.64604,0.38514,0.56682,0.82733,0.0,0.0,True,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,83,alpha,K,0.35429,0.23954,0.55954,0.28472,0.60439,0.73337,0.67082,0.35715,0.60396,0.83613,0.0,0.0,True,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,84,r,K,0.59371,0.25968,0.59271,0.29024,0.60457,0.75293,0.69386,0.32984,0.64226,0.84517,0.0,0.1505,True,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,85,r,K,0.61783,0.3115,0.68007,0.30942,0.61198,0.77153,0.71529,0.30317,0.68162,0.85443,0.0,0.0,False,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,86,r,K,0.64144,0.35969,0.64285,0.331,0.61968,0.78916,0.73522,0.27709,0.72198,0.8639,0.0,0.0,False,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,87,r,Omega,0.66444,0.40451,0.60696,0.35483,0.62765,0.8058,0.75375,0.25156,0.76327,0.87357,0.0,0.0,False,True
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,88,r,alpha,0.68674,0.4462,0.57231,0.38074,0.63589,0.33843,0.2412,0.55156,0.29004,0.75127,0.0,0.0,False,True
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,89,r,r,0.70825,0.48496,0.5388,0.40858,0.64439,0.51741,0.27291,0.6187,0.294,0.76731,0.0,0.0,False,True
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,90,r,r,0.72891,0.52102,0.50637,0.43824,0.65314,0.54238,0.32381,0.67095,0.31379,0.77382,0.0,0.0,False,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,91,K,r,0.74867,0.55455,0.47493,0.46956,0.66212,0.5672,0.37114,0.63407,0.33595,0.78062,0.0,0.0,True,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,92,K,r,0.76749,0.58573,0.44442,0.50245,0.67133,0.59175,0.41516,0.5985,0.36031,0.78772,0.0,0.0,False,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,93,K,r,0.78533,0.61473,0.41476,0.53679,0.68076,0.6159,0.4561,0.56414,0.38671,0.79511,0.0,0.0,False,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,94,K,r,0.80219,0.6417,0.38591,0.57247,0.69038,0.63956,0.49417,0.53091,0.41502,0.80279,0.0,0.0,False,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,95,K,r,0.81806,0.66678,0.3578,0.60941,0.7002,0.66261,0.52958,0.49873,0.4451,0.81074,0.0,0.0,False,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,96,K,K,0.83294,0.6901,0.33038,0.64751,0.7102,0.68497,0.56251,0.46752,0.47683,0.81896,0.0,0.0,False,True
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,97,K,K,0.84686,0.7118,0.30361,0.6867,0.72036,0.70655,0.59313,0.43723,0.51008,0.82744,0.0,0.0,False,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,98,K,K,0.85983,0.73197,0.27743,0.7269,0.73068,0.72728,0.62161,0.40778,0.54476,0.83616,0.0,0.0,False,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,99,Omega,K,0.87188,0.75073,0.25181,0.76804,0.74114,0.74712,0.6481,0.37912,0.58077,0.84513,0.0,0.0,True,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,100,alpha,K,0.36619,0.24023,0.55181,0.29185,0.63738,0.76601,0.67273,0.35118,0.61801,0.85432,0.0,0.0,True,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,101,r,K,0.54357,0.2647,0.58736,0.28123,0.6601,0.78393,0.69564,0.32393,0.65639,0.86373,0.0,0.15378,True,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,102,r,K,0.56838,0.31617,0.68016,0.30063,0.66692,0.80087,0.71695,0.29731,0.69584,0.87334,0.0,0.0,False,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,103,r,K,0.59291,0.36404,0.64307,0.32244,0.67403,0.81682,0.73676,0.27127,0.73627,0.88314,0.0,0.0,False,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,104,r,Omega,0.61705,0.40855,0.6073,0.34646,0.68144,0.83178,0.75519,0.24579,0.77763,0.89312,0.0,0.0,False,True
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,105,r,alpha,0.64068,0.44996,0.57276,0.37256,0.68912,0.34935,0.24166,0.54579,0.2955,0.76809,0.0,0.0,False,True
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,106,r,r,0.6637,0.48846,0.53936,0.40058,0.69709,0.48644,0.27632,0.61652,0.28935,0.77144,0.0,0.0,False,True
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,107,r,r,0.68602,0.52427,0.50702,0.4304,0.70532,0.51142,0.32698,0.67051,0.3093,0.77758,0.0,0.0,False,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,108,K,r,0.70756,0.55757,0.47567,0.46188,0.71381,0.53641,0.37409,0.63372,0.3316,0.78401,0.0,0.0,True,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,109,K,r,0.72825,0.58854,0.44524,0.4949,0.72255,0.56128,0.41791,0.59823,0.3561,0.79075,0.0,0.0,False,False
