time,phase,potential,connectedness,resilience,rigidity,memory,novelty,release_flag
1,r,0.2176,0.218,0.825644,0.11199,0.553264,0.1955,0
2,r,0.236328,0.28056,0.781456,0.127421,0.556809,0.17986,0
3,r,0.25618,0.338115,0.739263,0.146017,0.560652,0.165471,0
4,r,0.277141,0.391066,0.698905,0.167526,0.564809,0.152234,0
5,r,0.299177,0.439781,0.660236,0.191714,0.569296,0.140055,0
6,r,0.322241,0.484598,0.623121,0.218367,0.57413,0.12885,0
7,r,0.346265,0.52583,0.587435,0.247287,0.579324,0.118542,0
8,K,0.371166,0.563764,0.553063,0.278294,0.584891,0.109059,0
9,K,0.39684,0.598663,0.519902,0.311221,0.590844,0.100334,0
10,K,0.423169,0.63077,0.487853,0.345913,0.597192,0.0923075,0
11,K,0.45002,0.660308,0.456828,0.38223,0.603942,0.0849229,0
12,K,0.477245,0.687484,0.426746,0.420042,0.611101,0.0781291,0
13,K,0.504688,0.712485,0.397529,0.459228,0.618671,0.0718788,0
14,K,0.532186,0.735486,0.369111,0.49968,0.626654,0.0661285,0
15,K,0.559572,0.756647,0.341425,0.541296,0.635047,0.0608382,0
16,K,0.586681,0.776115,0.314415,0.583982,0.643847,0.0559711,0
17,K,0.613355,0.794026,0.288025,0.627653,0.653048,0.0514935,0
18,K,0.639441,0.810504,0.262207,0.672231,0.662639,0.047374,0
19,K,0.664803,0.825664,0.236914,0.717643,0.672611,0.0435841,0
20,Omega,0.689315,0.839611,0.212104,0.763821,0.682951,0.0400973,1
21,alpha,0.289512,0.268675,0.512104,0.290252,0.587338,0.32,0
22,r,0.401922,0.298675,0.562104,0.286252,0.592338,0.24,0
23,r,0.428364,0.354781,0.673018,0.305765,0.598763,0.161305,0
24,r,0.4553,0.406399,0.633192,0.328117,0.605593,0.1484,0
25,r,0.48258,0.453887,0.595012,0.353081,0.612832,0.136528,0
26,r,0.510046,0.497576,0.558346,0.380447,0.620482,0.125606,0
27,r,0.537535,0.53777,0.523074,0.410025,0.628545,0.115558,0
28,K,0.56488,0.574748,0.489083,0.441636,0.637019,0.106313,0
29,K,0.591917,0.608768,0.456272,0.475118,0.645897,0.0978079,0
30,K,0.618488,0.640067,0.424546,0.510322,0.655175,0.0899833,0
31,K,0.644444,0.668862,0.393818,0.547109,0.664841,0.0827846,0
32,K,0.669649,0.695353,0.364008,0.585354,0.674886,0.0761618,0
33,K,0.693983,0.719724,0.335042,0.624939,0.685296,0.0700689,0
34,K,0.717344,0.742147,0.306854,0.665757,0.696056,0.0644634,0
35,K,0.739647,0.762775,0.279381,0.707709,0.707151,0.0593063,0
36,Omega,0.76083,0.781753,0.252566,0.750706,0.718563,0.0545618,1
37,alpha,0.319549,0.250161,0.552566,0.285268,0.617964,0.32,0
38,r,0.416623,0.280161,0.602566,0.281268,0.622964,0.24,0
