time,potential,connectedness,resilience,rigidity,memory,novelty,phase
1,0.2,0.15,0.82,0.1,0.55,0.15,r
2,0.21760000000000002,0.218,0.8256435000000001,0.11199,0.5532640000000001,0.1955,r
3,0.23632752640000002,0.28056000000000003,0.7814555200000001,0.1274208,0.5568089128960001,0.17986,r
4,0.25617997733322234,0.33811520000000006,0.7392625784,0.146017136,0.5606516125559984,0.16547119999999998,r
5,0.27714067495336725,0.39106598400000003,0.698905072128,0.16752576512,0.5648087226802989,0.152233504,r
6,0.2991773842897408,0.43978070528,0.6602361663577601,0.1917137039104,0.5692963834446451,0.14005482368,r
7,0.3222411147618626,0.4845982488576,0.6231207730491393,0.21836660759756799,0.574130000166073,0.12885043778560001,r
8,0.34626531042094105,0.525830388948992,0.5874346112052081,0.24728727898976255,0.579323979822387,0.11854240276275199,r
9,0.3711655313951444,0.5637639578330726,0.5530633423087914,0.27829429667058153,0.5848914627933142,0.10905901054173184,K
10,0.3968397161620679,0.5986628412064269,0.5199017749240881,0.311220752936935,0.5908440585357452,0.10033428969839328,K
11,0.4231690913043004,0.6307698139099127,0.48785313293016097,0.34591309270198023,0.5971915949053097,0.09230754652252182,K
12,0.45001976256588966,0.6603082287971197,0.4568283822957481,0.38223004528582183,0.603941891343798,0.08492294280072007,K
13,0.47724497991115294,0.6874835704933502,0.42674561171208825,0.4200416416629561,0.6111005660424653,0.07812910737666245,K
14,0.5046880229078361,0.7124848848538822,0.39752946277512113,0.4592283103299196,0.6186708863860828,0.07187877878652946,K
15,0.5321856053763698,0.7354860940655716,0.3691106057531114,0.49968004550352607,0.6266536704667284,0.06612847648360709,K
16,0.5595716549250911,0.7566472065403259,0.34142525729286255,0.541295641863244,0.6350472452906047,0.06083819836491852,K
17,0.5866812888973345,0.7761154300170998,0.31441473670943354,0.5839819905141844,0.6438474646240647,0.055971142495725046,K
18,0.6133547878543951,0.7940261956157318,0.28802505777267884,0.6276534312730497,0.6530477864418807,0.05149345109606704,K
19,0.6394413639821485,0.8105040999664733,0.2622065531508645,0.6722311567712058,0.6626394069016129,0.04737397500838167,K
20,0.6648025356433362,0.8256637719691554,0.23691352889879536,0.7176426642295094,0.672611444936263,0.04358405700771115,K
21,0.6893149493103442,0.839610670211623,0.2121039465868918,0.7638212510911486,0.6829511691759181,0.040097332447094264,Omega
22,0.2895122787103446,0.26867541446771936,0.5121039465868917,0.2902520754146365,0.5873380054912896,0.43296120869927107,alpha
23,0.4543712922315624,0.29225960051130967,0.5691912225315419,0.2993177423269929,0.5931018434564949,0.32731766292825343,r
24,0.4816422745445745,0.3488788324704049,0.6722179965288462,0.31850607811286513,0.6003264775746635,0.1627802918823988,r
25,0.5091052038753459,0.40096852587277254,0.6322037424963274,0.3405593470358676,0.6079630556327937,0.14975786853180686,r
26,0.5365960843542086,0.44889104380295075,0.59385062878641,0.3652483544450299,0.6160119968981068,0.1377772390492623,r
27,0.5639487642813019,0.4929797602987147,0.5570257641732862,0.3923622412614592,0.6244712283623264,0.12675505992532132,r
28,0.5909989253914603,0.5335413794748175,0.5216068887292121,0.42170701713257414,0.6333362122431982,0.11661465513129562,r
29,0.6175880369049962,0.5708580691168321,0.4874815233206641,0.4531042109339999,0.6426000327967731,0.10728548272079197,K
30,0.6435670727984474,0.6051894235874855,0.4545461871448,0.48638962923131157,0.6522535388887498,0.09870264410312862,K
31,0.6687998073153367,0.6367742697004867,0.4227056778630049,0.5214122140648383,0.6622855359984798,0.09080643257487833,K
32,0.6931655360708703,0.6658323281244477,0.3918724093237535,0.5580329921116829,0.6726830190395429,0.08354191796888807,K
33,0.7165611143950601,0.6925657418744919,0.36196580226764197,0.59612410791478,0.6834314357554687,0.07685856453137702,K
34,0.7389022556055768,0.7171604825245326,0.33291172377601963,0.6355679344536292,0.6945149695895524,0.07070987936886686,K
35,0.7601240839548992,0.73978764392257,0.30464197156372685,0.6762562548693706,0.7059168308488759,0.0650530890193575,K
36,0.7801809846590279,0.7606046324087644,0.2770937995284178,0.7180895096518526,0.7176195456187613,0.059848841897808897,K
37,0.7990458324009326,0.7797562618160633,0.2502094812559331,0.7609761040517361,0.7296052331047753,0.05506093454598418,Omega
38,0.3355992496083917,0.24952200378114026,0.550209481255933,0.28917091953965973,0.6274605004701068,0.2769333194475621,alpha
39,0.44002011507387107,0.2856739473022487,0.6111650938385533,0.28519188170835513,0.6498473903562179,0.2310857648681849,r
40,0.4671243805483384,0.34282003151806884,0.6810351362541502,0.30404698344184894,0.6568542560644429,0.1642949921204828,r
41,0.49450549184936204,0.39539442899662336,0.6408276670592614,0.32579367703666323,0.6642718384421834,0.15115139275084416,r
42,0.5220021709911822,0.4437628746768935,0.6022967953999637,0.3502006351438924,0.6721018710070511,0.1390592813307766,r
43,0.5494489204830664,0.48826184470274203,0.5653083934734098,0.3770550366025432,0.6803436048142971,0.1279345388243145,r
44,0.5766799489520029,0.5292008971265226,0.5297390637009802,0.40616108594450195,0.6889938040485771,0.11769977571836934,r
45,0.6035331693491619,0.5668648253564008,0.49547528031034516,0.437338651339104,0.6980468015888146,0.1082837936608998,K
46,0.6298540664620589,0.6015156393278888,0.4624125995909607,0.47042201150213786,0.7074946125857455,0.09962109016802781,K
47,0.6554992378186183,0.6333943881816577,0.430454933329127,0.505258702852129,0.7173271011530248,0.09165140295458557,K
48,0.6803394363927795,0.6627228371271251,0.3995138803682401,0.5417084588941209,0.7275321926989164,0.08431929071821873,K
49,0.7042619820377483,0.6897050101569551,0.36950811164422415,0.5796422344527534,0.7380961224294826,0.07757374746076123,K
50,0.7271724567340895,0.7145286093443987,0.34036280441812955,0.6189413079666953,0.749003709280494,0.07136784766390034,K
51,0.7489956509732433,0.7373663205968468,0.31200912177012236,0.6594964555995219,0.7602386440450927,0.0656584198507883,K
52,0.7696757792108485,0.758377014949099,0.28438373373395587,0.7012071914217223,0.7717837807332554,0.06040574626272524,K
53,0.7891760263626209,0.7777068537531712,0.2574283767406825,0.7439810683781467,0.7836214211286947,0.05557328656170721,Omega
54,0.33145393107230076,0.24886619320101477,0.5574283767406825,0.28271280598369575,0.6739144221706774,0.3424585645087063,alpha
55,0.4962806653725874,0.2932129860525895,0.6061782308187331,0.2668248636416081,0.6813277320204761,0.36080627745948735,r
56,0.5237791436930797,0.3497559471683823,0.6830298084980487,0.28606144073586914,0.6891844191758724,0.16256101320790442,r
57,0.5512169444488543,0.40177547139491177,0.6430435256532485,0.3081590916625893,0.6974526733426052,0.14955613215127206,r
58,0.5784283951549998,0.4496334336833188,0.6047161454360321,0.3328889305151719,0.7061290992699302,0.1375916415791703,r
59,0.605251783706675,0.4936627589886533,0.5679149556361932,0.3600403822595478,0.7152078760255303,0.12658431025283667,r
60,0.631533210529597,0.534169738269561,0.5325178610203414,0.3894197178643737,0.7246808741834743,0.11645756543260974,r
61,0.6571301021276524,0.5714361592079962,0.4984125339737577,0.4208487066208135,0.7345378257153891,0.10714096019800096,K
62,0.6819142165382414,0.6057212664713565,0.4654956330909007,0.4541633762767381,0.7447665389634627,0.09856968338216088,K
