time,phase,state_variable,value
1,r,potential,0.2
1,r,connectedness,0.15
1,r,resilience,0.82
1,r,rigidity,0.1
1,r,memory,0.55
1,r,novelty,0.15
2,r,potential,0.21760000000000002
2,r,connectedness,0.218
2,r,resilience,0.8256435000000001
2,r,rigidity,0.11199
2,r,memory,0.5532640000000001
2,r,novelty,0.1955
3,r,potential,0.23632752640000002
3,r,connectedness,0.28056000000000003
3,r,resilience,0.7814555200000001
3,r,rigidity,0.1274208
3,r,memory,0.5568089128960001
3,r,novelty,0.17986
4,r,potential,0.25617997733322234
4,r,connectedness,0.33811520000000006
4,r,resilience,0.7392625784
4,r,rigidity,0.146017136
4,r,memory,0.5606516125559984
4,r,novelty,0.16547119999999998
5,r,potential,0.27714067495336725
5,r,connectedness,0.39106598400000003
5,r,resilience,0.698905072128
5,r,rigidity,0.16752576512
5,r,memory,0.5648087226802989
5,r,novelty,0.152233504
6,r,potential,0.2991773842897408
6,r,connectedness,0.43978070528
6,r,resilience,0.6602361663577601
6,r,rigidity,0.1917137039104
6,r,memory,0.5692963834446451
6,r,novelty,0.14005482368
7,r,potential,0.3222411147618626
7,r,connectedness,0.4845982488576
7,r,resilience,0.6231207730491393
7,r,rigidity,0.21836660759756799
7,r,memory,0.574130000166073
7,r,novelty,0.12885043778560001
8,r,potential,0.34626531042094105
8,r,connectedness,0.525830388948992
8,r,resilience,0.5874346112052081
8,r,rigidity,0.24728727898976255
8,r,memory,0.579323979822387
8,r,novelty,0.11854240276275199
9,K,potential,0.3711655313951444
9,K,connectedness,0.5637639578330726
9,K,resilience,0.5530633423087914
9,K,rigidity,0.27829429667058153
9,K,memory,0.5848914627933142
9,K,novelty,0.10905901054173184
10,K,potential,0.3968397161620679
10,K,connectedness,0.5986628412064269
10,K,resilience,0.5199017749240881
10,K,rigidity,0.311220752936935
10,K,memory,0.5908440585357452
10,K,novelty,0.10033428969839328
11,K,potential,0.4231690913043004
11,K,connectedness,0.6307698139099127
11,K,resilience,0.48785313293016097
11,K,rigidity,0.34591309270198023
11,K,memory,0.5971915949053097
11,K,novelty,0.09230754652252182
12,K,potential,0.45001976256588966
12,K,connectedness,0.6603082287971197
12,K,resilience,0.4568283822957481
12,K,rigidity,0.38223004528582183
12,K,memory,0.603941891343798
12,K,novelty,0.08492294280072007
13,K,potential,0.47724497991115294
13,K,connectedness,0.6874835704933502
13,K,resilience,0.42674561171208825
13,K,rigidity,0.4200416416629561
13,K,memory,0.6111005660424653
13,K,novelty,0.07812910737666245
14,K,potential,0.5046880229078361
14,K,connectedness,0.7124848848538822
14,K,resilience,0.39752946277512113
14,K,rigidity,0.4592283103299196
14,K,memory,0.6186708863860828
14,K,novelty,0.07187877878652946
15,K,potential,0.5321856053763698
15,K,connectedness,0.7354860940655716
15,K,resilience,0.3691106057531114
15,K,rigidity,0.49968004550352607
15,K,memory,0.6266536704667284
15,K,novelty,0.06612847648360709
16,K,potential,0.5595716549250911
16,K,connectedness,0.7566472065403259
16,K,resilience,0.34142525729286255
16,K,rigidity,0.541295641863244
16,K,memory,0.6350472452906047
16,K,novelty,0.06083819836491852
17,K,potential,0.5866812888973345
17,K,connectedness,0.7761154300170998
17,K,resilience,0.31441473670943354
17,K,rigidity,0.5839819905141844
17,K,memory,0.6438474646240647
17,K,novelty,0.055971142495725046
18,K,potential,0.6133547878543951
18,K,connectedness,0.7940261956157318
18,K,resilience,0.28802505777267884
18,K,rigidity,0.6276534312730497
18,K,memory,0.6530477864418807
18,K,novelty,0.05149345109606704
19,K,potential,0.6394413639821485
19,K,connectedness,0.8105040999664733
19,K,resilience,0.2622065531508645
19,K,rigidity,0.6722311567712058
19,K,memory,0.6626394069016129
19,K,novelty,0.04737397500838167
20,K,potential,0.6648025356433362
20,K,connectedness,0.8256637719691554
20,K,resilience,0.23691352889879536
20,K,rigidity,0.7176426642295094
20,K,memory,0.672611444936263
20,K,novelty,0.04358405700771115
21,Omega,potential,0.6893149493103442
21,Omega,connectedness,0.839610670211623
21,Omega,resilience,0.2121039465868918
21,Omega,rigidity,0.7638212510911486
21,Omega,memory,0.6829511691759181
21,Omega,novelty,0.040097332447094264
22,alpha,potential,0.2895122787103446
22,alpha,connectedness,0.26867541446771936
22,alpha,resilience,0.5121039465868917
22,alpha,rigidity,0.2902520754146365
22,alpha,memory,0.5873380054912896
22,alpha,novelty,0.43296120869927107
23,r,potential,0.4543712922315624
23,r,connectedness,0.29225960051130967
23,r,resilience,0.5691912225315419
23,r,rigidity,0.2993177423269929
23,r,memory,0.5931018434564949
23,r,novelty,0.32731766292825343
24,r,potential,0.4816422745445745
24,r,connectedness,0.3488788324704049
24,r,resilience,0.6722179965288462
24,r,rigidity,0.31850607811286513
24,r,memory,0.6003264775746635
24,r,novelty,0.1627802918823988
25,r,potential,0.5091052038753459
25,r,connectedness,0.40096852587277254
25,r,resilience,0.6322037424963274
25,r,rigidity,0.3405593470358676
25,r,memory,0.6079630556327937
25,r,novelty,0.14975786853180686
26,r,potential,0.5365960843542086
26,r,connectedness,0.44889104380295075
26,r,resilience,0.59385062878641
26,r,rigidity,0.3652483544450299
26,r,memory,0.6160119968981068
26,r,novelty,0.1377772390492623
27,r,potential,0.5639487642813019
27,r,connectedness,0.4929797602987147
27,r,resilience,0.5570257641732862
27,r,rigidity,0.3923622412614592
27,r,memory,0.6244712283623264
27,r,novelty,0.12675505992532132
28,r,potential,0.5909989253914603
28,r,connectedness,0.5335413794748175
28,r,resilience,0.5216068887292121
28,r,rigidity,0.42170701713257414
28,r,memory,0.6333362122431982
28,r,novelty,0.11661465513129562
29,K,potential,0.6175880369049962
29,K,connectedness,0.5708580691168321
29,K,resilience,0.4874815233206641
29,K,rigidity,0.4531042109339999
29,K,memory,0.6426000327967731
29,K,novelty,0.10728548272079197
30,K,potential,0.6435670727984474
30,K,connectedness,0.6051894235874855
30,K,resilience,0.4545461871448
30,K,rigidity,0.48638962923131157
30,K,memory,0.6522535388887498
30,K,novelty,0.09870264410312862
31,K,potential,0.6687998073153367
31,K,connectedness,0.6367742697004867
31,K,resilience,0.4227056778630049
31,K,rigidity,0.5214122140648383
31,K,memory,0.6622855359984798
31,K,novelty,0.09080643257487833
32,K,potential,0.6931655360708703
32,K,connectedness,0.6658323281244477
32,K,resilience,0.3918724093237535
32,K,rigidity,0.5580329921116829
32,K,memory,0.6726830190395429
32,K,novelty,0.08354191796888807
33,K,potential,0.7165611143950601
33,K,connectedness,0.6925657418744919
33,K,resilience,0.36196580226764197
33,K,rigidity,0.59612410791478
33,K,memory,0.6834314357554687
33,K,novelty,0.07685856453137702
34,K,potential,0.7389022556055768
34,K,connectedness,0.7171604825245326
34,K,resilience,0.33291172377601963
