simulation_id,pathway_id,pathway,rank,transformation_value,winner
0,TP002,Climate-Resilient Urban Redesign,1,7.7193,Climate-Resilient Urban Redesign
0,TP004,Institutional Governance Reform,2,7.60365,Climate-Resilient Urban Redesign
0,TP006,Public Health Prevention Transformation,3,7.51832,Climate-Resilient Urban Redesign
0,TP003,Regional Food System Reconfiguration,4,7.33477,Climate-Resilient Urban Redesign
0,TP001,Energy System Transition,5,7.298,Climate-Resilient Urban Redesign
0,TP005,Watershed Restoration and Land-Use Transition,6,7.13208,Climate-Resilient Urban Redesign
1,TP002,Climate-Resilient Urban Redesign,1,7.99824,Climate-Resilient Urban Redesign
1,TP006,Public Health Prevention Transformation,2,7.62929,Climate-Resilient Urban Redesign
1,TP004,Institutional Governance Reform,3,7.29578,Climate-Resilient Urban Redesign
1,TP001,Energy System Transition,4,7.29193,Climate-Resilient Urban Redesign
1,TP003,Regional Food System Reconfiguration,5,7.08082,Climate-Resilient Urban Redesign
1,TP005,Watershed Restoration and Land-Use Transition,6,7.05363,Climate-Resilient Urban Redesign
2,TP001,Energy System Transition,1,7.76319,Energy System Transition
2,TP002,Climate-Resilient Urban Redesign,2,7.72873,Energy System Transition
2,TP005,Watershed Restoration and Land-Use Transition,3,7.46789,Energy System Transition
2,TP006,Public Health Prevention Transformation,4,7.45397,Energy System Transition
2,TP004,Institutional Governance Reform,5,7.31006,Energy System Transition
2,TP003,Regional Food System Reconfiguration,6,7.23564,Energy System Transition
3,TP003,Regional Food System Reconfiguration,1,7.58367,Regional Food System Reconfiguration
3,TP002,Climate-Resilient Urban Redesign,2,7.56148,Regional Food System Reconfiguration
3,TP004,Institutional Governance Reform,3,7.47642,Regional Food System Reconfiguration
3,TP005,Watershed Restoration and Land-Use Transition,4,7.46741,Regional Food System Reconfiguration
3,TP006,Public Health Prevention Transformation,5,7.4485,Regional Food System Reconfiguration
3,TP001,Energy System Transition,6,7.2481,Regional Food System Reconfiguration
4,TP005,Watershed Restoration and Land-Use Transition,1,7.63221,Watershed Restoration and Land-Use Transition
4,TP002,Climate-Resilient Urban Redesign,2,7.61381,Watershed Restoration and Land-Use Transition
4,TP001,Energy System Transition,3,7.52267,Watershed Restoration and Land-Use Transition
4,TP003,Regional Food System Reconfiguration,4,7.4556,Watershed Restoration and Land-Use Transition
4,TP004,Institutional Governance Reform,5,7.36837,Watershed Restoration and Land-Use Transition
4,TP006,Public Health Prevention Transformation,6,7.2395,Watershed Restoration and Land-Use Transition
5,TP002,Climate-Resilient Urban Redesign,1,7.67098,Climate-Resilient Urban Redesign
5,TP003,Regional Food System Reconfiguration,2,7.5088,Climate-Resilient Urban Redesign
5,TP005,Watershed Restoration and Land-Use Transition,3,7.17355,Climate-Resilient Urban Redesign
5,TP001,Energy System Transition,4,7.14813,Climate-Resilient Urban Redesign
5,TP006,Public Health Prevention Transformation,5,7.06301,Climate-Resilient Urban Redesign
5,TP004,Institutional Governance Reform,6,6.95503,Climate-Resilient Urban Redesign
6,TP002,Climate-Resilient Urban Redesign,1,7.89176,Climate-Resilient Urban Redesign
6,TP001,Energy System Transition,2,7.46268,Climate-Resilient Urban Redesign
6,TP003,Regional Food System Reconfiguration,3,7.36932,Climate-Resilient Urban Redesign
6,TP005,Watershed Restoration and Land-Use Transition,4,7.27067,Climate-Resilient Urban Redesign
6,TP004,Institutional Governance Reform,5,7.26726,Climate-Resilient Urban Redesign
6,TP006,Public Health Prevention Transformation,6,7.25382,Climate-Resilient Urban Redesign
7,TP002,Climate-Resilient Urban Redesign,1,7.68995,Climate-Resilient Urban Redesign
7,TP001,Energy System Transition,2,7.55469,Climate-Resilient Urban Redesign
7,TP005,Watershed Restoration and Land-Use Transition,3,7.36963,Climate-Resilient Urban Redesign
7,TP003,Regional Food System Reconfiguration,4,7.32,Climate-Resilient Urban Redesign
7,TP006,Public Health Prevention Transformation,5,7.25932,Climate-Resilient Urban Redesign
7,TP004,Institutional Governance Reform,6,7.05766,Climate-Resilient Urban Redesign
8,TP002,Climate-Resilient Urban Redesign,1,7.67479,Climate-Resilient Urban Redesign
8,TP001,Energy System Transition,2,7.62169,Climate-Resilient Urban Redesign
8,TP005,Watershed Restoration and Land-Use Transition,3,7.4834,Climate-Resilient Urban Redesign
