 time,viability,adaptive_capacity,structural_rigidity,stress,transformative_capacity
1, 0.72681, 0.61976, 0.36200, 0.30600, 0.22000
2, 0.73243, 0.61951, 0.36400, 0.31200, 0.22000
3, 0.73686, 0.61926, 0.36600, 0.31800, 0.22000
4, 0.74010, 0.61899, 0.36800, 0.32400, 0.22000
5, 0.74215, 0.61871, 0.37000, 0.33000, 0.22000
6, 0.74300, 0.61843, 0.37200, 0.33600, 0.22000
7, 0.74266, 0.61814, 0.37400, 0.34200, 0.22000
8, 0.74112, 0.61784, 0.37600, 0.34800, 0.22000
9, 0.73838, 0.61752, 0.37800, 0.35400, 0.22000
10, 0.73444, 0.61720, 0.38000, 0.36000, 0.22000
11, 0.72931, 0.61688, 0.38200, 0.36600, 0.22000
12, 0.72297, 0.61654, 0.38400, 0.37200, 0.22000
13, 0.71544, 0.61619, 0.38600, 0.37800, 0.22000
14, 0.70670, 0.61583, 0.38800, 0.38400, 0.22000
15, 0.69675, 0.61547, 0.39000, 0.39000, 0.22000
16, 0.68560, 0.61510, 0.39200, 0.39600, 0.22000
17, 0.67325, 0.61471, 0.39400, 0.40200, 0.22000
18, 0.65969, 0.61432, 0.39600, 0.40800, 0.22000
19, 0.64492, 0.61392, 0.39800, 0.41400, 0.22000
20, 0.62894, 0.61351, 0.40000, 0.42000, 0.22000
21, 0.61175, 0.61309, 0.40200, 0.42600, 0.22000
22, 0.59335, 0.61266, 0.40400, 0.43200, 0.22000
23, 0.57374, 0.61223, 0.40600, 0.43800, 0.22000
24, 0.55291, 0.61178, 0.40800, 0.44400, 0.22000
25, 0.53087, 0.61132, 0.41000, 0.45000, 0.22000
26, 0.50761, 0.61086, 0.41200, 0.45600, 0.22000
27, 0.48314, 0.61039, 0.41400, 0.46200, 0.22000
28, 0.45745, 0.60991, 0.41600, 0.46800, 0.22000
29, 0.43054, 0.60941, 0.41800, 0.47400, 0.22000
30, 0.40241, 0.60891, 0.42000, 0.48000, 0.22000
31, 0.37306, 0.60841, 0.42200, 0.48600, 0.22000
32, 0.34248, 0.60789, 0.42400, 0.49200, 0.22000
33, 0.31069, 0.60736, 0.42600, 0.49800, 0.22000
34, 0.27766, 0.60682, 0.42800, 0.50400, 0.22000
35, 0.24342, 0.60628, 0.43000, 0.51000, 0.22000
36, 0.20794, 0.60573, 0.43200, 0.51600, 0.22000
37, 0.17124, 0.60516, 0.43400, 0.52200, 0.22000
38, 0.13331, 0.60459, 0.43600, 0.52800, 0.22000
39, 0.09416, 0.60401, 0.43800, 0.53400, 0.22000
40, 0.05433, 0.60342, 0.44000, 0.54000, 0.22700
41, 0.01383, 0.60283, 0.44200, 0.54600, 0.23400
42, 0.00000, 0.60223, 0.44400, 0.55200, 0.24100
43, 0.00000, 0.60164, 0.44600, 0.55800, 0.24800
44, 0.00000, 0.60104, 0.44800, 0.56400, 0.25500
45, 0.00000, 0.60044, 0.45000, 0.57000, 0.26200
46, 0.00000, 0.59984, 0.45200, 0.57600, 0.26900
47, 0.00000, 0.59923, 0.45400, 0.58200, 0.27600
48, 0.00000, 0.59863, 0.45600, 0.58800, 0.28300
49, 0.00000, 0.59802, 0.45800, 0.59400, 0.29000
50, 0.00000, 0.59741, 0.46000, 0.60000, 0.29700
51, 0.00000, 0.59680, 0.46200, 0.60600, 0.30400
52, 0.00000, 0.59618, 0.46400, 0.61200, 0.31100
53, 0.00000, 0.59557, 0.46600, 0.61800, 0.31800
54, 0.00000, 0.59495, 0.46800, 0.62400, 0.32500
55, 0.00000, 0.59433, 0.47000, 0.63000, 0.33200
56, 0.00000, 0.59371, 0.47200, 0.63600, 0.33900
57, 0.00000, 0.59308, 0.47400, 0.64200, 0.34600
58, 0.00000, 0.59246, 0.47600, 0.64800, 0.35300
59, 0.00000, 0.59183, 0.47800, 0.65400, 0.36000
60, 0.00000, 0.59120, 0.48000, 0.66000, 0.36700
61, 0.00000, 0.59057, 0.48200, 0.66600, 0.37400
62, 0.00000, 0.58993, 0.48400, 0.67200, 0.38100
63, 0.00000, 0.58930, 0.48600, 0.67800, 0.38800
64, 0.00000, 0.58866, 0.48800, 0.68400, 0.39500
65, 0.00000, 0.58802, 0.49000, 0.69000, 0.40200
66, 0.00000, 0.58738, 0.49200, 0.69600, 0.40900
67, 0.00000, 0.58673, 0.49400, 0.70200, 0.41600
68, 0.00000, 0.58609, 0.49600, 0.70800, 0.42300
69, 0.00000, 0.58544, 0.49800, 0.71400, 0.43000
70, 0.00000, 0.58479, 0.50000, 0.72000, 0.43700
71, 0.00000, 0.58414, 0.50200, 0.72600, 0.44400
72, 0.00000, 0.58348, 0.50400, 0.73200, 0.45100
73, 0.00000, 0.58283, 0.50600, 0.73800, 0.45800
74, 0.00000, 0.58217, 0.50800, 0.74400, 0.46500
75, 0.00000, 0.58151, 0.51000, 0.75000, 0.47200
76, 0.00000, 0.58085, 0.51200, 0.75600, 0.47900
77, 0.00000, 0.58018, 0.51400, 0.76200, 0.48600
78, 0.00000, 0.57952, 0.51600, 0.76800, 0.49300
79, 0.00000, 0.57885, 0.51800, 0.77400, 0.50000
80, 0.00000, 0.57818, 0.52000, 0.78000, 0.50700
