 time,urban_function,stress_load,response_capacity,dependency_coupling
1, 0.91898, 0.17912, 0.22280, 0.70113
2, 1.00000, 0.17966, 0.22266, 0.70228
3, 1.00000, 0.18020, 0.22253, 0.70343
4, 1.00000, 0.18074, 0.22239, 0.70460
5, 1.00000, 0.18129, 0.22225, 0.70578
6, 1.00000, 0.18183, 0.22211, 0.70697
7, 1.00000, 0.18237, 0.22196, 0.70818
8, 1.00000, 0.18292, 0.22182, 0.70940
9, 1.00000, 0.18346, 0.22167, 0.71063
10, 1.00000, 0.18401, 0.22152, 0.71187
11, 1.00000, 0.18456, 0.22138, 0.71313
12, 0.92588, 0.84171, 0.22122, 0.72753
13, 1.00000, 0.18698, 0.21950, 0.72886
14, 1.00000, 0.18754, 0.21934, 0.73019
15, 1.00000, 0.18809, 0.21918, 0.73154
16, 1.00000, 0.18865, 0.21901, 0.73291
17, 1.00000, 0.18922, 0.21885, 0.73429
18, 1.00000, 0.18978, 0.21869, 0.73568
19, 1.00000, 0.19034, 0.21852, 0.73708
20, 1.00000, 0.19091, 0.21835, 0.73849
21, 1.00000, 0.19147, 0.21818, 0.73992
22, 1.00000, 0.19204, 0.21801, 0.74137
23, 1.00000, 0.19261, 0.21784, 0.74282
24, 1.00000, 0.19318, 0.21766, 0.74429
25, 1.00000, 0.19375, 0.21748, 0.74578
26, 1.00000, 0.19433, 0.21731, 0.74727
27, 0.92988, 0.82053, 0.21713, 0.76129
28, 1.00000, 0.19673, 0.21544, 0.76286
29, 1.00000, 0.19731, 0.21526, 0.76444
30, 1.00000, 0.19789, 0.21507, 0.76603
31, 1.00000, 0.19848, 0.21488, 0.76763
32, 1.00000, 0.19906, 0.21468, 0.76925
33, 1.00000, 0.19965, 0.21449, 0.77089
34, 1.00000, 0.20024, 0.21429, 0.77254
35, 1.00000, 0.20083, 0.21410, 0.77420
36, 1.00000, 0.20142, 0.21390, 0.77587
37, 1.00000, 0.20201, 0.21370, 0.77756
38, 1.00000, 0.20261, 0.21349, 0.77927
39, 1.00000, 0.20320, 0.21329, 0.78098
40, 1.00000, 0.20380, 0.21308, 0.78272
41, 1.00000, 0.20440, 0.21287, 0.78446
42, 0.91932, 0.84405, 0.21266, 0.79900
43, 1.00000, 0.20688, 0.21092, 0.80082
44, 1.00000, 0.20748, 0.21070, 0.80265
45, 1.00000, 0.20809, 0.21048, 0.80450
46, 1.00000, 0.20870, 0.21026, 0.80636
47, 1.00000, 0.20931, 0.21004, 0.80824
48, 1.00000, 0.20992, 0.20981, 0.81013
49, 1.00000, 0.21054, 0.20958, 0.81203
50, 1.00000, 0.21115, 0.20936, 0.81395
51, 1.00000, 0.21177, 0.20913, 0.81589
52, 1.00000, 0.21239, 0.20889, 0.81784
53, 1.00000, 0.21301, 0.20866, 0.81980
54, 1.00000, 0.21363, 0.20842, 0.82178
55, 1.00000, 0.21425, 0.20819, 0.82378
56, 1.00000, 0.21488, 0.20795, 0.82579
57, 1.00000, 0.21550, 0.20771, 0.82781
58, 1.00000, 0.21613, 0.20746, 0.82985
59, 1.00000, 0.21676, 0.20722, 0.83191
60, 1.00000, 0.21739, 0.20697, 0.83398
61, 1.00000, 0.21802, 0.20672, 0.83607
62, 1.00000, 0.21866, 0.20647, 0.83817
63, 1.00000, 0.21929, 0.20622, 0.84029
64, 1.00000, 0.21993, 0.20597, 0.84242
65, 1.00000, 0.22057, 0.20571, 0.84457
66, 1.00000, 0.22121, 0.20545, 0.84673
67, 1.00000, 0.22185, 0.20519, 0.84891
68, 1.00000, 0.22249, 0.20493, 0.85111
69, 1.00000, 0.22314, 0.20467, 0.85332
70, 1.00000, 0.22378, 0.20440, 0.85555
71, 1.00000, 0.22443, 0.20413, 0.85779
72, 1.00000, 0.22508, 0.20387, 0.86005
73, 1.00000, 0.22573, 0.20359, 0.86232
74, 1.00000, 0.22638, 0.20332, 0.86461
75, 1.00000, 0.22704, 0.20305, 0.86692
76, 1.00000, 0.22769, 0.20277, 0.86924
77, 1.00000, 0.22835, 0.20249, 0.87158
78, 1.00000, 0.22901, 0.20221, 0.87394
79, 1.00000, 0.22967, 0.20193, 0.87631
80, 1.00000, 0.23033, 0.20164, 0.87870
