patch_id,landscape_id,patch_type,condition,exposure,buffer_capacity,ecological_memory,recovery_capacity,refugia,connectivity_weight,social_exposure
P001,L001,forest,0.82,0.72,0.58,0.66,0.62,0,0.62,0.48
P002,L001,riparian,0.88,0.46,0.74,0.76,0.68,1,0.52,0.36
P003,L001,grassland,0.64,0.70,0.50,0.52,0.58,0,0.58,0.42
P004,L001,old-growth-remnant,0.90,0.38,0.82,0.84,0.70,1,0.44,0.30
P005,L002,floodplain,0.78,0.66,0.70,0.72,0.64,1,0.76,0.54
P006,L002,wetland,0.84,0.52,0.80,0.78,0.70,1,0.68,0.46
P007,L002,channelized-river,0.54,0.76,0.38,0.42,0.44,0,0.82,0.62
P008,L002,riparian-forest,0.76,0.50,0.68,0.70,0.64,1,0.64,0.48
P009,L003,cropland,0.58,0.68,0.42,0.46,0.50,0,0.56,0.52
P010,L003,hedgerow,0.70,0.48,0.62,0.64,0.62,1,0.48,0.34
P011,L003,wet-meadow,0.72,0.54,0.66,0.68,0.66,1,0.52,0.40
P012,L003,compacted-field-edge,0.44,0.78,0.30,0.34,0.36,0,0.64,0.58
P013,L004,urban-green,0.60,0.70,0.50,0.46,0.52,0,0.54,0.72
P014,L004,impervious-surface,0.24,0.90,0.18,0.16,0.20,0,0.78,0.82
P015,L004,restored-stream,0.66,0.62,0.62,0.58,0.60,1,0.66,0.64
P016,L004,tree-canopy-corridor,0.72,0.50,0.70,0.62,0.66,1,0.56,0.50
P017,L005,mangrove,0.80,0.68,0.76,0.74,0.70,1,0.62,0.60
P018,L005,marsh,0.78,0.70,0.72,0.72,0.68,1,0.66,0.58
P019,L005,armored-shoreline,0.36,0.84,0.30,0.28,0.32,0,0.74,0.70
P020,L005,tidal-creek,0.74,0.58,0.66,0.68,0.66,1,0.64,0.54
P021,L006,dry-grassland,0.62,0.74,0.48,0.54,0.58,0,0.54,0.56
P022,L006,shrub-refugia,0.70,0.56,0.62,0.66,0.64,1,0.42,0.46
P023,L006,eroded-slope,0.38,0.86,0.24,0.30,0.32,0,0.60,0.64
P024,L006,riparian-oasis,0.82,0.42,0.78,0.80,0.72,1,0.50,0.40
