 time,maintenance_backlog,public_trust,ecological_memory,climate_pressure,adaptive_capacity,threshold_distance,hidden_risk,fast_shock,system_function
1, 0.25600, 0.71650, 0.67750, 0.22450, 0.71915, 0.73347, 0.26324, 0.00000, 0.93153
2, 0.26200, 0.71300, 0.67500, 0.22900, 0.71530, 0.72914, 0.26768, 0.00000, 1.00000
3, 0.26800, 0.70950, 0.67250, 0.23350, 0.71145, 0.72481, 0.27212, 0.00000, 1.00000
4, 0.27400, 0.70600, 0.67000, 0.23800, 0.70760, 0.72048, 0.27656, 0.00000, 1.00000
5, 0.28000, 0.70250, 0.66750, 0.24250, 0.70375, 0.71615, 0.28100, 0.00000, 1.00000
6, 0.28600, 0.69900, 0.66500, 0.24700, 0.69990, 0.71182, 0.28544, 0.00000, 1.00000
7, 0.29200, 0.69550, 0.66250, 0.25150, 0.69605, 0.70749, 0.28988, 0.00000, 1.00000
8, 0.29800, 0.69200, 0.66000, 0.25600, 0.69220, 0.70316, 0.29432, 0.00000, 1.00000
9, 0.30400, 0.68850, 0.65750, 0.26050, 0.68835, 0.69883, 0.29876, 0.00000, 1.00000
10, 0.31000, 0.68500, 0.65500, 0.26500, 0.68450, 0.69450, 0.30320, 0.00000, 1.00000
11, 0.31600, 0.68150, 0.65250, 0.26950, 0.68065, 0.69017, 0.30764, 0.00000, 1.00000
12, 0.32200, 0.67800, 0.65000, 0.27400, 0.67680, 0.68584, 0.31208, 0.00000, 1.00000
13, 0.32800, 0.67450, 0.64750, 0.27850, 0.67295, 0.68151, 0.31652, 0.00000, 1.00000
14, 0.33400, 0.67100, 0.64500, 0.28300, 0.66910, 0.67718, 0.32096, 0.00000, 1.00000
15, 0.34000, 0.66750, 0.64250, 0.28750, 0.66525, 0.67285, 0.32540, 0.00000, 1.00000
16, 0.34600, 0.66400, 0.64000, 0.29200, 0.66140, 0.66852, 0.32984, 0.00000, 1.00000
17, 0.35200, 0.66050, 0.63750, 0.29650, 0.65755, 0.66419, 0.33428, 0.00000, 1.00000
18, 0.35800, 0.65700, 0.63500, 0.30100, 0.65370, 0.65986, 0.33872, 0.00000, 1.00000
19, 0.36400, 0.65350, 0.63250, 0.30550, 0.64985, 0.65553, 0.34316, 0.00000, 1.00000
20, 0.37000, 0.65000, 0.63000, 0.31000, 0.64600, 0.65120, 0.34760, 0.00000, 1.00000
21, 0.37600, 0.64650, 0.62750, 0.31450, 0.64215, 0.64687, 0.35204, 0.00000, 1.00000
22, 0.38200, 0.64300, 0.62500, 0.31900, 0.63830, 0.64254, 0.35648, 0.00000, 1.00000
23, 0.38800, 0.63950, 0.62250, 0.32350, 0.63445, 0.63821, 0.36092, 0.00000, 1.00000
24, 0.39400, 0.63600, 0.62000, 0.32800, 0.63060, 0.63388, 0.36536, 0.00000, 1.00000
25, 0.40000, 0.63250, 0.61750, 0.33250, 0.62675, 0.62955, 0.36980, 0.00000, 1.00000
26, 0.40600, 0.62900, 0.61500, 0.33700, 0.62290, 0.62522, 0.37424, 0.00000, 1.00000
27, 0.41200, 0.62550, 0.61250, 0.34150, 0.61905, 0.62089, 0.37868, 0.00000, 1.00000
28, 0.41800, 0.62200, 0.61000, 0.34600, 0.61520, 0.61656, 0.38312, 0.00000, 1.00000
29, 0.42400, 0.61850, 0.60750, 0.35050, 0.61135, 0.61223, 0.38756, 0.00000, 1.00000
30, 0.43000, 0.61500, 0.60500, 0.35500, 0.60750, 0.60790, 0.39200, 0.00000, 1.00000
31, 0.43600, 0.61150, 0.60250, 0.35950, 0.60365, 0.60357, 0.39644, 0.00000, 1.00000
32, 0.44200, 0.60800, 0.60000, 0.36400, 0.59980, 0.59924, 0.40088, 0.00000, 1.00000
33, 0.44800, 0.60450, 0.59750, 0.36850, 0.59595, 0.59491, 0.40532, 0.00000, 1.00000
34, 0.45400, 0.60100, 0.59500, 0.37300, 0.59210, 0.59058, 0.40976, 0.00000, 1.00000
35, 0.46000, 0.59750, 0.59250, 0.37750, 0.58825, 0.58625, 0.41420, 0.00000, 1.00000
36, 0.46600, 0.59400, 0.59000, 0.38200, 0.58440, 0.58192, 0.41864, 0.00000, 1.00000
37, 0.47200, 0.59050, 0.58750, 0.38650, 0.58055, 0.57759, 0.42308, 0.00000, 1.00000
38, 0.47800, 0.58700, 0.58500, 0.39100, 0.57670, 0.57326, 0.42752, 0.00000, 1.00000
39, 0.48400, 0.58350, 0.58250, 0.39550, 0.57285, 0.56893, 0.43196, 0.00000, 1.00000
40, 0.49000, 0.58000, 0.58000, 0.40000, 0.56900, 0.56460, 0.43640, 0.00000, 1.00000
41, 0.49600, 0.57650, 0.57750, 0.40450, 0.56515, 0.56027, 0.44084, 0.00000, 1.00000
42, 0.50200, 0.57300, 0.57500, 0.40900, 0.56130, 0.55594, 0.44528, 0.00000, 1.00000
