time,maintenance_backlog,public_trust,ecological_memory,climate_pressure,adaptive_capacity,threshold_distance,hidden_risk,fast_shock,system_function
1,0.256,0.7165,0.6775,0.2245,0.71915,0.73347,0.26324,0,0.931534
2,0.262,0.713,0.675,0.229,0.7153,0.72914,0.26768,0,1
3,0.268,0.7095,0.6725,0.2335,0.71145,0.72481,0.27212,0,1
4,0.274,0.706,0.67,0.238,0.7076,0.72048,0.27656,0,1
5,0.28,0.7025,0.6675,0.2425,0.70375,0.71615,0.281,0,1
6,0.286,0.699,0.665,0.247,0.6999,0.71182,0.28544,0,1
7,0.292,0.6955,0.6625,0.2515,0.69605,0.70749,0.28988,0,1
8,0.298,0.692,0.66,0.256,0.6922,0.70316,0.29432,0,1
9,0.304,0.6885,0.6575,0.2605,0.68835,0.69883,0.29876,0,1
10,0.31,0.685,0.655,0.265,0.6845,0.6945,0.3032,0,1
11,0.316,0.6815,0.6525,0.2695,0.68065,0.69017,0.30764,0,1
12,0.322,0.678,0.65,0.274,0.6768,0.68584,0.31208,0,1
13,0.328,0.6745,0.6475,0.2785,0.67295,0.68151,0.31652,0,1
14,0.334,0.671,0.645,0.283,0.6691,0.67718,0.32096,0,1
15,0.34,0.6675,0.6425,0.2875,0.66525,0.67285,0.3254,0,1
16,0.346,0.664,0.64,0.292,0.6614,0.66852,0.32984,0,1
17,0.352,0.6605,0.6375,0.2965,0.65755,0.66419,0.33428,0,1
18,0.358,0.657,0.635,0.301,0.6537,0.65986,0.33872,0,1
19,0.364,0.6535,0.6325,0.3055,0.64985,0.65553,0.34316,0,1
20,0.37,0.65,0.63,0.31,0.646,0.6512,0.3476,0,1
21,0.376,0.6465,0.6275,0.3145,0.64215,0.64687,0.35204,0,1
22,0.382,0.643,0.625,0.319,0.6383,0.64254,0.35648,0,1
23,0.388,0.6395,0.6225,0.3235,0.63445,0.63821,0.36092,0,1
24,0.394,0.636,0.62,0.328,0.6306,0.63388,0.36536,0,1
25,0.4,0.6325,0.6175,0.3325,0.62675,0.62955,0.3698,0,1
26,0.406,0.629,0.615,0.337,0.6229,0.62522,0.37424,0,1
27,0.412,0.6255,0.6125,0.3415,0.61905,0.62089,0.37868,0,1
28,0.418,0.622,0.61,0.346,0.6152,0.61656,0.38312,0,1
29,0.424,0.6185,0.6075,0.3505,0.61135,0.61223,0.38756,0,1
30,0.43,0.615,0.605,0.355,0.6075,0.6079,0.392,0,1
31,0.436,0.6115,0.6025,0.3595,0.60365,0.60357,0.39644,0,1
32,0.442,0.608,0.6,0.364,0.5998,0.59924,0.40088,0,1
33,0.448,0.6045,0.5975,0.3685,0.59595,0.59491,0.40532,0,1
34,0.454,0.601,0.595,0.373,0.5921,0.59058,0.40976,0,1
35,0.46,0.5975,0.5925,0.3775,0.58825,0.58625,0.4142,0,1
36,0.466,0.594,0.59,0.382,0.5844,0.58192,0.41864,0,1
37,0.472,0.5905,0.5875,0.3865,0.58055,0.57759,0.42308,0,1
38,0.478,0.587,0.585,0.391,0.5767,0.57326,0.42752,0,1
39,0.484,0.5835,0.5825,0.3955,0.57285,0.56893,0.43196,0,1
40,0.49,0.58,0.58,0.4,0.569,0.5646,0.4364,0,1
41,0.496,0.5765,0.5775,0.4045,0.56515,0.56027,0.44084,0,1
42,0.502,0.573,0.575,0.409,0.5613,0.55594,0.44528,0,1
43,0.508,0.5695,0.5725,0.4135,0.55745,0.55161,0.44972,0,1
44,0.514,0.566,0.57,0.418,0.5536,0.54728,0.45416,0,0.999733
45,0.52,0.5625,0.5675,0.4225,0.54975,0.54295,0.4586,0,0.997796
46,0.526,0.559,0.565,0.427,0.5459,0.53862,0.46304,0,0.994189
47,0.532,0.5555,0.5625,0.4315,0.54205,0.53429,0.46748,0,0.988912
48,0.538,0.552,0.56,0.436,0.5382,0.52996,0.47192,0,0.981966
49,0.544,0.5485,0.5575,0.4405,0.53435,0.52563,0.47636,0,0.97335
50,0.55,0.545,0.555,0.445,0.5305,0.5213,0.4808,0,0.963064
51,0.556,0.5415,0.5525,0.4495,0.52665,0.51697,0.48524,0,0.951108
52,0.562,0.538,0.55,0.454,0.5228,0.51264,0.48968,0,0.937482
53,0.568,0.5345,0.5475,0.4585,0.51895,0.50831,0.49412,0,0.922187
54,0.574,0.531,0.545,0.463,0.5151,0.50398,0.49856,0,0.905222
55,0.58,0.5275,0.5425,0.4675,0.51125,0.49965,0.503,0,0.886587
56,0.586,0.524,0.54,0.472,0.5074,0.49532,0.50744,0,0.866282
57,0.592,0.5205,0.5375,0.4765,0.50355,0.49099,0.51188,0,0.844307
58,0.598,0.517,0.535,0.481,0.4997,0.48666,0.51632,0,0.820663
59,0.604,0.5135,0.5325,0.4855,0.49585,0.48233,0.52076,0,0.795349
60,0.61,0.51,0.53,0.49,0.492,0.478,0.5252,0,0.768365
61,0.616,0.5065,0.5275,0.4945,0.48815,0.47367,0.52964,0,0.739711
62,0.622,0.503,0.525,0.499,0.4843,0.46934,0.53408,0,0.709387
63,0.628,0.4995,0.5225,0.5035,0.48045,0.46501,0.53852,0,0.677394
64,0.634,0.496,0.52,0.508,0.4766,0.46068,0.54296,0,0.643731
65,0.64,0.4925,0.5175,0.5125,0.47275,0.45635,0.5474,0,0.608398
66,0.646,0.489,0.515,0.517,0.4689,0.45202,0.55184,0,0.571395
67,0.652,0.4855,0.5125,0.5215,0.46505,0.44769,0.55628,0,0.532722
68,0.658,0.482,0.51,0.526,0.4612,0.44336,0.56072,0,0.49238
69,0.664,0.4785,0.5075,0.5305,0.45735,0.43903,0.56516,0,0.450368
70,0.67,0.475,0.505,0.535,0.4535,0.4347,0.5696,0,0.406686
71,0.676,0.4715,0.5025,0.5395,0.44965,0.43037,0.57404,0,0.361334
72,0.682,0.468,0.5,0.544,0.4458,0.42604,0.57848,0.32,0.167112
73,0.688,0.4645,0.4975,0.5485,0.44195,0.42171,0.58292,0,0.118421
74,0.694,0.461,0.495,0.553,0.4381,0.41738,0.58736,0,0.0680598
75,0.7,0.4575,0.4925,0.5575,0.43425,0.41305,0.5918,0,0.0160288
76,0.706,0.454,0.49,0.562,0.4304,0.40872,0.59624,0,0
77,0.712,0.4505,0.4875,0.5665,0.42655,0.40439,0.60068,0,0
78,0.718,0.447,0.485,0.571,0.4227,0.40006,0.60512,0,0
79,0.724,0.4435,0.4825,0.5755,0.41885,0.39573,0.60956,0,0
80,0.73,0.44,0.48,0.58,0.415,0.3914,0.614,0,0
81,0.736,0.4365,0.4775,0.5845,0.41115,0.38707,0.61844,0,0
82,0.742,0.433,0.475,0.589,0.4073,0.38274,0.62288,0,0
83,0.748,0.4295,0.4725,0.5935,0.40345,0.37841,0.62732,0,0
84,0.754,0.426,0.47,0.598,0.3996,0.37408,0.63176,0,0
85,0.76,0.4225,0.4675,0.6025,0.39575,0.36975,0.6362,0,0
86,0.766,0.419,0.465,0.607,0.3919,0.36542,0.64064,0,0
87,0.772,0.4155,0.4625,0.6115,0.38805,0.36109,0.64508,0,0
88,0.778,0.412,0.46,0.616,0.3842,0.35676,0.64952,0,0
89,0.784,0.4085,0.4575,0.6205,0.38035,0.35243,0.65396,0,0
90,0.79,0.405,0.455,0.625,0.3765,0.3481,0.6584,0,0
91,0.796,0.4015,0.4525,0.6295,0.37265,0.34377,0.66284,0,0
92,0.802,0.398,0.45,0.634,0.3688,0.33944,0.66728,0,0
93,0.808,0.3945,0.4475,0.6385,0.36495,0.33511,0.67172,0,0
94,0.814,0.391,0.445,0.643,0.3611,0.33078,0.67616,0,0
95,0.82,0.3875,0.4425,0.6475,0.35725,0.32645,0.6806,0,0
96,0.826,0.384,0.44,0.652,0.3534,0.32212,0.68504,0.32,0
97,0.832,0.3805,0.4375,0.6565,0.34955,0.31779,0.68948,0,0
98,0.838,0.377,0.435,0.661,0.3457,0.31346,0.69392,0,0
99,0.844,0.3735,0.4325,0.6655,0.34185,0.30913,0.69836,0,0
100,0.85,0.37,0.43,0.67,0.338,0.3048,0.7028,0,0
101,0.856,0.3665,0.4275,0.6745,0.33415,0.30047,0.70724,0,0
102,0.862,0.363,0.425,0.679,0.3303,0.29614,0.71168,0,0
103,0.868,0.3595,0.4225,0.6835,0.32645,0.29181,0.71612,0,0
104,0.874,0.356,0.42,0.688,0.3226,0.28748,0.72056,0,0
105,0.88,0.3525,0.4175,0.6925,0.31875,0.28315,0.725,0,0
106,0.886,0.349,0.415,0.697,0.3149,0.27882,0.72944,0,0
107,0.892,0.3455,0.4125,0.7015,0.31105,0.27449,0.73388,0,0
108,0.898,0.342,0.41,0.706,0.3072,0.27016,0.73832,0,0
109,0.904,0.3385,0.4075,0.7105,0.30335,0.26583,0.74276,0,0
110,0.91,0.335,0.405,0.715,0.2995,0.2615,0.7472,0,0
111,0.916,0.3315,0.4025,0.7195,0.29565,0.25717,0.75164,0,0
112,0.922,0.328,0.4,0.724,0.2918,0.25284,0.75608,0,0
113,0.928,0.3245,0.3975,0.7285,0.28795,0.24851,0.76052,0,0
114,0.934,0.321,0.395,0.733,0.2841,0.24418,0.76496,0,0
115,0.94,0.3175,0.3925,0.7375,0.28025,0.23985,0.7694,0,0
116,0.946,0.314,0.39,0.742,0.2764,0.23552,0.77384,0,0
117,0.952,0.3105,0.3875,0.7465,0.27255,0.23119,0.77828,0,0
118,0.958,0.307,0.385,0.751,0.2687,0.22686,0.78272,0,0
119,0.964,0.3035,0.3825,0.7555,0.26485,0.22253,0.78716,0,0
120,0.97,0.3,0.38,0.76,0.261,0.2182,0.7916,0,0
