 time,disturbance,adaptive_capacity,rigidity,response_space,viability,threshold_flag
1, 0.4291, 0.5875, 0.5587, 0.1913, 0.8977,viable margin
2, 0.4322, 0.5949, 0.5674, 0.1900, 0.7948,viable margin
3, 0.4352, 0.6022, 0.5762, 0.1886, 0.6911,viable margin
4, 0.4380, 0.6095, 0.5849, 0.1870, 0.5868,viable margin
5, 0.4406, 0.6166, 0.5937, 0.1854, 0.4818,viable margin
6, 0.4430, 0.6237, 0.6025, 0.1837, 0.3763,threshold risk
7, 0.4452, 0.6307, 0.6113, 0.1819, 0.2704,threshold risk
8, 0.4470, 0.6376, 0.6200, 0.1800, 0.1642,threshold risk
9, 0.4486, 0.6444, 0.6288, 0.1780, 0.0577,threshold risk
10, 0.6697, 0.6511, 0.6385, 0.1751, 0.0000,threshold risk
11, 0.4505, 0.6577, 0.6473, 0.1729, 0.0000,threshold risk
12, 0.4509, 0.6642, 0.6561, 0.1706, 0.0000,threshold risk
13, 0.4510, 0.6706, 0.6649, 0.1682, 0.0000,threshold risk
14, 0.4506, 0.6770, 0.6737, 0.1658, 0.0000,threshold risk
15, 0.4499, 0.6833, 0.6825, 0.1632, 0.0000,threshold risk
16, 0.4487, 0.6894, 0.6913, 0.1606, 0.0000,threshold risk
17, 0.4473, 0.6955, 0.7001, 0.1579, 0.0000,threshold risk
18, 0.4455, 0.7015, 0.7089, 0.1551, 0.0000,threshold risk
19, 0.4433, 0.7074, 0.7177, 0.1523, 0.0000,threshold risk
20, 0.6610, 0.7133, 0.7273, 0.1484, 0.0000,threshold risk
21, 0.4383, 0.7190, 0.7361, 0.1454, 0.0000,threshold risk
22, 0.4355, 0.7246, 0.7448, 0.1423, 0.0000,threshold risk
23, 0.4326, 0.7302, 0.7535, 0.1391, 0.0000,threshold risk
24, 0.4295, 0.7356, 0.7623, 0.1359, 0.0000,threshold risk
25, 0.4264, 0.7410, 0.7710, 0.1326, 0.0000,threshold risk
26, 0.4233, 0.7463, 0.7797, 0.1292, 0.0000,threshold risk
27, 0.4202, 0.7515, 0.7883, 0.1257, 0.0000,threshold risk
28, 0.4172, 0.7566, 0.7970, 0.1221, 0.0000,threshold risk
29, 0.4144, 0.7617, 0.8057, 0.1185, 0.0000,threshold risk
30, 0.6317, 0.7666, 0.8152, 0.1139, 0.0000,threshold risk
31, 0.4093, 0.7714, 0.8238, 0.1101, 0.0000,threshold risk
32, 0.4071, 0.7762, 0.8325, 0.1063, 0.0000,threshold risk
33, 0.4052, 0.7809, 0.8411, 0.1023, 0.0000,threshold risk
34, 0.4036, 0.7855, 0.8497, 0.0983, 0.0000,threshold risk
35, 0.4024, 0.7900, 0.8583, 0.0942, 0.0000,threshold risk
36, 0.4016, 0.7944, 0.8669, 0.0900, 0.0000,threshold risk
37, 0.4011, 0.7987, 0.8755, 0.0857, 0.0000,threshold risk
38, 0.4010, 0.8030, 0.8841, 0.0814, 0.0000,threshold risk
39, 0.4013, 0.8071, 0.8927, 0.0769, 0.0000,threshold risk
40, 0.6220, 0.8112, 0.9022, 0.0715, 0.0000,threshold risk
41, 0.4031, 0.8152, 0.9108, 0.0669, 0.0000,threshold risk
42, 0.4045, 0.8191, 0.9194, 0.0621, 0.0000,threshold risk
43, 0.4063, 0.8229, 0.9281, 0.0573, 0.0000,threshold risk
44, 0.4084, 0.8266, 0.9367, 0.0524, 0.0000,threshold risk
45, 0.4107, 0.8302, 0.9453, 0.0474, 0.0000,threshold risk
46, 0.4133, 0.8338, 0.9540, 0.0423, 0.0000,threshold risk
47, 0.4161, 0.8372, 0.9627, 0.0371, 0.0000,threshold risk
48, 0.4190, 0.8406, 0.9713, 0.0318, 0.0000,threshold risk
49, 0.4221, 0.8439, 0.9800, 0.0264, 0.0000,threshold risk
50, 0.6452, 0.8471, 0.9896, 0.0200, 0.0000,threshold risk
51, 0.4283, 0.8502, 0.9983, 0.0144, 0.0000,threshold risk
52, 0.4314, 0.8532, 1.0000, 0.0157, 0.0000,threshold risk
53, 0.4344, 0.8562, 1.0000, 0.0187, 0.0000,threshold risk
54, 0.4373, 0.8592, 1.0000, 0.0217, 0.0000,threshold risk
55, 0.4399, 0.8622, 1.0000, 0.0247, 0.0000,threshold risk
56, 0.4424, 0.8652, 1.0000, 0.0277, 0.0000,threshold risk
57, 0.4446, 0.8682, 1.0000, 0.0307, 0.0000,threshold risk
58, 0.4466, 0.8712, 1.0000, 0.0337, 0.0000,threshold risk
59, 0.4482, 0.8742, 1.0000, 0.0367, 0.0000,threshold risk
60, 0.6694, 0.8772, 1.0000, 0.0397, 0.0000,threshold risk
61, 0.4503, 0.8802, 1.0000, 0.0427, 0.0000,threshold risk
62, 0.4509, 0.8832, 1.0000, 0.0457, 0.0000,threshold risk
63, 0.4510, 0.8862, 1.0000, 0.0487, 0.0000,threshold risk
64, 0.4507, 0.8892, 1.0000, 0.0517, 0.0000,threshold risk
65, 0.4501, 0.8922, 1.0000, 0.0547, 0.0000,threshold risk
66, 0.4491, 0.8952, 1.0000, 0.0577, 0.0000,threshold risk
67, 0.4477, 0.8982, 1.0000, 0.0607, 0.0000,threshold risk
68, 0.4460, 0.9012, 1.0000, 0.0637, 0.0000,threshold risk
69, 0.4439, 0.9042, 1.0000, 0.0667, 0.0000,threshold risk
70, 0.6616, 0.9072, 1.0000, 0.0697, 0.0000,threshold risk
71, 0.4391, 0.9102, 1.0000, 0.0727, 0.0000,threshold risk
72, 0.4363, 0.9132, 1.0000, 0.0757, 0.0000,threshold risk
73, 0.4334, 0.9162, 1.0000, 0.0787, 0.0000,threshold risk
74, 0.4303, 0.9192, 1.0000, 0.0817, 0.0000,threshold risk
75, 0.4272, 0.9222, 1.0000, 0.0847, 0.0000,threshold risk
76, 0.4241, 0.9252, 1.0000, 0.0877, 0.0000,threshold risk
77, 0.4210, 0.9282, 1.0000, 0.0907, 0.0000,threshold risk
78, 0.4180, 0.9312, 1.0000, 0.0937, 0.0000,threshold risk
79, 0.4151, 0.9342, 1.0000, 0.0967, 0.0000,threshold risk
80, 0.6324, 0.9372, 1.0000, 0.0997, 0.0000,threshold risk
