time,disturbance,adaptive_capacity,rigidity,response_space,viability,threshold_flag
1,0.429117,0.5875,0.558716,0.191284,0.897738,viable margin
2,0.432185,0.594913,0.567445,0.189968,0.794765,viable margin
3,0.435157,0.602238,0.576186,0.188553,0.691094,viable margin
4,0.437986,0.609477,0.584938,0.187039,0.586761,viable margin
5,0.440627,0.616627,0.5937,0.185427,0.481819,viable margin
6,0.443041,0.62369,0.602472,0.183718,0.376343,threshold risk
7,0.445189,0.630665,0.611253,0.181912,0.270426,threshold risk
8,0.447037,0.637553,0.620041,0.180012,0.164173,threshold risk
9,0.448557,0.644352,0.628836,0.178017,0.0577059,threshold risk
10,0.669725,0.651064,0.638514,0.17505,0,threshold risk
11,0.450522,0.657679,0.647317,0.172862,0,threshold risk
12,0.450937,0.664206,0.65612,0.170585,0,threshold risk
13,0.450963,0.670645,0.664924,0.16822,0,threshold risk
14,0.4506,0.676995,0.673727,0.165769,0,threshold risk
15,0.449852,0.683258,0.682526,0.163232,0,threshold risk
16,0.448732,0.689433,0.691321,0.160612,0,threshold risk
17,0.447258,0.69552,0.70011,0.15791,0,threshold risk
18,0.445452,0.701519,0.708892,0.155127,0,threshold risk
19,0.443342,0.70743,0.717665,0.152264,0,threshold risk
20,0.660962,0.713253,0.727309,0.148444,0,threshold risk
21,0.438348,0.71898,0.736062,0.145418,0,threshold risk
22,0.435542,0.724619,0.744805,0.142315,0,threshold risk
23,0.432586,0.730171,0.753535,0.139136,0,threshold risk
24,0.429528,0.735636,0.762253,0.135883,0,threshold risk
25,0.426415,0.741013,0.770959,0.132555,0,threshold risk
26,0.423295,0.746304,0.779652,0.129152,0,threshold risk
27,0.420218,0.751507,0.788333,0.125675,0,threshold risk
28,0.41723,0.756624,0.797002,0.122122,0,threshold risk
29,0.41438,0.761654,0.805659,0.118495,0,threshold risk
30,0.631711,0.766597,0.815186,0.113911,0,threshold risk
31,0.409265,0.771445,0.823823,0.110122,0,threshold risk
32,0.40708,0.776207,0.832451,0.106256,0,threshold risk
33,0.40519,0.780883,0.841072,0.102311,0,threshold risk
34,0.403625,0.785472,0.849687,0.0982853,0,threshold risk
35,0.402409,0.789975,0.858296,0.0941788,0,threshold risk
36,0.401562,0.794392,0.866902,0.0899896,0,threshold risk
37,0.401095,0.798723,0.875507,0.0857162,0,threshold risk
38,0.401018,0.802968,0.884111,0.0813571,0,threshold risk
39,0.40133,0.807127,0.892716,0.0769107,0,threshold risk
40,0.622027,0.8112,0.902204,0.0714954,0,threshold risk
41,0.403098,0.815178,0.910817,0.066861,0,threshold risk
42,0.404527,0.81907,0.919435,0.0621347,0,threshold risk
43,0.40629,0.822875,0.92806,0.0573152,0,threshold risk
44,0.408361,0.826595,0.936693,0.0524011,0,threshold risk
45,0.410708,0.830228,0.945336,0.0473914,0,threshold risk
46,0.413293,0.833774,0.953989,0.0422848,0,threshold risk
47,0.416076,0.837234,0.962654,0.0370806,0,threshold risk
48,0.419015,0.840608,0.97133,0.031778,0,threshold risk
49,0.422062,0.843895,0.980018,0.0263765,0,threshold risk
50,0.645171,0.847094,0.989599,0.0199956,0,threshold risk
51,0.428292,0.850198,0.998312,0.0143865,0,threshold risk
52,0.431378,0.853215,1,0.0157153,0,threshold risk
53,0.43438,0.856215,1,0.0187153,0,threshold risk
54,0.437251,0.859215,1,0.0217153,0,threshold risk
55,0.439947,0.862215,1,0.0247153,0,threshold risk
56,0.442425,0.865215,1,0.0277153,0,threshold risk
57,0.444646,0.868215,1,0.0307153,0,threshold risk
58,0.446577,0.871215,1,0.0337153,0,threshold risk
59,0.448187,0.874215,1,0.0367153,0,threshold risk
60,0.66945,0.877215,1,0.0397153,0,threshold risk
61,0.450347,0.880215,1,0.0427153,0,threshold risk
62,0.450865,0.883215,1,0.0457153,0,threshold risk
63,0.450994,0.886215,1,0.0487153,0,threshold risk
64,0.450734,0.889215,1,0.0517153,0,threshold risk
65,0.450087,0.892215,1,0.0547153,0,threshold risk
66,0.449065,0.895215,1,0.0577153,0,threshold risk
67,0.447683,0.898215,1,0.0607153,0,threshold risk
68,0.445962,0.901215,1,0.0637153,0,threshold risk
69,0.44393,0.904215,1,0.0667153,0,threshold risk
70,0.661618,0.907215,1,0.0697153,0,threshold risk
71,0.439062,0.910215,1,0.0727153,0,threshold risk
72,0.436303,0.913215,1,0.0757153,0,threshold risk
73,0.433383,0.916215,1,0.0787153,0,threshold risk
74,0.430347,0.919215,1,0.0817153,0,threshold risk
75,0.427244,0.922215,1,0.0847153,0,threshold risk
76,0.424121,0.925215,1,0.0877153,0,threshold risk
77,0.421028,0.928215,1,0.0907153,0,threshold risk
78,0.418012,0.931215,1,0.0937153,0,threshold risk
79,0.415121,0.934215,1,0.0967153,0,threshold risk
80,0.632399,0.937215,1,0.0997153,0,threshold risk
