system_id,system_type,scenario_id,scenario_name,time_step,disturbance,adaptive_capacity,rigidity,response_space,viability,threshold_flag
AC001,Ecological System,AD001,Moderate recurring disturbance,1,0.31472,0.6482,0.34366,0.55034,1.02007,viable margin
AC001,Ecological System,AD001,Moderate recurring disturbance,2,0.31779,0.66036,0.34733,0.55883,1.04201,viable margin
AC001,Ecological System,AD001,Moderate recurring disturbance,3,0.32076,0.67249,0.35101,0.56728,1.06584,viable margin
AC001,Ecological System,AD001,Moderate recurring disturbance,4,0.32359,0.68458,0.35471,0.57567,1.09162,viable margin
AC001,Ecological System,AD001,Moderate recurring disturbance,5,0.32623,0.69663,0.35841,0.58402,1.11943,viable margin
AC001,Ecological System,AD001,Moderate recurring disturbance,6,0.32864,0.70865,0.36213,0.59232,1.14935,viable margin
AC001,Ecological System,AD001,Moderate recurring disturbance,7,0.33079,0.72063,0.36585,0.60058,1.18149,viable margin
AC001,Ecological System,AD001,Moderate recurring disturbance,8,0.33264,0.73257,0.36958,0.60879,1.2,viable margin
AC001,Ecological System,AD001,Moderate recurring disturbance,9,0.33416,0.74447,0.37332,0.61696,1.2,viable margin
AC001,Ecological System,AD001,Moderate recurring disturbance,10,0.33532,0.75634,0.37706,0.62508,1.2,viable margin
AC001,Ecological System,AD001,Moderate recurring disturbance,11,0.33612,0.76817,0.3808,0.63317,1.2,viable margin
AC001,Ecological System,AD001,Moderate recurring disturbance,12,0.47654,0.77996,0.38511,0.64065,1.18082,viable margin
AC001,Ecological System,AD001,Moderate recurring disturbance,13,0.33656,0.79171,0.38886,0.64865,1.2,viable margin
AC001,Ecological System,AD001,Moderate recurring disturbance,14,0.3362,0.80342,0.3926,0.65662,1.2,viable margin
AC001,Ecological System,AD001,Moderate recurring disturbance,15,0.33545,0.8151,0.39634,0.66455,1.2,viable margin
AC001,Ecological System,AD001,Moderate recurring disturbance,16,0.33433,0.82673,0.40008,0.67245,1.2,viable margin
AC001,Ecological System,AD001,Moderate recurring disturbance,17,0.33286,0.83833,0.40381,0.68032,1.2,viable margin
AC001,Ecological System,AD001,Moderate recurring disturbance,18,0.33105,0.84989,0.40753,0.68816,1.2,viable margin
AC001,Ecological System,AD001,Moderate recurring disturbance,19,0.32894,0.86142,0.41125,0.69597,1.2,viable margin
AC001,Ecological System,AD001,Moderate recurring disturbance,20,0.32656,0.87291,0.41496,0.70375,1.2,viable margin
AC001,Ecological System,AD001,Moderate recurring disturbance,21,0.32395,0.88436,0.41865,0.7115,1.2,viable margin
AC001,Ecological System,AD001,Moderate recurring disturbance,22,0.32114,0.89577,0.42234,0.71923,1.2,viable margin
AC001,Ecological System,AD001,Moderate recurring disturbance,23,0.31819,0.90715,0.42601,0.72694,1.2,viable margin
AC001,Ecological System,AD001,Moderate recurring disturbance,24,0.45513,0.91849,0.43023,0.73406,1.2,viable margin
AC001,Ecological System,AD001,Moderate recurring disturbance,25,0.31201,0.92978,0.43388,0.74171,1.2,viable margin
AC001,Ecological System,AD001,Moderate recurring disturbance,26,0.3089,0.94104,0.43751,0.74933,1.2,viable margin
AC001,Ecological System,AD001,Moderate recurring disturbance,27,0.30582,0.95227,0.44114,0.75693,1.2,viable margin
AC001,Ecological System,AD001,Moderate recurring disturbance,28,0.30283,0.96346,0.44475,0.76451,1.2,viable margin
AC001,Ecological System,AD001,Moderate recurring disturbance,29,0.29998,0.97461,0.44835,0.77206,1.2,viable margin
AC001,Ecological System,AD001,Moderate recurring disturbance,30,0.29731,0.98573,0.45194,0.77959,1.2,viable margin
AC001,Ecological System,AD001,Moderate recurring disturbance,31,0.29486,0.99681,0.45552,0.78709,1.2,viable margin
AC001,Ecological System,AD001,Moderate recurring disturbance,32,0.29268,1.00785,0.45909,0.79456,1.2,viable margin
AC001,Ecological System,AD001,Moderate recurring disturbance,33,0.29079,1.01886,0.46265,0.80201,1.2,viable margin
AC001,Ecological System,AD001,Moderate recurring disturbance,34,0.28923,1.02984,0.46621,0.80943,1.2,viable margin
AC001,Ecological System,AD001,Moderate recurring disturbance,35,0.28801,1.04077,0.46976,0.81681,1.2,viable margin
AC001,Ecological System,AD001,Moderate recurring disturbance,36,0.42716,1.05168,0.47387,0.82361,1.2,viable margin
AC001,Ecological System,AD001,Moderate recurring disturbance,37,0.2867,1.06254,0.47742,0.83092,1.2,viable margin
AC001,Ecological System,AD001,Moderate recurring disturbance,38,0.28662,1.07336,0.48096,0.8382,1.2,viable margin
AC001,Ecological System,AD001,Moderate recurring disturbance,39,0.28693,1.08415,0.48451,0.84544,1.2,viable margin
AC001,Ecological System,AD001,Moderate recurring disturbance,40,0.28763,1.09491,0.48806,0.85265,1.2,viable margin
AC001,Ecological System,AD001,Moderate recurring disturbance,41,0.2887,1.10563,0.49162,0.85981,1.2,viable margin
AC001,Ecological System,AD001,Moderate recurring disturbance,42,0.29013,1.11631,0.49518,0.86694,1.2,viable margin
AC001,Ecological System,AD001,Moderate recurring disturbance,43,0.29189,1.12696,0.49874,0.87402,1.2,viable margin
AC001,Ecological System,AD001,Moderate recurring disturbance,44,0.29396,1.13757,0.50232,0.88105,1.2,viable margin
AC001,Ecological System,AD001,Moderate recurring disturbance,45,0.29631,1.14815,0.5059,0.88804,1.2,viable margin
AC001,Ecological System,AD001,Moderate recurring disturbance,46,0.29889,1.15869,0.5095,0.89499,1.2,viable margin
AC001,Ecological System,AD001,Moderate recurring disturbance,47,0.30168,1.1692,0.51311,0.90189,1.2,viable margin
AC001,Ecological System,AD001,Moderate recurring disturbance,48,0.44461,1.17966,0.51729,0.90818,1.2,viable margin
AC001,Ecological System,AD001,Moderate recurring disturbance,49,0.30766,1.19009,0.52092,0.91498,1.2,viable margin
AC001,Ecological System,AD001,Moderate recurring disturbance,50,0.31077,1.2,0.52456,0.92124,1.2,viable margin
AC001,Ecological System,AD001,Moderate recurring disturbance,51,0.31389,1.2,0.52821,0.91759,1.2,viable margin
AC001,Ecological System,AD001,Moderate recurring disturbance,52,0.31698,1.2,0.53188,0.91392,1.2,viable margin
AC001,Ecological System,AD001,Moderate recurring disturbance,53,0.31998,1.2,0.53556,0.91024,1.2,viable margin
AC001,Ecological System,AD001,Moderate recurring disturbance,54,0.32285,1.2,0.53925,0.90655,1.2,viable margin
AC001,Ecological System,AD001,Moderate recurring disturbance,55,0.32555,1.2,0.54296,0.90284,1.2,viable margin
AC001,Ecological System,AD001,Moderate recurring disturbance,56,0.32802,1.2,0.54667,0.89913,1.2,viable margin
AC001,Ecological System,AD001,Moderate recurring disturbance,57,0.33025,1.2,0.55039,0.89541,1.2,viable margin
AC001,Ecological System,AD001,Moderate recurring disturbance,58,0.33218,1.2,0.55412,0.89168,1.2,viable margin
AC001,Ecological System,AD001,Moderate recurring disturbance,59,0.33379,1.2,0.55785,0.88795,1.2,viable margin
AC001,Ecological System,AD001,Moderate recurring disturbance,60,0.47505,1.2,0.56215,0.88365,1.2,viable margin
AC001,Ecological System,AD001,Moderate recurring disturbance,61,0.33595,1.2,0.5659,0.8799,1.2,viable margin
AC001,Ecological System,AD001,Moderate recurring disturbance,62,0.33646,1.2,0.56964,0.87616,1.2,viable margin
AC001,Ecological System,AD001,Moderate recurring disturbance,63,0.33659,1.2,0.57339,0.87241,1.2,viable margin
AC001,Ecological System,AD001,Moderate recurring disturbance,64,0.33633,1.2,0.57713,0.86867,1.2,viable margin
AC001,Ecological System,AD001,Moderate recurring disturbance,65,0.33569,1.2,0.58088,0.86492,1.2,viable margin
AC001,Ecological System,AD001,Moderate recurring disturbance,66,0.33467,1.2,0.58462,0.86118,1.2,viable margin
AC001,Ecological System,AD001,Moderate recurring disturbance,67,0.33328,1.2,0.58835,0.85745,1.2,viable margin
AC001,Ecological System,AD001,Moderate recurring disturbance,68,0.33156,1.2,0.59208,0.85372,1.2,viable margin
AC001,Ecological System,AD001,Moderate recurring disturbance,69,0.32953,1.2,0.59579,0.85001,1.2,viable margin
AC001,Ecological System,AD001,Moderate recurring disturbance,70,0.32722,1.2,0.5995,0.8463,1.2,viable margin
AC001,Ecological System,AD001,Moderate recurring disturbance,71,0.32466,1.2,0.6032,0.8426,1.2,viable margin
AC001,Ecological System,AD001,Moderate recurring disturbance,72,0.4619,1.2,0.60745,0.83835,1.2,viable margin
AC001,Ecological System,AD001,Moderate recurring disturbance,73,0.31898,1.2,0.61112,0.83468,1.2,viable margin
AC001,Ecological System,AD001,Moderate recurring disturbance,74,0.31595,1.2,0.61479,0.83101,1.2,viable margin
AC001,Ecological System,AD001,Moderate recurring disturbance,75,0.31284,1.2,0.61844,0.82736,1.2,viable margin
