scenario,strategy_id,strategy,system_domain,rank,adaptive_learning_value,forgetting_pressure,critical_function
Balanced,AM005,Adaptive Governance Decision-Trigger Framework,adaptive governance,1,7.445,3.1,link monitoring thresholds to accountable decision triggers and policy revision
Balanced,AM003,Community Knowledge and Early Warning Network,community resilience,2,7.404,2.8,integrate local knowledge lived experience and trusted warning systems
Balanced,AM002,Institutional After-Action Learning System,institutions and governance,3,7.251,3.0,convert crisis experience into revised rules funding staffing and accountability
Balanced,AM001,Ecological Monitoring and Threshold Review,ecological systems,4,7.138,3.2,detect ecological change and revise management before threshold crossing
Balanced,AM004,Infrastructure Memory and Maintenance Analytics,infrastructure,5,7.114,3.4,preserve asset history failure logs maintenance records and dependency knowledge
Balanced,AM006,Safe-to-Fail Climate Adaptation Pilots,climate adaptation,6,7.104,3.5,test bounded adaptation options without exposing communities to uncontrolled harm
Monitoring-first,AM005,Adaptive Governance Decision-Trigger Framework,adaptive governance,1,7.546,3.1,link monitoring thresholds to accountable decision triggers and policy revision
Monitoring-first,AM003,Community Knowledge and Early Warning Network,community resilience,2,7.434,2.8,integrate local knowledge lived experience and trusted warning systems
Monitoring-first,AM001,Ecological Monitoring and Threshold Review,ecological systems,3,7.412,3.2,detect ecological change and revise management before threshold crossing
Monitoring-first,AM004,Infrastructure Memory and Maintenance Analytics,infrastructure,4,7.356,3.4,preserve asset history failure logs maintenance records and dependency knowledge
Monitoring-first,AM002,Institutional After-Action Learning System,institutions and governance,5,7.32,3.0,convert crisis experience into revised rules funding staffing and accountability
Monitoring-first,AM006,Safe-to-Fail Climate Adaptation Pilots,climate adaptation,6,7.167,3.5,test bounded adaptation options without exposing communities to uncontrolled harm
Memory-first,AM003,Community Knowledge and Early Warning Network,community resilience,1,7.526,2.8,integrate local knowledge lived experience and trusted warning systems
Memory-first,AM005,Adaptive Governance Decision-Trigger Framework,adaptive governance,2,7.5,3.1,link monitoring thresholds to accountable decision triggers and policy revision
Memory-first,AM002,Institutional After-Action Learning System,institutions and governance,3,7.481,3.0,convert crisis experience into revised rules funding staffing and accountability
Memory-first,AM004,Infrastructure Memory and Maintenance Analytics,infrastructure,4,7.448,3.4,preserve asset history failure logs maintenance records and dependency knowledge
Memory-first,AM001,Ecological Monitoring and Threshold Review,ecological systems,5,7.32,3.2,detect ecological change and revise management before threshold crossing
Memory-first,AM006,Safe-to-Fail Climate Adaptation Pilots,climate adaptation,6,7.121,3.5,test bounded adaptation options without exposing communities to uncontrolled harm
Feedback-use-first,AM005,Adaptive Governance Decision-Trigger Framework,adaptive governance,1,7.705,3.1,link monitoring thresholds to accountable decision triggers and policy revision
Feedback-use-first,AM003,Community Knowledge and Early Warning Network,community resilience,2,7.451,2.8,integrate local knowledge lived experience and trusted warning systems
Feedback-use-first,AM002,Institutional After-Action Learning System,institutions and governance,3,7.427,3.0,convert crisis experience into revised rules funding staffing and accountability
Feedback-use-first,AM004,Infrastructure Memory and Maintenance Analytics,infrastructure,4,7.294,3.4,preserve asset history failure logs maintenance records and dependency knowledge
Feedback-use-first,AM001,Ecological Monitoring and Threshold Review,ecological systems,5,7.285,3.2,detect ecological change and revise management before threshold crossing
Feedback-use-first,AM006,Safe-to-Fail Climate Adaptation Pilots,climate adaptation,6,7.219,3.5,test bounded adaptation options without exposing communities to uncontrolled harm
Governance-first,AM005,Adaptive Governance Decision-Trigger Framework,adaptive governance,1,7.788,3.1,link monitoring thresholds to accountable decision triggers and policy revision
Governance-first,AM003,Community Knowledge and Early Warning Network,community resilience,2,7.515,2.8,integrate local knowledge lived experience and trusted warning systems
Governance-first,AM002,Institutional After-Action Learning System,institutions and governance,3,7.45,3.0,convert crisis experience into revised rules funding staffing and accountability
Governance-first,AM006,Safe-to-Fail Climate Adaptation Pilots,climate adaptation,4,7.401,3.5,test bounded adaptation options without exposing communities to uncontrolled harm
Governance-first,AM001,Ecological Monitoring and Threshold Review,ecological systems,5,7.266,3.2,detect ecological change and revise management before threshold crossing
Governance-first,AM004,Infrastructure Memory and Maintenance Analytics,infrastructure,6,7.226,3.4,preserve asset history failure logs maintenance records and dependency knowledge
Community-knowledge-first,AM003,Community Knowledge and Early Warning Network,community resilience,1,7.849,2.8,integrate local knowledge lived experience and trusted warning systems
Community-knowledge-first,AM005,Adaptive Governance Decision-Trigger Framework,adaptive governance,2,7.593,3.1,link monitoring thresholds to accountable decision triggers and policy revision
Community-knowledge-first,AM006,Safe-to-Fail Climate Adaptation Pilots,climate adaptation,3,7.476,3.5,test bounded adaptation options without exposing communities to uncontrolled harm
Community-knowledge-first,AM002,Institutional After-Action Learning System,institutions and governance,4,7.369,3.0,convert crisis experience into revised rules funding staffing and accountability
Community-knowledge-first,AM001,Ecological Monitoring and Threshold Review,ecological systems,5,7.206,3.2,detect ecological change and revise management before threshold crossing
Community-knowledge-first,AM004,Infrastructure Memory and Maintenance Analytics,infrastructure,6,7.026,3.4,preserve asset history failure logs maintenance records and dependency knowledge
Justice-first,AM003,Community Knowledge and Early Warning Network,community resilience,1,7.815,2.8,integrate local knowledge lived experience and trusted warning systems
Justice-first,AM005,Adaptive Governance Decision-Trigger Framework,adaptive governance,2,7.61,3.1,link monitoring thresholds to accountable decision triggers and policy revision
Justice-first,AM006,Safe-to-Fail Climate Adaptation Pilots,climate adaptation,3,7.459,3.5,test bounded adaptation options without exposing communities to uncontrolled harm
Justice-first,AM002,Institutional After-Action Learning System,institutions and governance,4,7.403,3.0,convert crisis experience into revised rules funding staffing and accountability
Justice-first,AM001,Ecological Monitoring and Threshold Review,ecological systems,5,7.223,3.2,detect ecological change and revise management before threshold crossing
Justice-first,AM004,Infrastructure Memory and Maintenance Analytics,infrastructure,6,7.06,3.4,preserve asset history failure logs maintenance records and dependency knowledge
Forgetting-sensitive,AM003,Community Knowledge and Early Warning Network,community resilience,1,6.101,2.8,integrate local knowledge lived experience and trusted warning systems
Forgetting-sensitive,AM005,Adaptive Governance Decision-Trigger Framework,adaptive governance,2,6.08,3.1,link monitoring thresholds to accountable decision triggers and policy revision
Forgetting-sensitive,AM002,Institutional After-Action Learning System,institutions and governance,3,5.948,3.0,convert crisis experience into revised rules funding staffing and accountability
Forgetting-sensitive,AM001,Ecological Monitoring and Threshold Review,ecological systems,4,5.801,3.2,detect ecological change and revise management before threshold crossing
Forgetting-sensitive,AM004,Infrastructure Memory and Maintenance Analytics,infrastructure,5,5.772,3.4,preserve asset history failure logs maintenance records and dependency knowledge
Forgetting-sensitive,AM006,Safe-to-Fail Climate Adaptation Pilots,climate adaptation,6,5.732,3.5,test bounded adaptation options without exposing communities to uncontrolled harm
