simulation_id,strategy_id,strategy,rank,adaptive_learning_value,winner
0,AM003,Community Knowledge and Early Warning Network,1,7.44438,Community Knowledge and Early Warning Network
0,AM002,Institutional After-Action Learning System,2,7.42065,Community Knowledge and Early Warning Network
0,AM004,Infrastructure Memory and Maintenance Analytics,3,7.30736,Community Knowledge and Early Warning Network
0,AM006,Safe-to-Fail Climate Adaptation Pilots,4,7.23428,Community Knowledge and Early Warning Network
0,AM005,Adaptive Governance Decision-Trigger Framework,5,7.18998,Community Knowledge and Early Warning Network
0,AM001,Ecological Monitoring and Threshold Review,6,7.07824,Community Knowledge and Early Warning Network
1,AM002,Institutional After-Action Learning System,1,7.61192,Institutional After-Action Learning System
1,AM003,Community Knowledge and Early Warning Network,2,7.34342,Institutional After-Action Learning System
1,AM006,Safe-to-Fail Climate Adaptation Pilots,3,7.31409,Institutional After-Action Learning System
1,AM001,Ecological Monitoring and Threshold Review,4,7.14908,Institutional After-Action Learning System
1,AM005,Adaptive Governance Decision-Trigger Framework,5,7.12651,Institutional After-Action Learning System
1,AM004,Infrastructure Memory and Maintenance Analytics,6,6.98368,Institutional After-Action Learning System
2,AM001,Ecological Monitoring and Threshold Review,1,7.55662,Ecological Monitoring and Threshold Review
2,AM005,Adaptive Governance Decision-Trigger Framework,2,7.50871,Ecological Monitoring and Threshold Review
2,AM003,Community Knowledge and Early Warning Network,3,7.48492,Ecological Monitoring and Threshold Review
2,AM002,Institutional After-Action Learning System,4,7.43562,Ecological Monitoring and Threshold Review
2,AM004,Infrastructure Memory and Maintenance Analytics,5,7.10736,Ecological Monitoring and Threshold Review
2,AM006,Safe-to-Fail Climate Adaptation Pilots,6,7.09545,Ecological Monitoring and Threshold Review
3,AM003,Community Knowledge and Early Warning Network,1,7.72534,Community Knowledge and Early Warning Network
3,AM005,Adaptive Governance Decision-Trigger Framework,2,7.43448,Community Knowledge and Early Warning Network
3,AM002,Institutional After-Action Learning System,3,7.28542,Community Knowledge and Early Warning Network
3,AM004,Infrastructure Memory and Maintenance Analytics,4,7.1837,Community Knowledge and Early Warning Network
3,AM006,Safe-to-Fail Climate Adaptation Pilots,5,7.1266,Community Knowledge and Early Warning Network
3,AM001,Ecological Monitoring and Threshold Review,6,7.07182,Community Knowledge and Early Warning Network
4,AM003,Community Knowledge and Early Warning Network,1,7.67837,Community Knowledge and Early Warning Network
4,AM005,Adaptive Governance Decision-Trigger Framework,2,7.65434,Community Knowledge and Early Warning Network
4,AM002,Institutional After-Action Learning System,3,7.33804,Community Knowledge and Early Warning Network
4,AM001,Ecological Monitoring and Threshold Review,4,7.28502,Community Knowledge and Early Warning Network
4,AM004,Infrastructure Memory and Maintenance Analytics,5,7.04436,Community Knowledge and Early Warning Network
4,AM006,Safe-to-Fail Climate Adaptation Pilots,6,6.94422,Community Knowledge and Early Warning Network
5,AM003,Community Knowledge and Early Warning Network,1,7.63597,Community Knowledge and Early Warning Network
5,AM002,Institutional After-Action Learning System,2,7.48371,Community Knowledge and Early Warning Network
5,AM005,Adaptive Governance Decision-Trigger Framework,3,7.27413,Community Knowledge and Early Warning Network
5,AM001,Ecological Monitoring and Threshold Review,4,6.92257,Community Knowledge and Early Warning Network
5,AM006,Safe-to-Fail Climate Adaptation Pilots,5,6.81312,Community Knowledge and Early Warning Network
5,AM004,Infrastructure Memory and Maintenance Analytics,6,6.71196,Community Knowledge and Early Warning Network
