 time,function_level,memory,adaptive_capacity,shock,learning
1, 1.00000, 0.59696, 0.58184, 0.04000, 0.00256
2, 1.00000, 0.45419, 0.59081, 0.04000, 0.00256
3, 1.00000, 0.34283, 0.58480, 0.04000, 0.00256
4, 1.00000, 0.25597, 0.56945, 0.04000, 0.00256
5, 1.00000, 0.18822, 0.54874, 0.04000, 0.00256
6, 1.00000, 0.13537, 0.52541, 0.04000, 0.00256
7, 1.00000, 0.09415, 0.50133, 0.04000, 0.00256
8, 1.00000, 0.06200, 0.47773, 0.04000, 0.00256
9, 1.00000, 0.03692, 0.45537, 0.04000, 0.00256
10, 1.00000, 0.01736, 0.43469, 0.04000, 0.00256
11, 1.00000, 0.00210, 0.41590, 0.04000, 0.00256
12, 1.00000, 0.00000, 0.40023, 0.04000, 0.00256
13, 1.00000, 0.00000, 0.38739, 0.04000, 0.00256
14, 1.00000, 0.00000, 0.37686, 0.04000, 0.00256
15, 0.92846, 0.00841, 0.36924, 0.35000, 0.02241
16, 0.98453, 0.00000, 0.36197, 0.04000, 0.00256
17, 1.00000, 0.00000, 0.35602, 0.04000, 0.00256
18, 1.00000, 0.00000, 0.35113, 0.04000, 0.00256
19, 1.00000, 0.00000, 0.34713, 0.04000, 0.00256
20, 1.00000, 0.00000, 0.34385, 0.04000, 0.00256
21, 1.00000, 0.00000, 0.34115, 0.04000, 0.00256
22, 1.00000, 0.00000, 0.33895, 0.04000, 0.00256
23, 1.00000, 0.00000, 0.33714, 0.04000, 0.00256
24, 1.00000, 0.00000, 0.33565, 0.04000, 0.00256
25, 1.00000, 0.00000, 0.33443, 0.04000, 0.00256
26, 1.00000, 0.00000, 0.33344, 0.04000, 0.00256
27, 1.00000, 0.00000, 0.33262, 0.04000, 0.00256
28, 1.00000, 0.00000, 0.33195, 0.04000, 0.00256
29, 1.00000, 0.00000, 0.33140, 0.04000, 0.00256
30, 1.00000, 0.00000, 0.33094, 0.04000, 0.00256
31, 1.00000, 0.00000, 0.33057, 0.04000, 0.00256
32, 0.97288, 0.00008, 0.33028, 0.22000, 0.01408
33, 1.00000, 0.00000, 0.33003, 0.04000, 0.00256
34, 1.00000, 0.00000, 0.32983, 0.04000, 0.00256
35, 1.00000, 0.00000, 0.32966, 0.04000, 0.00256
36, 1.00000, 0.00000, 0.32952, 0.04000, 0.00256
37, 1.00000, 0.00000, 0.32941, 0.04000, 0.00256
38, 1.00000, 0.00000, 0.32931, 0.04000, 0.00256
39, 1.00000, 0.00000, 0.32924, 0.04000, 0.00256
40, 1.00000, 0.00000, 0.32917, 0.04000, 0.00256
41, 1.00000, 0.00000, 0.32912, 0.04000, 0.00256
42, 1.00000, 0.00000, 0.32908, 0.04000, 0.00256
43, 1.00000, 0.00000, 0.32905, 0.04000, 0.00256
44, 1.00000, 0.00000, 0.32902, 0.04000, 0.00256
45, 1.00000, 0.00000, 0.32899, 0.04000, 0.00256
46, 1.00000, 0.00000, 0.32898, 0.04000, 0.00256
47, 1.00000, 0.00000, 0.32896, 0.04000, 0.00256
48, 1.00000, 0.00000, 0.32895, 0.04000, 0.00256
49, 1.00000, 0.00000, 0.32894, 0.04000, 0.00256
50, 0.89844, 0.01161, 0.33032, 0.40000, 0.02561
51, 0.94685, 0.00000, 0.33006, 0.04000, 0.00256
52, 0.99522, 0.00000, 0.32985, 0.04000, 0.00256
53, 1.00000, 0.00000, 0.32968, 0.04000, 0.00256
54, 1.00000, 0.00000, 0.32954, 0.04000, 0.00256
55, 1.00000, 0.00000, 0.32942, 0.04000, 0.00256
56, 1.00000, 0.00000, 0.32932, 0.04000, 0.00256
57, 1.00000, 0.00000, 0.32925, 0.04000, 0.00256
58, 1.00000, 0.00000, 0.32918, 0.04000, 0.00256
59, 1.00000, 0.00000, 0.32913, 0.04000, 0.00256
60, 1.00000, 0.00000, 0.32909, 0.04000, 0.00256
61, 1.00000, 0.00000, 0.32905, 0.04000, 0.00256
62, 1.00000, 0.00000, 0.32902, 0.04000, 0.00256
63, 1.00000, 0.00000, 0.32900, 0.04000, 0.00256
64, 1.00000, 0.00000, 0.32898, 0.04000, 0.00256
65, 1.00000, 0.00000, 0.32896, 0.04000, 0.00256
66, 1.00000, 0.00000, 0.32895, 0.04000, 0.00256
67, 0.94785, 0.00393, 0.32941, 0.28000, 0.01793
68, 0.99609, 0.00000, 0.32932, 0.04000, 0.00256
69, 1.00000, 0.00000, 0.32924, 0.04000, 0.00256
70, 1.00000, 0.00000, 0.32918, 0.04000, 0.00256
71, 1.00000, 0.00000, 0.32912, 0.04000, 0.00256
72, 1.00000, 0.00000, 0.32908, 0.04000, 0.00256
73, 1.00000, 0.00000, 0.32905, 0.04000, 0.00256
74, 1.00000, 0.00000, 0.32902, 0.04000, 0.00256
75, 1.00000, 0.00000, 0.32900, 0.04000, 0.00256
76, 1.00000, 0.00000, 0.32898, 0.04000, 0.00256
77, 1.00000, 0.00000, 0.32896, 0.04000, 0.00256
78, 1.00000, 0.00000, 0.32895, 0.04000, 0.00256
79, 1.00000, 0.00000, 0.32894, 0.04000, 0.00256
80, 1.00000, 0.00000, 0.32893, 0.04000, 0.00256
