profile_id,profile,time,disturbance,monitoring_signal,learning,memory,adaptive_capacity,function_level,justice_adjusted_function
P001,High Learning and Strong Memory,0,0.04,0.03064,0.0038,0.7682,0.61318,1.0,0.925
P001,High Learning and Strong Memory,1,0.04,0.03021,0.00375,0.66976,0.65318,1.0,0.925
P001,High Learning and Strong Memory,2,0.04,0.03113,0.00386,0.58325,0.6756,1.0,0.925
P001,High Learning and Strong Memory,3,0.04,0.04333,0.00537,0.50863,0.68503,1.0,0.925
P001,High Learning and Strong Memory,4,0.04,0.03089,0.00383,0.44142,0.68469,1.0,0.925
P001,High Learning and Strong Memory,5,0.04,0.01034,0.00128,0.37974,0.67702,1.0,0.925
P001,High Learning and Strong Memory,6,0.04,0.03778,0.00468,0.32885,0.66462,1.0,0.925
P001,High Learning and Strong Memory,7,0.04,0.02879,0.00357,0.28296,0.64894,1.0,0.925
P001,High Learning and Strong Memory,8,0.04,0.02955,0.00366,0.24267,0.63125,1.0,0.925
P001,High Learning and Strong Memory,9,0.04,0.03454,0.00428,0.20783,0.61257,1.0,0.925
P001,High Learning and Strong Memory,10,0.04,0.03628,0.0045,0.17739,0.59359,1.0,0.925
P001,High Learning and Strong Memory,11,0.04,0.05025,0.00623,0.15233,0.57502,1.0,0.925
P001,High Learning and Strong Memory,12,0.04,0.04265,0.00529,0.12934,0.55704,1.0,0.925
P001,High Learning and Strong Memory,13,0.04,0.03446,0.00427,0.10809,0.53974,1.0,0.925
P001,High Learning and Strong Memory,14,0.04,0.02173,0.00269,0.08781,0.52313,1.0,0.925
P001,High Learning and Strong Memory,15,0.35,0.27178,0.0337,0.10097,0.51108,0.97576,0.90258
P001,High Learning and Strong Memory,16,0.04,0.0365,0.00452,0.08338,0.49909,1.0,0.925
P001,High Learning and Strong Memory,17,0.04,0.05247,0.0065,0.06988,0.48764,1.0,0.925
P001,High Learning and Strong Memory,18,0.04,0.03342,0.00414,0.05564,0.47654,1.0,0.925
P001,High Learning and Strong Memory,19,0.04,0.03121,0.00387,0.04283,0.4659,1.0,0.925
P001,High Learning and Strong Memory,20,0.04,0.04078,0.00506,0.03275,0.45597,1.0,0.925
P001,High Learning and Strong Memory,21,0.04,0.011,0.00136,0.02018,0.44632,1.0,0.925
P001,High Learning and Strong Memory,22,0.04,0.02812,0.00349,0.01125,0.43733,1.0,0.925
P001,High Learning and Strong Memory,23,0.04,0.04016,0.00498,0.00487,0.4292,1.0,0.925
P001,High Learning and Strong Memory,24,0.04,0.0459,0.00569,0.0,0.42194,1.0,0.925
