system_id,system,system_context,time,event,disruption_load,slack_stock,adaptive_response,fragility_gap,workforce_strain,function,ethical_adjusted_function,resilience_score
SY001,Lean high-utilization system,low slack high utilization and brittle optimization,0,background operating pressure,0.10379,0.42186,0.4114,0.0,0.51276,0.93349,0.71861,0.57553
SY001,Lean high-utilization system,low slack high utilization and brittle optimization,1,background operating pressure,0.10453,0.43385,0.4114,0.0,0.44566,1.0,0.78103,0.60778
SY001,Lean high-utilization system,low slack high utilization and brittle optimization,2,background operating pressure,0.10528,0.44578,0.4114,0.0,0.37872,1.0,0.78773,0.6189
SY001,Lean high-utilization system,low slack high utilization and brittle optimization,3,background operating pressure,0.10527,0.4577,0.4114,0.0,0.31177,1.0,0.79442,0.63002
SY001,Lean high-utilization system,low slack high utilization and brittle optimization,4,background operating pressure,0.10544,0.46961,0.4114,0.0,0.24486,1.0,0.80111,0.64113
SY001,Lean high-utilization system,low slack high utilization and brittle optimization,5,background operating pressure,0.10497,0.48156,0.4114,0.0,0.17786,1.0,0.80781,0.65226
SY001,Lean high-utilization system,low slack high utilization and brittle optimization,6,background operating pressure,0.10582,0.49344,0.4114,0.0,0.11102,1.0,0.8145,0.66335
SY001,Lean high-utilization system,low slack high utilization and brittle optimization,7,background operating pressure,0.10541,0.50535,0.4114,0.0,0.0441,1.0,0.82119,0.67446
SY001,Lean high-utilization system,low slack high utilization and brittle optimization,8,background operating pressure,0.10462,0.51734,0.4114,0.0,0.0,1.0,0.8256,0.68253
SY001,Lean high-utilization system,low slack high utilization and brittle optimization,9,background operating pressure,0.10549,0.52924,0.4114,0.0,0.0,1.0,0.8256,0.68467
SY001,Lean high-utilization system,low slack high utilization and brittle optimization,10,Supplier and logistics disruption,0.6664,0.4467,0.4114,0.13716,0.06997,0.96969,0.76441,0.64679
SY001,Lean high-utilization system,low slack high utilization and brittle optimization,11,background operating pressure,0.10492,0.45865,0.4114,0.0,0.00295,1.0,0.8253,0.67157
SY001,Lean high-utilization system,low slack high utilization and brittle optimization,12,background operating pressure,0.10681,0.47044,0.4114,0.0,0.0,1.0,0.8256,0.67409
SY001,Lean high-utilization system,low slack high utilization and brittle optimization,13,background operating pressure,0.10695,0.48221,0.4114,0.0,0.0,1.0,0.8256,0.67621
SY001,Lean high-utilization system,low slack high utilization and brittle optimization,14,background operating pressure,0.10585,0.49409,0.4114,0.0,0.0,1.0,0.8256,0.67834
SY001,Lean high-utilization system,low slack high utilization and brittle optimization,15,background operating pressure,0.10592,0.50596,0.4114,0.0,0.0,1.0,0.8256,0.68048
SY001,Lean high-utilization system,low slack high utilization and brittle optimization,16,background operating pressure,0.10696,0.51773,0.4114,0.0,0.0,1.0,0.8256,0.6826
SY001,Lean high-utilization system,low slack high utilization and brittle optimization,17,background operating pressure,0.10595,0.52959,0.4114,0.0,0.0,1.0,0.8256,0.68473
SY001,Lean high-utilization system,low slack high utilization and brittle optimization,18,background operating pressure,0.10602,0.54145,0.4114,0.0,0.0,1.0,0.8256,0.68687
SY001,Lean high-utilization system,low slack high utilization and brittle optimization,19,background operating pressure,0.10616,0.5533,0.4114,0.0,0.0,1.0,0.8256,0.689
SY001,Lean high-utilization system,low slack high utilization and brittle optimization,20,background operating pressure,0.10659,0.5651,0.4114,0.0,0.0,1.0,0.8256,0.69113
SY001,Lean high-utilization system,low slack high utilization and brittle optimization,21,background operating pressure,0.10727,0.57685,0.4114,0.0,0.0,1.0,0.8256,0.69324
SY001,Lean high-utilization system,low slack high utilization and brittle optimization,22,Workforce absence and demand surge,0.7254,0.48508,0.4114,0.14855,0.08382,0.95456,0.73956,0.64553
SY001,Lean high-utilization system,low slack high utilization and brittle optimization,23,background operating pressure,0.10819,0.49674,0.4114,0.0,0.01746,1.0,0.82385,0.67648
SY001,Lean high-utilization system,low slack high utilization and brittle optimization,24,background operating pressure,0.1068,0.50853,0.4114,0.0,0.0,1.0,0.8256,0.68094
SY001,Lean high-utilization system,low slack high utilization and brittle optimization,25,background operating pressure,0.10841,0.52017,0.4114,0.0,0.0,1.0,0.8256,0.68304
SY001,Lean high-utilization system,low slack high utilization and brittle optimization,26,background operating pressure,0.10773,0.53188,0.4114,0.0,0.0,1.0,0.8256,0.68515
SY001,Lean high-utilization system,low slack high utilization and brittle optimization,27,background operating pressure,0.10854,0.54351,0.4114,0.0,0.0,1.0,0.8256,0.68724
SY001,Lean high-utilization system,low slack high utilization and brittle optimization,28,background operating pressure,0.1085,0.55515,0.4114,0.0,0.0,1.0,0.8256,0.68933
SY001,Lean high-utilization system,low slack high utilization and brittle optimization,29,background operating pressure,0.1073,0.56689,0.4114,0.0,0.0,1.0,0.8256,0.69145
SY001,Lean high-utilization system,low slack high utilization and brittle optimization,30,background operating pressure,0.1084,0.57853,0.4114,0.0,0.0,1.0,0.8256,0.69354
SY001,Lean high-utilization system,low slack high utilization and brittle optimization,31,background operating pressure,0.10747,0.59026,0.4114,0.0,0.0,1.0,0.8256,0.69565
SY001,Lean high-utilization system,low slack high utilization and brittle optimization,32,background operating pressure,0.10735,0.602,0.4114,0.0,0.0,1.0,0.8256,0.69777
SY001,Lean high-utilization system,low slack high utilization and brittle optimization,33,background operating pressure,0.10825,0.61366,0.4114,0.0,0.0,1.0,0.8256,0.69987
SY001,Lean high-utilization system,low slack high utilization and brittle optimization,34,background operating pressure,0.10913,0.62523,0.4114,0.0,0.0,1.0,0.8256,0.70195
SY001,Lean high-utilization system,low slack high utilization and brittle optimization,35,Cyber and operational outage,0.7308,0.53742,0.4114,0.10557,0.07716,0.96693,0.75539,0.66044
SY001,Lean high-utilization system,low slack high utilization and brittle optimization,36,background operating pressure,0.10895,0.54901,0.4114,0.0,0.01095,1.0,0.8245,0.68676
SY001,Lean high-utilization system,low slack high utilization and brittle optimization,37,background operating pressure,0.10833,0.56066,0.4114,0.0,0.0,1.0,0.8256,0.69033
SY001,Lean high-utilization system,low slack high utilization and brittle optimization,38,background operating pressure,0.10974,0.57219,0.4114,0.0,0.0,1.0,0.8256,0.6924
SY001,Lean high-utilization system,low slack high utilization and brittle optimization,39,background operating pressure,0.11001,0.58368,0.4114,0.0,0.0,1.0,0.8256,0.69447
SY001,Lean high-utilization system,low slack high utilization and brittle optimization,40,background operating pressure,0.10877,0.5953,0.4114,0.0,0.0,1.0,0.8256,0.69656
SY001,Lean high-utilization system,low slack high utilization and brittle optimization,41,background operating pressure,0.10932,0.60686,0.4114,0.0,0.0,1.0,0.8256,0.69864
SY001,Lean high-utilization system,low slack high utilization and brittle optimization,42,background operating pressure,0.10982,0.61837,0.4114,0.0,0.0,1.0,0.8256,0.70072
SY001,Lean high-utilization system,low slack high utilization and brittle optimization,43,background operating pressure,0.11046,0.62983,0.4114,0.0,0.0,1.0,0.8256,0.70278
SY001,Lean high-utilization system,low slack high utilization and brittle optimization,44,background operating pressure,0.10903,0.64142,0.4114,0.0,0.0,1.0,0.8256,0.70486
SY001,Lean high-utilization system,low slack high utilization and brittle optimization,45,background operating pressure,0.11001,0.65292,0.4114,0.0,0.0,1.0,0.8256,0.70693
SY001,Lean high-utilization system,low slack high utilization and brittle optimization,46,background operating pressure,0.11096,0.66433,0.4114,0.0,0.0,1.0,0.8256,0.70899
SY001,Lean high-utilization system,low slack high utilization and brittle optimization,47,background operating pressure,0.11036,0.6758,0.4114,0.0,0.0,1.0,0.8256,0.71105
SY001,Lean high-utilization system,low slack high utilization and brittle optimization,48,Revenue decline and liquidity pressure,0.7222,0.59049,0.4114,0.0464,0.06479,0.9871,0.77592,0.67839
SY001,Lean high-utilization system,low slack high utilization and brittle optimization,49,background operating pressure,0.11081,0.60192,0.4114,0.0,0.0,1.0,0.8256,0.69775
SY001,Lean high-utilization system,low slack high utilization and brittle optimization,50,background operating pressure,0.11105,0.61332,0.4114,0.0,0.0,1.0,0.8256,0.69981
SY001,Lean high-utilization system,low slack high utilization and brittle optimization,51,background operating pressure,0.11063,0.62476,0.4114,0.0,0.0,1.0,0.8256,0.70187
SY001,Lean high-utilization system,low slack high utilization and brittle optimization,52,background operating pressure,0.11032,0.63624,0.4114,0.0,0.0,1.0,0.8256,0.70393
SY001,Lean high-utilization system,low slack high utilization and brittle optimization,53,background operating pressure,0.11104,0.64764,0.4114,0.0,0.0,1.0,0.8256,0.70598
SY001,Lean high-utilization system,low slack high utilization and brittle optimization,54,background operating pressure,0.11104,0.65905,0.4114,0.0,0.0,1.0,0.8256,0.70804
SY001,Lean high-utilization system,low slack high utilization and brittle optimization,55,background operating pressure,0.11079,0.67048,0.4114,0.0,0.0,1.0,0.8256,0.71009
SY001,Lean high-utilization system,low slack high utilization and brittle optimization,56,background operating pressure,0.11193,0.6818,0.4114,0.0,0.0,1.0,0.8256,0.71213
SY001,Lean high-utilization system,low slack high utilization and brittle optimization,57,background operating pressure,0.11107,0.69321,0.4114,0.0,0.0,1.0,0.8256,0.71419
SY001,Lean high-utilization system,low slack high utilization and brittle optimization,58,background operating pressure,0.11143,0.70458,0.4114,0.0,0.0,1.0,0.8256,0.71623
SY001,Lean high-utilization system,low slack high utilization and brittle optimization,59,background operating pressure,0.1121,0.71589,0.4114,0.0,0.0,1.0,0.8256,0.71827
