scenario,portfolio_id,portfolio,system_domain,rank,slack_resilience_value,ethical_burden,implementation_burden,critical_function
Balanced,SS006,Adaptive Governance and Emergency Decision Space,governance slack decision rights and adaptive rules,1,7.491,2.8,3.2,protects adaptation by creating emergency authority flexible budgets escalation paths ethical review and accountable decision space
Balanced,SS002,Workforce Depth and Recovery Time,staffing depth recovery time and human capacity,2,7.417,2.6,3.4,protects people and function through staffing depth cross-training recovery time workload protection and psychological safety
Balanced,SS005,Supplier and Partner Optionality,network slack suppliers mutual aid and external options,3,7.367,3.0,3.6,protects continuity through supplier diversity mutual aid route alternatives partner trust and external coordination capacity
Balanced,SS004,Knowledge Architecture and Institutional Memory,knowledge slack decision records and institutional memory,4,7.347,2.9,3.3,protects adaptive capacity through documentation mentoring knowledge maps after-action archives decision records and communities of practice
Balanced,SS003,Critical Operations Redundancy,backup systems spare parts and operational continuity,5,7.301,3.1,3.5,protects critical operations with backup systems spare parts alternate workflows continuity tests and graceful degradation
Balanced,SS001,Cash Reserves and Liquidity Buffer,financial reserves liquidity and budget flexibility,6,6.895,3.0,3.0,protects essential functions by preventing temporary revenue or cost shocks from forcing destructive cuts insolvency or fire-sale decisions
Financial-first,SS006,Adaptive Governance and Emergency Decision Space,governance slack decision rights and adaptive rules,1,7.834,2.8,3.2,protects adaptation by creating emergency authority flexible budgets escalation paths ethical review and accountable decision space
Financial-first,SS001,Cash Reserves and Liquidity Buffer,financial reserves liquidity and budget flexibility,2,7.691,3.0,3.0,protects essential functions by preventing temporary revenue or cost shocks from forcing destructive cuts insolvency or fire-sale decisions
Financial-first,SS005,Supplier and Partner Optionality,network slack suppliers mutual aid and external options,3,7.69,3.0,3.6,protects continuity through supplier diversity mutual aid route alternatives partner trust and external coordination capacity
Financial-first,SS003,Critical Operations Redundancy,backup systems spare parts and operational continuity,4,7.685,3.1,3.5,protects critical operations with backup systems spare parts alternate workflows continuity tests and graceful degradation
Financial-first,SS002,Workforce Depth and Recovery Time,staffing depth recovery time and human capacity,5,7.683,2.6,3.4,protects people and function through staffing depth cross-training recovery time workload protection and psychological safety
Financial-first,SS004,Knowledge Architecture and Institutional Memory,knowledge slack decision records and institutional memory,6,7.619,2.9,3.3,protects adaptive capacity through documentation mentoring knowledge maps after-action archives decision records and communities of practice
Workforce-first,SS002,Workforce Depth and Recovery Time,staffing depth recovery time and human capacity,1,8.237,2.6,3.4,protects people and function through staffing depth cross-training recovery time workload protection and psychological safety
Workforce-first,SS006,Adaptive Governance and Emergency Decision Space,governance slack decision rights and adaptive rules,2,8.01,2.8,3.2,protects adaptation by creating emergency authority flexible budgets escalation paths ethical review and accountable decision space
Workforce-first,SS004,Knowledge Architecture and Institutional Memory,knowledge slack decision records and institutional memory,3,7.902,2.9,3.3,protects adaptive capacity through documentation mentoring knowledge maps after-action archives decision records and communities of practice
Workforce-first,SS003,Critical Operations Redundancy,backup systems spare parts and operational continuity,4,7.79,3.1,3.5,protects critical operations with backup systems spare parts alternate workflows continuity tests and graceful degradation
Workforce-first,SS005,Supplier and Partner Optionality,network slack suppliers mutual aid and external options,5,7.786,3.0,3.6,protects continuity through supplier diversity mutual aid route alternatives partner trust and external coordination capacity
Workforce-first,SS001,Cash Reserves and Liquidity Buffer,financial reserves liquidity and budget flexibility,6,7.32,3.0,3.0,protects essential functions by preventing temporary revenue or cost shocks from forcing destructive cuts insolvency or fire-sale decisions
Operational-first,SS003,Critical Operations Redundancy,backup systems spare parts and operational continuity,1,8.033,3.1,3.5,protects critical operations with backup systems spare parts alternate workflows continuity tests and graceful degradation
Operational-first,SS005,Supplier and Partner Optionality,network slack suppliers mutual aid and external options,2,7.883,3.0,3.6,protects continuity through supplier diversity mutual aid route alternatives partner trust and external coordination capacity
Operational-first,SS006,Adaptive Governance and Emergency Decision Space,governance slack decision rights and adaptive rules,3,7.864,2.8,3.2,protects adaptation by creating emergency authority flexible budgets escalation paths ethical review and accountable decision space
Operational-first,SS002,Workforce Depth and Recovery Time,staffing depth recovery time and human capacity,4,7.744,2.6,3.4,protects people and function through staffing depth cross-training recovery time workload protection and psychological safety
Operational-first,SS004,Knowledge Architecture and Institutional Memory,knowledge slack decision records and institutional memory,5,7.655,2.9,3.3,protects adaptive capacity through documentation mentoring knowledge maps after-action archives decision records and communities of practice
Operational-first,SS001,Cash Reserves and Liquidity Buffer,financial reserves liquidity and budget flexibility,6,7.25,3.0,3.0,protects essential functions by preventing temporary revenue or cost shocks from forcing destructive cuts insolvency or fire-sale decisions
Knowledge-first,SS004,Knowledge Architecture and Institutional Memory,knowledge slack decision records and institutional memory,1,8.084,2.9,3.3,protects adaptive capacity through documentation mentoring knowledge maps after-action archives decision records and communities of practice
Knowledge-first,SS006,Adaptive Governance and Emergency Decision Space,governance slack decision rights and adaptive rules,2,7.964,2.8,3.2,protects adaptation by creating emergency authority flexible budgets escalation paths ethical review and accountable decision space
Knowledge-first,SS002,Workforce Depth and Recovery Time,staffing depth recovery time and human capacity,3,7.828,2.6,3.4,protects people and function through staffing depth cross-training recovery time workload protection and psychological safety
Knowledge-first,SS005,Supplier and Partner Optionality,network slack suppliers mutual aid and external options,4,7.776,3.0,3.6,protects continuity through supplier diversity mutual aid route alternatives partner trust and external coordination capacity
Knowledge-first,SS003,Critical Operations Redundancy,backup systems spare parts and operational continuity,5,7.679,3.1,3.5,protects critical operations with backup systems spare parts alternate workflows continuity tests and graceful degradation
Knowledge-first,SS001,Cash Reserves and Liquidity Buffer,financial reserves liquidity and budget flexibility,6,7.204,3.0,3.0,protects essential functions by preventing temporary revenue or cost shocks from forcing destructive cuts insolvency or fire-sale decisions
Network-first,SS005,Supplier and Partner Optionality,network slack suppliers mutual aid and external options,1,8.014,3.0,3.6,protects continuity through supplier diversity mutual aid route alternatives partner trust and external coordination capacity
Network-first,SS006,Adaptive Governance and Emergency Decision Space,governance slack decision rights and adaptive rules,2,7.806,2.8,3.2,protects adaptation by creating emergency authority flexible budgets escalation paths ethical review and accountable decision space
Network-first,SS003,Critical Operations Redundancy,backup systems spare parts and operational continuity,3,7.679,3.1,3.5,protects critical operations with backup systems spare parts alternate workflows continuity tests and graceful degradation
Network-first,SS004,Knowledge Architecture and Institutional Memory,knowledge slack decision records and institutional memory,4,7.621,2.9,3.3,protects adaptive capacity through documentation mentoring knowledge maps after-action archives decision records and communities of practice
Network-first,SS002,Workforce Depth and Recovery Time,staffing depth recovery time and human capacity,5,7.583,2.6,3.4,protects people and function through staffing depth cross-training recovery time workload protection and psychological safety
Network-first,SS001,Cash Reserves and Liquidity Buffer,financial reserves liquidity and budget flexibility,6,7.086,3.0,3.0,protects essential functions by preventing temporary revenue or cost shocks from forcing destructive cuts insolvency or fire-sale decisions
Governance-first,SS006,Adaptive Governance and Emergency Decision Space,governance slack decision rights and adaptive rules,1,8.257,2.8,3.2,protects adaptation by creating emergency authority flexible budgets escalation paths ethical review and accountable decision space
Governance-first,SS004,Knowledge Architecture and Institutional Memory,knowledge slack decision records and institutional memory,2,8.012,2.9,3.3,protects adaptive capacity through documentation mentoring knowledge maps after-action archives decision records and communities of practice
Governance-first,SS002,Workforce Depth and Recovery Time,staffing depth recovery time and human capacity,3,7.982,2.6,3.4,protects people and function through staffing depth cross-training recovery time workload protection and psychological safety
Governance-first,SS005,Supplier and Partner Optionality,network slack suppliers mutual aid and external options,4,7.973,3.0,3.6,protects continuity through supplier diversity mutual aid route alternatives partner trust and external coordination capacity
Governance-first,SS003,Critical Operations Redundancy,backup systems spare parts and operational continuity,5,7.867,3.1,3.5,protects critical operations with backup systems spare parts alternate workflows continuity tests and graceful degradation
