 time,function,slack_stock,adaptive_response,fragility_gap,workforce_strain,resilience_score
1, 1.00000, 0.83088, 0.79780, 0.00000, 0.16092, 0.87369
2, 1.00000, 0.86696, 0.79780, 0.00000, 0.00187, 0.90150
3, 1.00000, 0.90302, 0.79780, 0.00000, 0.00000, 0.90824
4, 1.00000, 0.93907, 0.79780, 0.00000, 0.00000, 0.91473
5, 1.00000, 0.97511, 0.79780, 0.00000, 0.00000, 0.92122
6, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
7, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
8, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
9, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
10, 1.00000, 0.95252, 0.79780, 0.00000, 0.00000, 0.91312
11, 1.00000, 0.98850, 0.79780, 0.00000, 0.00000, 0.92363
12, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
13, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
14, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
15, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
16, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
17, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
18, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
19, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
20, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
21, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
22, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
23, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
24, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
25, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
26, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
27, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
28, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
29, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
30, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
31, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
32, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
33, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
34, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
35, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
36, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
37, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
38, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
39, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
40, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
41, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
42, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
43, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
44, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
45, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
46, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
47, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
48, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
49, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
50, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
51, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
52, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
53, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
54, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
55, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
56, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
57, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
58, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
59, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
60, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
61, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
62, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
63, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
64, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
65, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
66, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
67, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
68, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
69, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
70, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
71, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
72, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
73, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
74, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
75, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
76, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
77, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
78, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
79, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
