portfolio_id,portfolio,system_domain,financial_slack,workforce_slack,operational_slack,knowledge_slack,network_slack,governance_slack,ethical_safeguards,ethical_burden,implementation_burden,critical_function,slack_resilience_value,workforce_gap,knowledge_gap,governance_gap,adjusted_value,scenario,rank
SS006,Adaptive Governance and Emergency Decision Space,governance slack decision rights and adaptive rules,7.8,8.1,8,8.4,8.1,9.1,8.4,2.8,3.2,protects adaptation by creating emergency authority flexible budgets escalation paths ethical review and accountable decision space,7.491,0.09999999999999964,0,0,7.484,Balanced,1
SS002,Workforce Depth and Recovery Time,staffing depth recovery time and human capacity,7.5,9.2,7.8,8,7.5,8.2,9.1,2.6,3.4,protects people and function through staffing depth cross-training recovery time workload protection and psychological safety,7.416999999999999,0,0.1999999999999993,0,7.404999999999999,Balanced,2
SS004,Knowledge Architecture and Institutional Memory,knowledge slack decision records and institutional memory,7.4,8,7.6,9.3,7.8,8.5,8.3,2.9,3.3,protects adaptive capacity through documentation mentoring knowledge maps after-action archives decision records and communities of practice,7.347000000000001,0.1999999999999993,0,0,7.333000000000001,Balanced,3
SS005,Supplier and Partner Optionality,network slack suppliers mutual aid and external options,7.6,7.6,8.3,8,9.2,8.3,8.2,3,3.6,protects continuity through supplier diversity mutual aid route alternatives partner trust and external coordination capacity,7.367,0.5999999999999996,0.1999999999999993,0,7.313000000000001,Balanced,4
SS003,Critical Operations Redundancy,backup systems spare parts and operational continuity,7.8,7.8,9.2,7.8,8,8.1,8,3.1,3.5,protects critical operations with backup systems spare parts alternate workflows continuity tests and graceful degradation,7.301,0.39999999999999947,0.39999999999999947,0.09999999999999964,7.243,Balanced,5
SS001,Cash Reserves and Liquidity Buffer,financial reserves liquidity and budget flexibility,9.1,7.2,7.4,7.2,7,7.8,7.8,3,3,protects essential functions by preventing temporary revenue or cost shocks from forcing destructive cuts insolvency or fire-sale decisions,6.895000000000001,0.9999999999999991,0.9999999999999991,0.39999999999999947,6.741000000000001,Balanced,6
SS002,Workforce Depth and Recovery Time,staffing depth recovery time and human capacity,7.5,9.2,7.8,8,7.5,8.2,9.1,2.6,3.4,protects people and function through staffing depth cross-training recovery time workload protection and psychological safety,8.393,0,0.1999999999999993,0,8.381,Ethics-first,1
SS006,Adaptive Governance and Emergency Decision Space,governance slack decision rights and adaptive rules,7.8,8.1,8,8.4,8.1,9.1,8.4,2.8,3.2,protects adaptation by creating emergency authority flexible budgets escalation paths ethical review and accountable decision space,8.248000000000001,0.09999999999999964,0,0,8.241000000000001,Ethics-first,2
SS004,Knowledge Architecture and Institutional Memory,knowledge slack decision records and institutional memory,7.4,8,7.6,9.3,7.8,8.5,8.3,2.9,3.3,protects adaptive capacity through documentation mentoring knowledge maps after-action archives decision records and communities of practice,8.107999999999999,0.1999999999999993,0,0,8.094,Ethics-first,3
SS005,Supplier and Partner Optionality,network slack suppliers mutual aid and external options,7.6,7.6,8.3,8,9.2,8.3,8.2,3,3.6,protects continuity through supplier diversity mutual aid route alternatives partner trust and external coordination capacity,8.068,0.5999999999999996,0.1999999999999993,0,8.014,Ethics-first,4
SS003,Critical Operations Redundancy,backup systems spare parts and operational continuity,7.8,7.8,9.2,7.8,8,8.1,8,3.1,3.5,protects critical operations with backup systems spare parts alternate workflows continuity tests and graceful degradation,7.966000000000001,0.39999999999999947,0.39999999999999947,0.09999999999999964,7.908000000000001,Ethics-first,5
SS001,Cash Reserves and Liquidity Buffer,financial reserves liquidity and budget flexibility,9.1,7.2,7.4,7.2,7,7.8,7.8,3,3,protects essential functions by preventing temporary revenue or cost shocks from forcing destructive cuts insolvency or fire-sale decisions,7.576000000000001,0.9999999999999991,0.9999999999999991,0.39999999999999947,7.4220000000000015,Ethics-first,6
SS006,Adaptive Governance and Emergency Decision Space,governance slack decision rights and adaptive rules,7.8,8.1,8,8.4,8.1,9.1,8.4,2.8,3.2,protects adaptation by creating emergency authority flexible budgets escalation paths ethical review and accountable decision space,7.834,0.09999999999999964,0,0,7.827,Financial-first,1
SS002,Workforce Depth and Recovery Time,staffing depth recovery time and human capacity,7.5,9.2,7.8,8,7.5,8.2,9.1,2.6,3.4,protects people and function through staffing depth cross-training recovery time workload protection and psychological safety,7.683000000000001,0,0.1999999999999993,0,7.671000000000001,Financial-first,2
SS005,Supplier and Partner Optionality,network slack suppliers mutual aid and external options,7.6,7.6,8.3,8,9.2,8.3,8.2,3,3.6,protects continuity through supplier diversity mutual aid route alternatives partner trust and external coordination capacity,7.69,0.5999999999999996,0.1999999999999993,0,7.636000000000001,Financial-first,3
SS003,Critical Operations Redundancy,backup systems spare parts and operational continuity,7.8,7.8,9.2,7.8,8,8.1,8,3.1,3.5,protects critical operations with backup systems spare parts alternate workflows continuity tests and graceful degradation,7.684999999999999,0.39999999999999947,0.39999999999999947,0.09999999999999964,7.626999999999999,Financial-first,4
SS004,Knowledge Architecture and Institutional Memory,knowledge slack decision records and institutional memory,7.4,8,7.6,9.3,7.8,8.5,8.3,2.9,3.3,protects adaptive capacity through documentation mentoring knowledge maps after-action archives decision records and communities of practice,7.619000000000001,0.1999999999999993,0,0,7.605,Financial-first,5
