simulation_id,strategy_id,strategy,rank,resilience_value,winner
0,INF001,Grid Redundancy and Microgrid Expansion,1,7.45722,Grid Redundancy and Microgrid Expansion
0,INF005,Hybrid Wetland and Stormwater Infrastructure,2,7.31945,Grid Redundancy and Microgrid Expansion
0,INF003,Distributed Backup Water and Pumping Capacity,3,7.05551,Grid Redundancy and Microgrid Expansion
0,INF006,Equitable Critical Service Restoration Program,4,6.86608,Grid Redundancy and Microgrid Expansion
0,INF004,Cross-Network Monitoring and Dependency Mapping,5,6.85512,Grid Redundancy and Microgrid Expansion
0,INF002,Flood-Resilient Transport Retrofit Program,6,6.82393,Grid Redundancy and Microgrid Expansion
1,INF006,Equitable Critical Service Restoration Program,1,7.45853,Equitable Critical Service Restoration Program
1,INF001,Grid Redundancy and Microgrid Expansion,2,7.32453,Equitable Critical Service Restoration Program
1,INF005,Hybrid Wetland and Stormwater Infrastructure,3,7.17301,Equitable Critical Service Restoration Program
1,INF002,Flood-Resilient Transport Retrofit Program,4,7.1133,Equitable Critical Service Restoration Program
1,INF004,Cross-Network Monitoring and Dependency Mapping,5,6.98591,Equitable Critical Service Restoration Program
1,INF003,Distributed Backup Water and Pumping Capacity,6,6.8642,Equitable Critical Service Restoration Program
2,INF005,Hybrid Wetland and Stormwater Infrastructure,1,7.52226,Hybrid Wetland and Stormwater Infrastructure
2,INF006,Equitable Critical Service Restoration Program,2,7.40607,Hybrid Wetland and Stormwater Infrastructure
2,INF001,Grid Redundancy and Microgrid Expansion,3,7.36883,Hybrid Wetland and Stormwater Infrastructure
2,INF003,Distributed Backup Water and Pumping Capacity,4,7.2911,Hybrid Wetland and Stormwater Infrastructure
2,INF004,Cross-Network Monitoring and Dependency Mapping,5,7.24933,Hybrid Wetland and Stormwater Infrastructure
2,INF002,Flood-Resilient Transport Retrofit Program,6,6.70751,Hybrid Wetland and Stormwater Infrastructure
3,INF005,Hybrid Wetland and Stormwater Infrastructure,1,7.34551,Hybrid Wetland and Stormwater Infrastructure
3,INF004,Cross-Network Monitoring and Dependency Mapping,2,7.32826,Hybrid Wetland and Stormwater Infrastructure
3,INF006,Equitable Critical Service Restoration Program,3,7.15686,Hybrid Wetland and Stormwater Infrastructure
3,INF001,Grid Redundancy and Microgrid Expansion,4,7.10082,Hybrid Wetland and Stormwater Infrastructure
3,INF003,Distributed Backup Water and Pumping Capacity,5,7.02841,Hybrid Wetland and Stormwater Infrastructure
3,INF002,Flood-Resilient Transport Retrofit Program,6,7.01825,Hybrid Wetland and Stormwater Infrastructure
4,INF006,Equitable Critical Service Restoration Program,1,7.43337,Equitable Critical Service Restoration Program
4,INF003,Distributed Backup Water and Pumping Capacity,2,7.38531,Equitable Critical Service Restoration Program
4,INF004,Cross-Network Monitoring and Dependency Mapping,3,7.23164,Equitable Critical Service Restoration Program
4,INF001,Grid Redundancy and Microgrid Expansion,4,7.1179,Equitable Critical Service Restoration Program
4,INF005,Hybrid Wetland and Stormwater Infrastructure,5,7.01778,Equitable Critical Service Restoration Program
4,INF002,Flood-Resilient Transport Retrofit Program,6,6.99317,Equitable Critical Service Restoration Program
5,INF006,Equitable Critical Service Restoration Program,1,7.76817,Equitable Critical Service Restoration Program
5,INF004,Cross-Network Monitoring and Dependency Mapping,2,7.50477,Equitable Critical Service Restoration Program
5,INF003,Distributed Backup Water and Pumping Capacity,3,7.28531,Equitable Critical Service Restoration Program
5,INF001,Grid Redundancy and Microgrid Expansion,4,7.12608,Equitable Critical Service Restoration Program
5,INF002,Flood-Resilient Transport Retrofit Program,5,6.90711,Equitable Critical Service Restoration Program
5,INF005,Hybrid Wetland and Stormwater Infrastructure,6,6.64705,Equitable Critical Service Restoration Program
6,INF003,Distributed Backup Water and Pumping Capacity,1,7.62352,Distributed Backup Water and Pumping Capacity
6,INF001,Grid Redundancy and Microgrid Expansion,2,7.37284,Distributed Backup Water and Pumping Capacity
6,INF006,Equitable Critical Service Restoration Program,3,7.32096,Distributed Backup Water and Pumping Capacity
6,INF004,Cross-Network Monitoring and Dependency Mapping,4,7.00808,Distributed Backup Water and Pumping Capacity
6,INF005,Hybrid Wetland and Stormwater Infrastructure,5,6.6529,Distributed Backup Water and Pumping Capacity
6,INF002,Flood-Resilient Transport Retrofit Program,6,6.58676,Distributed Backup Water and Pumping Capacity
7,INF001,Grid Redundancy and Microgrid Expansion,1,7.97308,Grid Redundancy and Microgrid Expansion
7,INF005,Hybrid Wetland and Stormwater Infrastructure,2,7.39353,Grid Redundancy and Microgrid Expansion
7,INF006,Equitable Critical Service Restoration Program,3,7.12759,Grid Redundancy and Microgrid Expansion
7,INF002,Flood-Resilient Transport Retrofit Program,4,7.07607,Grid Redundancy and Microgrid Expansion
7,INF003,Distributed Backup Water and Pumping Capacity,5,6.68508,Grid Redundancy and Microgrid Expansion
7,INF004,Cross-Network Monitoring and Dependency Mapping,6,6.63862,Grid Redundancy and Microgrid Expansion
8,INF006,Equitable Critical Service Restoration Program,1,8.0074,Equitable Critical Service Restoration Program
8,INF001,Grid Redundancy and Microgrid Expansion,2,7.50114,Equitable Critical Service Restoration Program
8,INF003,Distributed Backup Water and Pumping Capacity,3,7.19576,Equitable Critical Service Restoration Program
8,INF004,Cross-Network Monitoring and Dependency Mapping,4,7.088,Equitable Critical Service Restoration Program
8,INF002,Flood-Resilient Transport Retrofit Program,5,6.82117,Equitable Critical Service Restoration Program
8,INF005,Hybrid Wetland and Stormwater Infrastructure,6,6.79421,Equitable Critical Service Restoration Program
9,INF001,Grid Redundancy and Microgrid Expansion,1,7.8477,Grid Redundancy and Microgrid Expansion
9,INF006,Equitable Critical Service Restoration Program,2,7.62372,Grid Redundancy and Microgrid Expansion
9,INF003,Distributed Backup Water and Pumping Capacity,3,7.41501,Grid Redundancy and Microgrid Expansion
9,INF004,Cross-Network Monitoring and Dependency Mapping,4,7.24641,Grid Redundancy and Microgrid Expansion
9,INF005,Hybrid Wetland and Stormwater Infrastructure,5,7.03368,Grid Redundancy and Microgrid Expansion
9,INF002,Flood-Resilient Transport Retrofit Program,6,6.97654,Grid Redundancy and Microgrid Expansion
10,INF006,Equitable Critical Service Restoration Program,1,7.64922,Equitable Critical Service Restoration Program
10,INF005,Hybrid Wetland and Stormwater Infrastructure,2,7.31876,Equitable Critical Service Restoration Program
10,INF002,Flood-Resilient Transport Retrofit Program,3,7.15845,Equitable Critical Service Restoration Program
10,INF003,Distributed Backup Water and Pumping Capacity,4,6.97671,Equitable Critical Service Restoration Program
