scenario,strategy_id,strategy,system_domain,rank,resilience_value,cascading_exposure,critical_service
Balanced,INF006,Equitable Critical Service Restoration Program,equity and recovery governance,1,7.444,3.4,prioritizes restoration for medically vulnerable households shelters public housing schools and essential services
Balanced,INF001,Grid Redundancy and Microgrid Expansion,energy infrastructure,2,7.382,3.9,maintains power for hospitals shelters water pumping cooling communications and critical facilities
Balanced,INF003,Distributed Backup Water and Pumping Capacity,water infrastructure,3,7.172,4.0,maintains safe water pressure treatment pumping storage and sanitation during disruption
Balanced,INF005,Hybrid Wetland and Stormwater Infrastructure,nature-based and hybrid infrastructure,4,7.04,3.6,reduces flood peaks heat stormwater stress and ecological degradation through hybrid grey-green systems
Balanced,INF004,Cross-Network Monitoring and Dependency Mapping,cross-network governance,5,6.998,3.8,improves visibility across power water transport communications hospitals and logistics dependencies
Balanced,INF002,Flood-Resilient Transport Retrofit Program,transport infrastructure,6,6.858,4.1,protects emergency routes freight corridors transit access evacuation and repair mobility
Continuity-first,INF001,Grid Redundancy and Microgrid Expansion,energy infrastructure,1,7.728,3.9,maintains power for hospitals shelters water pumping cooling communications and critical facilities
Continuity-first,INF006,Equitable Critical Service Restoration Program,equity and recovery governance,2,7.67,3.4,prioritizes restoration for medically vulnerable households shelters public housing schools and essential services
Continuity-first,INF003,Distributed Backup Water and Pumping Capacity,water infrastructure,3,7.462,4.0,maintains safe water pressure treatment pumping storage and sanitation during disruption
Continuity-first,INF005,Hybrid Wetland and Stormwater Infrastructure,nature-based and hybrid infrastructure,4,7.274,3.6,reduces flood peaks heat stormwater stress and ecological degradation through hybrid grey-green systems
Continuity-first,INF004,Cross-Network Monitoring and Dependency Mapping,cross-network governance,5,7.224,3.8,improves visibility across power water transport communications hospitals and logistics dependencies
Continuity-first,INF002,Flood-Resilient Transport Retrofit Program,transport infrastructure,6,7.172,4.1,protects emergency routes freight corridors transit access evacuation and repair mobility
Redundancy-first,INF001,Grid Redundancy and Microgrid Expansion,energy infrastructure,1,7.78,3.9,maintains power for hospitals shelters water pumping cooling communications and critical facilities
Redundancy-first,INF006,Equitable Critical Service Restoration Program,equity and recovery governance,2,7.566,3.4,prioritizes restoration for medically vulnerable households shelters public housing schools and essential services
Redundancy-first,INF003,Distributed Backup Water and Pumping Capacity,water infrastructure,3,7.514,4.0,maintains safe water pressure treatment pumping storage and sanitation during disruption
Redundancy-first,INF005,Hybrid Wetland and Stormwater Infrastructure,nature-based and hybrid infrastructure,4,7.222,3.6,reduces flood peaks heat stormwater stress and ecological degradation through hybrid grey-green systems
Redundancy-first,INF004,Cross-Network Monitoring and Dependency Mapping,cross-network governance,5,7.094,3.8,improves visibility across power water transport communications hospitals and logistics dependencies
