 time,service_level,stress_load,response_capacity,interdependence_coupling
1, 0.93418, 0.17830, 0.26420, 0.80040
2, 1.00000, 0.17886, 0.26414, 0.80080
3, 1.00000, 0.17941, 0.26407, 0.80122
4, 1.00000, 0.17996, 0.26400, 0.80165
5, 1.00000, 0.18052, 0.26394, 0.80210
6, 1.00000, 0.18108, 0.26386, 0.80255
7, 1.00000, 0.18163, 0.26379, 0.80302
8, 1.00000, 0.18219, 0.26372, 0.80350
9, 1.00000, 0.18276, 0.26364, 0.80399
10, 1.00000, 0.18332, 0.26356, 0.80449
11, 1.00000, 0.18388, 0.26348, 0.80501
12, 0.89535, 0.73540, 0.26340, 0.81656
13, 0.96511, 0.18634, 0.26155, 0.81714
14, 1.00000, 0.18691, 0.26146, 0.81775
15, 1.00000, 0.18749, 0.26136, 0.81836
16, 1.00000, 0.18807, 0.26126, 0.81899
17, 1.00000, 0.18865, 0.26116, 0.81962
18, 1.00000, 0.18923, 0.26106, 0.82028
19, 1.00000, 0.18981, 0.26096, 0.82094
20, 1.00000, 0.19039, 0.26085, 0.82162
21, 1.00000, 0.19098, 0.26074, 0.82231
22, 1.00000, 0.19157, 0.26063, 0.82301
23, 1.00000, 0.19215, 0.26052, 0.82373
24, 1.00000, 0.19274, 0.26040, 0.82446
25, 1.00000, 0.19334, 0.26029, 0.82520
26, 1.00000, 0.19393, 0.26017, 0.82596
27, 0.88631, 0.75632, 0.26005, 0.83797
28, 0.95043, 0.19647, 0.25813, 0.83880
29, 1.00000, 0.19707, 0.25799, 0.83964
30, 1.00000, 0.19768, 0.25786, 0.84050
31, 1.00000, 0.19828, 0.25772, 0.84137
32, 1.00000, 0.19889, 0.25758, 0.84226
33, 1.00000, 0.19950, 0.25744, 0.84316
34, 1.00000, 0.20012, 0.25729, 0.84408
35, 1.00000, 0.20073, 0.25715, 0.84501
36, 1.00000, 0.20134, 0.25700, 0.84595
37, 1.00000, 0.20196, 0.25685, 0.84691
38, 1.00000, 0.20258, 0.25670, 0.84788
39, 1.00000, 0.20320, 0.25654, 0.84886
40, 1.00000, 0.20382, 0.25638, 0.84986
41, 1.00000, 0.20445, 0.25622, 0.85088
42, 0.88109, 0.76391, 0.25606, 0.86308
43, 0.93901, 0.20704, 0.25411, 0.86417
44, 0.99661, 0.20768, 0.25393, 0.86528
45, 1.00000, 0.20831, 0.25376, 0.86640
46, 1.00000, 0.20895, 0.25358, 0.86754
47, 1.00000, 0.20959, 0.25339, 0.86869
48, 1.00000, 0.21023, 0.25321, 0.86986
49, 1.00000, 0.21088, 0.25302, 0.87104
50, 1.00000, 0.21152, 0.25283, 0.87223
51, 1.00000, 0.21217, 0.25264, 0.87344
52, 1.00000, 0.21282, 0.25245, 0.87467
53, 1.00000, 0.21347, 0.25225, 0.87591
54, 1.00000, 0.21413, 0.25205, 0.87717
55, 1.00000, 0.21478, 0.25185, 0.87845
56, 0.88738, 0.73461, 0.25165, 0.89012
57, 0.93898, 0.21734, 0.24978, 0.89147
58, 0.99021, 0.21801, 0.24957, 0.89283
59, 1.00000, 0.21868, 0.24935, 0.89421
60, 1.00000, 0.21935, 0.24913, 0.89561
61, 1.00000, 0.22002, 0.24890, 0.89702
62, 1.00000, 0.22069, 0.24868, 0.89845
63, 1.00000, 0.22137, 0.24845, 0.89990
64, 1.00000, 0.22204, 0.24822, 0.90136
65, 1.00000, 0.22272, 0.24798, 0.90284
66, 1.00000, 0.22341, 0.24775, 0.90434
67, 1.00000, 0.22409, 0.24751, 0.90585
68, 1.00000, 0.22477, 0.24726, 0.90738
69, 1.00000, 0.22546, 0.24702, 0.90892
70, 1.00000, 0.22615, 0.24677, 0.91048
71, 1.00000, 0.22684, 0.24652, 0.91206
72, 1.00000, 0.22754, 0.24627, 0.91366
73, 1.00000, 0.22823, 0.24601, 0.91527
74, 1.00000, 0.22893, 0.24576, 0.91690
75, 1.00000, 0.22963, 0.24550, 0.91855
76, 1.00000, 0.23033, 0.24523, 0.92021
77, 1.00000, 0.23103, 0.24497, 0.92189
78, 1.00000, 0.23174, 0.24470, 0.92359
79, 1.00000, 0.23245, 0.24443, 0.92531
80, 1.00000, 0.23316, 0.24415, 0.92704
