strategy_id,strategy,system_domain,service_continuity,redundancy,recovery_speed,adaptive_capacity,equity_protection,cascading_exposure,critical_service,resilience_value,scenario,rank
INF006,Equitable Critical Service Restoration Program,equity and recovery governance,8.4,8,8.6,8.1,8.9,3.4,prioritizes restoration for medically vulnerable households shelters public housing schools and essential services,7.588,Adaptation-first,1
INF001,Grid Redundancy and Microgrid Expansion,energy infrastructure,8.7,8.9,8,8.2,7.8,3.9,maintains power for hospitals shelters water pumping cooling communications and critical facilities,7.574000000000001,Adaptation-first,2
INF004,Cross-Network Monitoring and Dependency Mapping,cross-network governance,7.9,7.4,8.2,8.6,7.7,3.8,improves visibility across power water transport communications hospitals and logistics dependencies,7.443999999999999,Adaptation-first,3
INF005,Hybrid Wetland and Stormwater Infrastructure,nature-based and hybrid infrastructure,8,7.8,7.6,8.4,8.1,3.6,reduces flood peaks heat stormwater stress and ecological degradation through hybrid grey-green systems,7.398000000000001,Adaptation-first,4
INF003,Distributed Backup Water and Pumping Capacity,water infrastructure,8.3,8.5,7.9,8,7.9,4,maintains safe water pressure treatment pumping storage and sanitation during disruption,7.367999999999999,Adaptation-first,5
INF002,Flood-Resilient Transport Retrofit Program,transport infrastructure,8.1,7.6,7.8,7.9,7.6,4.1,protects emergency routes freight corridors transit access evacuation and repair mobility,7.122000000000001,Adaptation-first,6
INF006,Equitable Critical Service Restoration Program,equity and recovery governance,8.4,8,8.6,8.1,8.9,3.4,prioritizes restoration for medically vulnerable households shelters public housing schools and essential services,7.444000000000001,Balanced,1
INF001,Grid Redundancy and Microgrid Expansion,energy infrastructure,8.7,8.9,8,8.2,7.8,3.9,maintains power for hospitals shelters water pumping cooling communications and critical facilities,7.382,Balanced,2
INF003,Distributed Backup Water and Pumping Capacity,water infrastructure,8.3,8.5,7.9,8,7.9,4,maintains safe water pressure treatment pumping storage and sanitation during disruption,7.172000000000001,Balanced,3
INF005,Hybrid Wetland and Stormwater Infrastructure,nature-based and hybrid infrastructure,8,7.8,7.6,8.4,8.1,3.6,reduces flood peaks heat stormwater stress and ecological degradation through hybrid grey-green systems,7.040000000000001,Balanced,4
INF004,Cross-Network Monitoring and Dependency Mapping,cross-network governance,7.9,7.4,8.2,8.6,7.7,3.8,improves visibility across power water transport communications hospitals and logistics dependencies,6.998,Balanced,5
INF002,Flood-Resilient Transport Retrofit Program,transport infrastructure,8.1,7.6,7.8,7.9,7.6,4.1,protects emergency routes freight corridors transit access evacuation and repair mobility,6.858,Balanced,6
INF006,Equitable Critical Service Restoration Program,equity and recovery governance,8.4,8,8.6,8.1,8.9,3.4,prioritizes restoration for medically vulnerable households shelters public housing schools and essential services,5.314,Cascade-sensitive,1
INF001,Grid Redundancy and Microgrid Expansion,energy infrastructure,8.7,8.9,8,8.2,7.8,3.9,maintains power for hospitals shelters water pumping cooling communications and critical facilities,5.18,Cascade-sensitive,2
INF003,Distributed Backup Water and Pumping Capacity,water infrastructure,8.3,8.5,7.9,8,7.9,4,maintains safe water pressure treatment pumping storage and sanitation during disruption,4.988,Cascade-sensitive,3
INF005,Hybrid Wetland and Stormwater Infrastructure,nature-based and hybrid infrastructure,8,7.8,7.6,8.4,8.1,3.6,reduces flood peaks heat stormwater stress and ecological degradation through hybrid grey-green systems,4.964,Cascade-sensitive,4
INF004,Cross-Network Monitoring and Dependency Mapping,cross-network governance,7.9,7.4,8.2,8.6,7.7,3.8,improves visibility across power water transport communications hospitals and logistics dependencies,4.894,Cascade-sensitive,5
INF002,Flood-Resilient Transport Retrofit Program,transport infrastructure,8.1,7.6,7.8,7.9,7.6,4.1,protects emergency routes freight corridors transit access evacuation and repair mobility,4.718,Cascade-sensitive,6
INF001,Grid Redundancy and Microgrid Expansion,energy infrastructure,8.7,8.9,8,8.2,7.8,3.9,maintains power for hospitals shelters water pumping cooling communications and critical facilities,7.728,Continuity-first,1
INF006,Equitable Critical Service Restoration Program,equity and recovery governance,8.4,8,8.6,8.1,8.9,3.4,prioritizes restoration for medically vulnerable households shelters public housing schools and essential services,7.670000000000001,Continuity-first,2
INF003,Distributed Backup Water and Pumping Capacity,water infrastructure,8.3,8.5,7.9,8,7.9,4,maintains safe water pressure treatment pumping storage and sanitation during disruption,7.462,Continuity-first,3
INF005,Hybrid Wetland and Stormwater Infrastructure,nature-based and hybrid infrastructure,8,7.8,7.6,8.4,8.1,3.6,reduces flood peaks heat stormwater stress and ecological degradation through hybrid grey-green systems,7.274,Continuity-first,4
INF004,Cross-Network Monitoring and Dependency Mapping,cross-network governance,7.9,7.4,8.2,8.6,7.7,3.8,improves visibility across power water transport communications hospitals and logistics dependencies,7.224,Continuity-first,5
INF002,Flood-Resilient Transport Retrofit Program,transport infrastructure,8.1,7.6,7.8,7.9,7.6,4.1,protects emergency routes freight corridors transit access evacuation and repair mobility,7.172,Continuity-first,6
INF006,Equitable Critical Service Restoration Program,equity and recovery governance,8.4,8,8.6,8.1,8.9,3.4,prioritizes restoration for medically vulnerable households shelters public housing schools and essential services,8.074,Equity-first,1
INF001,Grid Redundancy and Microgrid Expansion,energy infrastructure,8.7,8.9,8,8.2,7.8,3.9,maintains power for hospitals shelters water pumping cooling communications and critical facilities,7.688000000000001,Equity-first,2
INF003,Distributed Backup Water and Pumping Capacity,water infrastructure,8.3,8.5,7.9,8,7.9,4,maintains safe water pressure treatment pumping storage and sanitation during disruption,7.5760000000000005,Equity-first,3
INF005,Hybrid Wetland and Stormwater Infrastructure,nature-based and hybrid infrastructure,8,7.8,7.6,8.4,8.1,3.6,reduces flood peaks heat stormwater stress and ecological degradation through hybrid grey-green systems,7.542,Equity-first,4
INF004,Cross-Network Monitoring and Dependency Mapping,cross-network governance,7.9,7.4,8.2,8.6,7.7,3.8,improves visibility across power water transport communications hospitals and logistics dependencies,7.404,Equity-first,5
INF002,Flood-Resilient Transport Retrofit Program,transport infrastructure,8.1,7.6,7.8,7.9,7.6,4.1,protects emergency routes freight corridors transit access evacuation and repair mobility,7.266,Equity-first,6
INF006,Equitable Critical Service Restoration Program,equity and recovery governance,8.4,8,8.6,8.1,8.9,3.4,prioritizes restoration for medically vulnerable households shelters public housing schools and essential services,7.734000000000001,Recovery-first,1
