time,equilibrium_state
1,1.000000
2,0.900000
3,0.810000
4,0.729000
5,0.656100
6,0.590490
7,0.531441
8,0.478297
9,0.430467
10,0.387420
11,0.348678
12,0.313811
13,0.282430
14,0.254187
15,0.228768
16,0.205891
17,0.185302
18,0.166772
19,0.150095
20,0.135085
21,0.121577
22,0.109419
23,0.098477
24,0.088629
25,0.079766
26,0.071790
27,0.064611
28,0.058150
29,0.052335
30,0.047101
31,0.042391
32,0.038152
33,0.034337
34,0.030903
35,0.027813
36,0.025032
37,0.022528
38,0.020276
39,0.018248
40,0.016423
41,0.014781
42,0.013303
43,0.011973
44,0.010775
45,0.009698
46,0.008728
47,0.007855
48,0.007070
49,0.006363
50,0.005726
51,0.005154
52,0.004638
53,0.004175
54,0.003757
55,0.003381
56,0.003043
57,0.002739
58,0.002465
59,0.002219
60,0.001997
61,0.001797
62,0.001617
63,0.001456
64,0.001310
65,0.001179
66,0.001061
67,0.000955
68,0.000860
69,0.000774
70,0.000696
71,0.000627
72,0.000564
73,0.000508
74,0.000457
75,0.000411
76,0.000370
77,0.000333
78,0.000300
79,0.000270
80,0.000243
81,0.000218
82,0.000197
83,0.000177
84,0.000159
85,0.000143
86,0.000129
87,0.000116
88,0.000104
89,0.000094
90,0.000085
91,0.000076
92,0.000069
93,0.000062
94,0.000056
95,0.000050
96,0.000045
97,0.000040
98,0.000036
99,0.000033
100,0.000030
101,0.000027
102,0.000024
103,0.000022
104,0.000019
105,0.000017
106,0.000016
107,0.000014
108,0.000013
109,0.000011
110,0.000010
111,0.000009
112,0.000008
113,0.000008
114,0.000007
115,0.000006
116,0.000005
117,0.000005
118,0.000004
119,0.000004
120,0.000004
121,0.000003
122,0.000003
123,0.000003
124,0.000002
125,0.000002
126,0.000002
127,0.000002
128,0.000002
129,0.000001
130,0.000001
131,0.000001
132,0.000001
133,0.000001
134,0.000001
135,0.000001
136,0.000001
137,0.000001
138,0.000001
139,0.000000
140,0.000000
141,0.000000
142,0.000000
143,0.000000
144,0.000000
145,0.000000
146,0.000000
147,0.000000
148,0.000000
149,0.000000
150,0.000000
151,0.000000
152,0.000000
153,0.000000
154,0.000000
155,0.000000
156,0.000000
157,0.000000
158,0.000000
159,0.000000
160,0.000000
