time,equilibrium_state,pressure,threshold_state,basin_width,disturbance_load,adaptive_capacity,resilience_margin
1,1.0,-0.45,-0.9,0.85,0.1,0.361105,1.111105
2,0.9,-0.441824,-0.935141,0.847484,0.103774,0.372177,1.115887
3,0.81,-0.433648,-0.967368,0.844969,0.107547,0.383179,1.120601
4,0.729,-0.425472,-0.996583,0.842453,0.111321,0.39408,1.125212
5,0.6561,-0.417296,-1.022771,0.839937,0.115094,0.404844,1.129687
6,0.59049,-0.409119,-1.045985,0.837421,0.118868,0.415439,1.133992
7,0.531441,-0.400943,-1.066342,0.834906,0.122642,0.425832,1.138096
8,0.478297,-0.392767,-1.084003,0.83239,0.126415,0.435991,1.141966
9,0.430467,-0.384591,-1.099164,0.829874,0.130189,0.445885,1.145571
10,0.38742,-0.376415,-1.112041,0.827358,0.133962,0.455483,1.148879
11,0.348678,-0.368239,-1.122855,0.824843,0.137736,0.464756,1.151862
12,0.313811,-0.360063,-1.131831,0.822327,0.141509,0.473674,1.154492
13,0.28243,-0.351887,-1.13918,0.819811,0.145283,0.482211,1.156739
14,0.254187,-0.343711,-1.145103,0.817296,0.149057,0.49034,1.158579
15,0.228768,-0.335535,-1.149784,0.81478,0.15283,0.498035,1.159985
16,0.205891,-0.327358,-1.153389,0.812264,0.156604,0.505274,1.160935
17,0.185302,-0.319182,-1.156066,0.809748,0.160377,0.512034,1.161405
18,0.166772,-0.311006,-1.157947,0.807233,0.164151,0.518294,1.161376
19,0.150095,-0.30283,-1.159144,0.804717,0.167925,0.524035,1.160827
20,0.135085,-0.294654,-1.159758,0.802201,0.171698,0.529238,1.159742
21,0.121577,-0.286478,-1.159872,0.799686,0.175472,0.533889,1.158103
22,0.109419,-0.278302,-1.159561,0.79717,0.179245,0.537972,1.155897
23,0.098477,-0.270126,-1.158887,0.794654,0.183019,0.541475,1.15311
24,0.088629,-0.26195,-1.157903,0.792138,0.186792,0.544388,1.149733
25,0.079766,-0.253774,-1.156654,0.789623,0.190566,0.5467,1.145757
26,0.07179,-0.245597,-1.155179,0.787107,0.19434,0.548406,1.141173
27,0.064611,-0.237421,-1.153509,0.784591,0.198113,0.549499,1.135977
28,0.05815,-0.229245,-1.151672,0.782075,0.201887,0.549977,1.130165
29,0.052335,-0.221069,-1.149692,0.77956,0.20566,0.549837,1.123737
30,0.047101,-0.212893,-1.147587,0.777044,0.209434,0.549082,1.116692
31,0.042391,-0.204717,-1.145374,0.774528,0.213208,0.547711,1.109032
32,0.038152,-0.196541,-1.143067,0.772013,0.216981,0.545731,1.100763
33,0.034337,-0.188365,-1.140677,0.769497,0.220755,0.543147,1.091889
34,0.030903,-0.180189,-1.138214,0.766981,0.224528,0.539967,1.08242
35,0.027813,-0.172013,-1.135687,0.764465,0.228302,0.5362,1.072364
36,0.025032,-0.163836,-1.133102,0.76195,0.232075,0.531859,1.061734
37,0.022528,-0.15566,-1.130465,0.759434,0.235849,0.526957,1.050542
38,0.020276,-0.147484,-1.127781,0.756918,0.239623,0.521509,1.038805
39,0.018248,-0.139308,-1.125054,0.754403,0.243396,0.515532,1.026538
40,0.016423,-0.131132,-1.122287,0.751887,0.24717,0.509044,1.013761
41,0.014781,-0.122956,-1.119483,0.749371,0.250943,0.502065,1.000493
42,0.013303,-0.11478,-1.116644,0.746855,0.254717,0.494617,0.986756
43,0.011973,-0.106604,-1.113773,0.74434,0.258491,0.486723,0.972572
44,0.010775,-0.098428,-1.110871,0.741824,0.262264,0.478407,0.957967
45,0.009698,-0.090252,-1.107938,0.739308,0.266038,0.469694,0.942965
46,0.008728,-0.082075,-1.104978,0.736792,0.269811,0.460613,0.927594
47,0.007855,-0.073899,-1.101989,0.734277,0.273585,0.45119,0.911882
48,0.00707,-0.065723,-1.098973,0.731761,0.277358,0.441455,0.895857
49,0.006363,-0.057547,-1.09593,0.729245,0.281132,0.431437,0.87955
50,0.005726,-0.049371,-1.092861,0.72673,0.284906,0.421168,0.862992
51,0.005154,-0.041195,-1.089765,0.724214,0.288679,0.41068,0.846215
52,0.004638,-0.033019,-1.086643,0.721698,0.292453,0.400005,0.82925
53,0.004175,-0.024843,-1.083496,0.719182,0.296226,0.389175,0.812131
54,0.003757,-0.016667,-1.080322,0.716667,0.3,0.378224,0.794891
55,0.003381,-0.008491,-1.077123,0.714151,0.303774,0.367186,0.777564
56,0.003043,-0.000314,-1.073896,0.711635,0.307547,0.356095,0.760183
57,0.002739,0.007862,-1.070644,0.709119,0.311321,0.344986,0.742784
58,0.002465,0.016038,-1.067365,0.706604,0.315094,0.333892,0.725401
59,0.002219,0.024214,-1.064058,0.704088,0.318868,0.322847,0.708067
60,0.001997,0.03239,-1.060725,0.701572,0.322642,0.311886,0.690817
61,0.001797,0.040566,-1.057363,0.699057,0.326415,0.301043,0.673685
62,0.001617,0.048742,-1.053974,0.696541,0.330189,0.290351,0.656704
63,0.001456,0.056918,-1.050555,0.694025,0.333962,0.279843,0.639906
64,0.00131,0.065094,-1.047108,0.691509,0.337736,0.269552,0.623325
65,0.001179,0.07327,-1.043631,0.688994,0.341509,0.259509,0.606993
66,0.001061,0.081447,-1.040124,0.686478,0.345283,0.249745,0.59094
67,0.000955,0.089623,-1.036587,0.683962,0.349057,0.24029,0.575196
68,0.00086,0.097799,-1.033018,0.681447,0.35283,0.231174,0.55979
69,0.000774,0.105975,-1.029417,0.678931,0.356604,0.222424,0.544751
70,0.000696,0.114151,-1.025784,0.676415,0.360377,0.214068,0.530106
71,0.000627,0.122327,-1.022117,0.673899,0.364151,0.206132,0.51588
72,0.000564,0.130503,-1.018417,0.671384,0.367925,0.19864,0.502099
73,0.000508,0.138679,-1.014682,0.668868,0.371698,0.191614,0.488784
74,0.000457,0.146855,-1.010912,0.666352,0.375472,0.185077,0.475958
75,0.000411,0.155031,-1.007106,0.663836,0.379245,0.179049,0.463641
76,0.00037,0.163208,-1.003263,0.661321,0.383019,0.173549,0.451851
77,0.000333,0.171384,-0.999382,0.658805,0.386792,0.168593,0.440606
78,0.0003,0.17956,-0.995463,0.656289,0.390566,0.164197,0.42992
79,0.00027,0.187736,-0.991504,0.653774,0.39434,0.160374,0.419808
80,0.000243,0.195912,-0.987505,0.651258,0.398113,0.157137,0.410281
81,0.000218,0.204088,-0.983464,0.648742,0.401887,0.154494,0.401349
82,0.000197,0.212264,-0.979381,0.646226,0.40566,0.152455,0.393021
83,0.000177,0.22044,-0.975254,0.643711,0.409434,0.151025,0.385302
84,0.000159,0.228616,-0.971083,0.641195,0.413208,0.150209,0.378196
85,0.000143,0.236792,-0.966867,0.638679,0.416981,0.15001,0.371708
86,0.000129,0.244969,-0.962603,0.636164,0.420755,0.150427,0.365836
87,0.000116,0.253145,-0.958291,0.633648,0.424528,0.151461,0.36058
88,0.000104,0.261321,-0.95393,0.631132,0.428302,0.153107,0.355937
89,9.4e-05,0.269497,-0.949519,0.628616,0.432075,0.155361,0.351902
