 time,pressure,threshold_state
1,-0.45000,-0.90000
2,-0.44182,-0.93514
3,-0.43365,-0.96737
4,-0.42547,-0.99658
5,-0.41730,-1.02277
6,-0.40912,-1.04599
7,-0.40094,-1.06634
8,-0.39277,-1.08400
9,-0.38459,-1.09916
10,-0.37642,-1.11204
11,-0.36824,-1.12286
12,-0.36006,-1.13183
13,-0.35189,-1.13918
14,-0.34371,-1.14510
15,-0.33553,-1.14978
16,-0.32736,-1.15339
17,-0.31918,-1.15607
18,-0.31101,-1.15795
19,-0.30283,-1.15914
20,-0.29465,-1.15976
21,-0.28648,-1.15987
22,-0.27830,-1.15956
23,-0.27013,-1.15889
24,-0.26195,-1.15790
25,-0.25377,-1.15665
26,-0.24560,-1.15518
27,-0.23742,-1.15351
28,-0.22925,-1.15167
29,-0.22107,-1.14969
30,-0.21289,-1.14759
31,-0.20472,-1.14537
32,-0.19654,-1.14307
33,-0.18836,-1.14068
34,-0.18019,-1.13821
35,-0.17201,-1.13569
36,-0.16384,-1.13310
37,-0.15566,-1.13047
38,-0.14748,-1.12778
39,-0.13931,-1.12505
40,-0.13113,-1.12229
41,-0.12296,-1.11948
42,-0.11478,-1.11664
43,-0.10660,-1.11377
44,-0.09843,-1.11087
45,-0.09025,-1.10794
46,-0.08208,-1.10498
47,-0.07390,-1.10199
48,-0.06572,-1.09897
49,-0.05755,-1.09593
50,-0.04937,-1.09286
51,-0.04119,-1.08977
52,-0.03302,-1.08664
53,-0.02484,-1.08350
54,-0.01667,-1.08032
55,-0.00849,-1.07712
56,-0.00031,-1.07390
57, 0.00786,-1.07064
58, 0.01604,-1.06736
59, 0.02421,-1.06406
60, 0.03239,-1.06072
61, 0.04057,-1.05736
62, 0.04874,-1.05397
63, 0.05692,-1.05056
64, 0.06509,-1.04711
65, 0.07327,-1.04363
66, 0.08145,-1.04012
67, 0.08962,-1.03659
68, 0.09780,-1.03302
69, 0.10597,-1.02942
70, 0.11415,-1.02578
71, 0.12233,-1.02212
72, 0.13050,-1.01842
73, 0.13868,-1.01468
74, 0.14686,-1.01091
75, 0.15503,-1.00711
76, 0.16321,-1.00326
77, 0.17138,-0.99938
78, 0.17956,-0.99546
79, 0.18774,-0.99150
80, 0.19591,-0.98750
81, 0.20409,-0.98346
82, 0.21226,-0.97938
83, 0.22044,-0.97525
84, 0.22862,-0.97108
85, 0.23679,-0.96687
86, 0.24497,-0.96260
87, 0.25314,-0.95829
88, 0.26132,-0.95393
89, 0.26950,-0.94952
90, 0.27767,-0.94505
91, 0.28585,-0.94054
92, 0.29403,-0.93597
93, 0.30220,-0.93134
94, 0.31038,-0.92665
95, 0.31855,-0.92190
96, 0.32673,-0.91709
97, 0.33491,-0.91222
98, 0.34308,-0.90729
99, 0.35126,-0.90228
100, 0.35943,-0.89721
101, 0.36761,-0.89206
102, 0.37579,-0.88684
103, 0.38396,-0.88155
104, 0.39214,-0.87617
105, 0.40031,-0.87071
106, 0.40849,-0.86517
107, 0.41667,-0.85954
108, 0.42484,-0.85382
109, 0.43302,-0.84801
110, 0.44119,-0.84210
111, 0.44937,-0.83609
112, 0.45755,-0.82997
113, 0.46572,-0.82375
114, 0.47390,-0.81741
115, 0.48208,-0.81096
116, 0.49025,-0.80438
117, 0.49843,-0.79768
118, 0.50660,-0.79084
119, 0.51478,-0.78387
120, 0.52296,-0.77675
121, 0.53113,-0.76948
122, 0.53931,-0.76206
123, 0.54748,-0.75447
124, 0.55566,-0.74671
125, 0.56384,-0.73877
126, 0.57201,-0.73064
127, 0.58019,-0.72231
128, 0.58836,-0.71378
129, 0.59654,-0.70503
130, 0.60472,-0.69605
131, 0.61289,-0.68682
132, 0.62107,-0.67735
133, 0.62925,-0.66760
134, 0.63742,-0.65757
135, 0.64560,-0.64724
136, 0.65377,-0.63659
137, 0.66195,-0.62561
138, 0.67013,-0.61427
139, 0.67830,-0.60255
140, 0.68648,-0.59043
141, 0.69465,-0.57788
142, 0.70283,-0.56487
143, 0.71101,-0.55137
144, 0.71918,-0.53736
145, 0.72736,-0.52279
146, 0.73553,-0.50762
147, 0.74371,-0.49181
148, 0.75189,-0.47532
149, 0.76006,-0.45809
150, 0.76824,-0.44007
151, 0.77642,-0.42119
152, 0.78459,-0.40139
153, 0.79277,-0.38059
154, 0.80094,-0.35872
155, 0.80912,-0.33569
156, 0.81730,-0.31140
157, 0.82547,-0.28574
158, 0.83365,-0.25861
159, 0.84182,-0.22987
160, 0.85000,-0.19941
