time,equilibrium_state,pressure,threshold_state
1,1,-0.45,-0.9
2,0.9,-0.441824,-0.935141
3,0.81,-0.433648,-0.967368
4,0.729,-0.425472,-0.996583
5,0.6561,-0.417296,-1.02277
6,0.59049,-0.409119,-1.04599
7,0.531441,-0.400943,-1.06634
8,0.478297,-0.392767,-1.084
9,0.430467,-0.384591,-1.09916
10,0.38742,-0.376415,-1.11204
11,0.348678,-0.368239,-1.12286
12,0.313811,-0.360063,-1.13183
13,0.28243,-0.351887,-1.13918
14,0.254187,-0.343711,-1.1451
15,0.228768,-0.335535,-1.14978
16,0.205891,-0.327358,-1.15339
17,0.185302,-0.319182,-1.15607
18,0.166772,-0.311006,-1.15795
19,0.150095,-0.30283,-1.15914
20,0.135085,-0.294654,-1.15976
21,0.121577,-0.286478,-1.15987
22,0.109419,-0.278302,-1.15956
23,0.0984771,-0.270126,-1.15889
24,0.0886294,-0.26195,-1.1579
25,0.0797664,-0.253774,-1.15665
26,0.0717898,-0.245597,-1.15518
27,0.0646108,-0.237421,-1.15351
28,0.0581497,-0.229245,-1.15167
29,0.0523348,-0.221069,-1.14969
30,0.0471013,-0.212893,-1.14759
31,0.0423912,-0.204717,-1.14537
32,0.038152,-0.196541,-1.14307
33,0.0343368,-0.188365,-1.14068
34,0.0309032,-0.180189,-1.13821
35,0.0278128,-0.172013,-1.13569
36,0.0250316,-0.163836,-1.1331
37,0.0225284,-0.15566,-1.13047
38,0.0202756,-0.147484,-1.12778
39,0.018248,-0.139308,-1.12505
40,0.0164232,-0.131132,-1.12229
41,0.0147809,-0.122956,-1.11948
42,0.0133028,-0.11478,-1.11664
43,0.0119725,-0.106604,-1.11377
44,0.0107753,-0.0984277,-1.11087
45,0.00969774,-0.0902516,-1.10794
46,0.00872796,-0.0820755,-1.10498
47,0.00785517,-0.0738994,-1.10199
48,0.00706965,-0.0657233,-1.09897
49,0.00636269,-0.0575472,-1.09593
50,0.00572642,-0.0493711,-1.09286
51,0.00515378,-0.041195,-1.08977
52,0.0046384,-0.0330189,-1.08664
53,0.00417456,-0.0248428,-1.0835
54,0.0037571,-0.0166667,-1.08032
55,0.00338139,-0.00849057,-1.07712
56,0.00304325,-0.000314465,-1.0739
57,0.00273893,0.00786164,-1.07064
58,0.00246503,0.0160377,-1.06736
59,0.00221853,0.0242138,-1.06406
60,0.00199668,0.0323899,-1.06072
61,0.00179701,0.040566,-1.05736
62,0.00161731,0.0487421,-1.05397
63,0.00145558,0.0569182,-1.05056
64,0.00131002,0.0650943,-1.04711
65,0.00117902,0.0732704,-1.04363
66,0.00106112,0.0814465,-1.04012
67,0.000955005,0.0896226,-1.03659
68,0.000859504,0.0977987,-1.03302
69,0.000773554,0.105975,-1.02942
70,0.000696199,0.114151,-1.02578
71,0.000626579,0.122327,-1.02212
72,0.000563921,0.130503,-1.01842
73,0.000507529,0.138679,-1.01468
74,0.000456776,0.146855,-1.01091
75,0.000411098,0.155031,-1.00711
76,0.000369988,0.163208,-1.00326
77,0.00033299,0.171384,-0.999382
78,0.000299691,0.17956,-0.995463
79,0.000269722,0.187736,-0.991504
80,0.000242749,0.195912,-0.987505
81,0.000218475,0.204088,-0.983464
82,0.000196627,0.212264,-0.979381
83,0.000176964,0.22044,-0.975254
84,0.000159268,0.228616,-0.971083
85,0.000143341,0.236792,-0.966867
86,0.000129007,0.244969,-0.962603
87,0.000116106,0.253145,-0.958291
88,0.000104496,0.261321,-0.95393
89,9.40461e-05,0.269497,-0.949519
90,8.46415e-05,0.277673,-0.945055
91,7.61773e-05,0.285849,-0.940538
92,6.85596e-05,0.294025,-0.935965
93,6.17037e-05,0.302201,-0.931337
94,5.55333e-05,0.310377,-0.92665
95,4.998e-05,0.318553,-0.921903
96,4.4982e-05,0.32673,-0.917095
97,4.04838e-05,0.334906,-0.912223
98,3.64354e-05,0.343082,-0.907286
99,3.27919e-05,0.351258,-0.902281
100,2.95127e-05,0.359434,-0.897207
101,2.65614e-05,0.36761,-0.892061
102,2.39053e-05,0.375786,-0.886841
103,2.15147e-05,0.383962,-0.881545
104,1.93633e-05,0.392138,-0.87617
105,1.74269e-05,0.400314,-0.870713
106,1.56842e-05,0.408491,-0.865171
107,1.41158e-05,0.416667,-0.859542
108,1.27042e-05,0.424843,-0.853823
109,1.14338e-05,0.433019,-0.84801
110,1.02904e-05,0.441195,-0.8421
111,9.26139e-06,0.449371,-0.836089
112,8.33525e-06,0.457547,-0.829973
113,7.50172e-06,0.465723,-0.823749
114,6.75155e-06,0.473899,-0.817412
115,6.0764e-06,0.482075,-0.810957
116,5.46876e-06,0.490252,-0.804381
117,4.92188e-06,0.498428,-0.797678
118,4.42969e-06,0.506604,-0.790842
119,3.98672e-06,0.51478,-0.783869
120,3.58805e-06,0.522956,-0.776751
121,3.22925e-06,0.531132,-0.769484
122,2.90632e-06,0.539308,-0.762059
123,2.61569e-06,0.547484,-0.75447
124,2.35412e-06,0.55566,-0.74671
125,2.11871e-06,0.563836,-0.73877
126,1.90684e-06,0.572013,-0.730641
127,1.71615e-06,0.580189,-0.722315
128,1.54454e-06,0.588365,-0.713781
129,1.39008e-06,0.596541,-0.705029
130,1.25108e-06,0.604717,-0.696047
131,1.12597e-06,0.612893,-0.686824
132,1.01337e-06,0.621069,-0.677346
133,9.12034e-07,0.629245,-0.6676
134,8.20831e-07,0.637421,-0.65757
135,7.38748e-07,0.645597,-0.64724
136,6.64873e-07,0.653774,-0.636592
137,5.98386e-07,0.66195,-0.625608
138,5.38547e-07,0.670126,-0.614268
139,4.84693e-07,0.678302,-0.602548
140,4.36223e-07,0.686478,-0.590426
141,3.92601e-07,0.694654,-0.577876
142,3.53341e-07,0.70283,-0.564869
143,3.18007e-07,0.711006,-0.551375
144,2.86206e-07,0.719182,-0.53736
145,2.57585e-07,0.727358,-0.522788
146,2.31827e-07,0.735535,-0.507621
147,2.08644e-07,0.743711,-0.491814
148,1.8778e-07,0.751887,-0.475322
149,1.69002e-07,0.760063,-0.458092
150,1.52102e-07,0.768239,-0.440068
151,1.36891e-07,0.776415,-0.42119
152,1.23202e-07,0.784591,-0.40139
153,1.10882e-07,0.792767,-0.380595
154,9.97939e-08,0.800943,-0.358724
155,8.98145e-08,0.809119,-0.335689
156,8.0833e-08,0.817296,-0.311396
157,7.27497e-08,0.825472,-0.28574
158,6.54748e-08,0.833648,-0.258606
159,5.89273e-08,0.841824,-0.229874
160,5.30346e-08,0.85,-0.19941
