 time,governance_function,stress_load,response_capacity,dependency,equity_adjusted
1, 1.00000, 0.15878, 0.45520, 0.75817, 1.00000
2, 1.00000, 0.15881, 0.45538, 0.75634, 1.00000
3, 1.00000, 0.15885, 0.45557, 0.75450, 1.00000
4, 1.00000, 0.15888, 0.45575, 0.75267, 1.00000
5, 1.00000, 0.15891, 0.45593, 0.75083, 1.00000
6, 1.00000, 0.15895, 0.45612, 0.74899, 1.00000
7, 1.00000, 0.15898, 0.45630, 0.74715, 1.00000
8, 1.00000, 0.15901, 0.45648, 0.74531, 1.00000
9, 1.00000, 0.15904, 0.45667, 0.74347, 1.00000
10, 1.00000, 0.15908, 0.45685, 0.74162, 1.00000
11, 1.00000, 0.15911, 0.45704, 0.73978, 1.00000
12, 1.00000, 0.81898, 0.45722, 0.75113, 0.86896
13, 1.00000, 0.16023, 0.45609, 0.74932, 1.00000
14, 1.00000, 0.16027, 0.45627, 0.74750, 1.00000
15, 1.00000, 0.16030, 0.45645, 0.74569, 1.00000
16, 1.00000, 0.16033, 0.45663, 0.74387, 1.00000
17, 1.00000, 0.16037, 0.45681, 0.74205, 1.00000
18, 1.00000, 0.16040, 0.45699, 0.74023, 1.00000
19, 1.00000, 0.16044, 0.45718, 0.73841, 1.00000
20, 1.00000, 0.16047, 0.45736, 0.73659, 1.00000
21, 1.00000, 0.16051, 0.45754, 0.73477, 1.00000
22, 1.00000, 0.16054, 0.45772, 0.73295, 1.00000
23, 1.00000, 0.16058, 0.45791, 0.73112, 1.00000
24, 1.00000, 0.16061, 0.45809, 0.72929, 1.00000
25, 1.00000, 0.16064, 0.45827, 0.72747, 1.00000
26, 1.00000, 0.16068, 0.45845, 0.72564, 1.00000
27, 1.00000, 0.16071, 0.45864, 0.72381, 1.00000
28, 1.00000, 0.16074, 0.45882, 0.72197, 1.00000
29, 1.00000, 0.16078, 0.45900, 0.72014, 1.00000
30, 1.00000, 0.16081, 0.45919, 0.71830, 1.00000
31, 1.00000, 0.16084, 0.45937, 0.71647, 1.00000
32, 1.00000, 0.16088, 0.45955, 0.71463, 1.00000
33, 1.00000, 0.16091, 0.45974, 0.71279, 1.00000
34, 1.00000, 0.16094, 0.45992, 0.71095, 1.00000
35, 1.00000, 0.16098, 0.46010, 0.70911, 1.00000
36, 1.00000, 0.16101, 0.46029, 0.70727, 1.00000
37, 1.00000, 0.16104, 0.46047, 0.70542, 1.00000
38, 1.00000, 0.16107, 0.46066, 0.70358, 1.00000
39, 1.00000, 0.16111, 0.46084, 0.70173, 1.00000
40, 1.00000, 0.16114, 0.46103, 0.69988, 1.00000
41, 1.00000, 0.16117, 0.46121, 0.69803, 1.00000
42, 1.00000, 0.16120, 0.46140, 0.69618, 1.00000
43, 1.00000, 0.16123, 0.46158, 0.69433, 1.00000
44, 1.00000, 0.16127, 0.46177, 0.69247, 1.00000
45, 1.00000, 0.16130, 0.46195, 0.69062, 1.00000
46, 1.00000, 0.16133, 0.46214, 0.68876, 1.00000
47, 1.00000, 0.16136, 0.46232, 0.68690, 1.00000
48, 1.00000, 0.16139, 0.46251, 0.68504, 1.00000
49, 1.00000, 0.16142, 0.46270, 0.68318, 1.00000
50, 1.00000, 0.16145, 0.46288, 0.68132, 1.00000
51, 1.00000, 0.16149, 0.46307, 0.67946, 1.00000
52, 1.00000, 0.16152, 0.46325, 0.67759, 1.00000
53, 1.00000, 0.16155, 0.46344, 0.67572, 1.00000
54, 1.00000, 0.16158, 0.46363, 0.67385, 1.00000
55, 1.00000, 0.16161, 0.46381, 0.67198, 1.00000
56, 1.00000, 0.16164, 0.46400, 0.67011, 1.00000
57, 1.00000, 0.16167, 0.46419, 0.66824, 1.00000
58, 1.00000, 0.16170, 0.46438, 0.66637, 1.00000
59, 1.00000, 0.16173, 0.46456, 0.66449, 1.00000
60, 1.00000, 0.16176, 0.46475, 0.66261, 1.00000
61, 1.00000, 0.16179, 0.46494, 0.66074, 1.00000
62, 1.00000, 0.16182, 0.46513, 0.65886, 1.00000
63, 1.00000, 0.16185, 0.46531, 0.65697, 1.00000
64, 1.00000, 0.16188, 0.46550, 0.65509, 1.00000
65, 1.00000, 0.16191, 0.46569, 0.65321, 1.00000
66, 1.00000, 0.16194, 0.46588, 0.65132, 1.00000
67, 1.00000, 0.16197, 0.46607, 0.64943, 1.00000
68, 1.00000, 0.16199, 0.46626, 0.64754, 1.00000
69, 1.00000, 0.16202, 0.46645, 0.64565, 1.00000
70, 1.00000, 0.16205, 0.46663, 0.64376, 1.00000
71, 1.00000, 0.16208, 0.46682, 0.64187, 1.00000
72, 1.00000, 0.16211, 0.46701, 0.63997, 1.00000
73, 1.00000, 0.16214, 0.46720, 0.63808, 1.00000
74, 1.00000, 0.16217, 0.46739, 0.63618, 1.00000
75, 1.00000, 0.16219, 0.46758, 0.63428, 1.00000
76, 1.00000, 0.16222, 0.46777, 0.63238, 1.00000
77, 1.00000, 0.16225, 0.46796, 0.63048, 1.00000
78, 1.00000, 0.16228, 0.46815, 0.62857, 1.00000
79, 1.00000, 0.16231, 0.46834, 0.62667, 1.00000
80, 1.00000, 0.16233, 0.46853, 0.62476, 1.00000
