simulation_id,strategy_id,strategy,rank,adaptive_governance_value,winner
0,AG004,Monitoring Feedback and Learning System,1,8.4334,Monitoring Feedback and Learning System
0,AG003,Community Knowledge Co-Production Platform,2,8.35545,Monitoring Feedback and Learning System
0,AG002,Polycentric Cross-Scale Coordination Forum,3,8.23263,Monitoring Feedback and Learning System
0,AG006,Responsible Policy Experimentation Portfolio,4,8.2277,Monitoring Feedback and Learning System
0,AG005,Equity Accountability and Rights Safeguard,5,8.13857,Monitoring Feedback and Learning System
0,AG001,Adaptive Pathways and Decision Triggers,6,8.02675,Monitoring Feedback and Learning System
1,AG002,Polycentric Cross-Scale Coordination Forum,1,8.40652,Polycentric Cross-Scale Coordination Forum
1,AG003,Community Knowledge Co-Production Platform,2,8.38727,Polycentric Cross-Scale Coordination Forum
1,AG006,Responsible Policy Experimentation Portfolio,3,8.2646,Polycentric Cross-Scale Coordination Forum
1,AG004,Monitoring Feedback and Learning System,4,8.18563,Polycentric Cross-Scale Coordination Forum
1,AG005,Equity Accountability and Rights Safeguard,5,8.14649,Polycentric Cross-Scale Coordination Forum
1,AG001,Adaptive Pathways and Decision Triggers,6,8.10842,Polycentric Cross-Scale Coordination Forum
2,AG005,Equity Accountability and Rights Safeguard,1,8.50483,Equity Accountability and Rights Safeguard
2,AG001,Adaptive Pathways and Decision Triggers,2,8.46039,Equity Accountability and Rights Safeguard
2,AG003,Community Knowledge Co-Production Platform,3,8.38227,Equity Accountability and Rights Safeguard
2,AG004,Monitoring Feedback and Learning System,4,8.37916,Equity Accountability and Rights Safeguard
2,AG002,Polycentric Cross-Scale Coordination Forum,5,8.26418,Equity Accountability and Rights Safeguard
2,AG006,Responsible Policy Experimentation Portfolio,6,8.07449,Equity Accountability and Rights Safeguard
3,AG003,Community Knowledge Co-Production Platform,1,8.64381,Community Knowledge Co-Production Platform
3,AG005,Equity Accountability and Rights Safeguard,2,8.37665,Community Knowledge Co-Production Platform
3,AG004,Monitoring Feedback and Learning System,3,8.30077,Community Knowledge Co-Production Platform
3,AG002,Polycentric Cross-Scale Coordination Forum,4,8.17353,Community Knowledge Co-Production Platform
3,AG001,Adaptive Pathways and Decision Triggers,5,8.13691,Community Knowledge Co-Production Platform
3,AG006,Responsible Policy Experimentation Portfolio,6,8.06552,Community Knowledge Co-Production Platform
4,AG005,Equity Accountability and Rights Safeguard,1,8.66069,Equity Accountability and Rights Safeguard
4,AG003,Community Knowledge Co-Production Platform,2,8.57614,Equity Accountability and Rights Safeguard
4,AG001,Adaptive Pathways and Decision Triggers,3,8.30132,Equity Accountability and Rights Safeguard
4,AG002,Polycentric Cross-Scale Coordination Forum,4,8.18713,Equity Accountability and Rights Safeguard
4,AG004,Monitoring Feedback and Learning System,5,8.14627,Equity Accountability and Rights Safeguard
4,AG006,Responsible Policy Experimentation Portfolio,6,7.82398,Equity Accountability and Rights Safeguard
5,AG002,Polycentric Cross-Scale Coordination Forum,1,8.51278,Polycentric Cross-Scale Coordination Forum
5,AG003,Community Knowledge Co-Production Platform,2,8.4969,Polycentric Cross-Scale Coordination Forum
5,AG005,Equity Accountability and Rights Safeguard,3,8.2821,Polycentric Cross-Scale Coordination Forum
5,AG001,Adaptive Pathways and Decision Triggers,4,7.99573,Polycentric Cross-Scale Coordination Forum
5,AG004,Monitoring Feedback and Learning System,5,7.91428,Polycentric Cross-Scale Coordination Forum
5,AG006,Responsible Policy Experimentation Portfolio,6,7.74341,Polycentric Cross-Scale Coordination Forum
6,AG002,Polycentric Cross-Scale Coordination Forum,1,8.42905,Polycentric Cross-Scale Coordination Forum
6,AG003,Community Knowledge Co-Production Platform,2,8.40735,Polycentric Cross-Scale Coordination Forum
6,AG005,Equity Accountability and Rights Safeguard,3,8.31029,Polycentric Cross-Scale Coordination Forum
