system_id,system,system_domain,time,event,stress_load,response_capacity,governance_function,dependency_coupling,equity_adjusted_function
SYS001,Regional Climate Adaptation Governance Network,climate adaptation and multi-level governance,0,background adaptive governance stress,0.15979,0.4552,1.0,0.75819,1.0
SYS001,Regional Climate Adaptation Governance Network,climate adaptation and multi-level governance,1,background adaptive governance stress,0.1631,0.45538,1.0,0.75644,1.0
SYS001,Regional Climate Adaptation Governance Network,climate adaptation and multi-level governance,2,background adaptive governance stress,0.16163,0.45556,1.0,0.75466,1.0
SYS001,Regional Climate Adaptation Governance Network,climate adaptation and multi-level governance,3,background adaptive governance stress,0.16239,0.45573,1.0,0.7529,1.0
SYS001,Regional Climate Adaptation Governance Network,climate adaptation and multi-level governance,4,background adaptive governance stress,0.15973,0.45591,1.0,0.75108,1.0
SYS001,Regional Climate Adaptation Governance Network,climate adaptation and multi-level governance,5,background adaptive governance stress,0.1621,0.45609,1.0,0.7493,1.0
SYS001,Regional Climate Adaptation Governance Network,climate adaptation and multi-level governance,6,background adaptive governance stress,0.16197,0.45627,1.0,0.74752,1.0
SYS001,Regional Climate Adaptation Governance Network,climate adaptation and multi-level governance,7,background adaptive governance stress,0.16217,0.45645,1.0,0.74574,1.0
SYS001,Regional Climate Adaptation Governance Network,climate adaptation and multi-level governance,8,background adaptive governance stress,0.15886,0.45663,1.0,0.7439,1.0
SYS001,Regional Climate Adaptation Governance Network,climate adaptation and multi-level governance,9,background adaptive governance stress,0.15971,0.45681,1.0,0.74207,1.0
SYS001,Regional Climate Adaptation Governance Network,climate adaptation and multi-level governance,10,background adaptive governance stress,0.16428,0.45699,1.0,0.74033,1.0
SYS001,Regional Climate Adaptation Governance Network,climate adaptation and multi-level governance,11,background adaptive governance stress,0.16296,0.45717,1.0,0.73856,1.0
SYS001,Regional Climate Adaptation Governance Network,climate adaptation and multi-level governance,12,Extreme climate uncertainty and conflicting projections,0.81888,0.45734,1.0,0.7499,0.86896
SYS001,Regional Climate Adaptation Governance Network,climate adaptation and multi-level governance,13,background adaptive governance stress,0.16491,0.45621,1.0,0.74818,1.0
SYS001,Regional Climate Adaptation Governance Network,climate adaptation and multi-level governance,14,background adaptive governance stress,0.16201,0.45638,1.0,0.7464,1.0
SYS001,Regional Climate Adaptation Governance Network,climate adaptation and multi-level governance,15,background adaptive governance stress,0.16132,0.45656,1.0,0.74461,1.0
SYS001,Regional Climate Adaptation Governance Network,climate adaptation and multi-level governance,16,background adaptive governance stress,0.16068,0.45674,1.0,0.7428,1.0
SYS001,Regional Climate Adaptation Governance Network,climate adaptation and multi-level governance,17,background adaptive governance stress,0.16405,0.45692,1.0,0.74105,1.0
SYS001,Regional Climate Adaptation Governance Network,climate adaptation and multi-level governance,18,background adaptive governance stress,0.16363,0.45709,1.0,0.7393,1.0
SYS001,Regional Climate Adaptation Governance Network,climate adaptation and multi-level governance,19,background adaptive governance stress,0.1629,0.45727,1.0,0.73753,1.0
SYS001,Regional Climate Adaptation Governance Network,climate adaptation and multi-level governance,20,background adaptive governance stress,0.16349,0.45745,1.0,0.73576,1.0
SYS001,Regional Climate Adaptation Governance Network,climate adaptation and multi-level governance,21,background adaptive governance stress,0.16237,0.45762,1.0,0.73398,1.0
