strategy_id,strategy,system_domain,learning_capacity,flexibility,coordination,knowledge_integration,legitimacy,accountability,equity_protection,implementation_burden,critical_function,adaptive_governance_value,accountability_gap,equity_gap,adjusted_value,scenario,rank
AG005,Equity Accountability and Rights Safeguard,equity accountability and rights protection,8.1,7.7,7.9,8.4,8.7,9.1,9.2,3,protects vulnerable groups due process participation appeals anti-displacement safeguards and accountability,8.386999999999999,0,0,8.386999999999999,Balanced,1
AG003,Community Knowledge Co-Production Platform,knowledge co-production and legitimacy,8.3,7.6,8,9.1,8.8,8.3,8.7,3.1,integrates scientific local Indigenous practitioner and lived knowledge into governance decisions,8.340000000000002,0,0,8.340000000000002,Balanced,2
AG004,Monitoring Feedback and Learning System,monitoring feedback and institutional memory,9,8.2,8.3,8.6,8,8.2,8.1,3.3,converts monitoring after-action evidence and public feedback into changed rules budgets and practice,8.280999999999999,0,0.09999999999999964,8.273,Balanced,3
AG002,Polycentric Cross-Scale Coordination Forum,polycentric governance and coordination,8.1,7.8,9,8.2,8.1,8.1,8,3.4,coordinates local regional national Indigenous scientific community and infrastructure actors,8.115,0,0.1999999999999993,8.099,Balanced,4
AG001,Adaptive Pathways and Decision Triggers,adaptive pathways and rule revision,8.6,8.9,7.9,8.1,7.9,8,7.8,3.2,links near-term decisions to monitoring thresholds review cycles and future governance triggers,8.108,0.9000000000000004,0.39999999999999947,8.004000000000001,Balanced,5
AG006,Responsible Policy Experimentation Portfolio,adaptive management and policy experimentation,8.5,8.8,8.1,8,7.7,7.8,7.9,3.5,tests pilots and adaptive management interventions with monitoring safeguards and rollback options,8.046000000000001,1.0000000000000009,0.29999999999999893,7.942000000000001,Balanced,6
AG002,Polycentric Cross-Scale Coordination Forum,polycentric governance and coordination,8.1,7.8,9,8.2,8.1,8.1,8,3.4,coordinates local regional national Indigenous scientific community and infrastructure actors,8.298,0,0.1999999999999993,8.282,Coordination-first,1
AG004,Monitoring Feedback and Learning System,monitoring feedback and institutional memory,9,8.2,8.3,8.6,8,8.2,8.1,3.3,converts monitoring after-action evidence and public feedback into changed rules budgets and practice,8.217,0,0.09999999999999964,8.209000000000001,Coordination-first,2
AG003,Community Knowledge Co-Production Platform,knowledge co-production and legitimacy,8.3,7.6,8,9.1,8.8,8.3,8.7,3.1,integrates scientific local Indigenous practitioner and lived knowledge into governance decisions,8.18,0,0,8.18,Coordination-first,3
AG005,Equity Accountability and Rights Safeguard,equity accountability and rights protection,8.1,7.7,7.9,8.4,8.7,9.1,9.2,3,protects vulnerable groups due process participation appeals anti-displacement safeguards and accountability,8.176000000000002,0,0,8.176000000000002,Coordination-first,4
AG006,Responsible Policy Experimentation Portfolio,adaptive management and policy experimentation,8.5,8.8,8.1,8,7.7,7.8,7.9,3.5,tests pilots and adaptive management interventions with monitoring safeguards and rollback options,7.993,1.0000000000000009,0.29999999999999893,7.889,Coordination-first,5
AG001,Adaptive Pathways and Decision Triggers,adaptive pathways and rule revision,8.6,8.9,7.9,8.1,7.9,8,7.8,3.2,links near-term decisions to monitoring thresholds review cycles and future governance triggers,7.981,0.9000000000000004,0.39999999999999947,7.877,Coordination-first,6
AG005,Equity Accountability and Rights Safeguard,equity accountability and rights protection,8.1,7.7,7.9,8.4,8.7,9.1,9.2,3,protects vulnerable groups due process participation appeals anti-displacement safeguards and accountability,8.540000000000001,0,0,8.540000000000001,Equity-first,1
AG003,Community Knowledge Co-Production Platform,knowledge co-production and legitimacy,8.3,7.6,8,9.1,8.8,8.3,8.7,3.1,integrates scientific local Indigenous practitioner and lived knowledge into governance decisions,8.376,0,0,8.376,Equity-first,2
AG004,Monitoring Feedback and Learning System,monitoring feedback and institutional memory,9,8.2,8.3,8.6,8,8.2,8.1,3.3,converts monitoring after-action evidence and public feedback into changed rules budgets and practice,8.161,0,0.09999999999999964,8.153,Equity-first,3
AG002,Polycentric Cross-Scale Coordination Forum,polycentric governance and coordination,8.1,7.8,9,8.2,8.1,8.1,8,3.4,coordinates local regional national Indigenous scientific community and infrastructure actors,8.017999999999999,0,0.1999999999999993,8.001999999999999,Equity-first,4
AG001,Adaptive Pathways and Decision Triggers,adaptive pathways and rule revision,8.6,8.9,7.9,8.1,7.9,8,7.8,3.2,links near-term decisions to monitoring thresholds review cycles and future governance triggers,7.952999999999999,0.9000000000000004,0.39999999999999947,7.848999999999999,Equity-first,5
AG006,Responsible Policy Experimentation Portfolio,adaptive management and policy experimentation,8.5,8.8,8.1,8,7.7,7.8,7.9,3.5,tests pilots and adaptive management interventions with monitoring safeguards and rollback options,7.936999999999999,1.0000000000000009,0.29999999999999893,7.832999999999999,Equity-first,6
AG004,Monitoring Feedback and Learning System,monitoring feedback and institutional memory,9,8.2,8.3,8.6,8,8.2,8.1,3.3,converts monitoring after-action evidence and public feedback into changed rules budgets and practice,8.189,0,0.09999999999999964,8.181000000000001,Flexibility-first,1
AG001,Adaptive Pathways and Decision Triggers,adaptive pathways and rule revision,8.6,8.9,7.9,8.1,7.9,8,7.8,3.2,links near-term decisions to monitoring thresholds review cycles and future governance triggers,8.261,0.9000000000000004,0.39999999999999947,8.157,Flexibility-first,2
AG005,Equity Accountability and Rights Safeguard,equity accountability and rights protection,8.1,7.7,7.9,8.4,8.7,9.1,9.2,3,protects vulnerable groups due process participation appeals anti-displacement safeguards and accountability,8.120000000000001,0,0,8.120000000000001,Flexibility-first,3
AG006,Responsible Policy Experimentation Portfolio,adaptive management and policy experimentation,8.5,8.8,8.1,8,7.7,7.8,7.9,3.5,tests pilots and adaptive management interventions with monitoring safeguards and rollback options,8.189000000000002,1.0000000000000009,0.29999999999999893,8.085000000000003,Flexibility-first,4
AG003,Community Knowledge Co-Production Platform,knowledge co-production and legitimacy,8.3,7.6,8,9.1,8.8,8.3,8.7,3.1,integrates scientific local Indigenous practitioner and lived knowledge into governance decisions,8.068,0,0,8.068,Flexibility-first,5
AG002,Polycentric Cross-Scale Coordination Forum,polycentric governance and coordination,8.1,7.8,9,8.2,8.1,8.1,8,3.4,coordinates local regional national Indigenous scientific community and infrastructure actors,7.9620000000000015,0,0.1999999999999993,7.9460000000000015,Flexibility-first,6
