scenario,strategy_id,strategy,system_domain,rank,adaptive_governance_value,implementation_burden,critical_function
Balanced,AG005,Equity Accountability and Rights Safeguard,equity accountability and rights protection,1,8.387,3.0,protects vulnerable groups due process participation appeals anti-displacement safeguards and accountability
Balanced,AG003,Community Knowledge Co-Production Platform,knowledge co-production and legitimacy,2,8.34,3.1,integrates scientific local Indigenous practitioner and lived knowledge into governance decisions
Balanced,AG004,Monitoring Feedback and Learning System,monitoring feedback and institutional memory,3,8.281,3.3,converts monitoring after-action evidence and public feedback into changed rules budgets and practice
Balanced,AG002,Polycentric Cross-Scale Coordination Forum,polycentric governance and coordination,4,8.115,3.4,coordinates local regional national Indigenous scientific community and infrastructure actors
Balanced,AG001,Adaptive Pathways and Decision Triggers,adaptive pathways and rule revision,5,8.108,3.2,links near-term decisions to monitoring thresholds review cycles and future governance triggers
Balanced,AG006,Responsible Policy Experimentation Portfolio,adaptive management and policy experimentation,6,8.046,3.5,tests pilots and adaptive management interventions with monitoring safeguards and rollback options
Learning-first,AG004,Monitoring Feedback and Learning System,monitoring feedback and institutional memory,1,8.413,3.3,converts monitoring after-action evidence and public feedback into changed rules budgets and practice
Learning-first,AG003,Community Knowledge Co-Production Platform,knowledge co-production and legitimacy,2,8.264,3.1,integrates scientific local Indigenous practitioner and lived knowledge into governance decisions
Learning-first,AG005,Equity Accountability and Rights Safeguard,equity accountability and rights protection,3,8.232,3.0,protects vulnerable groups due process participation appeals anti-displacement safeguards and accountability
Learning-first,AG001,Adaptive Pathways and Decision Triggers,adaptive pathways and rule revision,4,8.177,3.2,links near-term decisions to monitoring thresholds review cycles and future governance triggers
Learning-first,AG006,Responsible Policy Experimentation Portfolio,adaptive management and policy experimentation,5,8.105,3.5,tests pilots and adaptive management interventions with monitoring safeguards and rollback options
Learning-first,AG002,Polycentric Cross-Scale Coordination Forum,polycentric governance and coordination,6,8.046,3.4,coordinates local regional national Indigenous scientific community and infrastructure actors
Flexibility-first,AG001,Adaptive Pathways and Decision Triggers,adaptive pathways and rule revision,1,8.261,3.2,links near-term decisions to monitoring thresholds review cycles and future governance triggers
Flexibility-first,AG006,Responsible Policy Experimentation Portfolio,adaptive management and policy experimentation,2,8.189,3.5,tests pilots and adaptive management interventions with monitoring safeguards and rollback options
Flexibility-first,AG004,Monitoring Feedback and Learning System,monitoring feedback and institutional memory,3,8.189,3.3,converts monitoring after-action evidence and public feedback into changed rules budgets and practice
Flexibility-first,AG005,Equity Accountability and Rights Safeguard,equity accountability and rights protection,4,8.12,3.0,protects vulnerable groups due process participation appeals anti-displacement safeguards and accountability
