 time,disturbance,vulnerability_stock,resilience_margin,threshold_flag
1, 0.0650, 0.4111, 0.9227,viable margin
2, 0.0698, 0.4837, 0.8489,viable margin
3, 0.0744, 0.5698, 0.7616,viable margin
4, 0.0786, 0.6718, 0.6586,viable margin
5, 0.0822, 0.7925, 0.5369,viable margin
6, 0.0852, 0.9353, 0.3934,viable margin
7, 0.0876, 1.1040, 0.2241,threshold risk
8, 0.0892, 1.3033, 0.0244,threshold risk
9, 0.0899, 1.5385,-0.2109,threshold risk
10, 0.0899, 1.8160,-0.4884,threshold risk
11, 0.0890, 2.0000,-0.6722,threshold risk
12, 0.0873, 2.0000,-0.6718,threshold risk
13, 0.0848, 2.0000,-0.6712,threshold risk
14, 0.0817, 2.0000,-0.6704,threshold risk
15, 0.0780, 2.0000,-0.6695,threshold risk
16, 0.0737, 2.0000,-0.6684,threshold risk
17, 0.0691, 2.0000,-0.6673,threshold risk
18, 0.0642, 2.0000,-0.6661,threshold risk
19, 0.0592, 2.0000,-0.6648,threshold risk
20, 0.3543, 2.0000,-0.7386,threshold risk
21, 0.0495, 2.0000,-0.6624,threshold risk
22, 0.0450, 2.0000,-0.6612,threshold risk
23, 0.0409, 2.0000,-0.6602,threshold risk
24, 0.0373, 2.0000,-0.6593,threshold risk
25, 0.0344, 2.0000,-0.6586,threshold risk
26, 0.0321, 2.0000,-0.6580,threshold risk
27, 0.0307, 2.0000,-0.6577,threshold risk
28, 0.0300, 2.0000,-0.6575,threshold risk
29, 0.0302, 2.0000,-0.6576,threshold risk
30, 0.0312, 2.0000,-0.6578,threshold risk
31, 0.0330, 2.0000,-0.6583,threshold risk
32, 0.0356, 2.0000,-0.6589,threshold risk
33, 0.0388, 2.0000,-0.6597,threshold risk
34, 0.0427, 2.0000,-0.6607,threshold risk
35, 0.0470, 2.0000,-0.6617,threshold risk
36, 0.0516, 2.0000,-0.6629,threshold risk
37, 0.0565, 2.0000,-0.6641,threshold risk
38, 0.0615, 2.0000,-0.6654,threshold risk
39, 0.0665, 2.0000,-0.6666,threshold risk
40, 0.3712, 2.0000,-0.7428,threshold risk
41, 0.0757, 2.0000,-0.6689,threshold risk
42, 0.0797, 2.0000,-0.6699,threshold risk
43, 0.0832, 2.0000,-0.6708,threshold risk
44, 0.0860, 2.0000,-0.6715,threshold risk
45, 0.0881, 2.0000,-0.6720,threshold risk
46, 0.0895, 2.0000,-0.6724,threshold risk
47, 0.0900, 2.0000,-0.6725,threshold risk
48, 0.0897, 2.0000,-0.6724,threshold risk
49, 0.0885, 2.0000,-0.6721,threshold risk
50, 0.0866, 2.0000,-0.6717,threshold risk
51, 0.0840, 2.0000,-0.6710,threshold risk
52, 0.0806, 2.0000,-0.6702,threshold risk
53, 0.0767, 2.0000,-0.6692,threshold risk
54, 0.0724, 2.0000,-0.6681,threshold risk
55, 0.0677, 2.0000,-0.6669,threshold risk
56, 0.0627, 2.0000,-0.6657,threshold risk
57, 0.0577, 2.0000,-0.6644,threshold risk
58, 0.0528, 2.0000,-0.6632,threshold risk
59, 0.0481, 2.0000,-0.6620,threshold risk
60, 0.0437, 2.0000,-0.6609,threshold risk
61, 0.0397, 2.0000,-0.6599,threshold risk
62, 0.0363, 2.0000,-0.6591,threshold risk
63, 0.0336, 2.0000,-0.6584,threshold risk
64, 0.0316, 2.0000,-0.6579,threshold risk
65, 0.3304, 2.0000,-0.7326,threshold risk
66, 0.0300, 2.0000,-0.6575,threshold risk
67, 0.0304, 2.0000,-0.6576,threshold risk
68, 0.0317, 2.0000,-0.6579,threshold risk
69, 0.0337, 2.0000,-0.6584,threshold risk
70, 0.0365, 2.0000,-0.6591,threshold risk
71, 0.0399, 2.0000,-0.6600,threshold risk
72, 0.0439, 2.0000,-0.6610,threshold risk
73, 0.0483, 2.0000,-0.6621,threshold risk
74, 0.0531, 2.0000,-0.6633,threshold risk
75, 0.0580, 2.0000,-0.6645,threshold risk
76, 0.0630, 2.0000,-0.6658,threshold risk
77, 0.0679, 2.0000,-0.6670,threshold risk
78, 0.0726, 2.0000,-0.6682,threshold risk
79, 0.0769, 2.0000,-0.6692,threshold risk
80, 0.0808, 2.0000,-0.6702,threshold risk
81, 0.0841, 2.0000,-0.6710,threshold risk
82, 0.0867, 2.0000,-0.6717,threshold risk
83, 0.3886, 2.0000,-0.7472,threshold risk
84, 0.0897, 2.0000,-0.6724,threshold risk
85, 0.0900, 2.0000,-0.6725,threshold risk
86, 0.0894, 2.0000,-0.6724,threshold risk
87, 0.0880, 2.0000,-0.6720,threshold risk
88, 0.0859, 2.0000,-0.6715,threshold risk
89, 0.0830, 2.0000,-0.6708,threshold risk
90, 0.0795, 2.0000,-0.6699,threshold risk
91, 0.0755, 2.0000,-0.6689,threshold risk
92, 0.0710, 2.0000,-0.6677,threshold risk
93, 0.0662, 2.0000,-0.6665,threshold risk
94, 0.0612, 2.0000,-0.6653,threshold risk
95, 0.0562, 2.0000,-0.6641,threshold risk
96, 0.0514, 2.0000,-0.6628,threshold risk
97, 0.0467, 2.0000,-0.6617,threshold risk
98, 0.0424, 2.0000,-0.6606,threshold risk
99, 0.0386, 2.0000,-0.6597,threshold risk
100, 0.0354, 2.0000,-0.6589,threshold risk
