time,vulnerability_stock
1,0.850000
2,0.762000
3,0.688080
4,0.625987
5,0.573829
6,0.530017
7,0.493214
8,0.462300
9,0.436332
10,0.414519
11,0.396196
12,0.380804
13,0.367876
14,0.357016
15,0.347893
16,0.340230
17,0.333793
18,0.328386
19,0.323845
20,0.320029
21,0.316825
22,0.314133
23,0.311872
24,0.309972
25,0.308377
26,0.307036
27,0.305910
28,0.304965
29,0.304170
30,0.303503
31,0.302943
32,0.302472
33,0.302076
34,0.301744
35,0.301465
36,0.301231
37,0.301034
38,0.300868
39,0.300729
40,0.300613
41,0.300515
42,0.300432
43,0.300363
44,0.300305
45,0.300256
46,0.300215
47,0.300181
48,0.300152
49,0.300128
50,0.300107
51,0.300090
52,0.300076
53,0.300064
54,0.300053
55,0.300045
56,0.300038
57,0.300032
58,0.300027
59,0.300022
60,0.300019
61,0.300016
62,0.300013
63,0.300011
64,0.300009
65,0.300008
66,0.300007
67,0.300006
68,0.300005
69,0.300004
70,0.300003
71,0.300003
72,0.300002
73,0.300002
74,0.300002
75,0.300001
76,0.300001
77,0.300001
78,0.300001
79,0.300001
80,0.300001
