system_id,system_type,scenario_id,scenario_name,time_step,disturbance,vulnerability_stock,resilience_margin,threshold_flag
S001,Watershed Governance,D001,Short operational shock,1,0.2641,0.6003,1.1709,viable margin
S001,Watershed Governance,D001,Short operational shock,2,0.5682,0.7907,0.9197,viable margin
S001,Watershed Governance,D001,Short operational shock,3,0.272,0.9168,0.8528,viable margin
S001,Watershed Governance,D001,Short operational shock,4,0.5755,1.0738,0.6351,viable margin
S001,Watershed Governance,D001,Short operational shock,5,0.2785,1.245,0.5233,viable margin
S001,Watershed Governance,D001,Short operational shock,6,0.581,1.4542,0.2536,viable margin
S001,Watershed Governance,D001,Short operational shock,7,0.283,1.6859,0.0815,threshold risk
S001,Watershed Governance,D001,Short operational shock,8,0.5843,1.9651,-0.258,threshold risk
S001,Watershed Governance,D001,Short operational shock,9,0.2849,2.0,-0.233,threshold risk
S001,Watershed Governance,D001,Short operational shock,10,0.5849,2.0,-0.293,threshold risk
S001,Watershed Governance,D001,Short operational shock,11,0.2841,2.0,-0.2328,threshold risk
S001,Watershed Governance,D001,Short operational shock,12,0.5827,2.0,-0.2925,threshold risk
S001,Watershed Governance,D001,Short operational shock,13,0.2807,2.0,-0.2321,threshold risk
S001,Watershed Governance,D001,Short operational shock,14,0.5781,2.0,-0.2916,threshold risk
S001,Watershed Governance,D001,Short operational shock,15,0.275,2.0,-0.231,threshold risk
S001,Watershed Governance,D001,Short operational shock,16,0.5714,2.0,-0.2903,threshold risk
S001,Watershed Governance,D001,Short operational shock,17,0.2676,2.0,-0.2295,threshold risk
S001,Watershed Governance,D001,Short operational shock,18,0.5635,2.0,-0.2887,threshold risk
S001,Watershed Governance,D001,Short operational shock,19,0.2594,2.0,-0.2279,threshold risk
S001,Watershed Governance,D001,Short operational shock,20,0.5552,2.0,-0.287,threshold risk
S001,Watershed Governance,D001,Short operational shock,21,0.2512,2.0,-0.2262,threshold risk
S001,Watershed Governance,D001,Short operational shock,22,0.5475,2.0,-0.2855,threshold risk
S001,Watershed Governance,D001,Short operational shock,23,0.2441,2.0,-0.2248,threshold risk
S001,Watershed Governance,D001,Short operational shock,24,0.5411,2.0,-0.2842,threshold risk
S001,Watershed Governance,D001,Short operational shock,25,0.2386,2.0,-0.2237,threshold risk
S001,Watershed Governance,D001,Short operational shock,26,0.5368,2.0,-0.2834,threshold risk
S001,Watershed Governance,D001,Short operational shock,27,0.2356,2.0,-0.2231,threshold risk
S001,Watershed Governance,D001,Short operational shock,28,0.535,2.0,-0.283,threshold risk
S001,Watershed Governance,D001,Short operational shock,29,0.2352,2.0,-0.223,threshold risk
S001,Watershed Governance,D001,Short operational shock,30,0.536,2.0,-0.2832,threshold risk
S001,Watershed Governance,D001,Short operational shock,31,0.2375,2.0,-0.2235,threshold risk
S001,Watershed Governance,D001,Short operational shock,32,0.5397,2.0,-0.2839,threshold risk
S001,Watershed Governance,D001,Short operational shock,33,0.2424,2.0,-0.2245,threshold risk
S001,Watershed Governance,D001,Short operational shock,34,0.5455,2.0,-0.2851,threshold risk
S001,Watershed Governance,D001,Short operational shock,35,0.2491,2.0,-0.2258,threshold risk
S001,Watershed Governance,D001,Short operational shock,36,0.553,2.0,-0.2866,threshold risk
S001,Watershed Governance,D001,Short operational shock,37,0.2571,2.0,-0.2274,threshold risk
S001,Watershed Governance,D001,Short operational shock,38,0.5613,2.0,-0.2883,threshold risk
S001,Watershed Governance,D001,Short operational shock,39,0.2654,2.0,-0.2291,threshold risk
S001,Watershed Governance,D001,Short operational shock,40,0.5694,2.0,-0.2899,threshold risk
S001,Watershed Governance,D001,Short operational shock,41,0.2731,2.0,-0.2306,threshold risk
S001,Watershed Governance,D001,Short operational shock,42,0.5764,2.0,-0.2913,threshold risk
S001,Watershed Governance,D001,Short operational shock,43,0.2793,2.0,-0.2319,threshold risk
S001,Watershed Governance,D001,Short operational shock,44,0.5817,2.0,-0.2923,threshold risk
S001,Watershed Governance,D001,Short operational shock,45,0.2834,2.0,-0.2327,threshold risk
S001,Watershed Governance,D001,Short operational shock,46,0.5846,2.0,-0.2929,threshold risk
S001,Watershed Governance,D001,Short operational shock,47,0.285,2.0,-0.233,threshold risk
S001,Watershed Governance,D001,Short operational shock,48,0.5847,2.0,-0.2929,threshold risk
S001,Watershed Governance,D001,Short operational shock,49,0.2838,2.0,-0.2328,threshold risk
S001,Watershed Governance,D001,Short operational shock,50,0.5822,2.0,-0.2924,threshold risk
S001,Watershed Governance,D001,Short operational shock,51,0.28,2.0,-0.232,threshold risk
S001,Watershed Governance,D001,Short operational shock,52,0.5772,2.0,-0.2914,threshold risk
S001,Watershed Governance,D001,Short operational shock,53,0.2739,2.0,-0.2308,threshold risk
S001,Watershed Governance,D001,Short operational shock,54,0.5703,2.0,-0.2901,threshold risk
S001,Watershed Governance,D001,Short operational shock,55,0.2664,2.0,-0.2293,threshold risk
S001,Watershed Governance,D001,Short operational shock,56,0.5623,2.0,-0.2885,threshold risk
S001,Watershed Governance,D001,Short operational shock,57,0.2581,2.0,-0.2276,threshold risk
S001,Watershed Governance,D001,Short operational shock,58,0.554,2.0,-0.2868,threshold risk
S001,Watershed Governance,D001,Short operational shock,59,0.2501,2.0,-0.226,threshold risk
S001,Watershed Governance,D001,Short operational shock,60,0.5464,2.0,-0.2853,threshold risk
S001,Watershed Governance,D001,Short operational shock,61,0.2431,2.0,-0.2246,threshold risk
S001,Watershed Governance,D001,Short operational shock,62,0.5403,2.0,-0.2841,threshold risk
S001,Watershed Governance,D001,Short operational shock,63,0.238,2.0,-0.2236,threshold risk
S001,Watershed Governance,D001,Short operational shock,64,0.5363,2.0,-0.2833,threshold risk
S001,Watershed Governance,D001,Short operational shock,65,0.2353,2.0,-0.2231,threshold risk
S001,Watershed Governance,D001,Short operational shock,66,0.535,2.0,-0.283,threshold risk
S001,Watershed Governance,D001,Short operational shock,67,0.2354,2.0,-0.2231,threshold risk
S001,Watershed Governance,D001,Short operational shock,68,0.5364,2.0,-0.2833,threshold risk
S001,Watershed Governance,D001,Short operational shock,69,0.2381,2.0,-0.2236,threshold risk
S001,Watershed Governance,D001,Short operational shock,70,0.5404,2.0,-0.2841,threshold risk
S001,Watershed Governance,D001,Short operational shock,71,0.2433,2.0,-0.2247,threshold risk
S001,Watershed Governance,D001,Short operational shock,72,0.5466,2.0,-0.2853,threshold risk
S001,Watershed Governance,D001,Short operational shock,73,0.2503,2.0,-0.2261,threshold risk
S001,Watershed Governance,D001,Short operational shock,74,0.5542,2.0,-0.2868,threshold risk
S001,Watershed Governance,D001,Short operational shock,75,0.2583,2.0,-0.2277,threshold risk
S001,Watershed Governance,D001,Short operational shock,76,0.5625,2.0,-0.2885,threshold risk
S001,Watershed Governance,D001,Short operational shock,77,0.2666,2.0,-0.2293,threshold risk
S001,Watershed Governance,D001,Short operational shock,78,0.5705,2.0,-0.2901,threshold risk
S001,Watershed Governance,D001,Short operational shock,79,0.2741,2.0,-0.2308,threshold risk
S001,Watershed Governance,D001,Short operational shock,80,0.5773,2.0,-0.2915,threshold risk
S001,Watershed Governance,D002,Repeated stress with delay,1,0.5241,0.6261,1.0931,viable margin
S001,Watershed Governance,D002,Repeated stress with delay,2,0.5282,0.7504,0.9679,viable margin
S001,Watershed Governance,D002,Repeated stress with delay,3,0.532,0.8959,0.8217,viable margin
S001,Watershed Governance,D002,Repeated stress with delay,4,0.5355,1.0647,0.6522,viable margin
S001,Watershed Governance,D002,Repeated stress with delay,5,0.5385,1.2606,0.4557,viable margin
S001,Watershed Governance,D002,Repeated stress with delay,6,1.081,1.6605,-0.0527,threshold risk
S001,Watershed Governance,D002,Repeated stress with delay,7,0.543,1.9515,-0.2361,threshold risk
S001,Watershed Governance,D002,Repeated stress with delay,8,0.5443,2.0,-0.2849,threshold risk
S001,Watershed Governance,D002,Repeated stress with delay,9,0.5449,2.0,-0.285,threshold risk
S001,Watershed Governance,D002,Repeated stress with delay,10,0.5449,2.0,-0.285,threshold risk
S001,Watershed Governance,D002,Repeated stress with delay,11,0.5441,2.0,-0.2848,threshold risk
S001,Watershed Governance,D002,Repeated stress with delay,12,1.0827,2.0,-0.3925,threshold risk
S001,Watershed Governance,D002,Repeated stress with delay,13,0.5407,2.0,-0.2841,threshold risk
S001,Watershed Governance,D002,Repeated stress with delay,14,0.5381,2.0,-0.2836,threshold risk
S001,Watershed Governance,D002,Repeated stress with delay,15,0.535,2.0,-0.283,threshold risk
S001,Watershed Governance,D002,Repeated stress with delay,16,0.5314,2.0,-0.2823,threshold risk
S001,Watershed Governance,D002,Repeated stress with delay,17,0.5276,2.0,-0.2815,threshold risk
S001,Watershed Governance,D002,Repeated stress with delay,18,1.0635,2.0,-0.3887,threshold risk
S001,Watershed Governance,D002,Repeated stress with delay,19,0.5194,2.0,-0.2799,threshold risk
S001,Watershed Governance,D002,Repeated stress with delay,20,0.5152,2.0,-0.279,threshold risk
S001,Watershed Governance,D002,Repeated stress with delay,21,0.5112,2.0,-0.2782,threshold risk
S001,Watershed Governance,D002,Repeated stress with delay,22,0.5075,2.0,-0.2775,threshold risk
S001,Watershed Governance,D002,Repeated stress with delay,23,0.5041,2.0,-0.2768,threshold risk
S001,Watershed Governance,D002,Repeated stress with delay,24,1.0411,2.0,-0.3842,threshold risk
S001,Watershed Governance,D002,Repeated stress with delay,25,0.4986,2.0,-0.2757,threshold risk
S001,Watershed Governance,D002,Repeated stress with delay,26,0.4968,2.0,-0.2754,threshold risk
S001,Watershed Governance,D002,Repeated stress with delay,27,0.4956,2.0,-0.2751,threshold risk
S001,Watershed Governance,D002,Repeated stress with delay,28,0.495,2.0,-0.275,threshold risk
S001,Watershed Governance,D002,Repeated stress with delay,29,0.4952,2.0,-0.275,threshold risk
S001,Watershed Governance,D002,Repeated stress with delay,30,1.036,2.0,-0.3832,threshold risk
S001,Watershed Governance,D002,Repeated stress with delay,31,0.4975,2.0,-0.2755,threshold risk
S001,Watershed Governance,D002,Repeated stress with delay,32,0.4997,2.0,-0.2759,threshold risk
S001,Watershed Governance,D002,Repeated stress with delay,33,0.5024,2.0,-0.2765,threshold risk
S001,Watershed Governance,D002,Repeated stress with delay,34,0.5055,2.0,-0.2771,threshold risk
S001,Watershed Governance,D002,Repeated stress with delay,35,0.5091,2.0,-0.2778,threshold risk
S001,Watershed Governance,D002,Repeated stress with delay,36,1.053,2.0,-0.3866,threshold risk
S001,Watershed Governance,D002,Repeated stress with delay,37,0.5171,2.0,-0.2794,threshold risk
S001,Watershed Governance,D002,Repeated stress with delay,38,0.5213,2.0,-0.2803,threshold risk
S001,Watershed Governance,D002,Repeated stress with delay,39,0.5254,2.0,-0.2811,threshold risk
S001,Watershed Governance,D002,Repeated stress with delay,40,0.5294,2.0,-0.2819,threshold risk
S001,Watershed Governance,D002,Repeated stress with delay,41,0.5331,2.0,-0.2826,threshold risk
S001,Watershed Governance,D002,Repeated stress with delay,42,1.0764,2.0,-0.3913,threshold risk
S001,Watershed Governance,D002,Repeated stress with delay,43,0.5393,2.0,-0.2839,threshold risk
S001,Watershed Governance,D002,Repeated stress with delay,44,0.5417,2.0,-0.2843,threshold risk
S001,Watershed Governance,D002,Repeated stress with delay,45,0.5434,2.0,-0.2847,threshold risk
S001,Watershed Governance,D002,Repeated stress with delay,46,0.5446,2.0,-0.2849,threshold risk
S001,Watershed Governance,D002,Repeated stress with delay,47,0.545,2.0,-0.285,threshold risk
S001,Watershed Governance,D002,Repeated stress with delay,48,1.0847,2.0,-0.3929,threshold risk
