criterion,definition,measurement_note
resilience_capacity,Ability to maintain essential functions through disturbance and change,Use service continuity recovery capacity redundancy and adaptive capacity indicators
transformation_capacity,Ability to redesign structures rules infrastructures and pathways that produce vulnerability,Use transition pathways policy authority alternatives finance and anti-lock-in indicators
equity,Ability to reduce unequal vulnerability and distribute benefits and burdens fairly,Use disaggregated exposure recovery aid housing affordability labor and access indicators
ecological_repair,Ability to restore ecological function biodiversity buffers watersheds soils and climate stability,Use restoration indicators habitat water carbon soil biodiversity and ecosystem-service evidence
governance_legitimacy,Quality of participation transparency public accountability community authority and trust,Use co-design decision records appeals public reporting and participation depth indicators
livelihood_protection,Ability to protect workers households small businesses care systems and communities through change,Use income support job quality retraining pensions regional investment and social protection indicators
exposure_reduction,Ability to reduce repeated exposure to hazards unsafe systems and chronic vulnerability,Use hazard exposure repeated loss health service and land-use indicators
burden_shift,Degree to which costs risks labor displacement surveillance or ecological harm are shifted onto vulnerable groups,Higher values are penalized because transformation becomes unjust or abandonment-like
lock_in_risk,Degree to which the pathway creates or preserves future dependency and structural constraint,Higher values are penalized because future options are narrowed
implementation_burden,Administrative financial technical political and participation burden required for implementation,Higher values require sequencing public capacity and finance review
