pathway_id,pathway,resilience_capacity,transformation_capacity,equity,ecological_repair,governance_legitimacy,livelihood_protection,exposure_reduction,burden_shift,lock_in_risk,implementation_burden,critical_function
JTR001,Technical Decarbonization Only,7.8,8.2,5.4,6.8,5.8,4.8,7.0,6.2,5.8,3.2,reduces emissions through technical substitution but provides weak worker community and governance safeguards
JTR002,Just Energy Transition with Worker Support,8.5,8.8,8.8,7.8,8.5,9.0,8.4,2.8,2.9,3.9,pairs decarbonization with labor protection regional investment affordability and public accountability
JTR003,Coastal Retreat Without Long-Term Support,7.4,7.6,5.2,6.2,5.0,5.0,7.6,6.8,5.6,3.1,reduces physical exposure but risks displacement cultural loss and insufficient support
JTR004,Participatory Retreat and Wetland Restoration,8.4,8.9,8.7,9.2,8.8,8.5,9.0,2.9,2.8,4.0,reduces exposure through participatory relocation compensation cultural continuity and ecological restoration
JTR005,Green Infrastructure Without Housing Protection,7.9,7.8,5.8,8.1,5.6,5.6,7.4,6.0,5.2,3.4,improves ecological and climate function but risks green displacement without housing safeguards
JTR006,Climate Retrofit with Anti-Displacement Policy,8.6,8.5,9.0,8.0,8.7,8.2,8.8,2.7,2.9,3.8,combines building retrofits cooling energy affordability and anti-displacement protections
JTR007,Digital Modernization Without Access Safeguards,7.6,8.0,5.6,5.8,5.4,5.2,6.4,6.4,6.0,3.2,modernizes service systems but risks exclusion surveillance and digital dependency
JTR008,Public Digital Infrastructure with Community Oversight,8.3,8.4,8.6,7.2,8.9,8.4,7.8,2.8,3.0,3.7,uses accountable digital systems to support access transparency fallback capacity and public oversight
JTR009,Ecosystem Restoration with Community Stewardship,8.2,8.6,8.5,9.3,8.6,8.1,8.7,2.9,3.1,3.9,restores wetlands forests rivers or soils with community stewardship and public-benefit safeguards
JTR010,Infrastructure Repair and Public Capacity Renewal,8.7,8.4,8.7,7.8,8.8,8.6,8.6,2.7,3.0,3.8,links deferred maintenance repair staffing budgeting and public accountability to exposure reduction
