simulation_id,strategy_id,strategy,rank,resilience_value,winner
0,IR006,Institutional Learning and After-Action Implementation System,1,8.22053,Institutional Learning and After-Action Implementation System
0,IR003,Decentralized Adaptive Governance Model,2,7.80472,Institutional Learning and After-Action Implementation System
0,IR005,Equity and Access Accountability Review,3,7.71978,Institutional Learning and After-Action Implementation System
0,IR002,Public Trust and Transparency Initiative,4,7.67554,Institutional Learning and After-Action Implementation System
0,IR001,Crisis Coordination Reform,5,7.65428,Institutional Learning and After-Action Implementation System
0,IR004,Administrative Capacity and Training Program,6,7.5869,Institutional Learning and After-Action Implementation System
1,IR006,Institutional Learning and After-Action Implementation System,1,8.24952,Institutional Learning and After-Action Implementation System
1,IR002,Public Trust and Transparency Initiative,2,7.84187,Institutional Learning and After-Action Implementation System
1,IR003,Decentralized Adaptive Governance Model,3,7.83235,Institutional Learning and After-Action Implementation System
1,IR001,Crisis Coordination Reform,4,7.741,Institutional Learning and After-Action Implementation System
1,IR005,Equity and Access Accountability Review,5,7.72188,Institutional Learning and After-Action Implementation System
1,IR004,Administrative Capacity and Training Program,6,7.34628,Institutional Learning and After-Action Implementation System
2,IR001,Crisis Coordination Reform,1,8.06731,Crisis Coordination Reform
2,IR006,Institutional Learning and After-Action Implementation System,2,8.05797,Crisis Coordination Reform
2,IR005,Equity and Access Accountability Review,3,8.05736,Crisis Coordination Reform
2,IR003,Decentralized Adaptive Governance Model,4,7.82669,Crisis Coordination Reform
2,IR002,Public Trust and Transparency Initiative,5,7.70319,Crisis Coordination Reform
2,IR004,Administrative Capacity and Training Program,6,7.53826,Crisis Coordination Reform
3,IR003,Decentralized Adaptive Governance Model,1,8.14028,Decentralized Adaptive Governance Model
3,IR006,Institutional Learning and After-Action Implementation System,2,8.06007,Decentralized Adaptive Governance Model
3,IR005,Equity and Access Accountability Review,3,7.93739,Decentralized Adaptive Governance Model
3,IR001,Crisis Coordination Reform,4,7.77599,Decentralized Adaptive Governance Model
3,IR002,Public Trust and Transparency Initiative,5,7.62013,Decentralized Adaptive Governance Model
3,IR004,Administrative Capacity and Training Program,6,7.45388,Decentralized Adaptive Governance Model
4,IR005,Equity and Access Accountability Review,1,8.253,Equity and Access Accountability Review
4,IR003,Decentralized Adaptive Governance Model,2,8.15102,Equity and Access Accountability Review
4,IR001,Crisis Coordination Reform,3,7.97483,Equity and Access Accountability Review
4,IR006,Institutional Learning and After-Action Implementation System,4,7.82414,Equity and Access Accountability Review
4,IR002,Public Trust and Transparency Initiative,5,7.58034,Equity and Access Accountability Review
4,IR004,Administrative Capacity and Training Program,6,7.3134,Equity and Access Accountability Review
5,IR003,Decentralized Adaptive Governance Model,1,8.01407,Decentralized Adaptive Governance Model
5,IR002,Public Trust and Transparency Initiative,2,7.93249,Decentralized Adaptive Governance Model
5,IR005,Equity and Access Accountability Review,3,7.84747,Decentralized Adaptive Governance Model
5,IR006,Institutional Learning and After-Action Implementation System,4,7.74035,Decentralized Adaptive Governance Model
5,IR001,Crisis Coordination Reform,5,7.64255,Decentralized Adaptive Governance Model
5,IR004,Administrative Capacity and Training Program,6,7.08411,Decentralized Adaptive Governance Model
6,IR006,Institutional Learning and After-Action Implementation System,1,8.00668,Institutional Learning and After-Action Implementation System
6,IR003,Decentralized Adaptive Governance Model,2,7.90302,Institutional Learning and After-Action Implementation System
6,IR002,Public Trust and Transparency Initiative,3,7.87669,Institutional Learning and After-Action Implementation System
6,IR005,Equity and Access Accountability Review,4,7.85485,Institutional Learning and After-Action Implementation System
6,IR001,Crisis Coordination Reform,5,7.75897,Institutional Learning and After-Action Implementation System
6,IR004,Administrative Capacity and Training Program,6,7.40228,Institutional Learning and After-Action Implementation System
7,IR003,Decentralized Adaptive Governance Model,1,7.9678,Decentralized Adaptive Governance Model
7,IR006,Institutional Learning and After-Action Implementation System,2,7.89862,Decentralized Adaptive Governance Model
7,IR001,Crisis Coordination Reform,3,7.88242,Decentralized Adaptive Governance Model
7,IR005,Equity and Access Accountability Review,4,7.83036,Decentralized Adaptive Governance Model
7,IR002,Public Trust and Transparency Initiative,5,7.66762,Decentralized Adaptive Governance Model
7,IR004,Administrative Capacity and Training Program,6,7.19143,Decentralized Adaptive Governance Model
8,IR005,Equity and Access Accountability Review,1,8.02579,Equity and Access Accountability Review
8,IR001,Crisis Coordination Reform,2,8.01946,Equity and Access Accountability Review
8,IR006,Institutional Learning and After-Action Implementation System,3,7.88976,Equity and Access Accountability Review
8,IR003,Decentralized Adaptive Governance Model,4,7.67362,Equity and Access Accountability Review
8,IR002,Public Trust and Transparency Initiative,5,7.59094,Equity and Access Accountability Review
8,IR004,Administrative Capacity and Training Program,6,7.18447,Equity and Access Accountability Review
9,IR001,Crisis Coordination Reform,1,7.99233,Crisis Coordination Reform
9,IR005,Equity and Access Accountability Review,2,7.89353,Crisis Coordination Reform
9,IR006,Institutional Learning and After-Action Implementation System,3,7.89192,Crisis Coordination Reform
9,IR003,Decentralized Adaptive Governance Model,4,7.7003,Crisis Coordination Reform
9,IR004,Administrative Capacity and Training Program,5,7.3308,Crisis Coordination Reform
9,IR002,Public Trust and Transparency Initiative,6,6.95425,Crisis Coordination Reform
10,IR005,Equity and Access Accountability Review,1,7.85786,Equity and Access Accountability Review
10,IR004,Administrative Capacity and Training Program,2,7.82089,Equity and Access Accountability Review
10,IR006,Institutional Learning and After-Action Implementation System,3,7.78184,Equity and Access Accountability Review
10,IR003,Decentralized Adaptive Governance Model,4,7.61838,Equity and Access Accountability Review
10,IR001,Crisis Coordination Reform,5,7.58866,Equity and Access Accountability Review
10,IR002,Public Trust and Transparency Initiative,6,7.38795,Equity and Access Accountability Review
11,IR004,Administrative Capacity and Training Program,1,7.9835,Administrative Capacity and Training Program
11,IR005,Equity and Access Accountability Review,2,7.91636,Administrative Capacity and Training Program
11,IR001,Crisis Coordination Reform,3,7.85282,Administrative Capacity and Training Program
11,IR003,Decentralized Adaptive Governance Model,4,7.84345,Administrative Capacity and Training Program
11,IR002,Public Trust and Transparency Initiative,5,7.58156,Administrative Capacity and Training Program
11,IR006,Institutional Learning and After-Action Implementation System,6,7.42643,Administrative Capacity and Training Program
12,IR003,Decentralized Adaptive Governance Model,1,8.16371,Decentralized Adaptive Governance Model
12,IR006,Institutional Learning and After-Action Implementation System,2,7.93243,Decentralized Adaptive Governance Model
12,IR001,Crisis Coordination Reform,3,7.72187,Decentralized Adaptive Governance Model
12,IR005,Equity and Access Accountability Review,4,7.7184,Decentralized Adaptive Governance Model
12,IR002,Public Trust and Transparency Initiative,5,7.52179,Decentralized Adaptive Governance Model
12,IR004,Administrative Capacity and Training Program,6,7.18734,Decentralized Adaptive Governance Model
13,IR005,Equity and Access Accountability Review,1,8.11543,Equity and Access Accountability Review
13,IR003,Decentralized Adaptive Governance Model,2,7.9122,Equity and Access Accountability Review
13,IR001,Crisis Coordination Reform,3,7.62872,Equity and Access Accountability Review
13,IR002,Public Trust and Transparency Initiative,4,7.61434,Equity and Access Accountability Review
13,IR006,Institutional Learning and After-Action Implementation System,5,7.61171,Equity and Access Accountability Review
13,IR004,Administrative Capacity and Training Program,6,7.51098,Equity and Access Accountability Review
14,IR006,Institutional Learning and After-Action Implementation System,1,8.13669,Institutional Learning and After-Action Implementation System
14,IR005,Equity and Access Accountability Review,2,7.93224,Institutional Learning and After-Action Implementation System
14,IR003,Decentralized Adaptive Governance Model,3,7.62045,Institutional Learning and After-Action Implementation System
14,IR002,Public Trust and Transparency Initiative,4,7.57083,Institutional Learning and After-Action Implementation System
14,IR001,Crisis Coordination Reform,5,7.43614,Institutional Learning and After-Action Implementation System
14,IR004,Administrative Capacity and Training Program,6,6.89596,Institutional Learning and After-Action Implementation System
15,IR001,Crisis Coordination Reform,1,8.15739,Crisis Coordination Reform
15,IR005,Equity and Access Accountability Review,2,7.94118,Crisis Coordination Reform
15,IR002,Public Trust and Transparency Initiative,3,7.55919,Crisis Coordination Reform
15,IR006,Institutional Learning and After-Action Implementation System,4,7.49494,Crisis Coordination Reform
15,IR003,Decentralized Adaptive Governance Model,5,7.46946,Crisis Coordination Reform
15,IR004,Administrative Capacity and Training Program,6,7.31826,Crisis Coordination Reform
16,IR001,Crisis Coordination Reform,1,8.0805,Crisis Coordination Reform
16,IR006,Institutional Learning and After-Action Implementation System,2,7.97405,Crisis Coordination Reform
16,IR003,Decentralized Adaptive Governance Model,3,7.97213,Crisis Coordination Reform
16,IR002,Public Trust and Transparency Initiative,4,7.62971,Crisis Coordination Reform
