scenario,strategy_id,strategy,system_domain,rank,resilience_value,threshold_risk,implementation_burden,critical_function
Balanced,IR006,Institutional Learning and After-Action Implementation System,learning memory and institutional reform,1,8.039,0.2,3.3,converts crisis lessons audits near misses and public feedback into funded rule and practice changes
Balanced,IR005,Equity and Access Accountability Review,equity accountability and administrative justice,2,7.947,0.5,3.0,reduces administrative burden audits access and enforcement equity strengthens rights protection and participation
Balanced,IR003,Decentralized Adaptive Governance Model,adaptive governance and local discretion,3,7.791,0.6,3.4,allows local adaptation experimentation scenario learning and frontline discretion with oversight
Balanced,IR001,Crisis Coordination Reform,coordination and emergency governance,4,7.734,0.4,3.2,clarifies authority improves interagency coordination reduces duplication and strengthens crisis decision pathways
Balanced,IR002,Public Trust and Transparency Initiative,legitimacy and public communication,5,7.558,0.9,2.8,improves transparency public communication uncertainty explanation complaint response and institutional trust
Balanced,IR004,Administrative Capacity and Training Program,administrative capacity and implementation,6,7.442,0.8,3.1,builds staffing expertise procurement data systems field operations and implementation competence
Legitimacy-first,IR005,Equity and Access Accountability Review,equity accountability and administrative justice,1,8.106,0.5,3.0,reduces administrative burden audits access and enforcement equity strengthens rights protection and participation
Legitimacy-first,IR006,Institutional Learning and After-Action Implementation System,learning memory and institutional reform,2,8.024,0.2,3.3,converts crisis lessons audits near misses and public feedback into funded rule and practice changes
Legitimacy-first,IR002,Public Trust and Transparency Initiative,legitimacy and public communication,3,7.991,0.9,2.8,improves transparency public communication uncertainty explanation complaint response and institutional trust
Legitimacy-first,IR003,Decentralized Adaptive Governance Model,adaptive governance and local discretion,4,7.865,0.6,3.4,allows local adaptation experimentation scenario learning and frontline discretion with oversight
Legitimacy-first,IR001,Crisis Coordination Reform,coordination and emergency governance,5,7.799,0.4,3.2,clarifies authority improves interagency coordination reduces duplication and strengthens crisis decision pathways
Legitimacy-first,IR004,Administrative Capacity and Training Program,administrative capacity and implementation,6,7.419,0.8,3.1,builds staffing expertise procurement data systems field operations and implementation competence
Capacity-first,IR006,Institutional Learning and After-Action Implementation System,learning memory and institutional reform,1,8.08,0.2,3.3,converts crisis lessons audits near misses and public feedback into funded rule and practice changes
Capacity-first,IR001,Crisis Coordination Reform,coordination and emergency governance,2,7.939,0.4,3.2,clarifies authority improves interagency coordination reduces duplication and strengthens crisis decision pathways
Capacity-first,IR005,Equity and Access Accountability Review,equity accountability and administrative justice,3,7.882,0.5,3.0,reduces administrative burden audits access and enforcement equity strengthens rights protection and participation
Capacity-first,IR004,Administrative Capacity and Training Program,administrative capacity and implementation,4,7.867,0.8,3.1,builds staffing expertise procurement data systems field operations and implementation competence
Capacity-first,IR003,Decentralized Adaptive Governance Model,adaptive governance and local discretion,5,7.725,0.6,3.4,allows local adaptation experimentation scenario learning and frontline discretion with oversight
Capacity-first,IR002,Public Trust and Transparency Initiative,legitimacy and public communication,6,7.487,0.9,2.8,improves transparency public communication uncertainty explanation complaint response and institutional trust
Flexibility-first,IR003,Decentralized Adaptive Governance Model,adaptive governance and local discretion,1,8.154,0.6,3.4,allows local adaptation experimentation scenario learning and frontline discretion with oversight
Flexibility-first,IR006,Institutional Learning and After-Action Implementation System,learning memory and institutional reform,2,8.137,0.2,3.3,converts crisis lessons audits near misses and public feedback into funded rule and practice changes
Flexibility-first,IR005,Equity and Access Accountability Review,equity accountability and administrative justice,3,7.953,0.5,3.0,reduces administrative burden audits access and enforcement equity strengthens rights protection and participation
Flexibility-first,IR001,Crisis Coordination Reform,coordination and emergency governance,4,7.743,0.4,3.2,clarifies authority improves interagency coordination reduces duplication and strengthens crisis decision pathways
Flexibility-first,IR004,Administrative Capacity and Training Program,administrative capacity and implementation,5,7.447,0.8,3.1,builds staffing expertise procurement data systems field operations and implementation competence
Flexibility-first,IR002,Public Trust and Transparency Initiative,legitimacy and public communication,6,7.447,0.9,2.8,improves transparency public communication uncertainty explanation complaint response and institutional trust
Coordination-first,IR006,Institutional Learning and After-Action Implementation System,learning memory and institutional reform,1,8.192,0.2,3.3,converts crisis lessons audits near misses and public feedback into funded rule and practice changes
Coordination-first,IR001,Crisis Coordination Reform,coordination and emergency governance,2,8.079,0.4,3.2,clarifies authority improves interagency coordination reduces duplication and strengthens crisis decision pathways
Coordination-first,IR005,Equity and Access Accountability Review,equity accountability and administrative justice,3,7.91,0.5,3.0,reduces administrative burden audits access and enforcement equity strengthens rights protection and participation
Coordination-first,IR003,Decentralized Adaptive Governance Model,adaptive governance and local discretion,4,7.837,0.6,3.4,allows local adaptation experimentation scenario learning and frontline discretion with oversight
Coordination-first,IR002,Public Trust and Transparency Initiative,legitimacy and public communication,5,7.515,0.9,2.8,improves transparency public communication uncertainty explanation complaint response and institutional trust
Coordination-first,IR004,Administrative Capacity and Training Program,administrative capacity and implementation,6,7.503,0.8,3.1,builds staffing expertise procurement data systems field operations and implementation competence
Learning-first,IR006,Institutional Learning and After-Action Implementation System,learning memory and institutional reform,1,8.36,0.2,3.3,converts crisis lessons audits near misses and public feedback into funded rule and practice changes
Learning-first,IR003,Decentralized Adaptive Governance Model,adaptive governance and local discretion,2,8.061,0.6,3.4,allows local adaptation experimentation scenario learning and frontline discretion with oversight
Learning-first,IR005,Equity and Access Accountability Review,equity accountability and administrative justice,3,7.994,0.5,3.0,reduces administrative burden audits access and enforcement equity strengthens rights protection and participation
Learning-first,IR001,Crisis Coordination Reform,coordination and emergency governance,4,7.827,0.4,3.2,clarifies authority improves interagency coordination reduces duplication and strengthens crisis decision pathways
Learning-first,IR004,Administrative Capacity and Training Program,administrative capacity and implementation,5,7.671,0.8,3.1,builds staffing expertise procurement data systems field operations and implementation competence
Learning-first,IR002,Public Trust and Transparency Initiative,legitimacy and public communication,6,7.571,0.9,2.8,improves transparency public communication uncertainty explanation complaint response and institutional trust
Equity-first,IR005,Equity and Access Accountability Review,equity accountability and administrative justice,1,8.33,0.5,3.0,reduces administrative burden audits access and enforcement equity strengthens rights protection and participation
Equity-first,IR006,Institutional Learning and After-Action Implementation System,learning memory and institutional reform,2,8.108,0.2,3.3,converts crisis lessons audits near misses and public feedback into funded rule and practice changes
Equity-first,IR003,Decentralized Adaptive Governance Model,adaptive governance and local discretion,3,7.893,0.6,3.4,allows local adaptation experimentation scenario learning and frontline discretion with oversight
Equity-first,IR002,Public Trust and Transparency Initiative,legitimacy and public communication,4,7.795,0.9,2.8,improves transparency public communication uncertainty explanation complaint response and institutional trust
Equity-first,IR001,Crisis Coordination Reform,coordination and emergency governance,5,7.743,0.4,3.2,clarifies authority improves interagency coordination reduces duplication and strengthens crisis decision pathways
Equity-first,IR004,Administrative Capacity and Training Program,administrative capacity and implementation,6,7.447,0.8,3.1,builds staffing expertise procurement data systems field operations and implementation competence
Implementation-aware,IR006,Institutional Learning and After-Action Implementation System,learning memory and institutional reform,1,7.115,0.2,3.3,converts crisis lessons audits near misses and public feedback into funded rule and practice changes
Implementation-aware,IR005,Equity and Access Accountability Review,equity accountability and administrative justice,2,7.045,0.5,3.0,reduces administrative burden audits access and enforcement equity strengthens rights protection and participation
Implementation-aware,IR003,Decentralized Adaptive Governance Model,adaptive governance and local discretion,3,6.877,0.6,3.4,allows local adaptation experimentation scenario learning and frontline discretion with oversight
Implementation-aware,IR001,Crisis Coordination Reform,coordination and emergency governance,4,6.845,0.4,3.2,clarifies authority improves interagency coordination reduces duplication and strengthens crisis decision pathways
Implementation-aware,IR002,Public Trust and Transparency Initiative,legitimacy and public communication,5,6.709,0.9,2.8,improves transparency public communication uncertainty explanation complaint response and institutional trust
Implementation-aware,IR004,Administrative Capacity and Training Program,administrative capacity and implementation,6,6.585,0.8,3.1,builds staffing expertise procurement data systems field operations and implementation competence
