system_id,system,system_domain,time,event,stress_load,response_capacity,institutional_function,dependency_coupling,equity_adjusted_function
SYS001,Local Emergency Management and Interagency Coordination System,emergency governance,0,background institutional stress,0.16224,0.4518,1.0,0.77828,1.0
SYS001,Local Emergency Management and Interagency Coordination System,emergency governance,1,background institutional stress,0.16581,0.45197,1.0,0.77662,1.0
SYS001,Local Emergency Management and Interagency Coordination System,emergency governance,2,background institutional stress,0.16434,0.45214,1.0,0.77493,1.0
SYS001,Local Emergency Management and Interagency Coordination System,emergency governance,3,background institutional stress,0.16513,0.45231,1.0,0.77326,1.0
SYS001,Local Emergency Management and Interagency Coordination System,emergency governance,4,background institutional stress,0.16219,0.45247,1.0,0.77153,1.0
SYS001,Local Emergency Management and Interagency Coordination System,emergency governance,5,background institutional stress,0.16455,0.45265,1.0,0.76984,1.0
SYS001,Local Emergency Management and Interagency Coordination System,emergency governance,6,background institutional stress,0.16479,0.45282,1.0,0.76815,1.0
SYS001,Local Emergency Management and Interagency Coordination System,emergency governance,7,background institutional stress,0.16474,0.45298,1.0,0.76647,1.0
SYS001,Local Emergency Management and Interagency Coordination System,emergency governance,8,background institutional stress,0.1614,0.45315,1.0,0.76471,1.0
SYS001,Local Emergency Management and Interagency Coordination System,emergency governance,9,background institutional stress,0.16225,0.45333,1.0,0.76297,1.0
SYS001,Local Emergency Management and Interagency Coordination System,emergency governance,10,background institutional stress,0.16701,0.4535,1.0,0.76132,1.0
SYS001,Local Emergency Management and Interagency Coordination System,emergency governance,11,background institutional stress,0.16552,0.45367,1.0,0.75964,1.0
SYS001,Local Emergency Management and Interagency Coordination System,emergency governance,12,Public trust shock during emergency response,0.83077,0.45384,1.0,0.77126,0.85664
SYS001,Local Emergency Management and Interagency Coordination System,emergency governance,13,background institutional stress,0.16764,0.45267,1.0,0.76964,1.0
SYS001,Local Emergency Management and Interagency Coordination System,emergency governance,14,background institutional stress,0.16485,0.45284,1.0,0.76795,1.0
SYS001,Local Emergency Management and Interagency Coordination System,emergency governance,15,background institutional stress,0.1641,0.453,1.0,0.76625,1.0
SYS001,Local Emergency Management and Interagency Coordination System,emergency governance,16,background institutional stress,0.16322,0.45317,1.0,0.76453,1.0
SYS001,Local Emergency Management and Interagency Coordination System,emergency governance,17,background institutional stress,0.16689,0.45335,1.0,0.76288,1.0
SYS001,Local Emergency Management and Interagency Coordination System,emergency governance,18,background institutional stress,0.16625,0.45351,1.0,0.76122,1.0
SYS001,Local Emergency Management and Interagency Coordination System,emergency governance,19,background institutional stress,0.16582,0.45368,1.0,0.75954,1.0
SYS001,Local Emergency Management and Interagency Coordination System,emergency governance,20,background institutional stress,0.16623,0.45385,1.0,0.75788,1.0
SYS001,Local Emergency Management and Interagency Coordination System,emergency governance,21,background institutional stress,0.1653,0.45401,1.0,0.75619,1.0
SYS001,Local Emergency Management and Interagency Coordination System,emergency governance,22,background institutional stress,0.16839,0.45418,1.0,0.75456,1.0
SYS001,Local Emergency Management and Interagency Coordination System,emergency governance,23,background institutional stress,0.16736,0.45434,1.0,0.75291,1.0
SYS001,Local Emergency Management and Interagency Coordination System,emergency governance,24,background institutional stress,0.16693,0.45451,1.0,0.75125,1.0
SYS001,Local Emergency Management and Interagency Coordination System,emergency governance,25,background institutional stress,0.16565,0.45468,1.0,0.74956,1.0
SYS001,Local Emergency Management and Interagency Coordination System,emergency governance,26,background institutional stress,0.1653,0.45484,1.0,0.74786,1.0
SYS001,Local Emergency Management and Interagency Coordination System,emergency governance,27,Fiscal stress and staffing attrition,0.78383,0.45501,1.0,0.75853,0.87904
SYS001,Local Emergency Management and Interagency Coordination System,emergency governance,28,background institutional stress,0.16765,0.45395,1.0,0.75689,1.0
SYS001,Local Emergency Management and Interagency Coordination System,emergency governance,29,background institutional stress,0.1684,0.45411,1.0,0.75527,1.0
SYS001,Local Emergency Management and Interagency Coordination System,emergency governance,30,background institutional stress,0.17029,0.45427,1.0,0.75367,1.0
SYS001,Local Emergency Management and Interagency Coordination System,emergency governance,31,background institutional stress,0.16651,0.45443,1.0,0.75201,1.0
SYS001,Local Emergency Management and Interagency Coordination System,emergency governance,32,background institutional stress,0.17061,0.4546,1.0,0.75042,1.0
