time_step,viability,margin
1,0.959591,1.02759
2,0.919183,0.987183
3,0.878774,0.946774
4,0.838366,0.906366
5,0.797957,0.865957
6,0.757549,0.825549
7,0.71714,0.78514
8,0.676732,0.744732
9,0.636323,0.704323
10,0.595915,0.663915
11,0.555506,0.623506
12,0.289612,0.357612
13,0.249203,0.317203
14,0.208795,0.276795
15,0.168386,0.236386
16,0.127978,0.195978
17,0.0875691,0.155569
18,0.0471605,0.115161
19,0.00675196,0.074752
20,0,0.068
21,0,0.068
22,0,0.068
23,0,0.068
24,0,0.068
25,0,0.068
26,0,0.068
27,0,0.068
28,0,0.068
29,0,0.068
30,0,0.068
31,0,0.068
32,0,0.068
33,0,0.068
34,0,0.068
35,0,0.068
36,0,0.068
37,0,0.068
38,0,0.068
39,0,0.068
40,0,0.068
41,0,0.068
42,0,0.068
43,0,0.068
44,0,0.068
45,0,0.068
46,0,0.068
47,0,0.068
48,0,0.068
49,0,0.068
50,0,0.068
51,0,0.068
52,0,0.068
53,0,0.068
54,0,0.068
55,0,0.068
56,0,0.068
57,0,0.068
58,0,0.068
59,0,0.068
60,0,0.068
