system_id,system_type,time_step,disturbance,viability,viability_margin,threshold_flag
S001,Ecological System,1,0.062,0.9696,1.2011,lower threshold risk
S001,Ecological System,2,0.0685,0.9328,1.1643,lower threshold risk
S001,Ecological System,3,0.0739,0.8907,1.1222,lower threshold risk
S001,Ecological System,4,0.0777,0.8449,1.0764,lower threshold risk
S001,Ecological System,5,0.0797,0.797,1.0285,lower threshold risk
S001,Ecological System,6,0.0797,0.7493,0.9808,lower threshold risk
S001,Ecological System,7,0.0777,0.7036,0.9351,lower threshold risk
S001,Ecological System,8,0.0739,0.6619,0.8934,lower threshold risk
S001,Ecological System,9,0.0685,0.6255,0.857,lower threshold risk
S001,Ecological System,10,0.062,0.5957,0.8272,lower threshold risk
S001,Ecological System,11,0.055,0.573,0.8045,lower threshold risk
S001,Ecological System,12,0.2479,0.3579,0.5894,lower threshold risk
S001,Ecological System,13,0.0415,0.3488,0.5803,lower threshold risk
S001,Ecological System,14,0.0361,0.345,0.5765,lower threshold risk
S001,Ecological System,15,0.0322,0.3452,0.5767,lower threshold risk
S001,Ecological System,16,0.0302,0.3474,0.5789,lower threshold risk
S001,Ecological System,17,0.0303,0.3497,0.5812,lower threshold risk
S001,Ecological System,18,0.0323,0.35,0.5815,lower threshold risk
S001,Ecological System,19,0.0361,0.3466,0.5781,lower threshold risk
S001,Ecological System,20,0.0415,0.3378,0.5693,lower threshold risk
S001,Ecological System,21,0.048,0.3226,0.5541,lower threshold risk
S001,Ecological System,22,0.0551,0.3004,0.5319,lower threshold risk
S001,Ecological System,23,0.0621,0.2713,0.5028,lower threshold risk
S001,Ecological System,24,0.3486,0.0,0.2315,moderate threshold risk
S001,Ecological System,25,0.0739,0.0,0.2315,moderate threshold risk
S001,Ecological System,26,0.0778,0.0,0.2315,moderate threshold risk
S001,Ecological System,27,0.0798,0.0,0.2315,moderate threshold risk
S001,Ecological System,28,0.0797,0.0,0.2315,moderate threshold risk
S001,Ecological System,29,0.0777,0.0,0.2315,moderate threshold risk
S001,Ecological System,30,0.0738,0.0,0.2315,moderate threshold risk
S001,Ecological System,31,0.0684,0.0,0.2315,moderate threshold risk
S001,Ecological System,32,0.062,0.0,0.2315,moderate threshold risk
S001,Ecological System,33,0.0549,0.0,0.2315,moderate threshold risk
S001,Ecological System,34,0.0479,0.0,0.2315,moderate threshold risk
S001,Ecological System,35,0.0414,0.0,0.2315,moderate threshold risk
S001,Ecological System,36,0.036,0.0,0.2315,moderate threshold risk
S001,Ecological System,37,0.2622,0.0,0.2315,moderate threshold risk
S001,Ecological System,38,0.0302,0.0036,0.2351,moderate threshold risk
S001,Ecological System,39,0.0303,0.0072,0.2387,moderate threshold risk
S001,Ecological System,40,0.0323,0.0088,0.2403,moderate threshold risk
S001,Ecological System,41,0.0362,0.0066,0.2381,moderate threshold risk
S001,Ecological System,42,0.0416,0.0,0.2315,moderate threshold risk
S001,Ecological System,43,0.0481,0.0,0.2315,moderate threshold risk
S001,Ecological System,44,0.0551,0.0,0.2315,moderate threshold risk
S001,Ecological System,45,0.0622,0.0,0.2315,moderate threshold risk
S001,Ecological System,46,0.0686,0.0,0.2315,moderate threshold risk
S001,Ecological System,47,0.074,0.0,0.2315,moderate threshold risk
S001,Ecological System,48,0.3878,0.0,0.2315,moderate threshold risk
S001,Ecological System,49,0.0798,0.0,0.2315,moderate threshold risk
S001,Ecological System,50,0.0797,0.0,0.2315,moderate threshold risk
S001,Ecological System,51,0.0777,0.0,0.2315,moderate threshold risk
S001,Ecological System,52,0.0738,0.0,0.2315,moderate threshold risk
S001,Ecological System,53,0.0684,0.0,0.2315,moderate threshold risk
S001,Ecological System,54,0.0619,0.0,0.2315,moderate threshold risk
S001,Ecological System,55,0.0548,0.0,0.2315,moderate threshold risk
S001,Ecological System,56,0.0478,0.0,0.2315,moderate threshold risk
S001,Ecological System,57,0.0413,0.0,0.2315,moderate threshold risk
S001,Ecological System,58,0.036,0.0,0.2315,moderate threshold risk
S001,Ecological System,59,0.0322,0.0029,0.2344,moderate threshold risk
S001,Ecological System,60,0.0302,0.0078,0.2393,moderate threshold risk
S002,Urban Infrastructure,1,0.062,0.9405,0.811,lower threshold risk
S002,Urban Infrastructure,2,0.0685,0.8725,0.743,lower threshold risk
S002,Urban Infrastructure,3,0.0739,0.7974,0.6679,lower threshold risk
S002,Urban Infrastructure,4,0.0777,0.7172,0.5877,lower threshold risk
S002,Urban Infrastructure,5,0.0797,0.6345,0.505,lower threshold risk
S002,Urban Infrastructure,6,0.0797,0.5518,0.4223,lower threshold risk
S002,Urban Infrastructure,7,0.0777,0.4717,0.3422,lower threshold risk
S002,Urban Infrastructure,8,0.0739,0.3968,0.2673,moderate threshold risk
S002,Urban Infrastructure,9,0.0685,0.3291,0.1996,moderate threshold risk
S002,Urban Infrastructure,10,0.062,0.2699,0.1404,high threshold risk
S002,Urban Infrastructure,11,0.055,0.2201,0.0906,high threshold risk
S002,Urban Infrastructure,12,0.2479,0.0,-0.1295,high threshold risk
S002,Urban Infrastructure,13,0.0415,0.0,-0.1295,high threshold risk
S002,Urban Infrastructure,14,0.0361,0.0,-0.1295,high threshold risk
S002,Urban Infrastructure,15,0.0322,0.0,-0.1295,high threshold risk
S002,Urban Infrastructure,16,0.0302,0.0,-0.1295,high threshold risk
S002,Urban Infrastructure,17,0.0303,0.0,-0.1295,high threshold risk
S002,Urban Infrastructure,18,0.0323,0.0,-0.1295,high threshold risk
S002,Urban Infrastructure,19,0.0361,0.0,-0.1295,high threshold risk
S002,Urban Infrastructure,20,0.0415,0.0,-0.1295,high threshold risk
S002,Urban Infrastructure,21,0.048,0.0,-0.1295,high threshold risk
S002,Urban Infrastructure,22,0.0551,0.0,-0.1295,high threshold risk
S002,Urban Infrastructure,23,0.0621,0.0,-0.1295,high threshold risk
S002,Urban Infrastructure,24,0.3486,0.0,-0.1295,high threshold risk
S002,Urban Infrastructure,25,0.0739,0.0,-0.1295,high threshold risk
S002,Urban Infrastructure,26,0.0778,0.0,-0.1295,high threshold risk
S002,Urban Infrastructure,27,0.0798,0.0,-0.1295,high threshold risk
S002,Urban Infrastructure,28,0.0797,0.0,-0.1295,high threshold risk
S002,Urban Infrastructure,29,0.0777,0.0,-0.1295,high threshold risk
S002,Urban Infrastructure,30,0.0738,0.0,-0.1295,high threshold risk
S002,Urban Infrastructure,31,0.0684,0.0,-0.1295,high threshold risk
S002,Urban Infrastructure,32,0.062,0.0,-0.1295,high threshold risk
S002,Urban Infrastructure,33,0.0549,0.0,-0.1295,high threshold risk
S002,Urban Infrastructure,34,0.0479,0.0,-0.1295,high threshold risk
S002,Urban Infrastructure,35,0.0414,0.0,-0.1295,high threshold risk
S002,Urban Infrastructure,36,0.036,0.0,-0.1295,high threshold risk
S002,Urban Infrastructure,37,0.2622,0.0,-0.1295,high threshold risk
S002,Urban Infrastructure,38,0.0302,0.0,-0.1295,high threshold risk
S002,Urban Infrastructure,39,0.0303,0.0,-0.1295,high threshold risk
S002,Urban Infrastructure,40,0.0323,0.0,-0.1295,high threshold risk
S002,Urban Infrastructure,41,0.0362,0.0,-0.1295,high threshold risk
S002,Urban Infrastructure,42,0.0416,0.0,-0.1295,high threshold risk
S002,Urban Infrastructure,43,0.0481,0.0,-0.1295,high threshold risk
S002,Urban Infrastructure,44,0.0551,0.0,-0.1295,high threshold risk
S002,Urban Infrastructure,45,0.0622,0.0,-0.1295,high threshold risk
S002,Urban Infrastructure,46,0.0686,0.0,-0.1295,high threshold risk
