time,pressure,state,regime,rolling_variance,rolling_autocorr,recovery_speed_proxy,threshold_proximity_score
1,-0.75,-0.9,lower regime,NA,NA,NA,NA
2,-0.7410614525139665,-0.9299258205770583,lower regime,NA,NA,NA,NA
3,-0.732122905027933,-0.9922838550480529,lower regime,NA,NA,NA,NA
4,-0.7231843575418995,-1.0325923067033493,lower regime,NA,NA,NA,NA
5,-0.714245810055866,-1.0638186928724354,lower regime,NA,NA,NA,NA
6,-0.7053072625698324,-1.0954396238717012,lower regime,NA,NA,NA,NA
7,-0.6963687150837988,-1.132168959847219,lower regime,NA,NA,NA,NA
8,-0.6874301675977653,-1.1347021302359552,lower regime,NA,NA,NA,NA
9,-0.6784916201117318,-1.1653634763843055,lower regime,NA,NA,NA,NA
10,-0.6695530726256983,-1.1532989345239972,lower regime,NA,NA,NA,NA
11,-0.6606145251396648,-1.1799563953919043,lower regime,NA,NA,NA,NA
12,-0.6516759776536313,-1.1777074311439875,lower regime,NA,NA,NA,NA
13,-0.6427374301675978,-1.157673427696789,lower regime,NA,NA,NA,NA
14,-0.6337988826815643,-1.2062471242447257,lower regime,NA,NA,NA,NA
15,-0.6248603351955307,-1.2271267504538095,lower regime,NA,NA,NA,NA
16,-0.6159217877094971,-1.241557397842013,lower regime,NA,NA,NA,NA
17,-0.6069832402234636,-1.239262046990516,lower regime,NA,NA,NA,NA
18,-0.5980446927374301,-1.2534754572436249,lower regime,0.011118198212280784,0.9819129075046743,0.018087092495325696,0.9969135802469136
19,-0.5891061452513966,-1.3074824123510833,lower regime,0.009469627371511361,0.9689631351065102,0.03103686489348978,0.9598765432098766
20,-0.5801675977653631,-1.3471104118516288,lower regime,0.008364365108311409,0.9658307491742181,0.03416925082578193,0.9475308641975309
21,-0.5712290502793296,-1.3105059504017404,lower regime,0.0072385876124404355,0.9523477152059847,0.04765228479401529,0.9104938271604939
22,-0.5622905027932961,-1.310235487728571,lower regime,0.006369618223019304,0.946762993526903,0.05323700647309704,0.8950617283950617
23,-0.5533519553072626,-1.336115587598182,lower regime,0.005942713582201573,0.9425665921886842,0.057433407811315784,0.8858024691358024
24,-0.544413407821229,-1.327335703395041,lower regime,0.005508629735752209,0.9416752929754163,0.0583247070245837,0.8734567901234568
25,-0.5354748603351955,-1.2949591099696538,lower regime,0.005035615256801561,0.9278201796319072,0.07217982036809278,0.8487654320987654
26,-0.526536312849162,-1.2562929068732114,lower regime,0.004310874394427386,0.9070414847439671,0.09295851525603294,0.8240740740740741
27,-0.5175977653631285,-1.266160226287173,lower regime,0.0038771248564222907,0.8976534845988845,0.1023465154011155,0.8055555555555556
28,-0.508659217877095,-1.2707006694262237,lower regime,0.0032362439834475987,0.8818104799290685,0.11818952007093153,0.75
29,-0.49972067039106144,-1.3010769186464022,lower regime,0.002887001320530917,0.8573835561333457,0.14261644386665429,0.7006172839506173
30,-0.49078212290502793,-1.2852756624321784,lower regime,0.0023822312127776226,0.828871997070321,0.171128002929679,0.632716049382716
31,-0.48184357541899436,-1.291844790713328,lower regime,0.0015403585547895098,0.7711821814663913,0.22881781853360872,0.537037037037037
32,-0.47290502793296085,-1.2770070310571997,lower regime,0.0011893999754238646,0.7053821438437514,0.2946178561562486,0.4598765432098766
33,-0.46396648044692734,-1.2600149383510586,lower regime,0.0010226604276136573,0.6492892507349621,0.35071074926503787,0.38580246913580246
34,-0.45502793296089383,-1.239713010443611,lower regime,0.001032835380560525,0.6172615083166896,0.3827384916833104,0.3734567901234568
35,-0.4460893854748603,-1.2520959110542489,lower regime,9.691891759738842e-4,0.6196022560834507,0.38039774391654935,0.35185185185185186
36,-0.43715083798882676,-1.2418417121258016,lower regime,0.0010242198918722753,0.738332590988392,0.261667409011608,0.4382716049382716
37,-0.42821229050279325,-1.272912381910708,lower regime,0.0010095175238960547,0.7478592133113068,0.2521407866886932,0.44135802469135804
38,-0.41927374301675974,-1.2812456999593367,lower regime,7.740666971329123e-4,0.73376317359853,0.26623682640146995,0.3117283950617284
39,-0.4103351955307262,-1.2887894971704215,lower regime,7.273431722512515e-4,0.711174355456074,0.288825644543926,0.29320987654320985
40,-0.4013966480446927,-1.3226098633155556,lower regime,7.787658788580266e-4,0.6593927850748905,0.3406072149251095,0.2777777777777778
41,-0.39245810055865915,-1.3052572897988362,lower regime,6.331886471564268e-4,0.5923079662260873,0.4076920337739127,0.2067901234567901
42,-0.38351955307262564,-1.2878526101837255,lower regime,4.986614788426813e-4,0.585724109705555,0.414275890294445,0.18518518518518517
43,-0.37458100558659213,-1.2835525273687902,lower regime,4.825090274390071e-4,0.6653382168609754,0.3346617831390246,0.22839506172839508
44,-0.3656424581005586,-1.25946776917894,lower regime,4.753710863242614e-4,0.6275517730441147,0.3724482269558853,0.19753086419753085
45,-0.3567039106145251,-1.2660596096650831,lower regime,4.755008947072006e-4,0.6326931964693812,0.36730680353061884,0.2037037037037037
46,-0.3477653631284916,-1.2825717267639198,lower regime,4.744300279027447e-4,0.6651413143933925,0.3348586856066075,0.21604938271604937
