scenario_id,scenario_name,time_step,pressure,state,regime,monitoring_quality,rolling_variance,rolling_autocorr,recovery_speed_proxy,threshold_proximity_score
RG001,Gradual pressure and moderate noise,1,-0.75,-0.9,lower regime,0.70,,,,
RG001,Gradual pressure and moderate noise,2,-0.741061,-0.927628,lower regime,0.70,,,,
RG001,Gradual pressure and moderate noise,3,-0.732123,-0.973316,lower regime,0.70,,,,
RG001,Gradual pressure and moderate noise,4,-0.723184,-1.009371,lower regime,0.70,,,,
RG001,Gradual pressure and moderate noise,5,-0.714246,-1.03846,lower regime,0.70,,,,
RG001,Gradual pressure and moderate noise,6,-0.705307,-1.095139,lower regime,0.70,,,,
RG001,Gradual pressure and moderate noise,7,-0.696369,-1.158145,lower regime,0.70,,,,
RG001,Gradual pressure and moderate noise,8,-0.68743,-1.204567,lower regime,0.70,,,,
RG001,Gradual pressure and moderate noise,9,-0.678492,-1.217247,lower regime,0.70,,,,
RG001,Gradual pressure and moderate noise,10,-0.669553,-1.214562,lower regime,0.70,,,,
RG001,Gradual pressure and moderate noise,11,-0.660615,-1.228583,lower regime,0.70,,,,
RG001,Gradual pressure and moderate noise,12,-0.651676,-1.266638,lower regime,0.70,,,,
RG001,Gradual pressure and moderate noise,13,-0.642737,-1.247865,lower regime,0.70,,,,
RG001,Gradual pressure and moderate noise,14,-0.633799,-1.286167,lower regime,0.70,,,,
RG001,Gradual pressure and moderate noise,15,-0.62486,-1.296987,lower regime,0.70,,,,
RG001,Gradual pressure and moderate noise,16,-0.615922,-1.306773,lower regime,0.70,,,,
RG001,Gradual pressure and moderate noise,17,-0.606983,-1.299442,lower regime,0.70,,,,
RG001,Gradual pressure and moderate noise,18,-0.598045,-1.277854,lower regime,0.70,0.018791,0.987167,0.012833,1.0
RG001,Gradual pressure and moderate noise,19,-0.589106,-1.306519,lower regime,0.70,0.015355,0.98439,0.01561,0.993865
RG001,Gradual pressure and moderate noise,20,-0.580168,-1.308148,lower regime,0.70,0.011815,0.979697,0.020303,0.978528
RG001,Gradual pressure and moderate noise,21,-0.571229,-1.297591,lower regime,0.70,0.008721,0.972389,0.027611,0.947853
RG001,Gradual pressure and moderate noise,22,-0.562291,-1.315327,lower regime,0.70,0.006139,0.962974,0.037026,0.935583
RG001,Gradual pressure and moderate noise,23,-0.553352,-1.309777,lower regime,0.70,0.003714,0.938026,0.061974,0.877301
RG001,Gradual pressure and moderate noise,24,-0.544413,-1.299846,lower regime,0.70,0.002129,0.904232,0.095768,0.760736
RG001,Gradual pressure and moderate noise,25,-0.535475,-1.318837,lower regime,0.70,0.001468,0.878011,0.121989,0.638037
RG001,Gradual pressure and moderate noise,26,-0.526536,-1.333131,lower regime,0.70,0.001277,0.853439,0.146561,0.546012
RG001,Gradual pressure and moderate noise,27,-0.517598,-1.321522,lower regime,0.70,0.001049,0.816905,0.183095,0.45092
RG001,Gradual pressure and moderate noise,28,-0.508659,-1.314929,lower regime,0.70,0.000707,0.7188,0.2812,0.174847
RG001,Gradual pressure and moderate noise,29,-0.499721,-1.301151,lower regime,0.70,0.000421,0.636319,0.363681,0.07362
RG001,Gradual pressure and moderate noise,30,-0.490782,-1.253812,lower regime,0.70,0.000481,0.400912,0.599088,0.027607
RG001,Gradual pressure and moderate noise,31,-0.481844,-1.238469,lower regime,0.70,0.000543,0.647255,0.352745,0.09816
RG001,Gradual pressure and moderate noise,32,-0.472905,-1.233433,lower regime,0.70,0.000779,0.780897,0.219103,0.279141
RG001,Gradual pressure and moderate noise,33,-0.463966,-1.249596,lower regime,0.70,0.0009,0.811164,0.188836,0.377301
RG001,Gradual pressure and moderate noise,34,-0.455028,-1.233014,lower regime,0.70,0.001088,0.838184,0.161816,0.48773
RG001,Gradual pressure and moderate noise,35,-0.446089,-1.249648,lower regime,0.70,0.001168,0.854347,0.145653,0.52454
RG001,Gradual pressure and moderate noise,36,-0.437151,-1.22066,lower regime,0.70,0.00141,0.882463,0.117537,0.638037
RG001,Gradual pressure and moderate noise,37,-0.428212,-1.203009,lower regime,0.70,0.001727,0.901748,0.098252,0.723926
RG001,Gradual pressure and moderate noise,38,-0.419274,-1.245187,lower regime,0.70,0.001723,0.86935,0.13065,0.662577
RG001,Gradual pressure and moderate noise,39,-0.410335,-1.265034,lower regime,0.70,0.001693,0.864543,0.135457,0.644172
RG001,Gradual pressure and moderate noise,40,-0.401397,-1.263224,lower regime,0.70,0.001582,0.855372,0.144628,0.625767
RG001,Gradual pressure and moderate noise,41,-0.392458,-1.265077,lower regime,0.70,0.001482,0.847752,0.152248,0.595092
RG001,Gradual pressure and moderate noise,42,-0.38352,-1.28162,lower regime,0.70,0.00143,0.838363,0.161637,0.579755
RG001,Gradual pressure and moderate noise,43,-0.374581,-1.294051,lower regime,0.70,0.001311,0.814533,0.185467,0.521472
RG001,Gradual pressure and moderate noise,44,-0.365642,-1.268629,lower regime,0.70,0.001023,0.753519,0.246481,0.328221
RG001,Gradual pressure and moderate noise,45,-0.356704,-1.270074,lower regime,0.70,0.000805,0.679566,0.320434,0.180982
RG001,Gradual pressure and moderate noise,46,-0.347765,-1.288747,lower regime,0.70,0.000669,0.589693,0.410307,0.104294
RG001,Gradual pressure and moderate noise,47,-0.338827,-1.281041,lower regime,0.70,0.000587,0.697268,0.302732,0.131902
RG001,Gradual pressure and moderate noise,48,-0.329888,-1.251833,lower regime,0.70,0.000588,0.669559,0.330441,0.128834
RG001,Gradual pressure and moderate noise,49,-0.32095,-1.21461,lower regime,0.70,0.000668,0.619568,0.380432,0.110429
RG001,Gradual pressure and moderate noise,50,-0.312011,-1.212381,lower regime,0.70,0.000744,0.681836,0.318164,0.165644
RG001,Gradual pressure and moderate noise,51,-0.303073,-1.216838,lower regime,0.70,0.000818,0.72006,0.27994,0.211656
RG001,Gradual pressure and moderate noise,52,-0.294134,-1.228945,lower regime,0.70,0.000827,0.739303,0.260697,0.236196
RG001,Gradual pressure and moderate noise,53,-0.285196,-1.233506,lower regime,0.70,0.000845,0.767563,0.232437,0.269939
RG001,Gradual pressure and moderate noise,54,-0.276257,-1.217894,lower regime,0.70,0.000855,0.753965,0.246035,0.269939
RG001,Gradual pressure and moderate noise,55,-0.267318,-1.191449,lower regime,0.70,0.000926,0.824327,0.175673,0.41411
RG001,Gradual pressure and moderate noise,56,-0.25838,-1.168906,lower regime,0.70,0.001288,0.880758,0.119242,0.601227
RG001,Gradual pressure and moderate noise,57,-0.249441,-1.176047,lower regime,0.70,0.00152,0.89661,0.10339,0.684049
RG001,Gradual pressure and moderate noise,58,-0.240503,-1.161377,lower regime,0.70,0.001821,0.912826,0.087174,0.760736
RG001,Gradual pressure and moderate noise,59,-0.231564,-1.150571,lower regime,0.70,0.002139,0.930813,0.069187,0.819018
RG001,Gradual pressure and moderate noise,60,-0.222626,-1.146413,lower regime,0.70,0.002306,0.939338,0.060662,0.843558
RG001,Gradual pressure and moderate noise,61,-0.213687,-1.194663,lower regime,0.70,0.001998,0.896786,0.103214,0.739264
RG001,Gradual pressure and moderate noise,62,-0.204749,-1.192463,lower regime,0.70,0.001841,0.887534,0.112466,0.714724
RG001,Gradual pressure and moderate noise,63,-0.19581,-1.194125,lower regime,0.70,0.001634,0.881752,0.118248,0.677914
RG001,Gradual pressure and moderate noise,64,-0.186872,-1.166087,lower regime,0.70,0.001287,0.82455,0.17545,0.52454
RG001,Gradual pressure and moderate noise,65,-0.177933,-1.170765,lower regime,0.70,0.00091,0.774251,0.225749,0.325153
RG001,Gradual pressure and moderate noise,66,-0.168994,-1.161102,lower regime,0.70,0.000749,0.786392,0.213608,0.273006
RG001,Gradual pressure and moderate noise,67,-0.160056,-1.155794,lower regime,0.70,0.000762,0.788712,0.211288,0.279141
RG001,Gradual pressure and moderate noise,68,-0.151117,-1.132696,lower regime,0.70,0.000863,0.789023,0.210977,0.331288
RG001,Gradual pressure and moderate noise,69,-0.142179,-1.12138,lower regime,0.70,0.000968,0.808858,0.191142,0.398773
RG001,Gradual pressure and moderate noise,70,-0.13324,-1.106302,lower regime,0.70,0.001036,0.810533,0.189467,0.429448
RG001,Gradual pressure and moderate noise,71,-0.124302,-1.084274,lower regime,0.70,0.001141,0.825221,0.174779,0.493865
RG001,Gradual pressure and moderate noise,72,-0.115363,-1.074101,lower regime,0.70,0.001322,0.876414,0.123586,0.601227
RG001,Gradual pressure and moderate noise,73,-0.106425,-1.067821,lower regime,0.70,0.001607,0.910776,0.089224,0.733129
RG001,Gradual pressure and moderate noise,74,-0.097486,-1.080577,lower regime,0.70,0.001801,0.91607,0.08393,0.763804
RG001,Gradual pressure and moderate noise,75,-0.088547,-1.084999,lower regime,0.70,0.001885,0.922128,0.077872,0.785276
RG001,Gradual pressure and moderate noise,76,-0.079609,-1.051293,lower regime,0.70,0.002228,0.923051,0.076949,0.806748
RG001,Gradual pressure and moderate noise,77,-0.07067,-1.059192,lower regime,0.70,0.002468,0.928743,0.071257,0.840491
RG001,Gradual pressure and moderate noise,78,-0.061732,-1.057241,lower regime,0.70,0.002681,0.966599,0.033401,0.889571
RG001,Gradual pressure and moderate noise,79,-0.052793,-1.065586,lower regime,0.70,0.002469,0.96218,0.03782,0.877301
RG001,Gradual pressure and moderate noise,80,-0.043855,-1.076452,lower regime,0.70,0.002126,0.955612,0.044388,0.834356
RG001,Gradual pressure and moderate noise,81,-0.034916,-1.134324,lower regime,0.70,0.001705,0.877789,0.122211,0.671779
RG001,Gradual pressure and moderate noise,82,-0.025978,-1.099898,lower regime,0.70,0.001456,0.837281,0.162719,0.576687
RG001,Gradual pressure and moderate noise,83,-0.017039,-1.121486,lower regime,0.70,0.001175,0.774208,0.225792,0.417178
RG001,Gradual pressure and moderate noise,84,-0.008101,-1.133625,lower regime,0.70,0.001008,0.716704,0.283296,0.285276
RG001,Gradual pressure and moderate noise,85,0.000838,-1.104377,lower regime,0.70,0.000786,0.658113,0.341887,0.162577
RG001,Gradual pressure and moderate noise,86,0.009777,-1.145168,lower regime,0.70,0.000854,0.603517,0.396483,0.177914
RG001,Gradual pressure and moderate noise,87,0.018715,-1.13735,lower regime,0.70,0.000922,0.662741,0.337259,0.239264
RG001,Gradual pressure and moderate noise,88,0.027654,-1.140735,lower regime,0.70,0.00104,0.720962,0.279038,0.325153
RG001,Gradual pressure and moderate noise,89,0.036592,-1.166308,lower regime,0.70,0.001306,0.760318,0.239682,0.429448
RG001,Gradual pressure and moderate noise,90,0.045531,-1.143602,lower regime,0.70,0.001362,0.76552,0.23448,0.447853
RG001,Gradual pressure and moderate noise,91,0.054469,-1.148598,lower regime,0.70,0.001382,0.773542,0.226458,0.466258
RG001,Gradual pressure and moderate noise,92,0.063408,-1.140441,lower regime,0.70,0.001385,0.775398,0.224602,0.478528
RG001,Gradual pressure and moderate noise,93,0.072346,-1.138816,lower regime,0.70,0.001377,0.792993,0.207007,0.509202
RG001,Gradual pressure and moderate noise,94,0.081285,-1.11772,lower regime,0.70,0.001126,0.73133,0.26867,0.355828
RG001,Gradual pressure and moderate noise,95,0.090223,-1.069778,lower regime,0.70,0.001059,0.595196,0.404804,0.266871
RG001,Gradual pressure and moderate noise,96,0.099162,-1.09039,lower regime,0.70,0.000879,0.524912,0.475088,0.165644
RG001,Gradual pressure and moderate noise,97,0.108101,-1.07016,lower regime,0.70,0.000851,0.477584,0.522416,0.138037
RG001,Gradual pressure and moderate noise,98,0.117039,-1.079667,lower regime,0.70,0.000834,0.654249,0.345751,0.180982
RG001,Gradual pressure and moderate noise,99,0.125978,-1.081616,lower regime,0.70,0.000908,0.721146,0.278854,0.269939
RG001,Gradual pressure and moderate noise,100,0.134916,-1.110524,lower regime,0.70,0.000891,0.718499,0.281501,0.245399
RG001,Gradual pressure and moderate noise,101,0.143855,-1.121991,lower regime,0.70,0.000891,0.717658,0.282342,0.245399
