 time,pressure,state,regime
1, -0.75000, -0.90000,lower regime
2, -0.74106, -0.95460,lower regime
3, -0.73212, -1.00499,lower regime
4, -0.72318, -1.05070,lower regime
5, -0.71425, -1.09145,lower regime
6, -0.70531, -1.12720,lower regime
7, -0.69637, -1.15804,lower regime
8, -0.68743, -1.18424,lower regime
9, -0.67849, -1.20618,lower regime
10, -0.66955, -1.22429,lower regime
11, -0.66061, -1.23902,lower regime
12, -0.65168, -1.25084,lower regime
13, -0.64274, -1.26018,lower regime
14, -0.63380, -1.26742,lower regime
15, -0.62486, -1.27291,lower regime
16, -0.61592, -1.27695,lower regime
17, -0.60698, -1.27981,lower regime
18, -0.59804, -1.28169,lower regime
19, -0.58911, -1.28277,lower regime
20, -0.58017, -1.28321,lower regime
21, -0.57123, -1.28311,lower regime
22, -0.56229, -1.28259,lower regime
23, -0.55335, -1.28172,lower regime
24, -0.54441, -1.28056,lower regime
25, -0.53547, -1.27917,lower regime
26, -0.52654, -1.27760,lower regime
27, -0.51760, -1.27586,lower regime
28, -0.50866, -1.27400,lower regime
29, -0.49972, -1.27204,lower regime
30, -0.49078, -1.26999,lower regime
31, -0.48184, -1.26786,lower regime
32, -0.47291, -1.26568,lower regime
33, -0.46397, -1.26344,lower regime
34, -0.45503, -1.26116,lower regime
35, -0.44609, -1.25884,lower regime
36, -0.43715, -1.25648,lower regime
37, -0.42821, -1.25410,lower regime
38, -0.41927, -1.25169,lower regime
39, -0.41034, -1.24925,lower regime
40, -0.40140, -1.24680,lower regime
41, -0.39246, -1.24432,lower regime
42, -0.38352, -1.24182,lower regime
43, -0.37458, -1.23931,lower regime
44, -0.36564, -1.23678,lower regime
45, -0.35670, -1.23423,lower regime
46, -0.34777, -1.23167,lower regime
47, -0.33883, -1.22909,lower regime
48, -0.32989, -1.22649,lower regime
49, -0.32095, -1.22388,lower regime
50, -0.31201, -1.22125,lower regime
51, -0.30307, -1.21861,lower regime
52, -0.29413, -1.21595,lower regime
53, -0.28520, -1.21327,lower regime
54, -0.27626, -1.21058,lower regime
55, -0.26732, -1.20788,lower regime
56, -0.25838, -1.20516,lower regime
57, -0.24944, -1.20242,lower regime
58, -0.24050, -1.19967,lower regime
59, -0.23156, -1.19690,lower regime
60, -0.22263, -1.19411,lower regime
61, -0.21369, -1.19131,lower regime
62, -0.20475, -1.18849,lower regime
63, -0.19581, -1.18565,lower regime
64, -0.18687, -1.18280,lower regime
65, -0.17793, -1.17992,lower regime
66, -0.16899, -1.17703,lower regime
67, -0.16006, -1.17412,lower regime
68, -0.15112, -1.17120,lower regime
69, -0.14218, -1.16825,lower regime
70, -0.13324, -1.16529,lower regime
71, -0.12430, -1.16230,lower regime
72, -0.11536, -1.15930,lower regime
73, -0.10642, -1.15627,lower regime
74, -0.09749, -1.15323,lower regime
75, -0.08855, -1.15016,lower regime
76, -0.07961, -1.14708,lower regime
77, -0.07067, -1.14397,lower regime
78, -0.06173, -1.14084,lower regime
79, -0.05279, -1.13769,lower regime
