scenario_id,scenario_name,time_step,pressure,state,regime,monitoring_quality
RG001,Gradual pressure and moderate noise,1,-0.75,-0.9,lower regime,0.70
RG001,Gradual pressure and moderate noise,2,-0.741061,-0.927628,lower regime,0.70
RG001,Gradual pressure and moderate noise,3,-0.732123,-0.973316,lower regime,0.70
RG001,Gradual pressure and moderate noise,4,-0.723184,-1.009371,lower regime,0.70
RG001,Gradual pressure and moderate noise,5,-0.714246,-1.03846,lower regime,0.70
RG001,Gradual pressure and moderate noise,6,-0.705307,-1.095139,lower regime,0.70
RG001,Gradual pressure and moderate noise,7,-0.696369,-1.158145,lower regime,0.70
RG001,Gradual pressure and moderate noise,8,-0.68743,-1.204567,lower regime,0.70
RG001,Gradual pressure and moderate noise,9,-0.678492,-1.217247,lower regime,0.70
RG001,Gradual pressure and moderate noise,10,-0.669553,-1.214562,lower regime,0.70
RG001,Gradual pressure and moderate noise,11,-0.660615,-1.228583,lower regime,0.70
RG001,Gradual pressure and moderate noise,12,-0.651676,-1.266638,lower regime,0.70
RG001,Gradual pressure and moderate noise,13,-0.642737,-1.247865,lower regime,0.70
RG001,Gradual pressure and moderate noise,14,-0.633799,-1.286167,lower regime,0.70
RG001,Gradual pressure and moderate noise,15,-0.62486,-1.296987,lower regime,0.70
RG001,Gradual pressure and moderate noise,16,-0.615922,-1.306773,lower regime,0.70
RG001,Gradual pressure and moderate noise,17,-0.606983,-1.299442,lower regime,0.70
RG001,Gradual pressure and moderate noise,18,-0.598045,-1.277854,lower regime,0.70
RG001,Gradual pressure and moderate noise,19,-0.589106,-1.306519,lower regime,0.70
RG001,Gradual pressure and moderate noise,20,-0.580168,-1.308148,lower regime,0.70
RG001,Gradual pressure and moderate noise,21,-0.571229,-1.297591,lower regime,0.70
RG001,Gradual pressure and moderate noise,22,-0.562291,-1.315327,lower regime,0.70
RG001,Gradual pressure and moderate noise,23,-0.553352,-1.309777,lower regime,0.70
RG001,Gradual pressure and moderate noise,24,-0.544413,-1.299846,lower regime,0.70
RG001,Gradual pressure and moderate noise,25,-0.535475,-1.318837,lower regime,0.70
RG001,Gradual pressure and moderate noise,26,-0.526536,-1.333131,lower regime,0.70
RG001,Gradual pressure and moderate noise,27,-0.517598,-1.321522,lower regime,0.70
RG001,Gradual pressure and moderate noise,28,-0.508659,-1.314929,lower regime,0.70
RG001,Gradual pressure and moderate noise,29,-0.499721,-1.301151,lower regime,0.70
RG001,Gradual pressure and moderate noise,30,-0.490782,-1.253812,lower regime,0.70
RG001,Gradual pressure and moderate noise,31,-0.481844,-1.238469,lower regime,0.70
RG001,Gradual pressure and moderate noise,32,-0.472905,-1.233433,lower regime,0.70
RG001,Gradual pressure and moderate noise,33,-0.463966,-1.249596,lower regime,0.70
RG001,Gradual pressure and moderate noise,34,-0.455028,-1.233014,lower regime,0.70
RG001,Gradual pressure and moderate noise,35,-0.446089,-1.249648,lower regime,0.70
RG001,Gradual pressure and moderate noise,36,-0.437151,-1.22066,lower regime,0.70
RG001,Gradual pressure and moderate noise,37,-0.428212,-1.203009,lower regime,0.70
RG001,Gradual pressure and moderate noise,38,-0.419274,-1.245187,lower regime,0.70
RG001,Gradual pressure and moderate noise,39,-0.410335,-1.265034,lower regime,0.70
RG001,Gradual pressure and moderate noise,40,-0.401397,-1.263224,lower regime,0.70
RG001,Gradual pressure and moderate noise,41,-0.392458,-1.265077,lower regime,0.70
RG001,Gradual pressure and moderate noise,42,-0.38352,-1.28162,lower regime,0.70
RG001,Gradual pressure and moderate noise,43,-0.374581,-1.294051,lower regime,0.70
RG001,Gradual pressure and moderate noise,44,-0.365642,-1.268629,lower regime,0.70
RG001,Gradual pressure and moderate noise,45,-0.356704,-1.270074,lower regime,0.70
RG001,Gradual pressure and moderate noise,46,-0.347765,-1.288747,lower regime,0.70
RG001,Gradual pressure and moderate noise,47,-0.338827,-1.281041,lower regime,0.70
RG001,Gradual pressure and moderate noise,48,-0.329888,-1.251833,lower regime,0.70
RG001,Gradual pressure and moderate noise,49,-0.32095,-1.21461,lower regime,0.70
RG001,Gradual pressure and moderate noise,50,-0.312011,-1.212381,lower regime,0.70
RG001,Gradual pressure and moderate noise,51,-0.303073,-1.216838,lower regime,0.70
RG001,Gradual pressure and moderate noise,52,-0.294134,-1.228945,lower regime,0.70
RG001,Gradual pressure and moderate noise,53,-0.285196,-1.233506,lower regime,0.70
RG001,Gradual pressure and moderate noise,54,-0.276257,-1.217894,lower regime,0.70
RG001,Gradual pressure and moderate noise,55,-0.267318,-1.191449,lower regime,0.70
RG001,Gradual pressure and moderate noise,56,-0.25838,-1.168906,lower regime,0.70
RG001,Gradual pressure and moderate noise,57,-0.249441,-1.176047,lower regime,0.70
RG001,Gradual pressure and moderate noise,58,-0.240503,-1.161377,lower regime,0.70
RG001,Gradual pressure and moderate noise,59,-0.231564,-1.150571,lower regime,0.70
RG001,Gradual pressure and moderate noise,60,-0.222626,-1.146413,lower regime,0.70
RG001,Gradual pressure and moderate noise,61,-0.213687,-1.194663,lower regime,0.70
RG001,Gradual pressure and moderate noise,62,-0.204749,-1.192463,lower regime,0.70
RG001,Gradual pressure and moderate noise,63,-0.19581,-1.194125,lower regime,0.70
RG001,Gradual pressure and moderate noise,64,-0.186872,-1.166087,lower regime,0.70
RG001,Gradual pressure and moderate noise,65,-0.177933,-1.170765,lower regime,0.70
RG001,Gradual pressure and moderate noise,66,-0.168994,-1.161102,lower regime,0.70
RG001,Gradual pressure and moderate noise,67,-0.160056,-1.155794,lower regime,0.70
RG001,Gradual pressure and moderate noise,68,-0.151117,-1.132696,lower regime,0.70
RG001,Gradual pressure and moderate noise,69,-0.142179,-1.12138,lower regime,0.70
RG001,Gradual pressure and moderate noise,70,-0.13324,-1.106302,lower regime,0.70
RG001,Gradual pressure and moderate noise,71,-0.124302,-1.084274,lower regime,0.70
RG001,Gradual pressure and moderate noise,72,-0.115363,-1.074101,lower regime,0.70
RG001,Gradual pressure and moderate noise,73,-0.106425,-1.067821,lower regime,0.70
RG001,Gradual pressure and moderate noise,74,-0.097486,-1.080577,lower regime,0.70
RG001,Gradual pressure and moderate noise,75,-0.088547,-1.084999,lower regime,0.70
RG001,Gradual pressure and moderate noise,76,-0.079609,-1.051293,lower regime,0.70
RG001,Gradual pressure and moderate noise,77,-0.07067,-1.059192,lower regime,0.70
RG001,Gradual pressure and moderate noise,78,-0.061732,-1.057241,lower regime,0.70
RG001,Gradual pressure and moderate noise,79,-0.052793,-1.065586,lower regime,0.70
RG001,Gradual pressure and moderate noise,80,-0.043855,-1.076452,lower regime,0.70
RG001,Gradual pressure and moderate noise,81,-0.034916,-1.134324,lower regime,0.70
RG001,Gradual pressure and moderate noise,82,-0.025978,-1.099898,lower regime,0.70
RG001,Gradual pressure and moderate noise,83,-0.017039,-1.121486,lower regime,0.70
RG001,Gradual pressure and moderate noise,84,-0.008101,-1.133625,lower regime,0.70
RG001,Gradual pressure and moderate noise,85,0.000838,-1.104377,lower regime,0.70
RG001,Gradual pressure and moderate noise,86,0.009777,-1.145168,lower regime,0.70
RG001,Gradual pressure and moderate noise,87,0.018715,-1.13735,lower regime,0.70
RG001,Gradual pressure and moderate noise,88,0.027654,-1.140735,lower regime,0.70
RG001,Gradual pressure and moderate noise,89,0.036592,-1.166308,lower regime,0.70
RG001,Gradual pressure and moderate noise,90,0.045531,-1.143602,lower regime,0.70
RG001,Gradual pressure and moderate noise,91,0.054469,-1.148598,lower regime,0.70
RG001,Gradual pressure and moderate noise,92,0.063408,-1.140441,lower regime,0.70
RG001,Gradual pressure and moderate noise,93,0.072346,-1.138816,lower regime,0.70
RG001,Gradual pressure and moderate noise,94,0.081285,-1.11772,lower regime,0.70
RG001,Gradual pressure and moderate noise,95,0.090223,-1.069778,lower regime,0.70
RG001,Gradual pressure and moderate noise,96,0.099162,-1.09039,lower regime,0.70
RG001,Gradual pressure and moderate noise,97,0.108101,-1.07016,lower regime,0.70
RG001,Gradual pressure and moderate noise,98,0.117039,-1.079667,lower regime,0.70
RG001,Gradual pressure and moderate noise,99,0.125978,-1.081616,lower regime,0.70
RG001,Gradual pressure and moderate noise,100,0.134916,-1.110524,lower regime,0.70
RG001,Gradual pressure and moderate noise,101,0.143855,-1.121991,lower regime,0.70
RG001,Gradual pressure and moderate noise,102,0.152793,-1.118811,lower regime,0.70
RG001,Gradual pressure and moderate noise,103,0.161732,-1.093137,lower regime,0.70
RG001,Gradual pressure and moderate noise,104,0.17067,-1.080458,lower regime,0.70
RG001,Gradual pressure and moderate noise,105,0.179609,-1.062879,lower regime,0.70
RG001,Gradual pressure and moderate noise,106,0.188547,-1.044025,lower regime,0.70
RG001,Gradual pressure and moderate noise,107,0.197486,-1.064803,lower regime,0.70
RG001,Gradual pressure and moderate noise,108,0.206425,-1.03186,lower regime,0.70
RG001,Gradual pressure and moderate noise,109,0.215363,-1.033915,lower regime,0.70
RG001,Gradual pressure and moderate noise,110,0.224302,-1.017146,lower regime,0.70
RG001,Gradual pressure and moderate noise,111,0.23324,-1.017159,lower regime,0.70
RG001,Gradual pressure and moderate noise,112,0.242179,-1.00867,lower regime,0.70
RG001,Gradual pressure and moderate noise,113,0.251117,-0.993697,lower regime,0.70
RG001,Gradual pressure and moderate noise,114,0.260056,-1.031776,lower regime,0.70
RG001,Gradual pressure and moderate noise,115,0.268994,-0.989033,lower regime,0.70
RG001,Gradual pressure and moderate noise,116,0.277933,-0.98297,lower regime,0.70
RG001,Gradual pressure and moderate noise,117,0.286872,-0.960432,lower regime,0.70
RG001,Gradual pressure and moderate noise,118,0.29581,-0.955053,lower regime,0.70
RG001,Gradual pressure and moderate noise,119,0.304749,-0.951975,lower regime,0.70
RG001,Gradual pressure and moderate noise,120,0.313687,-0.974063,lower regime,0.70
RG001,Gradual pressure and moderate noise,121,0.322626,-0.97721,lower regime,0.70
RG001,Gradual pressure and moderate noise,122,0.331564,-1.012449,lower regime,0.70
RG001,Gradual pressure and moderate noise,123,0.340503,-1.006997,lower regime,0.70
RG001,Gradual pressure and moderate noise,124,0.349441,-0.970486,lower regime,0.70
RG001,Gradual pressure and moderate noise,125,0.35838,-0.998994,lower regime,0.70
RG001,Gradual pressure and moderate noise,126,0.367318,-1.0031,lower regime,0.70
RG001,Gradual pressure and moderate noise,127,0.376257,-1.000706,lower regime,0.70
RG001,Gradual pressure and moderate noise,128,0.385196,-0.970429,lower regime,0.70
RG001,Gradual pressure and moderate noise,129,0.394134,-0.940956,lower regime,0.70
RG001,Gradual pressure and moderate noise,130,0.403073,-0.934479,lower regime,0.70
RG001,Gradual pressure and moderate noise,131,0.412011,-0.927499,lower regime,0.70
RG001,Gradual pressure and moderate noise,132,0.42095,-0.925117,lower regime,0.70
RG001,Gradual pressure and moderate noise,133,0.429888,-0.928357,lower regime,0.70
RG001,Gradual pressure and moderate noise,134,0.438827,-0.930775,lower regime,0.70
RG001,Gradual pressure and moderate noise,135,0.447765,-0.932304,lower regime,0.70
RG001,Gradual pressure and moderate noise,136,0.456704,-0.927654,lower regime,0.70
RG001,Gradual pressure and moderate noise,137,0.465642,-0.91871,lower regime,0.70
RG001,Gradual pressure and moderate noise,138,0.474581,-0.92277,lower regime,0.70
RG001,Gradual pressure and moderate noise,139,0.48352,-0.903398,lower regime,0.70
RG001,Gradual pressure and moderate noise,140,0.492458,-0.896789,lower regime,0.70
RG001,Gradual pressure and moderate noise,141,0.501397,-0.879839,lower regime,0.70
RG001,Gradual pressure and moderate noise,142,0.510335,-0.89764,lower regime,0.70
RG001,Gradual pressure and moderate noise,143,0.519274,-0.902021,lower regime,0.70
RG001,Gradual pressure and moderate noise,144,0.528212,-0.89136,lower regime,0.70
RG001,Gradual pressure and moderate noise,145,0.537151,-0.877451,lower regime,0.70
RG001,Gradual pressure and moderate noise,146,0.546089,-0.872205,lower regime,0.70
