simulation_id,strategy_id,strategy,rank,resilience_value,winner
0,CR004,Inclusive Community Governance and Adaptation Forum,1,8.0843,Inclusive Community Governance and Adaptation Forum
0,CR006,Ecological Stewardship and Flood-Heat Buffer Program,2,7.90857,Inclusive Community Governance and Adaptation Forum
0,CR005,Community Health and Care Continuity Network,3,7.64173,Inclusive Community Governance and Adaptation Forum
0,CR001,Neighborhood Mutual Aid and Preparedness Network,4,7.60318,Inclusive Community Governance and Adaptation Forum
0,CR002,Community Infrastructure Access and Backup Systems,5,7.58067,Inclusive Community Governance and Adaptation Forum
0,CR003,Local Risk Communication and Early Warning Platform,6,7.5597,Inclusive Community Governance and Adaptation Forum
1,CR006,Ecological Stewardship and Flood-Heat Buffer Program,1,7.93696,Ecological Stewardship and Flood-Heat Buffer Program
1,CR004,Inclusive Community Governance and Adaptation Forum,2,7.84678,Ecological Stewardship and Flood-Heat Buffer Program
1,CR002,Community Infrastructure Access and Backup Systems,3,7.74477,Ecological Stewardship and Flood-Heat Buffer Program
1,CR001,Neighborhood Mutual Aid and Preparedness Network,4,7.7127,Ecological Stewardship and Flood-Heat Buffer Program
1,CR005,Community Health and Care Continuity Network,5,7.66723,Ecological Stewardship and Flood-Heat Buffer Program
1,CR003,Local Risk Communication and Early Warning Platform,6,7.60327,Ecological Stewardship and Flood-Heat Buffer Program
2,CR001,Neighborhood Mutual Aid and Preparedness Network,1,8.03432,Neighborhood Mutual Aid and Preparedness Network
2,CR004,Inclusive Community Governance and Adaptation Forum,2,8.02403,Neighborhood Mutual Aid and Preparedness Network
2,CR005,Community Health and Care Continuity Network,3,7.97813,Neighborhood Mutual Aid and Preparedness Network
2,CR006,Ecological Stewardship and Flood-Heat Buffer Program,4,7.76408,Neighborhood Mutual Aid and Preparedness Network
2,CR002,Community Infrastructure Access and Backup Systems,5,7.63648,Neighborhood Mutual Aid and Preparedness Network
2,CR003,Local Risk Communication and Early Warning Platform,6,7.62011,Neighborhood Mutual Aid and Preparedness Network
3,CR004,Inclusive Community Governance and Adaptation Forum,1,7.98429,Inclusive Community Governance and Adaptation Forum
3,CR003,Local Risk Communication and Early Warning Platform,2,7.89184,Inclusive Community Governance and Adaptation Forum
3,CR005,Community Health and Care Continuity Network,3,7.86459,Inclusive Community Governance and Adaptation Forum
