strategy_id,strategy,system_domain,social_capital,institutional_capacity,infrastructure_access,economic_security,information_quality,adaptive_capacity,equity_protection,implementation_burden,critical_function,resilience_value,scenario,rank
CR006,Ecological Stewardship and Flood-Heat Buffer Program,social-ecological resilience,7.8,7.9,8.2,7.6,7.5,8.4,8.2,3.3,restores wetlands tree canopy soils watersheds public space and ecological buffers that reduce heat and flood risk,7.907,Access-first,1
CR005,Community Health and Care Continuity Network,public health and care systems,8.6,8,7.8,7.5,8,8.1,8.7,3,protects medication access medical devices mental health care outreach disability support and community health workers,7.905,Access-first,2
CR002,Community Infrastructure Access and Backup Systems,infrastructure access and service continuity,7.2,7.8,8.8,7.4,7.2,7.7,7.7,3.4,protects access to power water cooling charging communications shelters food and mobility during disruption,7.887,Access-first,3
CR004,Inclusive Community Governance and Adaptation Forum,participatory governance and adaptation,8.4,8.3,7.4,7.8,7.8,8.6,8.8,3.1,shares authority across community institutions residents planners agencies and local organizations,7.837000000000001,Access-first,4
CR001,Neighborhood Mutual Aid and Preparedness Network,social capital and preparedness,8.9,7.5,7.1,7.6,7.9,8.2,8.1,2.7,builds trusted neighbor networks check-ins supply sharing care coordination and preparedness capacity,7.5729999999999995,Access-first,5
CR003,Local Risk Communication and Early Warning Platform,information and communication,7.8,7.4,7.3,7.1,8.9,7.9,8,2.9,improves trusted alerts multilingual communication uncertainty literacy and misinformation response,7.534,Access-first,6
CR004,Inclusive Community Governance and Adaptation Forum,participatory governance and adaptation,8.4,8.3,7.4,7.8,7.8,8.6,8.8,3.1,shares authority across community institutions residents planners agencies and local organizations,8.097,Adaptation-first,1
CR005,Community Health and Care Continuity Network,public health and care systems,8.6,8,7.8,7.5,8,8.1,8.7,3,protects medication access medical devices mental health care outreach disability support and community health workers,7.92,Adaptation-first,2
CR006,Ecological Stewardship and Flood-Heat Buffer Program,social-ecological resilience,7.8,7.9,8.2,7.6,7.5,8.4,8.2,3.3,restores wetlands tree canopy soils watersheds public space and ecological buffers that reduce heat and flood risk,7.885,Adaptation-first,3
CR001,Neighborhood Mutual Aid and Preparedness Network,social capital and preparedness,8.9,7.5,7.1,7.6,7.9,8.2,8.1,2.7,builds trusted neighbor networks check-ins supply sharing care coordination and preparedness capacity,7.803999999999999,Adaptation-first,4
CR003,Local Risk Communication and Early Warning Platform,information and communication,7.8,7.4,7.3,7.1,8.9,7.9,8,2.9,improves trusted alerts multilingual communication uncertainty literacy and misinformation response,7.632000000000001,Adaptation-first,5
CR002,Community Infrastructure Access and Backup Systems,infrastructure access and service continuity,7.2,7.8,8.8,7.4,7.2,7.7,7.7,3.4,protects access to power water cooling charging communications shelters food and mobility during disruption,7.505,Adaptation-first,6
CR004,Inclusive Community Governance and Adaptation Forum,participatory governance and adaptation,8.4,8.3,7.4,7.8,7.8,8.6,8.8,3.1,shares authority across community institutions residents planners agencies and local organizations,7.95,Balanced,1
CR005,Community Health and Care Continuity Network,public health and care systems,8.6,8,7.8,7.5,8,8.1,8.7,3,protects medication access medical devices mental health care outreach disability support and community health workers,7.891,Balanced,2
CR006,Ecological Stewardship and Flood-Heat Buffer Program,social-ecological resilience,7.8,7.9,8.2,7.6,7.5,8.4,8.2,3.3,restores wetlands tree canopy soils watersheds public space and ecological buffers that reduce heat and flood risk,7.732999999999999,Balanced,3
CR001,Neighborhood Mutual Aid and Preparedness Network,social capital and preparedness,8.9,7.5,7.1,7.6,7.9,8.2,8.1,2.7,builds trusted neighbor networks check-ins supply sharing care coordination and preparedness capacity,7.696,Balanced,4
CR003,Local Risk Communication and Early Warning Platform,information and communication,7.8,7.4,7.3,7.1,8.9,7.9,8,2.9,improves trusted alerts multilingual communication uncertainty literacy and misinformation response,7.557000000000001,Balanced,5
CR002,Community Infrastructure Access and Backup Systems,infrastructure access and service continuity,7.2,7.8,8.8,7.4,7.2,7.7,7.7,3.4,protects access to power water cooling charging communications shelters food and mobility during disruption,7.472000000000001,Balanced,6
CR004,Inclusive Community Governance and Adaptation Forum,participatory governance and adaptation,8.4,8.3,7.4,7.8,7.8,8.6,8.8,3.1,shares authority across community institutions residents planners agencies and local organizations,8.099,Capacity-first,1
CR005,Community Health and Care Continuity Network,public health and care systems,8.6,8,7.8,7.5,8,8.1,8.7,3,protects medication access medical devices mental health care outreach disability support and community health workers,7.973,Capacity-first,2
CR006,Ecological Stewardship and Flood-Heat Buffer Program,social-ecological resilience,7.8,7.9,8.2,7.6,7.5,8.4,8.2,3.3,restores wetlands tree canopy soils watersheds public space and ecological buffers that reduce heat and flood risk,7.829000000000001,Capacity-first,3
CR001,Neighborhood Mutual Aid and Preparedness Network,social capital and preparedness,8.9,7.5,7.1,7.6,7.9,8.2,8.1,2.7,builds trusted neighbor networks check-ins supply sharing care coordination and preparedness capacity,7.69,Capacity-first,4
CR002,Community Infrastructure Access and Backup Systems,infrastructure access and service continuity,7.2,7.8,8.8,7.4,7.2,7.7,7.7,3.4,protects access to power water cooling charging communications shelters food and mobility during disruption,7.61,Capacity-first,5
CR003,Local Risk Communication and Early Warning Platform,information and communication,7.8,7.4,7.3,7.1,8.9,7.9,8,2.9,improves trusted alerts multilingual communication uncertainty literacy and misinformation response,7.571000000000001,Capacity-first,6
CR004,Inclusive Community Governance and Adaptation Forum,participatory governance and adaptation,8.4,8.3,7.4,7.8,7.8,8.6,8.8,3.1,shares authority across community institutions residents planners agencies and local organizations,8.238999999999999,Equity-first,1
CR005,Community Health and Care Continuity Network,public health and care systems,8.6,8,7.8,7.5,8,8.1,8.7,3,protects medication access medical devices mental health care outreach disability support and community health workers,8.169,Equity-first,2
CR006,Ecological Stewardship and Flood-Heat Buffer Program,social-ecological resilience,7.8,7.9,8.2,7.6,7.5,8.4,8.2,3.3,restores wetlands tree canopy soils watersheds public space and ecological buffers that reduce heat and flood risk,7.912999999999999,Equity-first,3
CR001,Neighborhood Mutual Aid and Preparedness Network,social capital and preparedness,8.9,7.5,7.1,7.6,7.9,8.2,8.1,2.7,builds trusted neighbor networks check-ins supply sharing care coordination and preparedness capacity,7.858,Equity-first,4
CR003,Local Risk Communication and Early Warning Platform,information and communication,7.8,7.4,7.3,7.1,8.9,7.9,8,2.9,improves trusted alerts multilingual communication uncertainty literacy and misinformation response,7.739,Equity-first,5
CR002,Community Infrastructure Access and Backup Systems,infrastructure access and service continuity,7.2,7.8,8.8,7.4,7.2,7.7,7.7,3.4,protects access to power water cooling charging communications shelters food and mobility during disruption,7.582,Equity-first,6
CR004,Inclusive Community Governance and Adaptation Forum,participatory governance and adaptation,8.4,8.3,7.4,7.8,7.8,8.6,8.8,3.1,shares authority across community institutions residents planners agencies and local organizations,6.926000000000001,Implementation-aware,1
CR005,Community Health and Care Continuity Network,public health and care systems,8.6,8,7.8,7.5,8,8.1,8.7,3,protects medication access medical devices mental health care outreach disability support and community health workers,6.885999999999999,Implementation-aware,2
