 time,community_function,stress_load,response_capacity,dependency_coupling
1, 1.00000, 0.15483, 0.46320, 0.63800
2, 1.00000, 0.15491, 0.46340, 0.63600
3, 1.00000, 0.15498, 0.46360, 0.63400
4, 1.00000, 0.15506, 0.46380, 0.63200
5, 1.00000, 0.15513, 0.46400, 0.63000
6, 1.00000, 0.15520, 0.46420, 0.62800
7, 1.00000, 0.15528, 0.46440, 0.62600
8, 1.00000, 0.15535, 0.46460, 0.62399
9, 1.00000, 0.15543, 0.46480, 0.62199
10, 1.00000, 0.15550, 0.46500, 0.61998
11, 1.00000, 0.15557, 0.46520, 0.61798
12, 1.00000, 0.77184, 0.46540, 0.62829
13, 1.00000, 0.15671, 0.46437, 0.62632
14, 1.00000, 0.15678, 0.46457, 0.62435
15, 1.00000, 0.15686, 0.46477, 0.62237
16, 1.00000, 0.15693, 0.46496, 0.62039
17, 1.00000, 0.15701, 0.46516, 0.61842
18, 1.00000, 0.15709, 0.46536, 0.61644
19, 1.00000, 0.15716, 0.46556, 0.61446
20, 1.00000, 0.15724, 0.46575, 0.61248
21, 1.00000, 0.15731, 0.46595, 0.61050
22, 1.00000, 0.15739, 0.46615, 0.60852
23, 1.00000, 0.15746, 0.46635, 0.60654
24, 1.00000, 0.15754, 0.46655, 0.60456
25, 1.00000, 0.15762, 0.46674, 0.60258
26, 1.00000, 0.15769, 0.46694, 0.60060
27, 1.00000, 0.15777, 0.46714, 0.59862
28, 1.00000, 0.15784, 0.46734, 0.59663
29, 1.00000, 0.15792, 0.46754, 0.59465
30, 1.00000, 0.15799, 0.46774, 0.59266
31, 1.00000, 0.15807, 0.46793, 0.59068
32, 1.00000, 0.15814, 0.46813, 0.58869
33, 1.00000, 0.15822, 0.46833, 0.58670
34, 1.00000, 0.15829, 0.46853, 0.58471
35, 1.00000, 0.15837, 0.46873, 0.58272
36, 1.00000, 0.15844, 0.46893, 0.58074
37, 1.00000, 0.15852, 0.46913, 0.57875
38, 1.00000, 0.15859, 0.46933, 0.57675
39, 1.00000, 0.15867, 0.46952, 0.57476
40, 1.00000, 0.15874, 0.46972, 0.57277
41, 1.00000, 0.15882, 0.46992, 0.57078
42, 1.00000, 0.15889, 0.47012, 0.56878
43, 1.00000, 0.15896, 0.47032, 0.56679
44, 1.00000, 0.15904, 0.47052, 0.56480
45, 1.00000, 0.15911, 0.47072, 0.56280
46, 1.00000, 0.15919, 0.47092, 0.56080
47, 1.00000, 0.15926, 0.47112, 0.55881
48, 1.00000, 0.15934, 0.47132, 0.55681
49, 1.00000, 0.15941, 0.47152, 0.55481
50, 1.00000, 0.15948, 0.47172, 0.55281
51, 1.00000, 0.15956, 0.47192, 0.55081
52, 1.00000, 0.15963, 0.47212, 0.54881
53, 1.00000, 0.15971, 0.47232, 0.54681
54, 1.00000, 0.15978, 0.47252, 0.54481
55, 1.00000, 0.15985, 0.47272, 0.54280
56, 1.00000, 0.15993, 0.47292, 0.54080
57, 1.00000, 0.16000, 0.47312, 0.53880
58, 1.00000, 0.16008, 0.47332, 0.53679
59, 1.00000, 0.16015, 0.47352, 0.53479
60, 1.00000, 0.16022, 0.47372, 0.53278
61, 1.00000, 0.16030, 0.47392, 0.53077
62, 1.00000, 0.16037, 0.47412, 0.52876
63, 1.00000, 0.16044, 0.47432, 0.52676
64, 1.00000, 0.16052, 0.47452, 0.52475
65, 1.00000, 0.16059, 0.47473, 0.52274
66, 1.00000, 0.16066, 0.47493, 0.52072
67, 1.00000, 0.16074, 0.47513, 0.51871
68, 1.00000, 0.16081, 0.47533, 0.51670
69, 1.00000, 0.16088, 0.47553, 0.51469
70, 1.00000, 0.16096, 0.47573, 0.51267
71, 1.00000, 0.16103, 0.47593, 0.51066
72, 1.00000, 0.16110, 0.47613, 0.50864
73, 1.00000, 0.16117, 0.47634, 0.50663
74, 1.00000, 0.16125, 0.47654, 0.50461
75, 1.00000, 0.16132, 0.47674, 0.50259
76, 1.00000, 0.16139, 0.47694, 0.50057
77, 1.00000, 0.16146, 0.47714, 0.49855
78, 1.00000, 0.16154, 0.47734, 0.49653
79, 1.00000, 0.16161, 0.47755, 0.49451
80, 1.00000, 0.16168, 0.47775, 0.49249
