scenario,strategy_id,strategy,system_domain,rank,resilience_value,implementation_burden,critical_function
Balanced,CR004,Inclusive Community Governance and Adaptation Forum,participatory governance and adaptation,1,7.95,3.1,shares authority across community institutions residents planners agencies and local organizations
Balanced,CR005,Community Health and Care Continuity Network,public health and care systems,2,7.891,3.0,protects medication access medical devices mental health care outreach disability support and community health workers
Balanced,CR006,Ecological Stewardship and Flood-Heat Buffer Program,social-ecological resilience,3,7.733,3.3,restores wetlands tree canopy soils watersheds public space and ecological buffers that reduce heat and flood risk
Balanced,CR001,Neighborhood Mutual Aid and Preparedness Network,social capital and preparedness,4,7.696,2.7,builds trusted neighbor networks check-ins supply sharing care coordination and preparedness capacity
Balanced,CR003,Local Risk Communication and Early Warning Platform,information and communication,5,7.557,2.9,improves trusted alerts multilingual communication uncertainty literacy and misinformation response
Balanced,CR002,Community Infrastructure Access and Backup Systems,infrastructure access and service continuity,6,7.472,3.4,protects access to power water cooling charging communications shelters food and mobility during disruption
Social-capital-first,CR005,Community Health and Care Continuity Network,public health and care systems,1,8.141,3.0,protects medication access medical devices mental health care outreach disability support and community health workers
Social-capital-first,CR004,Inclusive Community Governance and Adaptation Forum,participatory governance and adaptation,2,8.127,3.1,shares authority across community institutions residents planners agencies and local organizations
Social-capital-first,CR001,Neighborhood Mutual Aid and Preparedness Network,social capital and preparedness,3,8.082,2.7,builds trusted neighbor networks check-ins supply sharing care coordination and preparedness capacity
Social-capital-first,CR006,Ecological Stewardship and Flood-Heat Buffer Program,social-ecological resilience,4,7.801,3.3,restores wetlands tree canopy soils watersheds public space and ecological buffers that reduce heat and flood risk
Social-capital-first,CR003,Local Risk Communication and Early Warning Platform,information and communication,5,7.683,2.9,improves trusted alerts multilingual communication uncertainty literacy and misinformation response
Social-capital-first,CR002,Community Infrastructure Access and Backup Systems,infrastructure access and service continuity,6,7.442,3.4,protects access to power water cooling charging communications shelters food and mobility during disruption
Capacity-first,CR004,Inclusive Community Governance and Adaptation Forum,participatory governance and adaptation,1,8.099,3.1,shares authority across community institutions residents planners agencies and local organizations
Capacity-first,CR005,Community Health and Care Continuity Network,public health and care systems,2,7.973,3.0,protects medication access medical devices mental health care outreach disability support and community health workers
Capacity-first,CR006,Ecological Stewardship and Flood-Heat Buffer Program,social-ecological resilience,3,7.829,3.3,restores wetlands tree canopy soils watersheds public space and ecological buffers that reduce heat and flood risk
Capacity-first,CR001,Neighborhood Mutual Aid and Preparedness Network,social capital and preparedness,4,7.69,2.7,builds trusted neighbor networks check-ins supply sharing care coordination and preparedness capacity
Capacity-first,CR002,Community Infrastructure Access and Backup Systems,infrastructure access and service continuity,5,7.61,3.4,protects access to power water cooling charging communications shelters food and mobility during disruption
Capacity-first,CR003,Local Risk Communication and Early Warning Platform,information and communication,6,7.571,2.9,improves trusted alerts multilingual communication uncertainty literacy and misinformation response
Access-first,CR006,Ecological Stewardship and Flood-Heat Buffer Program,social-ecological resilience,1,7.907,3.3,restores wetlands tree canopy soils watersheds public space and ecological buffers that reduce heat and flood risk
