system_id,system,system_domain,time,event,stress_load,response_capacity,community_function,dependency_coupling,equity_adjusted_function
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,0,background community stress,0.15394,0.4632,1.0,0.63798,1.0
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,1,background community stress,0.15755,0.4634,1.0,0.63604,1.0
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,2,background community stress,0.1561,0.4636,1.0,0.63406,1.0
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,3,background community stress,0.15692,0.46379,1.0,0.6321,1.0
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,4,background community stress,0.15402,0.46399,1.0,0.63007,1.0
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,5,background community stress,0.15641,0.46419,1.0,0.62809,1.0
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,6,background community stress,0.15667,0.46439,1.0,0.62612,1.0
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,7,background community stress,0.15666,0.46459,1.0,0.62414,1.0
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,8,background community stress,0.15335,0.46479,1.0,0.6221,1.0
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,9,background community stress,0.15422,0.46499,1.0,0.62007,1.0
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,10,background community stress,0.15901,0.46519,1.0,0.61813,1.0
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,11,background community stress,0.15756,0.46539,1.0,0.61616,1.0
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,12,Extreme heatwave with power and cooling stress,0.77169,0.46558,1.0,0.62647,0.84656
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,13,background community stress,0.15966,0.46455,1.0,0.62456,1.0
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,14,background community stress,0.1569,0.46474,1.0,0.62258,1.0
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,15,background community stress,0.15618,0.46494,1.0,0.62059,1.0
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,16,background community stress,0.15533,0.46514,1.0,0.61858,1.0
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,17,background community stress,0.15904,0.46534,1.0,0.61664,1.0
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,18,background community stress,0.15843,0.46554,1.0,0.61469,1.0
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,19,background community stress,0.15802,0.46573,1.0,0.61273,1.0
