strategy_id,strategy,system_domain,availability,access,stability,quality,adaptive_capacity,equity_protection,resource_depletion_risk,critical_function,resilience_value,scenario,rank
FW004,Community Water Governance and Access Reform,water governance and access,7.6,8.8,7.7,8.1,8.7,8.9,2.8,improves allocation legitimacy affordability access rights monitoring and community participation,7.9879999999999995,Access-first,1
FW006,Safe Water Treatment and Sanitation Resilience Plan,water quality and public health,7.8,8.5,8.1,8.9,8,8.6,3,protects drinking water sanitation hygiene public health and emergency water safety,7.898000000000001,Access-first,2
FW005,Diversified Agroecological Production Program,agroecology and food security,8,8.1,8.2,8.4,8.6,8.2,2.9,supports crop diversity soil health local food security biodiversity and adaptive livelihoods,7.760000000000001,Access-first,3
FW002,Regional Food Storage and Distribution Network,food logistics and storage,8.1,8.2,8.5,7.5,7.9,8,3.1,stabilizes food access through reserves storage cold chains local procurement and distribution redundancy,7.646000000000001,Access-first,4
FW003,Watershed Restoration and Recharge Program,watershed and ecosystem resilience,8.3,7.4,7.9,8.6,8.5,7.7,2.7,restores recharge water quality soil moisture flood buffering and ecological function,7.446000000000001,Access-first,5
FW001,Climate-Smart Irrigation Upgrade,irrigation and agriculture,8.4,7.5,8.1,7.8,8.3,7.4,3.7,improves irrigation efficiency crop reliability water accounting and climate-responsive farm management,7.348000000000001,Access-first,6
FW004,Community Water Governance and Access Reform,water governance and access,7.6,8.8,7.7,8.1,8.7,8.9,2.8,improves allocation legitimacy affordability access rights monitoring and community participation,7.963999999999999,Adaptation-first,1
FW005,Diversified Agroecological Production Program,agroecology and food security,8,8.1,8.2,8.4,8.6,8.2,2.9,supports crop diversity soil health local food security biodiversity and adaptive livelihoods,7.8919999999999995,Adaptation-first,2
FW006,Safe Water Treatment and Sanitation Resilience Plan,water quality and public health,7.8,8.5,8.1,8.9,8,8.6,3,protects drinking water sanitation hygiene public health and emergency water safety,7.7700000000000005,Adaptation-first,3
FW003,Watershed Restoration and Recharge Program,watershed and ecosystem resilience,8.3,7.4,7.9,8.6,8.5,7.7,2.7,restores recharge water quality soil moisture flood buffering and ecological function,7.738,Adaptation-first,4
FW002,Regional Food Storage and Distribution Network,food logistics and storage,8.1,8.2,8.5,7.5,7.9,8,3.1,stabilizes food access through reserves storage cold chains local procurement and distribution redundancy,7.564,Adaptation-first,5
FW001,Climate-Smart Irrigation Upgrade,irrigation and agriculture,8.4,7.5,8.1,7.8,8.3,7.4,3.7,improves irrigation efficiency crop reliability water accounting and climate-responsive farm management,7.554,Adaptation-first,6
FW005,Diversified Agroecological Production Program,agroecology and food security,8,8.1,8.2,8.4,8.6,8.2,2.9,supports crop diversity soil health local food security biodiversity and adaptive livelihoods,7.732000000000001,Availability-first,1
FW006,Safe Water Treatment and Sanitation Resilience Plan,water quality and public health,7.8,8.5,8.1,8.9,8,8.6,3,protects drinking water sanitation hygiene public health and emergency water safety,7.702000000000001,Availability-first,2
FW003,Watershed Restoration and Recharge Program,watershed and ecosystem resilience,8.3,7.4,7.9,8.6,8.5,7.7,2.7,restores recharge water quality soil moisture flood buffering and ecological function,7.698000000000001,Availability-first,3
FW004,Community Water Governance and Access Reform,water governance and access,7.6,8.8,7.7,8.1,8.7,8.9,2.8,improves allocation legitimacy affordability access rights monitoring and community participation,7.651999999999999,Availability-first,4
FW002,Regional Food Storage and Distribution Network,food logistics and storage,8.1,8.2,8.5,7.5,7.9,8,3.1,stabilizes food access through reserves storage cold chains local procurement and distribution redundancy,7.618,Availability-first,5
FW001,Climate-Smart Irrigation Upgrade,irrigation and agriculture,8.4,7.5,8.1,7.8,8.3,7.4,3.7,improves irrigation efficiency crop reliability water accounting and climate-responsive farm management,7.6,Availability-first,6
FW004,Community Water Governance and Access Reform,water governance and access,7.6,8.8,7.7,8.1,8.7,8.9,2.8,improves allocation legitimacy affordability access rights monitoring and community participation,7.6240000000000014,Balanced,1
FW006,Safe Water Treatment and Sanitation Resilience Plan,water quality and public health,7.8,8.5,8.1,8.9,8,8.6,3,protects drinking water sanitation hygiene public health and emergency water safety,7.617000000000001,Balanced,2
FW005,Diversified Agroecological Production Program,agroecology and food security,8,8.1,8.2,8.4,8.6,8.2,2.9,supports crop diversity soil health local food security biodiversity and adaptive livelihoods,7.574999999999998,Balanced,3
FW003,Watershed Restoration and Recharge Program,watershed and ecosystem resilience,8.3,7.4,7.9,8.6,8.5,7.7,2.7,restores recharge water quality soil moisture flood buffering and ecological function,7.413000000000001,Balanced,4
FW002,Regional Food Storage and Distribution Network,food logistics and storage,8.1,8.2,8.5,7.5,7.9,8,3.1,stabilizes food access through reserves storage cold chains local procurement and distribution redundancy,7.3790000000000004,Balanced,5
FW001,Climate-Smart Irrigation Upgrade,irrigation and agriculture,8.4,7.5,8.1,7.8,8.3,7.4,3.7,improves irrigation efficiency crop reliability water accounting and climate-responsive farm management,7.233000000000001,Balanced,6
FW004,Community Water Governance and Access Reform,water governance and access,7.6,8.8,7.7,8.1,8.7,8.9,2.8,improves allocation legitimacy affordability access rights monitoring and community participation,5.632000000000001,Depletion-sensitive,1
FW006,Safe Water Treatment and Sanitation Resilience Plan,water quality and public health,7.8,8.5,8.1,8.9,8,8.6,3,protects drinking water sanitation hygiene public health and emergency water safety,5.5920000000000005,Depletion-sensitive,2
FW005,Diversified Agroecological Production Program,agroecology and food security,8,8.1,8.2,8.4,8.6,8.2,2.9,supports crop diversity soil health local food security biodiversity and adaptive livelihoods,5.573,Depletion-sensitive,3
FW003,Watershed Restoration and Recharge Program,watershed and ecosystem resilience,8.3,7.4,7.9,8.6,8.5,7.7,2.7,restores recharge water quality soil moisture flood buffering and ecological function,5.481,Depletion-sensitive,4
FW002,Regional Food Storage and Distribution Network,food logistics and storage,8.1,8.2,8.5,7.5,7.9,8,3.1,stabilizes food access through reserves storage cold chains local procurement and distribution redundancy,5.367,Depletion-sensitive,5
FW001,Climate-Smart Irrigation Upgrade,irrigation and agriculture,8.4,7.5,8.1,7.8,8.3,7.4,3.7,improves irrigation efficiency crop reliability water accounting and climate-responsive farm management,5.135,Depletion-sensitive,6
FW004,Community Water Governance and Access Reform,water governance and access,7.6,8.8,7.7,8.1,8.7,8.9,2.8,improves allocation legitimacy affordability access rights monitoring and community participation,8.040000000000001,Equity-first,1
FW006,Safe Water Treatment and Sanitation Resilience Plan,water quality and public health,7.8,8.5,8.1,8.9,8,8.6,3,protects drinking water sanitation hygiene public health and emergency water safety,7.939999999999999,Equity-first,2
FW005,Diversified Agroecological Production Program,agroecology and food security,8,8.1,8.2,8.4,8.6,8.2,2.9,supports crop diversity soil health local food security biodiversity and adaptive livelihoods,7.79,Equity-first,3
FW002,Regional Food Storage and Distribution Network,food logistics and storage,8.1,8.2,8.5,7.5,7.9,8,3.1,stabilizes food access through reserves storage cold chains local procurement and distribution redundancy,7.5920000000000005,Equity-first,4
FW003,Watershed Restoration and Recharge Program,watershed and ecosystem resilience,8.3,7.4,7.9,8.6,8.5,7.7,2.7,restores recharge water quality soil moisture flood buffering and ecological function,7.5120000000000005,Equity-first,5
FW001,Climate-Smart Irrigation Upgrade,irrigation and agriculture,8.4,7.5,8.1,7.8,8.3,7.4,3.7,improves irrigation efficiency crop reliability water accounting and climate-responsive farm management,7.3020000000000005,Equity-first,6
FW006,Safe Water Treatment and Sanitation Resilience Plan,water quality and public health,7.8,8.5,8.1,8.9,8,8.6,3,protects drinking water sanitation hygiene public health and emergency water safety,8.004,Quality-first,1
FW005,Diversified Agroecological Production Program,agroecology and food security,8,8.1,8.2,8.4,8.6,8.2,2.9,supports crop diversity soil health local food security biodiversity and adaptive livelihoods,7.84,Quality-first,2
FW004,Community Water Governance and Access Reform,water governance and access,7.6,8.8,7.7,8.1,8.7,8.9,2.8,improves allocation legitimacy affordability access rights monitoring and community participation,7.808,Quality-first,3
FW003,Watershed Restoration and Recharge Program,watershed and ecosystem resilience,8.3,7.4,7.9,8.6,8.5,7.7,2.7,restores recharge water quality soil moisture flood buffering and ecological function,7.7639999999999985,Quality-first,4
FW002,Regional Food Storage and Distribution Network,food logistics and storage,8.1,8.2,8.5,7.5,7.9,8,3.1,stabilizes food access through reserves storage cold chains local procurement and distribution redundancy,7.460000000000001,Quality-first,5
FW001,Climate-Smart Irrigation Upgrade,irrigation and agriculture,8.4,7.5,8.1,7.8,8.3,7.4,3.7,improves irrigation efficiency crop reliability water accounting and climate-responsive farm management,7.4239999999999995,Quality-first,6
FW005,Diversified Agroecological Production Program,agroecology and food security,8,8.1,8.2,8.4,8.6,8.2,2.9,supports crop diversity soil health local food security biodiversity and adaptive livelihoods,7.788,Stability-first,1
