simulation_id,strategy_id,strategy,rank,resilience_value,winner
0,FW006,Safe Water Treatment and Sanitation Resilience Plan,1,7.63538,Safe Water Treatment and Sanitation Resilience Plan
0,FW004,Community Water Governance and Access Reform,2,7.56393,Safe Water Treatment and Sanitation Resilience Plan
0,FW002,Regional Food Storage and Distribution Network,3,7.52312,Safe Water Treatment and Sanitation Resilience Plan
0,FW003,Watershed Restoration and Recharge Program,4,7.3439,Safe Water Treatment and Sanitation Resilience Plan
0,FW005,Diversified Agroecological Production Program,5,7.19906,Safe Water Treatment and Sanitation Resilience Plan
0,FW001,Climate-Smart Irrigation Upgrade,6,7.09896,Safe Water Treatment and Sanitation Resilience Plan
1,FW003,Watershed Restoration and Recharge Program,1,7.93543,Watershed Restoration and Recharge Program
1,FW005,Diversified Agroecological Production Program,2,7.72128,Watershed Restoration and Recharge Program
1,FW001,Climate-Smart Irrigation Upgrade,3,7.54401,Watershed Restoration and Recharge Program
1,FW004,Community Water Governance and Access Reform,4,7.5029,Watershed Restoration and Recharge Program
1,FW002,Regional Food Storage and Distribution Network,5,7.47979,Watershed Restoration and Recharge Program
1,FW006,Safe Water Treatment and Sanitation Resilience Plan,6,7.41929,Watershed Restoration and Recharge Program
2,FW004,Community Water Governance and Access Reform,1,7.85375,Community Water Governance and Access Reform
2,FW005,Diversified Agroecological Production Program,2,7.67711,Community Water Governance and Access Reform
2,FW002,Regional Food Storage and Distribution Network,3,7.61759,Community Water Governance and Access Reform
2,FW003,Watershed Restoration and Recharge Program,4,7.5993,Community Water Governance and Access Reform
2,FW006,Safe Water Treatment and Sanitation Resilience Plan,5,7.44725,Community Water Governance and Access Reform
2,FW001,Climate-Smart Irrigation Upgrade,6,7.33067,Community Water Governance and Access Reform
3,FW006,Safe Water Treatment and Sanitation Resilience Plan,1,7.86312,Safe Water Treatment and Sanitation Resilience Plan
3,FW005,Diversified Agroecological Production Program,2,7.72722,Safe Water Treatment and Sanitation Resilience Plan
3,FW004,Community Water Governance and Access Reform,3,7.69647,Safe Water Treatment and Sanitation Resilience Plan
3,FW002,Regional Food Storage and Distribution Network,4,7.58572,Safe Water Treatment and Sanitation Resilience Plan
3,FW003,Watershed Restoration and Recharge Program,5,7.48166,Safe Water Treatment and Sanitation Resilience Plan
3,FW001,Climate-Smart Irrigation Upgrade,6,7.46876,Safe Water Treatment and Sanitation Resilience Plan
4,FW005,Diversified Agroecological Production Program,1,7.88075,Diversified Agroecological Production Program
4,FW004,Community Water Governance and Access Reform,2,7.71818,Diversified Agroecological Production Program
4,FW002,Regional Food Storage and Distribution Network,3,7.46725,Diversified Agroecological Production Program
4,FW003,Watershed Restoration and Recharge Program,4,7.4109,Diversified Agroecological Production Program
