 time,performance,stress_load,response_capacity,resource_coupling
1, 0.95261, 0.18950, 0.21160, 0.80087
2, 1.00000, 0.19010, 0.21148, 0.80176
3, 1.00000, 0.19071, 0.21135, 0.80265
4, 1.00000, 0.19132, 0.21123, 0.80356
5, 1.00000, 0.19193, 0.21110, 0.80448
6, 1.00000, 0.19254, 0.21097, 0.80542
7, 1.00000, 0.19315, 0.21084, 0.80636
8, 1.00000, 0.19376, 0.21071, 0.80732
9, 1.00000, 0.19438, 0.21057, 0.80829
10, 1.00000, 0.19500, 0.21044, 0.80928
11, 1.00000, 0.19561, 0.21030, 0.81028
12, 0.94923, 0.72643, 0.21016, 0.82083
13, 1.00000, 0.19800, 0.20868, 0.82189
14, 1.00000, 0.19863, 0.20854, 0.82296
15, 1.00000, 0.19926, 0.20839, 0.82405
16, 1.00000, 0.19989, 0.20823, 0.82515
17, 1.00000, 0.20052, 0.20808, 0.82626
18, 1.00000, 0.20115, 0.20792, 0.82739
19, 1.00000, 0.20179, 0.20777, 0.82853
20, 1.00000, 0.20242, 0.20761, 0.82968
21, 1.00000, 0.20306, 0.20745, 0.83084
22, 1.00000, 0.20370, 0.20728, 0.83202
23, 1.00000, 0.20434, 0.20712, 0.83322
24, 1.00000, 0.20499, 0.20695, 0.83442
25, 1.00000, 0.20563, 0.20678, 0.83564
26, 1.00000, 0.20628, 0.20661, 0.83688
27, 0.94277, 0.73923, 0.20644, 0.84770
28, 1.00000, 0.20872, 0.20492, 0.84900
29, 1.00000, 0.20938, 0.20474, 0.85031
30, 1.00000, 0.21004, 0.20456, 0.85164
31, 1.00000, 0.21070, 0.20437, 0.85298
32, 1.00000, 0.21136, 0.20418, 0.85433
33, 1.00000, 0.21202, 0.20399, 0.85570
34, 1.00000, 0.21268, 0.20380, 0.85709
35, 1.00000, 0.21335, 0.20361, 0.85848
36, 1.00000, 0.21402, 0.20341, 0.85989
37, 1.00000, 0.21469, 0.20321, 0.86132
38, 1.00000, 0.21536, 0.20302, 0.86276
39, 1.00000, 0.21603, 0.20281, 0.86421
40, 1.00000, 0.21671, 0.20261, 0.86568
41, 1.00000, 0.21738, 0.20240, 0.86717
42, 0.97123, 0.64846, 0.20220, 0.87641
43, 1.00000, 0.21967, 0.20090, 0.87796
44, 1.00000, 0.22035, 0.20069, 0.87952
45, 1.00000, 0.22104, 0.20047, 0.88109
46, 1.00000, 0.22173, 0.20025, 0.88268
47, 1.00000, 0.22242, 0.20003, 0.88428
48, 1.00000, 0.22311, 0.19980, 0.88590
49, 1.00000, 0.22381, 0.19957, 0.88753
50, 1.00000, 0.22450, 0.19935, 0.88918
51, 1.00000, 0.22520, 0.19911, 0.89085
52, 1.00000, 0.22590, 0.19888, 0.89253
53, 1.00000, 0.22660, 0.19865, 0.89422
54, 1.00000, 0.22731, 0.19841, 0.89593
55, 1.00000, 0.22801, 0.19817, 0.89766
56, 0.96783, 0.65132, 0.19793, 0.90701
57, 1.00000, 0.23034, 0.19662, 0.90879
58, 1.00000, 0.23106, 0.19637, 0.91059
59, 1.00000, 0.23177, 0.19612, 0.91241
60, 1.00000, 0.23249, 0.19586, 0.91425
61, 1.00000, 0.23321, 0.19561, 0.91610
62, 1.00000, 0.23393, 0.19535, 0.91796
63, 1.00000, 0.23466, 0.19508, 0.91985
64, 1.00000, 0.23538, 0.19482, 0.92175
65, 1.00000, 0.23611, 0.19456, 0.92366
66, 1.00000, 0.23684, 0.19429, 0.92559
67, 1.00000, 0.23757, 0.19402, 0.92754
68, 1.00000, 0.23831, 0.19374, 0.92951
69, 1.00000, 0.23904, 0.19347, 0.93149
70, 1.00000, 0.23978, 0.19319, 0.93349
71, 1.00000, 0.24052, 0.19291, 0.93550
72, 1.00000, 0.24126, 0.19263, 0.93753
73, 1.00000, 0.24200, 0.19235, 0.93958
74, 1.00000, 0.24275, 0.19206, 0.94164
75, 1.00000, 0.24350, 0.19177, 0.94373
76, 1.00000, 0.24425, 0.19148, 0.94582
77, 1.00000, 0.24500, 0.19118, 0.94794
78, 1.00000, 0.24575, 0.19089, 0.95007
79, 1.00000, 0.24651, 0.19059, 0.95222
80, 1.00000, 0.24727, 0.19029, 0.95439
