system_id,system,system_domain,time,event,stress_load,response_capacity,system_performance,resource_coupling,equity_adjusted_performance
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,0,background food-water stress,0.1876,0.2116,0.95325,0.80084,0.97781
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,1,background food-water stress,0.19346,0.21148,1.0,0.80178,1.0
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,2,background food-water stress,0.19221,0.21135,1.0,0.80271,1.0
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,3,background food-water stress,0.19382,0.21122,1.0,0.80366,1.0
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,4,background food-water stress,0.18966,0.21109,1.0,0.80454,1.0
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,5,background food-water stress,0.19293,0.21096,1.0,0.80548,1.0
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,6,background food-water stress,0.19535,0.21083,1.0,0.80647,1.0
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,7,background food-water stress,0.19474,0.21069,1.0,0.80745,1.0
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,8,background food-water stress,0.19119,0.21056,1.0,0.80836,1.0
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,9,background food-water stress,0.19272,0.21043,1.0,0.8093,1.0
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,10,background food-water stress,0.19965,0.2103,1.0,0.81037,1.0
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,11,background food-water stress,0.19775,0.21015,1.0,0.81141,1.0
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,12,Multi-season drought and groundwater stress,0.72657,0.21,0.9491,0.82197,0.8141
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,13,background food-water stress,0.20188,0.20852,1.0,0.8231,1.0
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,14,background food-water stress,0.19964,0.20837,1.0,0.82419,1.0
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,15,background food-water stress,0.19904,0.20821,1.0,0.82528,1.0
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,16,background food-water stress,0.19744,0.20806,1.0,0.82634,1.0
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,17,background food-water stress,0.2037,0.20791,1.0,0.82751,1.0
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,18,background food-water stress,0.2025,0.20775,1.0,0.82866,1.0
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,19,background food-water stress,0.20385,0.20759,1.0,0.82984,1.0
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,20,background food-water stress,0.2041,0.20742,1.0,0.83102,1.0
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,21,background food-water stress,0.2044,0.20726,1.0,0.83221,1.0
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,22,background food-water stress,0.208,0.20709,1.0,0.83347,1.0
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,23,background food-water stress,0.20748,0.20691,1.0,0.83472,1.0
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,24,background food-water stress,0.20786,0.20674,1.0,0.83599,1.0
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,25,background food-water stress,0.2061,0.20656,1.0,0.83722,1.0
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,26,background food-water stress,0.20669,0.20639,1.0,0.83846,1.0
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,27,Extreme flood with sanitation and crop damage,0.73942,0.20622,0.94258,0.8493,0.81379
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,28,background food-water stress,0.21122,0.2047,1.0,0.85064,1.0
