scenario_id,scenario_name,time_step,functional_group,disturbance,species_present,mean_abundance,functional_output,response_diversity,resilience_margin,threshold_flag
BD001,Moderate disturbance mosaic,1,pollination,0.27777,3,0.75899,1.52691,0.0196,1.43374,viable margin
BD001,Moderate disturbance mosaic,1,nutrient_cycling,0.27777,3,0.88652,2.21278,0.00493,2.10494,viable margin
BD001,Moderate disturbance mosaic,1,predation,0.27777,3,0.66568,1.2548,0.00493,1.14696,threshold risk
BD001,Moderate disturbance mosaic,1,seed_dispersal,0.27777,3,0.67558,1.5118,0.0036,1.40263,viable margin
BD001,Moderate disturbance mosaic,1,soil_function,0.27777,2,0.78043,1.2005,0.0128,1.04553,threshold risk
BD001,Moderate disturbance mosaic,1,water_filtration,0.27777,2,0.73446,1.12083,0.0032,0.95626,threshold risk
BD001,Moderate disturbance mosaic,1,carbon_storage,0.27777,2,0.67255,1.1586,0.0008,0.99162,threshold risk
BD001,Moderate disturbance mosaic,1,disturbance_recovery,0.27777,2,0.78555,1.03491,0.0008,0.86794,threshold risk
BD001,Moderate disturbance mosaic,2,pollination,0.28051,3,0.7612,1.53029,0.0196,1.43438,viable margin
BD001,Moderate disturbance mosaic,2,nutrient_cycling,0.28051,3,0.89294,2.22913,0.00493,2.11856,viable margin
BD001,Moderate disturbance mosaic,2,predation,0.28051,3,0.66793,1.25879,0.00493,1.14821,threshold risk
BD001,Moderate disturbance mosaic,2,seed_dispersal,0.28051,3,0.67771,1.51654,0.0036,1.40463,viable margin
BD001,Moderate disturbance mosaic,2,soil_function,0.28051,2,0.78576,1.20864,0.0128,1.05093,threshold risk
BD001,Moderate disturbance mosaic,2,water_filtration,0.28051,2,0.73881,1.12739,0.0032,0.96008,threshold risk
BD001,Moderate disturbance mosaic,2,carbon_storage,0.28051,2,0.66997,1.15415,0.0008,0.98444,threshold risk
BD001,Moderate disturbance mosaic,2,disturbance_recovery,0.28051,2,0.79601,1.04871,0.0008,0.879,threshold risk
BD001,Moderate disturbance mosaic,3,pollination,0.28318,3,0.7633,1.53344,0.0196,1.43486,viable margin
BD001,Moderate disturbance mosaic,3,nutrient_cycling,0.28318,3,0.89927,2.24526,0.00493,2.13201,viable margin
BD001,Moderate disturbance mosaic,3,predation,0.28318,3,0.67007,1.26259,0.00493,1.14934,threshold risk
BD001,Moderate disturbance mosaic,3,seed_dispersal,0.28318,3,0.67973,1.52102,0.0036,1.40644,viable margin
BD001,Moderate disturbance mosaic,3,soil_function,0.28318,2,0.79099,1.21663,0.0128,1.05625,threshold risk
BD001,Moderate disturbance mosaic,3,water_filtration,0.28318,2,0.74306,1.1338,0.0032,0.96382,threshold risk
BD001,Moderate disturbance mosaic,3,carbon_storage,0.28318,2,0.66725,1.14947,0.0008,0.97709,threshold risk
BD001,Moderate disturbance mosaic,3,disturbance_recovery,0.28318,2,0.80638,1.06239,0.0008,0.89001,threshold risk
BD001,Moderate disturbance mosaic,4,pollination,0.28575,3,0.76529,1.53638,0.0196,1.43523,viable margin
BD001,Moderate disturbance mosaic,4,nutrient_cycling,0.28575,3,0.90552,2.26117,0.00493,2.14535,viable margin
BD001,Moderate disturbance mosaic,4,predation,0.28575,3,0.67211,1.2662,0.00493,1.15038,threshold risk
BD001,Moderate disturbance mosaic,4,seed_dispersal,0.28575,3,0.68164,1.52526,0.0036,1.40811,viable margin
BD001,Moderate disturbance mosaic,4,soil_function,0.28575,2,0.79612,1.22447,0.0128,1.06152,threshold risk
BD001,Moderate disturbance mosaic,4,water_filtration,0.28575,2,0.74721,1.14004,0.0032,0.9675,threshold risk
BD001,Moderate disturbance mosaic,4,carbon_storage,0.28575,2,0.66439,1.14457,0.0008,0.96962,threshold risk
BD001,Moderate disturbance mosaic,4,disturbance_recovery,0.28575,2,0.81667,1.07597,0.0008,0.90102,threshold risk
BD001,Moderate disturbance mosaic,5,pollination,0.28819,3,0.76719,1.53911,0.0196,1.43553,viable margin
BD001,Moderate disturbance mosaic,5,nutrient_cycling,0.28819,3,0.91167,2.27687,0.00493,2.15862,viable margin
BD001,Moderate disturbance mosaic,5,predation,0.28819,3,0.67406,1.26962,0.00493,1.15137,threshold risk
BD001,Moderate disturbance mosaic,5,seed_dispersal,0.28819,3,0.68345,1.52927,0.0036,1.40968,viable margin
BD001,Moderate disturbance mosaic,5,soil_function,0.28819,2,0.80116,1.23217,0.0128,1.06678,threshold risk
BD001,Moderate disturbance mosaic,5,water_filtration,0.28819,2,0.75126,1.14615,0.0032,0.97116,threshold risk
