 time,functional_output,redundancy,response_diversity,disturbance,resilience_margin,threshold_flag
1, 2.4007, 3.9990, 0.0551, 0.1766, 2.9791,viable margin
2, 2.4013, 3.9979, 0.0551, 0.1793, 2.9770,viable margin
3, 2.4019, 3.9968, 0.0552, 0.1820, 2.9749,viable margin
4, 2.4023, 3.9956, 0.0552, 0.1845, 2.9728,viable margin
5, 2.4027, 3.9944, 0.0553, 0.1870, 2.9707,viable margin
6, 2.4030, 3.9932, 0.0553, 0.1893, 2.9687,viable margin
7, 2.4033, 3.9919, 0.0553, 0.1913, 2.9668,viable margin
8, 2.4035, 3.9906, 0.0554, 0.1932, 2.9651,viable margin
9, 2.4037, 3.9892, 0.0554, 0.1948, 2.9636,viable margin
10, 2.4038, 3.9879, 0.0554, 0.1962, 2.9623,viable margin
11, 2.4039, 3.9865, 0.0554, 0.1973, 2.9612,viable margin
12, 2.4039, 3.9851, 0.0554, 0.1981, 2.9604,viable margin
13, 2.4040, 3.9837, 0.0554, 0.1986, 2.9598,viable margin
14, 2.4040, 3.9822, 0.0554, 0.1988, 2.9596,viable margin
15, 2.4040, 3.9808, 0.0554, 0.1987, 2.9597,viable margin
16, 2.4041, 3.9794, 0.0554, 0.1983, 2.9601,viable margin
17, 2.4042, 3.9780, 0.0554, 0.1975, 2.9608,viable margin
18, 2.4043, 3.9766, 0.0554, 0.1965, 2.9619,viable margin
19, 2.4044, 3.9753, 0.0554, 0.1952, 2.9632,viable margin
20, 2.4046, 3.9740, 0.0555, 0.1937, 2.9649,viable margin
21, 2.4048, 3.9727, 0.0555, 0.1919, 2.9669,viable margin
22, 2.4051, 3.9714, 0.0555, 0.1899, 2.9692,viable margin
23, 2.4055, 3.9702, 0.0556, 0.1876, 2.9718,viable margin
24, 2.3964, 3.9633, 0.0546, 0.5052, 2.6437,viable margin
25, 2.3969, 3.9621, 0.0547, 0.1827, 2.9668,viable margin
26, 2.3975, 3.9610, 0.0547, 0.1801, 2.9700,viable margin
27, 2.3982, 3.9600, 0.0548, 0.1773, 2.9734,viable margin
28, 2.3989, 3.9590, 0.0549, 0.1746, 2.9770,viable margin
