scenario_id,functional_group,minimum_functional_output,final_functional_output,minimum_species_present,minimum_resilience_margin,threshold_risk_steps
BD001,carbon_storage,0.5925,0.5925,2,0.2731,100
BD001,disturbance_recovery,1.0349,1.584,2,0.7813,28
BD001,nutrient_cycling,2.2128,2.9177,3,2.0301,0
BD001,pollination,1.5269,1.7408,3,1.2424,0
BD001,predation,1.2548,1.433,3,0.9638,34
BD001,seed_dispersal,1.5118,1.8436,3,1.2204,0
BD001,soil_function,1.2005,1.5818,2,0.9039,29
BD001,water_filtration,1.1208,1.6191,2,0.7998,44
BD002,carbon_storage,0.0,0.0,0,-0.7589,100
BD002,disturbance_recovery,1.027,1.4723,2,0.4097,100
BD002,nutrient_cycling,1.982,1.9952,3,1.4241,0
BD002,pollination,0.4476,0.4476,2,-0.1298,95
BD002,predation,0.4468,0.4468,1,-0.1991,100
BD002,seed_dispersal,0.2461,0.2461,1,-0.3894,98
BD002,soil_function,0.7685,0.776,1,0.1256,100
BD002,water_filtration,0.4867,0.4867,1,-0.1014,100
BD003,carbon_storage,0.0,0.0,0,-1.0589,100
BD003,disturbance_recovery,0.5511,0.5511,2,-0.3472,100
BD003,nutrient_cycling,0.5721,0.5721,2,-0.3035,78
BD003,pollination,0.0,0.0,0,-1.0401,100
BD003,predation,0.0129,0.0129,0,-0.983,100
BD003,seed_dispersal,0.0,0.0,0,-1.0561,100
BD003,soil_function,0.2692,0.2692,1,-0.6686,100
BD003,water_filtration,0.0,0.0,0,-1.049,100
BD004,carbon_storage,0.0,0.0,0,-0.6389,100
BD004,disturbance_recovery,1.0281,1.584,2,0.5616,79
BD004,nutrient_cycling,2.1993,2.3704,3,1.7333,0
BD004,pollination,0.6214,0.6214,2,0.1487,91
BD004,predation,0.6381,0.6381,2,0.157,100
BD004,seed_dispersal,0.5261,0.5261,2,0.0589,94
BD004,soil_function,1.0261,1.0298,2,0.5408,100
BD004,water_filtration,0.764,0.764,2,0.2892,100
