simulation_id,strategy_id,strategy,rank,adjusted_value,abandonment_risk
0,ROA008,Mutual Aid Network with Public Capacity Agreement,1,7.8589,0.30698
0,ROA002,Public Housing Climate Retrofit,2,7.74478,0.32998
0,ROA006,Drainage Repair and Social Protection Package,3,7.66801,0.4326
0,ROA005,Managed Retreat with Long-Term Support,4,7.09845,0.47718
0,ROA003,Community-Led Cooling and Care Network,5,6.88522,0.52554
0,ROA004,Flood Defense for High-Value Assets,6,2.64657,3.09837
0,ROA001,Household Preparedness Campaign,7,-0.99638,4.58635
0,ROA007,Risk Mapping Dashboard Without Funding,8,-1.24695,4.90456
1,ROA005,Managed Retreat with Long-Term Support,1,8.08497,0.36263
1,ROA006,Drainage Repair and Social Protection Package,2,7.71885,0.42469
1,ROA002,Public Housing Climate Retrofit,3,7.32254,0.45187
1,ROA008,Mutual Aid Network with Public Capacity Agreement,4,6.69189,0.78798
1,ROA003,Community-Led Cooling and Care Network,5,5.91873,1.01182
1,ROA004,Flood Defense for High-Value Assets,6,2.93984,2.85603
1,ROA007,Risk Mapping Dashboard Without Funding,7,-1.04028,4.73449
1,ROA001,Household Preparedness Campaign,8,-1.05851,4.78298
2,ROA005,Managed Retreat with Long-Term Support,1,7.99335,0.41541
2,ROA006,Drainage Repair and Social Protection Package,2,7.63253,0.3973
2,ROA002,Public Housing Climate Retrofit,3,7.59687,0.40076
2,ROA008,Mutual Aid Network with Public Capacity Agreement,4,7.44269,0.34614
2,ROA003,Community-Led Cooling and Care Network,5,6.33424,0.85651
2,ROA004,Flood Defense for High-Value Assets,6,2.95146,2.78613
2,ROA001,Household Preparedness Campaign,7,-1.21342,4.91906
2,ROA007,Risk Mapping Dashboard Without Funding,8,-1.49901,5.01345
3,ROA005,Managed Retreat with Long-Term Support,1,7.76217,0.51898
3,ROA002,Public Housing Climate Retrofit,2,7.63532,0.38906
3,ROA006,Drainage Repair and Social Protection Package,3,7.56918,0.28124
3,ROA008,Mutual Aid Network with Public Capacity Agreement,4,6.8876,0.76578
3,ROA003,Community-Led Cooling and Care Network,5,6.57482,0.75786
3,ROA004,Flood Defense for High-Value Assets,6,2.80901,2.86112
3,ROA001,Household Preparedness Campaign,7,-0.65431,4.43586
3,ROA007,Risk Mapping Dashboard Without Funding,8,-1.68931,5.13236
4,ROA006,Drainage Repair and Social Protection Package,1,7.81512,0.43427
4,ROA005,Managed Retreat with Long-Term Support,2,7.66184,0.40014
4,ROA008,Mutual Aid Network with Public Capacity Agreement,3,6.98636,0.54247
4,ROA002,Public Housing Climate Retrofit,4,6.58682,0.83634
4,ROA003,Community-Led Cooling and Care Network,5,6.25839,0.94445
4,ROA004,Flood Defense for High-Value Assets,6,1.99653,3.33053
4,ROA001,Household Preparedness Campaign,7,-0.23108,4.23075
4,ROA007,Risk Mapping Dashboard Without Funding,8,-1.25076,4.84982
5,ROA005,Managed Retreat with Long-Term Support,1,7.63949,0.47569
5,ROA006,Drainage Repair and Social Protection Package,2,7.36302,0.37409
5,ROA002,Public Housing Climate Retrofit,3,6.98468,0.66698
5,ROA008,Mutual Aid Network with Public Capacity Agreement,4,6.97534,0.52731
5,ROA003,Community-Led Cooling and Care Network,5,6.75432,0.68861
5,ROA004,Flood Defense for High-Value Assets,6,2.9179,2.74881
5,ROA001,Household Preparedness Campaign,7,-1.17163,4.95879
5,ROA007,Risk Mapping Dashboard Without Funding,8,-1.76637,5.26502
6,ROA002,Public Housing Climate Retrofit,1,7.68809,0.33905
6,ROA005,Managed Retreat with Long-Term Support,2,7.64308,0.45036
6,ROA006,Drainage Repair and Social Protection Package,3,7.24503,0.4736
6,ROA003,Community-Led Cooling and Care Network,4,6.06994,0.98326
6,ROA008,Mutual Aid Network with Public Capacity Agreement,5,5.8645,1.07124
6,ROA004,Flood Defense for High-Value Assets,6,2.07925,3.30282
6,ROA007,Risk Mapping Dashboard Without Funding,7,-0.1939,4.32614
6,ROA001,Household Preparedness Campaign,8,-0.47456,4.35536
7,ROA005,Managed Retreat with Long-Term Support,1,7.68502,0.30692
7,ROA008,Mutual Aid Network with Public Capacity Agreement,2,7.65664,0.42527
7,ROA006,Drainage Repair and Social Protection Package,3,7.57471,0.31275
7,ROA002,Public Housing Climate Retrofit,4,7.33812,0.41358
7,ROA003,Community-Led Cooling and Care Network,5,6.82941,0.56514
7,ROA004,Flood Defense for High-Value Assets,6,2.11843,3.23438
7,ROA001,Household Preparedness Campaign,7,-1.01008,4.67911
7,ROA007,Risk Mapping Dashboard Without Funding,8,-1.3542,4.86305
8,ROA006,Drainage Repair and Social Protection Package,1,8.16682,0.42825
8,ROA005,Managed Retreat with Long-Term Support,2,7.79104,0.36298
8,ROA003,Community-Led Cooling and Care Network,3,6.98134,0.56431
8,ROA002,Public Housing Climate Retrofit,4,6.90213,0.64049
8,ROA008,Mutual Aid Network with Public Capacity Agreement,5,6.2631,0.73411
8,ROA004,Flood Defense for High-Value Assets,6,2.68088,3.00324
8,ROA001,Household Preparedness Campaign,7,-1.55624,5.04681
8,ROA007,Risk Mapping Dashboard Without Funding,8,-1.92361,5.24244
9,ROA005,Managed Retreat with Long-Term Support,1,7.58662,0.33663
9,ROA008,Mutual Aid Network with Public Capacity Agreement,2,7.48094,0.34895
9,ROA006,Drainage Repair and Social Protection Package,3,7.45988,0.39296
9,ROA002,Public Housing Climate Retrofit,4,7.28153,0.4964
9,ROA003,Community-Led Cooling and Care Network,5,6.57393,0.88221
9,ROA004,Flood Defense for High-Value Assets,6,2.60457,3.02266
9,ROA001,Household Preparedness Campaign,7,-0.97437,4.6369
9,ROA007,Risk Mapping Dashboard Without Funding,8,-1.68906,4.98792
10,ROA006,Drainage Repair and Social Protection Package,1,7.74321,0.32006
10,ROA002,Public Housing Climate Retrofit,2,7.43439,0.42921
10,ROA005,Managed Retreat with Long-Term Support,3,7.17436,0.50229
10,ROA003,Community-Led Cooling and Care Network,4,6.96152,0.54643
10,ROA008,Mutual Aid Network with Public Capacity Agreement,5,6.09097,0.90134
10,ROA004,Flood Defense for High-Value Assets,6,2.22096,3.21582
10,ROA001,Household Preparedness Campaign,7,-1.02092,4.77586
10,ROA007,Risk Mapping Dashboard Without Funding,8,-1.58589,4.96059
11,ROA006,Drainage Repair and Social Protection Package,1,7.78599,0.32278
11,ROA002,Public Housing Climate Retrofit,2,7.66187,0.36401
11,ROA005,Managed Retreat with Long-Term Support,3,7.39947,0.355
11,ROA003,Community-Led Cooling and Care Network,4,7.37549,0.5083
11,ROA008,Mutual Aid Network with Public Capacity Agreement,5,6.727,0.54
11,ROA004,Flood Defense for High-Value Assets,6,2.78199,3.04029
11,ROA001,Household Preparedness Campaign,7,-0.67354,4.48736
11,ROA007,Risk Mapping Dashboard Without Funding,8,-1.10826,4.66295
12,ROA002,Public Housing Climate Retrofit,1,7.65015,0.38017
