scenario,strategy_id,strategy,rank,support_resilience_value,abandonment_risk,adjusted_value,diagnostic,critical_function
Balanced,ROA006,Drainage Repair and Social Protection Package,1,7.997,0.378,7.619,support-oriented resilience candidate,combines infrastructure repair with aid access social protection and exposure reduction
Balanced,ROA005,Managed Retreat with Long-Term Support,2,8.018,0.406,7.612,support-oriented resilience candidate,reduces exposure through participatory relocation compensation housing continuity and long term support
Balanced,ROA002,Public Housing Climate Retrofit,3,7.88,0.392,7.488,support-oriented resilience candidate,reduces heat flood energy and health burdens through public investment and tenant protection
Balanced,ROA008,Mutual Aid Network with Public Capacity Agreement,4,7.671,0.422,7.249,support-oriented resilience candidate,links local knowledge and mutual aid with public funding logistics legal support and accountability
Balanced,ROA003,Community-Led Cooling and Care Network,5,7.341,0.61,6.731,support-oriented resilience candidate,strengthens community care while requiring public backing and accessible services
Balanced,ROA004,Flood Defense for High-Value Assets,6,5.67,3.038,2.632,high abandonment-risk review needed,protects valuable infrastructure and property but may leave vulnerable residents with low support
Balanced,ROA001,Household Preparedness Campaign,7,3.736,4.53,-0.794,high abandonment-risk review needed,encourages preparedness but offers limited material support or structural risk reduction
Balanced,ROA007,Risk Mapping Dashboard Without Funding,8,3.575,4.946,-1.371,high abandonment-risk review needed,improves visibility but lacks funding triggers repair authority and material support
Protection-first,ROA006,Drainage Repair and Social Protection Package,1,8.094,0.378,7.716,support-oriented resilience candidate,combines infrastructure repair with aid access social protection and exposure reduction
Protection-first,ROA005,Managed Retreat with Long-Term Support,2,7.991,0.406,7.585,support-oriented resilience candidate,reduces exposure through participatory relocation compensation housing continuity and long term support
Protection-first,ROA002,Public Housing Climate Retrofit,3,7.976,0.392,7.584,support-oriented resilience candidate,reduces heat flood energy and health burdens through public investment and tenant protection
Protection-first,ROA008,Mutual Aid Network with Public Capacity Agreement,4,7.712,0.422,7.29,support-oriented resilience candidate,links local knowledge and mutual aid with public funding logistics legal support and accountability
Protection-first,ROA003,Community-Led Cooling and Care Network,5,7.417,0.61,6.807,support-oriented resilience candidate,strengthens community care while requiring public backing and accessible services
Protection-first,ROA004,Flood Defense for High-Value Assets,6,6.413,3.038,3.375,high abandonment-risk review needed,protects valuable infrastructure and property but may leave vulnerable residents with low support
Protection-first,ROA001,Household Preparedness Campaign,7,4.232,4.53,-0.298,high abandonment-risk review needed,encourages preparedness but offers limited material support or structural risk reduction
Protection-first,ROA007,Risk Mapping Dashboard Without Funding,8,4.212,4.946,-0.734,high abandonment-risk review needed,improves visibility but lacks funding triggers repair authority and material support
Support-first,ROA005,Managed Retreat with Long-Term Support,1,8.345,0.406,7.939,support-oriented resilience candidate,reduces exposure through participatory relocation compensation housing continuity and long term support
Support-first,ROA006,Drainage Repair and Social Protection Package,2,8.292,0.378,7.914,support-oriented resilience candidate,combines infrastructure repair with aid access social protection and exposure reduction
Support-first,ROA002,Public Housing Climate Retrofit,3,8.238,0.392,7.846,support-oriented resilience candidate,reduces heat flood energy and health burdens through public investment and tenant protection
Support-first,ROA008,Mutual Aid Network with Public Capacity Agreement,4,7.962,0.422,7.54,support-oriented resilience candidate,links local knowledge and mutual aid with public funding logistics legal support and accountability
Support-first,ROA003,Community-Led Cooling and Care Network,5,7.565,0.61,6.955,support-oriented resilience candidate,strengthens community care while requiring public backing and accessible services
Support-first,ROA004,Flood Defense for High-Value Assets,6,5.589,3.038,2.551,high abandonment-risk review needed,protects valuable infrastructure and property but may leave vulnerable residents with low support
Support-first,ROA001,Household Preparedness Campaign,7,3.67,4.53,-0.86,high abandonment-risk review needed,encourages preparedness but offers limited material support or structural risk reduction
Support-first,ROA007,Risk Mapping Dashboard Without Funding,8,3.41,4.946,-1.536,high abandonment-risk review needed,improves visibility but lacks funding triggers repair authority and material support
Recovery-first,ROA005,Managed Retreat with Long-Term Support,1,8.385,0.406,7.979,support-oriented resilience candidate,reduces exposure through participatory relocation compensation housing continuity and long term support
Recovery-first,ROA006,Drainage Repair and Social Protection Package,2,8.312,0.378,7.934,support-oriented resilience candidate,combines infrastructure repair with aid access social protection and exposure reduction
Recovery-first,ROA002,Public Housing Climate Retrofit,3,8.178,0.392,7.786,support-oriented resilience candidate,reduces heat flood energy and health burdens through public investment and tenant protection
Recovery-first,ROA008,Mutual Aid Network with Public Capacity Agreement,4,8.002,0.422,7.58,support-oriented resilience candidate,links local knowledge and mutual aid with public funding logistics legal support and accountability
Recovery-first,ROA003,Community-Led Cooling and Care Network,5,7.645,0.61,7.035,support-oriented resilience candidate,strengthens community care while requiring public backing and accessible services
Recovery-first,ROA004,Flood Defense for High-Value Assets,6,5.629,3.038,2.591,high abandonment-risk review needed,protects valuable infrastructure and property but may leave vulnerable residents with low support
Recovery-first,ROA001,Household Preparedness Campaign,7,3.85,4.53,-0.68,high abandonment-risk review needed,encourages preparedness but offers limited material support or structural risk reduction
Recovery-first,ROA007,Risk Mapping Dashboard Without Funding,8,3.47,4.946,-1.476,high abandonment-risk review needed,improves visibility but lacks funding triggers repair authority and material support
Governance-first,ROA006,Drainage Repair and Social Protection Package,1,8.096,0.378,7.718,support-oriented resilience candidate,combines infrastructure repair with aid access social protection and exposure reduction
Governance-first,ROA005,Managed Retreat with Long-Term Support,2,8.101,0.406,7.695,support-oriented resilience candidate,reduces exposure through participatory relocation compensation housing continuity and long term support
Governance-first,ROA008,Mutual Aid Network with Public Capacity Agreement,3,7.992,0.422,7.57,support-oriented resilience candidate,links local knowledge and mutual aid with public funding logistics legal support and accountability
Governance-first,ROA002,Public Housing Climate Retrofit,4,7.936,0.392,7.544,support-oriented resilience candidate,reduces heat flood energy and health burdens through public investment and tenant protection
Governance-first,ROA003,Community-Led Cooling and Care Network,5,7.713,0.61,7.103,support-oriented resilience candidate,strengthens community care while requiring public backing and accessible services
Governance-first,ROA004,Flood Defense for High-Value Assets,6,5.437,3.038,2.399,high abandonment-risk review needed,protects valuable infrastructure and property but may leave vulnerable residents with low support
Governance-first,ROA001,Household Preparedness Campaign,7,3.874,4.53,-0.656,high abandonment-risk review needed,encourages preparedness but offers limited material support or structural risk reduction
Governance-first,ROA007,Risk Mapping Dashboard Without Funding,8,3.656,4.946,-1.29,high abandonment-risk review needed,improves visibility but lacks funding triggers repair authority and material support
Transformation-first,ROA005,Managed Retreat with Long-Term Support,1,8.365,0.406,7.959,support-oriented resilience candidate,reduces exposure through participatory relocation compensation housing continuity and long term support
Transformation-first,ROA006,Drainage Repair and Social Protection Package,2,8.242,0.378,7.864,support-oriented resilience candidate,combines infrastructure repair with aid access social protection and exposure reduction
Transformation-first,ROA002,Public Housing Climate Retrofit,3,8.1,0.392,7.708,support-oriented resilience candidate,reduces heat flood energy and health burdens through public investment and tenant protection
Transformation-first,ROA008,Mutual Aid Network with Public Capacity Agreement,4,7.91,0.422,7.488,support-oriented resilience candidate,links local knowledge and mutual aid with public funding logistics legal support and accountability
Transformation-first,ROA003,Community-Led Cooling and Care Network,5,7.581,0.61,6.971,support-oriented resilience candidate,strengthens community care while requiring public backing and accessible services
Transformation-first,ROA004,Flood Defense for High-Value Assets,6,5.585,3.038,2.547,high abandonment-risk review needed,protects valuable infrastructure and property but may leave vulnerable residents with low support
Transformation-first,ROA001,Household Preparedness Campaign,7,3.844,4.53,-0.686,high abandonment-risk review needed,encourages preparedness but offers limited material support or structural risk reduction
Transformation-first,ROA007,Risk Mapping Dashboard Without Funding,8,3.836,4.946,-1.11,high abandonment-risk review needed,improves visibility but lacks funding triggers repair authority and material support
Exposure-reduction,ROA005,Managed Retreat with Long-Term Support,1,8.389,0.406,7.983,support-oriented resilience candidate,reduces exposure through participatory relocation compensation housing continuity and long term support
Exposure-reduction,ROA006,Drainage Repair and Social Protection Package,2,8.314,0.378,7.936,support-oriented resilience candidate,combines infrastructure repair with aid access social protection and exposure reduction
Exposure-reduction,ROA002,Public Housing Climate Retrofit,3,8.172,0.392,7.78,support-oriented resilience candidate,reduces heat flood energy and health burdens through public investment and tenant protection
Exposure-reduction,ROA008,Mutual Aid Network with Public Capacity Agreement,4,7.862,0.422,7.44,support-oriented resilience candidate,links local knowledge and mutual aid with public funding logistics legal support and accountability
Exposure-reduction,ROA003,Community-Led Cooling and Care Network,5,7.509,0.61,6.899,support-oriented resilience candidate,strengthens community care while requiring public backing and accessible services
Exposure-reduction,ROA004,Flood Defense for High-Value Assets,6,6.161,3.038,3.123,high abandonment-risk review needed,protects valuable infrastructure and property but may leave vulnerable residents with low support
Exposure-reduction,ROA001,Household Preparedness Campaign,7,3.796,4.53,-0.734,high abandonment-risk review needed,encourages preparedness but offers limited material support or structural risk reduction
Exposure-reduction,ROA007,Risk Mapping Dashboard Without Funding,8,3.572,4.946,-1.374,high abandonment-risk review needed,improves visibility but lacks funding triggers repair authority and material support
Burden-sensitive,ROA006,Drainage Repair and Social Protection Package,1,6.744,0.378,6.366,support-oriented resilience candidate,combines infrastructure repair with aid access social protection and exposure reduction
Burden-sensitive,ROA005,Managed Retreat with Long-Term Support,2,6.742,0.406,6.336,support-oriented resilience candidate,reduces exposure through participatory relocation compensation housing continuity and long term support
Burden-sensitive,ROA002,Public Housing Climate Retrofit,3,6.632,0.392,6.24,support-oriented resilience candidate,reduces heat flood energy and health burdens through public investment and tenant protection
Burden-sensitive,ROA008,Mutual Aid Network with Public Capacity Agreement,4,6.436,0.422,6.014,support-oriented resilience candidate,links local knowledge and mutual aid with public funding logistics legal support and accountability
Burden-sensitive,ROA003,Community-Led Cooling and Care Network,5,6.126,0.61,5.516,support-oriented resilience candidate,strengthens community care while requiring public backing and accessible services
Burden-sensitive,ROA004,Flood Defense for High-Value Assets,6,4.358,3.038,1.32,high abandonment-risk review needed,protects valuable infrastructure and property but may leave vulnerable residents with low support
Burden-sensitive,ROA001,Household Preparedness Campaign,7,2.562,4.53,-1.968,high abandonment-risk review needed,encourages preparedness but offers limited material support or structural risk reduction
Burden-sensitive,ROA007,Risk Mapping Dashboard Without Funding,8,2.456,4.946,-2.49,high abandonment-risk review needed,improves visibility but lacks funding triggers repair authority and material support
