strategy_id,strategy,protective_effectiveness,material_support,accessible_recovery,governance_inclusion,transformation_potential,exposure_reduction,burden_shift,implementation_burden,critical_function,support_resilience_value,support_gap,recovery_gap,governance_gap,abandonment_risk,adjusted_value,scenario,diagnostic,rank
ROA006,Drainage Repair and Social Protection Package,8.5,8.6,8.7,8.5,8.4,8.7,2.7,3.9,combines infrastructure repair with aid access social protection and exposure reduction,7.997,0,0,0,0.37800000000000006,7.619,Balanced,support-oriented resilience candidate,1
ROA005,Managed Retreat with Long-Term Support,8,8.7,8.9,8.4,8.8,8.9,2.9,4,reduces exposure through participatory relocation compensation housing continuity and long term support,8.018,0,0,0,0.406,7.612000000000001,Balanced,support-oriented resilience candidate,2
ROA002,Public Housing Climate Retrofit,8.4,8.8,8.5,8.2,8.2,8.5,2.8,3.8,reduces heat flood energy and health burdens through public investment and tenant protection,7.879999999999999,0,0,0,0.392,7.487999999999999,Balanced,support-oriented resilience candidate,3
ROA008,Mutual Aid Network with Public Capacity Agreement,8,8.2,8.4,9.1,8,7.8,2.9,3.5,links local knowledge and mutual aid with public funding logistics legal support and accountability,7.671,0,0,0,0.42200000000000004,7.2490000000000006,Balanced,support-oriented resilience candidate,4
ROA003,Community-Led Cooling and Care Network,7.8,7.6,8,9,7.7,7.4,3.1,3.2,strengthens community care while requiring public backing and accessible services,7.341,0.40000000000000036,0,0,0.6100000000000001,6.731,Balanced,support-oriented resilience candidate,5
ROA004,Flood Defense for High-Value Assets,8.6,5.2,5.4,5,5.2,7.6,5.9,3.4,protects valuable infrastructure and property but may leave vulnerable residents with low support,5.670000000000001,2.8,2.5999999999999996,3,3.038,2.632000000000001,Balanced,high abandonment-risk review needed,6
ROA001,Household Preparedness Campaign,5.8,3.2,4.1,4.5,4,3.8,6.8,2.6,encourages preparedness but offers limited material support or structural risk reduction,3.7359999999999998,4.8,3.9000000000000004,3.5,4.53,-0.7940000000000005,Balanced,high abandonment-risk review needed,7
ROA007,Risk Mapping Dashboard Without Funding,6.2,2.8,3.1,4.2,4.6,3.5,6.5,2.7,improves visibility but lacks funding triggers repair authority and material support,3.575,5.2,4.9,3.8,4.946000000000001,-1.3710000000000004,Balanced,high abandonment-risk review needed,8
ROA006,Drainage Repair and Social Protection Package,8.5,8.6,8.7,8.5,8.4,8.7,2.7,3.9,combines infrastructure repair with aid access social protection and exposure reduction,6.744,0,0,0,0.37800000000000006,6.366,Burden-sensitive,support-oriented resilience candidate,1
ROA005,Managed Retreat with Long-Term Support,8,8.7,8.9,8.4,8.8,8.9,2.9,4,reduces exposure through participatory relocation compensation housing continuity and long term support,6.742000000000001,0,0,0,0.406,6.336000000000001,Burden-sensitive,support-oriented resilience candidate,2
ROA002,Public Housing Climate Retrofit,8.4,8.8,8.5,8.2,8.2,8.5,2.8,3.8,reduces heat flood energy and health burdens through public investment and tenant protection,6.632000000000001,0,0,0,0.392,6.24,Burden-sensitive,support-oriented resilience candidate,3
ROA008,Mutual Aid Network with Public Capacity Agreement,8,8.2,8.4,9.1,8,7.8,2.9,3.5,links local knowledge and mutual aid with public funding logistics legal support and accountability,6.435999999999999,0,0,0,0.42200000000000004,6.013999999999999,Burden-sensitive,support-oriented resilience candidate,4
ROA003,Community-Led Cooling and Care Network,7.8,7.6,8,9,7.7,7.4,3.1,3.2,strengthens community care while requiring public backing and accessible services,6.1259999999999994,0.40000000000000036,0,0,0.6100000000000001,5.515999999999999,Burden-sensitive,support-oriented resilience candidate,5
ROA004,Flood Defense for High-Value Assets,8.6,5.2,5.4,5,5.2,7.6,5.9,3.4,protects valuable infrastructure and property but may leave vulnerable residents with low support,4.3580000000000005,2.8,2.5999999999999996,3,3.038,1.3200000000000007,Burden-sensitive,high abandonment-risk review needed,6
